Date,Open_PXD,High_PXD,Low_PXD,Close_PXD,Volume_PXD,AdjClose_PXD
2013-06-14,147.119995,148.720001,145.990005,146.619995,1240300,146.399539
2013-06-17,149.360001,154.259995,149.139999,152.320007,1822300,152.090981
2013-06-18,153.460007,157.809998,152.570007,154.649994,2023500,154.417464
2013-06-19,154.649994,155.139999,152.679993,153.059998,1251200,152.829859
2013-06-20,150.419998,150.440002,145.820007,146.289993,2374600,146.070034
2013-06-21,147.899994,147.910004,141.880005,144.610001,2994300,144.392567
2013-06-24,142.539993,146.710007,138.910004,145.240005,1894700,145.021625
2013-06-25,147.800003,149.419998,145.279999,148.009995,1208500,147.787449
2013-06-26,148.380005,149.649994,146.949997,147.169998,1112800,146.948715
2013-06-27,148.789993,149.929993,146.639999,146.710007,1102000,146.489415
2013-06-28,145.899994,146.690002,144.270004,144.75,1495700,144.532356
2013-07-01,146.190002,151.339996,146.190002,148.729996,1233600,148.506367
2013-07-02,148.809998,152.199997,148.699997,149.899994,1637100,149.674606
2013-07-03,149.800003,150.149994,148.440002,148.75,1014000,148.526341
2013-07-05,150.039993,152.619995,147.830002,152.550003,1327700,152.320631
2013-07-08,153.020004,154.690002,150.009995,150.600006,823400,150.373566
2013-07-09,151.869995,154.740005,149.880005,153.490005,1555600,153.25922
2013-07-10,154.020004,155.610001,151.029999,152.080002,1449800,151.851336
2013-07-11,154.889999,157.179993,152.160004,153.449997,1212600,153.219272
2013-07-12,152.610001,154.429993,151.75,153.429993,854800,153.199297
2013-07-15,153.399994,155.710007,152.080002,152.509995,755200,152.280682
2013-07-16,153.190002,154.330002,150.649994,152.589996,641800,152.360564
2013-07-17,153.050003,154.119995,151.970001,153.410004,711400,153.179338
2013-07-18,153.949997,156.479996,153.610001,156.229996,835100,155.99509
2013-07-19,156.350006,157.889999,153.710007,157.839996,1143900,157.60267
2013-07-22,157.210007,157.75,155.529999,155.860001,883000,155.625652
2013-07-23,156.190002,156.649994,154.860001,155.100006,791000,154.8668
2013-07-24,154.809998,155.0,151.410004,153.0,1109300,152.769951
2013-07-25,153.449997,156.229996,152.210007,154.759995,955000,154.527299
2013-07-26,153.389999,154.910004,153.100006,154.779999,854000,154.547274
2013-07-29,154.289993,155.509995,152.729996,154.889999,820000,154.657109
2013-07-30,154.669998,156.0,152.039993,153.330002,874700,153.099457
2013-07-31,154.350006,156.919998,153.550003,154.759995,1368900,154.527299
2013-08-01,173.699997,181.619995,169.509995,174.149994,4219000,173.888144
2013-08-02,174.210007,181.649994,172.990005,181.210007,1944800,180.937542
2013-08-05,180.0,182.669998,178.729996,180.080002,1439200,179.809236
2013-08-06,180.100006,180.639999,174.490005,176.669998,1395800,176.404359
2013-08-07,176.190002,177.660004,174.470001,175.669998,838900,175.405863
2013-08-08,179.479996,179.479996,174.380005,176.350006,981500,176.084849
2013-08-09,175.809998,176.889999,174.539993,175.619995,616300,175.355935
2013-08-12,175.369995,176.839996,172.5,174.190002,1227800,173.928093
2013-08-13,174.559998,174.820007,171.25,174.059998,926700,173.798283
2013-08-14,174.229996,175.0,169.820007,169.960007,931900,169.704457
2013-08-15,169.139999,170.070007,166.740005,169.149994,862300,168.895662
2013-08-16,168.320007,172.539993,167.630005,170.289993,859500,170.033948
2013-08-19,169.619995,170.350006,166.149994,166.360001,890300,166.109864
2013-08-20,166.75,171.110001,166.179993,167.639999,909600,167.387938
2013-08-21,167.389999,169.360001,166.460007,166.779999,726500,166.529231
2013-08-22,168.039993,171.25,167.190002,170.339996,420900,170.083875
2013-08-23,170.300003,172.600006,168.770004,172.199997,583300,171.941079
2013-08-26,172.460007,175.809998,171.720001,172.960007,927100,172.699946
2013-08-27,172.0,174.649994,170.929993,171.100006,652400,170.842742
2013-08-28,171.350006,178.660004,171.350006,176.770004,1187500,176.504215
2013-08-29,176.389999,176.490005,173.089996,173.779999,912200,173.518705
2013-08-30,173.779999,175.470001,173.5,174.970001,1077900,174.706919
2013-09-03,177.089996,180.990005,175.919998,179.800003,1405300,179.529658
2013-09-04,179.710007,182.699997,178.520004,182.0,1044400,181.726347
2013-09-05,182.169998,184.699997,181.360001,182.0,1076000,181.726347
2013-09-06,182.970001,185.240005,180.759995,180.860001,867300,180.588062
2013-09-09,181.889999,183.100006,181.0,182.210007,635900,181.936038
2013-09-10,181.389999,181.919998,178.580002,180.990005,945300,180.717871
2013-09-11,180.860001,186.429993,180.100006,186.360001,997300,186.079792
2013-09-12,186.470001,190.149994,185.460007,186.809998,761000,186.529113
2013-09-13,186.809998,187.809998,183.839996,184.830002,678600,184.552094
2013-09-16,185.0,185.339996,182.970001,185.0,741000,184.721836
2013-09-17,183.479996,185.009995,182.070007,184.600006,880000,184.322444
2013-09-18,184.949997,189.240005,184.279999,187.570007,1214900,187.28798
2013-09-19,187.220001,189.330002,184.929993,185.809998,809100,185.530616
2013-09-20,185.809998,185.949997,181.779999,182.740005,1218900,182.46524
2013-09-23,179.649994,183.589996,179.289993,182.800003,753300,182.525147
2013-09-24,182.820007,186.589996,181.740005,184.550003,822500,184.272516
2013-09-25,185.179993,188.220001,184.110001,186.130005,835700,185.850142
2013-09-26,186.419998,188.610001,184.610001,188.229996,945100,187.987377
2013-09-27,186.5,189.449997,185.380005,188.779999,811900,188.536671
2013-09-30,186.380005,189.520004,184.860001,188.800003,900200,188.556649
2013-10-01,189.339996,195.869995,189.059998,194.460007,1234500,194.209357
2013-10-02,193.0,195.669998,190.509995,195.470001,1242100,195.21805
2013-10-03,195.369995,197.839996,192.169998,197.029999,1569500,196.776037
2013-10-04,197.300003,202.809998,196.910004,201.350006,2351300,201.090476
2013-10-07,198.880005,199.690002,195.940002,196.020004,1332800,195.767344
2013-10-08,196.119995,197.949997,191.509995,192.050003,1570400,191.80246
2013-10-09,192.649994,193.600006,188.199997,190.009995,1749000,189.765081
2013-10-10,192.820007,192.990005,190.860001,192.710007,1235700,192.461613
2013-10-11,191.300003,197.899994,191.25,195.0,1061300,194.748655
2013-10-14,193.0,196.059998,190.669998,195.009995,962900,194.758636
