Date,Open_MCD,High_MCD,Low_MCD,Close_MCD,Volume_MCD,AdjClose_MCD
2013-06-14,98.830002,99.419998,98.230003,98.419998,3351100,89.143676
2013-06-17,99.300003,99.690002,98.300003,98.739998,4884800,89.433515
2013-06-18,98.980003,100.040001,98.949997,99.75,3340100,90.348322
2013-06-19,99.709999,100.07,98.529999,98.809998,3518200,89.496917
2013-06-20,98.370003,98.68,96.620003,96.790001,5550100,87.66731
2013-06-21,97.360001,97.75,96.889999,97.230003,7227000,88.065841
2013-06-24,96.540001,97.709999,96.019997,97.290001,4244500,88.120184
2013-06-25,97.910004,97.989998,97.139999,97.519997,3211300,88.328502
2013-06-26,98.360001,99.139999,98.040001,98.839996,3585500,89.524089
2013-06-27,99.449997,99.82,99.129997,99.650002,4497100,90.257749
2013-06-28,99.510002,100.110001,98.93,99.0,5386400,89.669012
2013-07-01,99.349998,100.300003,99.260002,99.82,4053500,90.411724
2013-07-02,99.82,100.5,99.389999,99.93,3850500,90.511357
2013-07-03,99.949997,100.559998,99.709999,100.349998,1676300,90.89177
2013-07-05,100.690002,100.839996,99.25,99.860001,3933900,90.447955
2013-07-08,100.279999,100.5,99.550003,99.879997,4064300,90.466067
2013-07-09,100.239998,100.370003,99.199997,99.989998,4120100,90.5657
2013-07-10,100.150002,100.360001,99.400002,99.980003,3532400,90.556647
2013-07-11,100.75,100.959999,99.760002,100.790001,4064100,91.290301
2013-07-12,100.589996,101.809998,100.5,101.580002,4766800,92.005842
2013-07-15,101.599998,101.730003,100.699997,100.75,4480700,91.25407
2013-07-16,100.18,101.120003,99.470001,100.879997,4406200,91.371815
2013-07-17,100.050003,100.349998,99.300003,100.099998,5377400,90.665333
2013-07-18,100.480003,100.769997,99.989998,100.18,3401600,90.737794
2013-07-19,100.199997,100.410004,99.529999,100.269997,4508300,90.819308
2013-07-22,97.75,97.93,97.059998,97.580002,13209600,88.382852
2013-07-23,97.550003,97.720001,96.68,96.760002,6989300,87.640139
2013-07-24,97.209999,97.400002,96.300003,96.660004,5197900,87.549566
2013-07-25,96.669998,97.589996,96.559998,97.489998,4208100,88.301331
2013-07-26,97.25,98.080002,96.919998,98.029999,4561600,88.790435
2013-07-29,97.959999,98.029999,97.389999,97.870003,3592500,88.645519
2013-07-30,98.0,98.540001,97.839996,98.370003,4127400,89.098393
2013-07-31,98.32,98.540001,97.629997,98.080002,5343000,88.835726
2013-08-01,98.620003,99.239998,98.32,99.0,3954600,89.669012
2013-08-02,98.809998,99.199997,98.449997,99.199997,3224300,89.850158
2013-08-05,99.010002,99.440002,98.830002,99.309998,3326400,89.949791
2013-08-06,99.330002,99.400002,98.370003,98.690002,3507200,89.388232
2013-08-07,98.599998,98.989998,98.269997,98.330002,3256400,89.062162
2013-08-08,98.639999,98.989998,97.440002,98.040001,4862300,88.799495
2013-08-09,97.900002,98.400002,97.07,97.620003,4041800,88.419082
2013-08-12,97.489998,97.800003,97.0,97.040001,3256800,87.893747
2013-08-13,97.019997,97.099998,96.110001,96.449997,5188300,87.359353
2013-08-14,96.239998,96.370003,95.639999,96.110001,5448700,87.051402
2013-08-15,95.550003,95.910004,95.190002,95.389999,4207500,86.399262
2013-08-16,95.199997,95.5,95.010002,95.029999,3324000,86.073193
2013-08-19,95.120003,95.989998,95.050003,95.480003,3126200,86.480783
2013-08-20,95.510002,95.900002,95.360001,95.5,2827800,86.498895
2013-08-21,95.410004,95.82,95.110001,95.110001,3430600,86.145654
2013-08-22,95.370003,95.690002,95.209999,95.459999,15364400,86.462664
2013-08-23,95.57,95.68,94.910004,95.129997,12274200,86.163766
2013-08-26,95.360001,95.940002,95.099998,95.309998,3060000,86.326801
2013-08-27,94.860001,95.190002,94.010002,94.839996,4513100,85.901098
2013-08-28,95.0,96.330002,95.0,96.080002,5482500,87.02423
2013-08-29,95.650002,95.980003,94.699997,94.860001,4796600,86.613348
2013-08-30,95.0,95.129997,94.139999,94.360001,3993000,86.156815
2013-09-03,95.099998,95.279999,94.120003,94.519997,3672100,86.302902
2013-09-04,94.5,95.360001,94.339996,95.160004,2898800,86.88727
2013-09-05,95.330002,96.459999,95.080002,95.660004,4275300,87.343803
