Date,Open_NSC,High_NSC,Low_NSC,Close_NSC,Volume_NSC,AdjClose_NSC
2013-06-14,76.660004,77.410004,76.129997,76.169998,1924600,70.139416
2013-06-17,76.550003,76.940002,75.93,76.459999,1440900,70.406457
2013-06-18,76.580002,77.330002,76.379997,77.029999,1473600,70.931328
2013-06-19,77.089996,77.379997,75.419998,75.449997,2070500,69.476419
2013-06-20,74.449997,74.690002,73.059998,73.480003,3997900,67.662395
2013-06-21,74.040001,74.040001,72.330002,72.900002,3510900,67.128314
2013-06-24,72.110001,72.129997,70.269997,70.459999,3352000,64.881493
2013-06-25,71.129997,72.589996,70.889999,72.5,2338300,66.759981
2013-06-26,73.260002,74.239998,72.699997,73.349998,2341900,67.542683
2013-06-27,73.919998,74.360001,72.989998,73.489998,2396500,67.671598
2013-06-28,73.300003,73.699997,72.629997,72.650002,3102300,66.898107
2013-07-01,72.989998,73.400002,72.239998,72.610001,2028000,66.861273
2013-07-02,72.470001,73.32,71.790001,72.239998,2011200,66.520564
2013-07-03,72.059998,72.25,71.510002,71.660004,1530100,65.98649
2013-07-05,72.419998,72.779999,71.599998,72.330002,1923200,66.603442
2013-07-08,72.480003,73.309998,72.110001,72.860001,1349000,67.09148
2013-07-09,73.360001,74.550003,73.330002,74.389999,2070800,68.500344
2013-07-10,73.940002,74.07,72.730003,73.419998,2443900,67.607141
2013-07-11,74.599998,75.050003,74.300003,74.940002,1791500,69.006802
2013-07-12,74.529999,75.519997,74.360001,75.199997,1569200,69.246212
2013-07-15,75.120003,75.989998,75.120003,75.629997,1189500,69.642168
2013-07-16,75.68,76.519997,75.360001,76.160004,2041300,70.130213
2013-07-17,76.709999,77.330002,76.209999,76.470001,1704600,70.415667
2013-07-18,76.589996,77.760002,76.260002,77.639999,1704900,71.493033
2013-07-19,77.669998,78.18,77.480003,78.080002,1669500,71.8982
2013-07-22,78.129997,78.199997,77.059998,77.379997,1457900,71.253616
2013-07-23,77.699997,77.699997,76.790001,76.870003,1807300,70.783999
2013-07-24,74.699997,75.980003,72.459999,74.660004,6425000,68.748972
2013-07-25,74.5,74.519997,73.599998,74.07,2469700,68.20568
2013-07-26,73.889999,74.050003,73.190002,73.919998,1457800,68.067554
2013-07-29,73.870003,74.349998,73.629997,73.860001,1168200,68.012307
2013-07-30,74.32,74.5,73.120003,73.550003,1830900,67.726853
2013-07-31,73.480003,73.879997,73.040001,73.160004,1831100,67.847414
2013-08-01,73.959999,76.120003,73.949997,76.0,3025400,70.481181
2013-08-02,75.980003,76.550003,75.300003,75.5,1848500,70.017489
2013-08-05,75.489998,75.639999,74.610001,74.82,1220500,69.386868
2013-08-06,74.489998,74.980003,73.800003,73.93,1511900,68.561496
2013-08-07,73.800003,74.220001,73.370003,74.089996,1346600,68.709874
2013-08-08,74.379997,74.660004,73.889999,74.410004,1317600,69.006644
2013-08-09,74.510002,74.510002,73.57,73.980003,1294800,68.607868
2013-08-12,73.599998,74.400002,73.360001,74.349998,923100,68.950996
2013-08-13,74.269997,74.559998,73.699997,74.290001,1006700,68.895355
2013-08-14,73.889999,74.120003,73.690002,73.769997,1628400,68.413112
2013-08-15,72.949997,73.809998,72.5,73.550003,1634300,68.209093
2013-08-16,73.589996,74.260002,73.349998,74.0,1706200,68.626413
2013-08-19,73.82,73.940002,72.919998,72.949997,1147200,67.652657
2013-08-20,73.099998,73.550003,72.660004,73.019997,1469500,67.717574
2013-08-21,72.980003,73.019997,72.379997,72.519997,1785400,67.253882
2013-08-22,72.669998,73.989998,72.550003,73.75,1055900,68.394567
2013-08-23,73.809998,74.489998,73.419998,74.459999,1215700,69.053009
2013-08-26,74.510002,75.0,74.379997,74.650002,1768300,69.229214
2013-08-27,73.669998,73.970001,72.82,72.889999,1507900,67.597016
2013-08-28,72.82,73.370003,72.169998,73.080002,1090900,67.773221
2013-08-29,72.889999,73.190002,72.57,72.699997,1082300,67.420811
2013-08-30,72.980003,72.980003,71.860001,72.160004,1322300,66.92003
2013-09-03,72.889999,73.379997,71.879997,72.57,1283500,67.300254
2013-09-04,72.639999,74.169998,72.639999,73.940002,1400900,68.570772
2013-09-05,73.879997,74.419998,73.730003,74.129997,1181500,68.74697
2013-09-06,74.129997,75.330002,73.730003,74.389999,1431300,68.988092
2013-09-09,74.809998,75.139999,74.230003,74.970001,1181100,69.525977
2013-09-10,75.510002,76.459999,75.510002,76.339996,1805000,70.796488
2013-09-11,76.339996,76.5,75.550003,76.32,1728600,70.777943
2013-09-12,76.360001,76.400002,75.269997,75.400002,872300,69.924752
2013-09-13,75.400002,75.940002,75.269997,75.639999,890400,70.147322
2013-09-16,76.589996,76.919998,76.309998,76.440002,2170800,70.889232
2013-09-17,76.339996,76.919998,75.910004,76.860001,1381400,71.278732
2013-09-18,76.910004,78.139999,76.489998,77.82,1589500,72.169019
2013-09-19,77.919998,78.5,77.839996,78.169998,1181000,72.493602
2013-09-20,78.410004,78.82,77.519997,77.720001,1762800,72.076282
2013-09-23,77.400002,78.209999,77.370003,78.110001,1496100,72.437962
2013-09-24,78.050003,78.879997,77.43,78.279999,1890500,72.595615
2013-09-25,78.419998,78.910004,77.599998,77.860001,1816700,72.206116
2013-09-26,77.940002,78.400002,77.610001,78.300003,1108500,72.614167
2013-09-27,78.089996,78.349998,77.290001,77.790001,1072100,72.141199
2013-09-30,77.029999,77.739998,76.889999,77.349998,2043300,71.733148
2013-10-01,77.370003,78.769997,77.220001,78.230003,1706200,72.54925
2013-10-02,77.900002,78.540001,77.559998,78.519997,1843100,72.818185
2013-10-03,78.349998,78.400002,76.589996,77.370003,2258500,71.751699
2013-10-04,77.110001,77.580002,76.400002,77.510002,2053700,71.881533
2013-10-07,76.910004,77.599998,76.5,76.82,1513400,71.241635
2013-10-08,76.809998,77.040001,76.080002,76.269997,2100500,70.731571
2013-10-09,76.330002,77.160004,76.199997,76.879997,1665700,71.297276
2013-10-10,77.75,79.160004,77.739998,78.959999,1573100,73.226237
2013-10-11,78.959999,79.25,78.730003,78.75,1321200,73.031487
2013-10-14,78.370003,79.099998,78.199997,79.059998,1152900,73.318974
2013-10-15,78.949997,79.150002,78.470001,78.739998,1785300,73.022211
2013-10-16,79.089996,79.970001,78.559998,79.910004,2504500,74.107256
2013-10-17,78.839996,78.839996,77.459999,78.519997,2665600,72.818185
2013-10-18,79.010002,79.989998,78.940002,79.889999,2288600,74.088704
2013-10-21,79.889999,80.0,79.410004,80.0,1374000,74.190717
2013-10-22,79.660004,80.779999,79.660004,80.599998,2397600,74.747146
2013-10-23,82.360001,86.580002,82.360001,86.059998,5226100,79.810661
2013-10-24,84.709999,87.93,84.519997,87.870003,3359700,81.489231
2013-10-25,87.769997,87.910004,87.169998,87.650002,2289200,81.285205
2013-10-28,87.760002,88.739998,87.5,88.110001,1834500,81.711801
2013-10-29,88.400002,88.989998,87.870003,87.989998,1949400,81.600513
2013-10-30,87.720001,87.860001,86.239998,86.519997,2254100,80.714258
2013-10-31,86.290001,86.849998,85.889999,86.019997,1804900,80.24781
2013-11-01,86.400002,87.339996,86.25,87.0,2027400,81.162052
2013-11-04,87.459999,87.879997,86.510002,86.839996,1651000,81.012785
2013-11-05,86.599998,86.940002,86.260002,86.43,1574400,80.630301
2013-11-06,86.589996,86.93,85.82,86.459999,1839800,80.658287
2013-11-07,86.910004,87.339996,85.230003,85.480003,1763600,79.744052
2013-11-08,85.550003,85.760002,85.0,85.620003,2090600,79.874657
2013-11-11,85.43,86.860001,85.410004,86.360001,1492600,80.564998
2013-11-12,86.309998,86.75,85.919998,86.650002,1511300,80.83554
2013-11-13,86.220001,87.650002,86.029999,87.620003,1382100,81.740451
2013-11-14,87.75,87.860001,87.269997,87.339996,1636500,81.479234
2013-11-15,87.290001,87.620003,86.800003,87.150002,1320400,81.301988
2013-11-18,87.0,87.760002,86.949997,87.230003,1018200,81.376622
2013-11-19,87.269997,87.269997,85.980003,86.300003,1270700,80.509027
2013-11-20,86.510002,86.830002,85.839996,86.050003,1185800,80.275803
