Date,Open_AXP,High_AXP,Low_AXP,Close_AXP,Volume_AXP,AdjClose_AXP
2013-06-14,74.790001,74.980003,72.720001,72.970001,8451000,70.116275
2013-06-17,73.690002,74.209999,73.389999,73.839996,6020900,70.952246
2013-06-18,74.080002,75.470001,74.029999,74.980003,5714700,72.047669
2013-06-19,74.919998,75.099998,74.190002,74.230003,5989300,71.327
2013-06-20,73.760002,74.0,72.809998,72.919998,5656500,70.068227
2013-06-21,73.379997,73.790001,72.370003,73.309998,7547300,70.442974
2013-06-24,72.57,72.839996,71.68,72.010002,6293100,69.193819
2013-06-25,72.629997,73.650002,72.559998,73.230003,4754200,70.366109
2013-06-26,73.639999,74.25,73.330002,73.900002,4894200,71.009904
2013-06-27,74.379997,75.43,74.379997,75.120003,4215300,72.182193
2013-06-28,75.010002,75.330002,74.330002,74.760002,7964400,71.836272
2013-07-01,75.529999,76.459999,75.43,75.639999,5007600,72.681854
2013-07-02,75.43,76.290001,74.300003,74.620003,5041200,71.920441
2013-07-03,74.019997,74.779999,73.910004,74.580002,3007000,71.881887
2013-07-05,75.309998,76.370003,75.120003,76.309998,4501500,73.549296
2013-07-08,76.910004,77.809998,76.849998,77.040001,5106200,74.25289
2013-07-09,77.739998,77.949997,77.080002,77.610001,3915200,74.802268
2013-07-10,77.389999,77.57,75.940002,76.330002,4872200,73.568577
2013-07-11,77.540001,77.620003,76.559998,76.940002,5715000,74.156509
2013-07-12,77.330002,78.449997,77.290001,78.330002,4878200,75.496222
2013-07-15,78.610001,78.629997,77.5,77.849998,4243300,75.033584
2013-07-16,78.089996,78.339996,77.75,78.269997,4637600,75.438387
2013-07-17,75.349998,77.449997,74.620003,76.800003,16305300,74.021574
2013-07-18,75.440002,75.75,73.860001,74.010002,10352300,71.332509
2013-07-19,73.620003,74.739998,73.470001,74.059998,8072500,71.380695
2013-07-22,74.43,75.199997,74.209999,74.720001,5456700,72.016822
2013-07-23,75.029999,75.18,74.360001,74.410004,4113000,71.718039
2013-07-24,74.849998,76.07,74.75,75.360001,6139000,72.633667
2013-07-25,75.059998,75.809998,75.029999,75.769997,4080300,73.028831
2013-07-26,75.5,75.550003,74.410004,75.339996,3537600,72.614387
2013-07-29,75.160004,75.360001,74.330002,75.059998,3249400,72.344518
2013-07-30,75.480003,75.540001,74.830002,75.190002,3762200,72.469819
2013-07-31,75.150002,75.860001,73.470001,73.769997,10320700,71.101186
2013-08-01,74.529999,76.099998,74.510002,75.629997,5981400,72.893896
2013-08-02,75.620003,75.730003,75.0,75.690002,2485400,72.951731
2013-08-05,75.470001,76.040001,75.209999,75.93,2237100,73.183046
2013-08-06,75.870003,76.099998,75.470001,75.809998,2566000,73.067385
2013-08-07,75.459999,75.709999,74.849998,75.139999,3083900,72.421625
2013-08-08,75.790001,77.269997,75.480003,76.190002,3293600,73.433642
2013-08-09,76.18,76.360001,75.010002,75.5,3963600,72.768602
2013-08-12,75.110001,75.610001,74.889999,75.489998,2292600,72.758962
2013-08-13,75.489998,76.440002,74.889999,76.230003,2964900,73.472196
2013-08-14,76.040001,76.43,75.75,75.879997,2945400,73.134852
2013-08-15,75.269997,75.43,74.620003,74.879997,3834400,72.171029
2013-08-16,74.860001,75.349998,74.650002,75.169998,4248200,72.450539
2013-08-19,75.120003,75.209999,74.300003,74.339996,3478900,71.650564
2013-08-20,74.410004,74.669998,73.800003,74.269997,2900900,71.583097
2013-08-21,74.010002,74.330002,73.25,73.440002,2983100,70.78313
2013-08-22,73.660004,74.0,73.400002,73.860001,2354900,71.187934
2013-08-23,73.870003,74.0,73.129997,73.650002,2518500,70.985532
2013-08-26,73.760002,74.470001,73.43,73.610001,2372400,70.946978
2013-08-27,72.800003,72.93,71.769997,71.910004,3712600,69.308483
2013-08-28,71.699997,72.339996,71.540001,72.010002,2963200,69.404863
2013-08-29,71.809998,72.620003,71.580002,72.220001,2957100,69.607265
2013-08-30,72.150002,72.239998,71.470001,71.910004,3779500,69.308483
2013-09-03,72.589996,73.410004,72.139999,72.43,3994100,69.809667
2013-09-04,72.519997,73.5,72.230003,73.139999,2913300,70.49398
2013-09-05,73.160004,74.230003,72.889999,73.800003,3600700,71.130107
2013-09-06,73.919998,74.019997,72.400002,73.349998,3369200,70.696382
2013-09-09,73.589996,73.809998,73.150002,73.660004,3189500,70.995172
2013-09-10,74.220001,74.660004,74.0,74.599998,3269100,71.90116
2013-09-11,74.699997,75.220001,74.400002,75.18,3297900,72.460179
2013-09-12,75.290001,75.610001,74.970001,75.290001,2502200,72.5662
2013-09-13,75.580002,75.75,75.07,75.300003,2664400,72.57584
2013-09-16,76.339996,76.43,75.440002,75.599998,4536200,72.864983
2013-09-17,75.599998,77.0,75.599998,76.919998,4047200,74.137228
2013-09-18,76.989998,77.809998,76.540001,77.639999,4136000,74.831182
2013-09-19,77.809998,77.900002,77.150002,77.57,3997600,74.763714
2013-09-20,77.620003,77.889999,77.150002,77.32,10105500,74.522759
2013-09-23,77.290001,77.660004,76.129997,76.440002,4078900,73.674598
2013-09-24,76.389999,76.940002,75.959999,76.07,3020200,73.317981
2013-09-25,76.129997,76.559998,75.620003,75.989998,3090300,73.240873
2013-09-26,76.0,77.0,75.779999,76.32,2927000,73.558936
2013-09-27,76.059998,76.089996,75.43,75.889999,2522500,73.144492
2013-09-30,74.970001,75.849998,74.639999,75.519997,3330500,72.787875
2013-10-01,75.639999,76.010002,75.449997,75.93,2969600,73.183046
2013-10-02,75.129997,75.290001,74.169998,74.580002,4363400,72.100285
2013-10-03,74.110001,74.290001,73.300003,74.019997,4364500,71.5589
2013-10-04,73.879997,74.330002,73.610001,74.309998,2883500,71.839258
2013-10-07,73.5,73.529999,72.900002,72.940002,3320300,70.514814
2013-10-08,73.029999,73.099998,72.129997,72.220001,3945800,69.818753
2013-10-09,72.379997,72.709999,72.080002,72.220001,4701500,69.818753
2013-10-10,73.190002,74.669998,73.010002,74.660004,3769900,72.177627
2013-10-11,74.669998,75.440002,74.410004,75.400002,3913900,72.893021
2013-10-14,75.330002,76.110001,75.099998,76.07,3017200,73.540742
2013-10-15,75.629997,76.360001,75.230003,75.25,4113700,72.748007
2013-10-16,75.639999,76.75,75.449997,76.32,6468200,73.78243
2013-10-17,77.940002,80.400002,77.800003,80.230003,10366600,77.56243
2013-10-18,80.110001,80.68,79.309998,80.519997,7598200,77.842781
2013-10-21,80.470001,80.989998,80.309998,80.400002,3691500,77.726775
2013-10-22,80.769997,81.169998,80.43,80.870003,3300000,78.18115
2013-10-23,80.559998,80.82,80.010002,80.629997,2895100,77.949124
2013-10-24,80.769997,81.0,80.449997,80.900002,3181800,78.210151
2013-10-25,80.760002,82.669998,80.760002,82.610001,6291100,79.863294
2013-10-28,82.720001,83.139999,82.029999,82.760002,4566100,80.008308
2013-10-29,83.120003,83.739998,82.93,83.660004,3485200,80.878385
2013-10-30,83.699997,83.830002,82.800003,83.099998,3747800,80.337
2013-10-31,82.790001,82.989998,81.690002,81.800003,5637700,79.080228
2013-11-01,82.120003,82.639999,81.790001,82.160004,3358900,79.428259
2013-11-04,82.410004,82.639999,81.75,81.93,2643600,79.205903
2013-11-05,81.629997,82.129997,81.089996,81.900002,2591400,79.176902
2013-11-06,82.550003,82.599998,81.82,82.120003,2636900,79.389588
2013-11-07,82.330002,82.599998,80.879997,80.919998,3485800,78.229483
2013-11-08,81.309998,81.949997,81.080002,81.779999,4369500,79.060889
2013-11-11,81.589996,81.68,81.190002,81.400002,2224200,78.693526
2013-11-12,81.230003,81.349998,80.580002,81.029999,2237200,78.335826
2013-11-13,80.57,81.470001,80.220001,81.440002,2828200,78.732197
2013-11-14,81.610001,81.910004,81.349998,81.889999,2284100,79.167232
2013-11-15,83.029999,83.260002,82.370003,82.800003,4439700,80.046979
2013-11-18,82.849998,82.980003,82.160004,82.339996,3104800,79.602267
2013-11-19,82.379997,82.879997,82.269997,82.459999,2775000,79.71828
