Date,Open_FL,High_FL,Low_FL,Close_FL,Volume_FL,AdjClose_FL
2013-06-14,34.389999,35.080002,34.349998,34.77,2172500,32.948869
2013-06-17,35.0,35.189999,34.540001,34.66,1535400,32.84463
2013-06-18,34.75,35.459999,34.720001,35.41,2673700,33.555348
2013-06-19,35.450001,36.029999,35.369999,35.5,2819300,33.640634
2013-06-20,35.27,35.34,34.77,34.950001,3065200,33.119442
2013-06-21,35.099998,35.259998,34.709999,34.98,3149600,33.147869
2013-06-24,34.669998,34.709999,34.02,34.360001,1691600,32.560344
2013-06-25,34.66,34.849998,34.52,34.57,1810800,32.759344
2013-06-26,34.900002,34.900002,33.529999,33.900002,3561100,32.124438
2013-06-27,34.189999,34.43,34.040001,34.25,2410100,32.456105
2013-06-28,34.259998,35.369999,34.25,35.130001,3350600,33.290014
2013-07-01,35.490002,36.009998,35.259998,35.360001,2102400,33.507967
2013-07-02,35.400002,36.02,35.34,35.689999,1846800,33.820681
2013-07-03,35.549999,35.75,35.23,35.439999,536400,33.583775
2013-07-05,35.73,35.91,35.240002,35.759998,1158400,33.887014
2013-07-08,35.720001,37.029999,35.720001,36.66,2835900,34.739877
2013-07-09,36.740002,36.849998,36.5,36.599998,1746800,34.683018
2013-07-10,36.68,37.029999,36.490002,36.75,1993000,34.825163
2013-07-11,37.209999,37.240002,36.5,36.779999,2115900,34.853591
2013-07-12,36.830002,37.18,36.799999,37.049999,1832500,35.10945
2013-07-15,37.279999,37.700001,37.040001,37.110001,1703700,35.166308
2013-07-16,37.150002,37.220001,36.279999,36.41,2125800,34.502971
2013-07-17,36.419998,36.610001,36.099998,36.23,1093800,34.522029
2013-07-18,36.389999,36.939999,36.330002,36.580002,1324100,34.855531
2013-07-19,36.5,36.830002,36.41,36.490002,855000,34.769774
2013-07-22,36.580002,36.82,36.5,36.59,915300,34.865058
2013-07-23,36.599998,36.880001,36.32,36.34,2059800,34.626844
2013-07-24,36.470001,36.59,35.470001,35.650002,2468700,33.969373
2013-07-25,35.630001,36.099998,35.549999,36.07,1583500,34.369572
2013-07-26,36.0,36.459999,35.91,36.27,1148400,34.560144
2013-07-29,36.130001,36.529999,36.119999,36.330002,1575700,34.617317
2013-07-30,36.490002,36.580002,36.130001,36.470001,1113100,34.750716
2013-07-31,36.560001,36.84,35.91,36.130001,1581000,34.426744
2013-08-01,36.419998,37.43,36.169998,37.259998,2307500,35.503471
2013-08-02,37.169998,37.419998,36.779999,37.310001,1239600,35.551117
2013-08-05,37.369999,37.849998,37.27,37.610001,1500600,35.836973
2013-08-06,37.23,37.23,34.919998,35.630001,6548500,33.950316
2013-08-07,35.700001,35.990002,35.360001,35.84,3222100,34.150415
2013-08-08,35.740002,36.200001,35.619999,35.669998,3079800,33.988427
2013-08-09,35.0,35.400002,34.060001,34.52,4550800,32.892643
2013-08-12,34.5,35.139999,34.380001,34.970001,1754000,33.32143
2013-08-13,34.98,35.029999,34.549999,34.939999,1530900,33.292842
