Date,Open_DNB,High_DNB,Low_DNB,Close_DNB,Volume_DNB,AdjClose_DNB
2013-06-14,99.690002,99.82,98.389999,98.760002,293000,94.098257
2013-06-17,99.370003,99.93,98.370003,99.019997,308800,94.345979
2013-06-18,99.010002,99.769997,98.620003,99.330002,347000,94.641351
2013-06-19,99.089996,99.379997,97.830002,97.849998,211900,93.231208
2013-06-20,97.110001,97.360001,95.870003,96.300003,477500,91.754377
2013-06-21,96.790001,96.889999,94.550003,95.690002,514200,91.17317
2013-06-24,95.010002,95.010002,93.809998,94.309998,353800,89.858305
2013-06-25,95.18,95.5,94.339996,95.07,353300,90.582433
2013-06-26,95.989998,96.870003,95.660004,96.199997,332900,91.659091
2013-06-27,96.779999,98.110001,96.330002,97.75,254400,93.13593
2013-06-28,97.650002,98.510002,96.989998,97.449997,395600,92.850088
2013-07-01,97.970001,99.449997,97.75,98.230003,389300,93.593276
2013-07-02,98.010002,98.57,97.690002,98.25,616300,93.612328
2013-07-03,97.699997,98.610001,97.699997,98.0,166400,93.374129
2013-07-05,98.739998,99.290001,97.669998,99.220001,255100,94.536543
2013-07-08,99.809998,101.160004,99.400002,101.029999,929300,96.261103
2013-07-09,101.589996,103.080002,101.559998,102.919998,494500,98.06189
2013-07-10,102.699997,105.400002,102.699997,105.0,575200,100.04371
2013-07-11,106.099998,108.110001,106.080002,107.790001,682700,102.702015
2013-07-12,107.790001,108.25,106.809998,107.589996,398800,102.511451
2013-07-15,107.510002,108.029999,106.57,106.669998,617100,101.634879
2013-07-16,106.68,107.169998,105.959999,106.220001,381500,101.206123
2013-07-17,106.459999,107.300003,105.870003,105.970001,358000,100.967924
2013-07-18,106.18,107.800003,106.18,106.760002,342800,101.720635
2013-07-19,106.720001,107.300003,105.940002,107.0,273300,101.949304
2013-07-22,106.989998,107.769997,106.5,106.559998,244100,101.530071
2013-07-23,106.75,107.589996,106.529999,106.980003,356200,101.930251
2013-07-24,107.449997,107.93,106.269997,106.480003,282300,101.453853
2013-07-25,106.400002,107.080002,106.099998,106.75,488400,101.711105
2013-07-26,106.459999,112.099998,102.970001,103.120003,752700,98.252453
2013-07-29,102.849998,104.389999,102.629997,102.75,632700,97.899916
2013-07-30,103.07,103.370003,102.300003,102.690002,383700,97.84275
2013-07-31,102.779999,104.419998,102.290001,103.629997,599200,98.738375
2013-08-01,104.739998,107.610001,104.199997,105.989998,481400,100.986977
2013-08-02,105.779999,107.150002,105.739998,107.040001,231200,101.987417
2013-08-05,106.980003,107.830002,106.529999,106.959999,370200,101.911191
2013-08-06,106.790001,106.980003,105.169998,105.809998,242200,100.815473
2013-08-07,105.360001,105.629997,103.519997,104.93,364400,99.977014
2013-08-08,105.599998,107.269997,105.169998,107.089996,306000,102.035052
2013-08-09,106.970001,107.699997,106.540001,107.110001,308100,102.054112
2013-08-12,106.410004,107.440002,106.32,106.5,226700,101.472905
2013-08-13,106.760002,108.139999,106.559998,107.610001,294200,102.530511
2013-08-14,107.559998,108.120003,105.459999,105.480003,294600,100.501055
2013-08-15,104.5,104.949997,101.860001,102.809998,380100,97.957081
2013-08-16,103.209999,103.260002,101.959999,102.279999,297500,97.4521
