Date,Open_AWK,High_AWK,Low_AWK,Close_AWK,Volume_AWK,AdjClose_AWK
2015-06-08,51.18,51.43,50.889999,51.080002,1019000,49.932737
2015-06-09,51.139999,51.59,50.869999,51.0,995000,49.854532
2015-06-10,51.060001,51.41,50.73,50.759998,1060700,49.619921
2015-06-11,50.860001,51.099998,50.619999,50.93,990800,49.786104
2015-06-12,50.75,50.880001,50.419998,50.5,647300,49.365762
2015-06-15,50.419998,50.57,49.400002,49.720001,1319800,48.603282
2015-06-16,49.57,49.939999,49.150002,49.349998,1710900,48.241589
2015-06-17,49.439999,49.91,49.310001,49.57,1254700,48.456649
2015-06-18,49.639999,50.619999,49.560001,50.450001,1191300,49.316886
2015-06-19,50.860001,50.889999,50.299999,50.310001,1358000,49.180031
2015-06-22,50.529999,50.790001,50.029999,50.279999,1012300,49.150702
2015-06-23,50.419998,50.5,49.75,50.02,1008400,48.896543
2015-06-24,49.82,50.080002,49.57,49.700001,798800,48.583731
2015-06-25,49.889999,49.919998,49.290001,49.369999,672200,48.261141
2015-06-26,49.400002,49.73,49.150002,49.700001,675000,48.583731
2015-06-29,49.27,49.73,48.900002,48.93,781900,47.831025
2015-06-30,49.240002,49.419998,48.360001,48.630001,1375700,47.537763
2015-07-01,48.77,49.279999,48.52,49.169998,812600,48.065632
2015-07-02,49.540001,49.869999,49.509998,49.849998,698700,48.730359
2015-07-06,49.779999,50.209999,49.68,50.209999,1562700,49.082274
2015-07-07,50.25,51.240002,50.23,51.080002,1176000,49.932737
2015-07-08,50.900002,51.279999,50.57,51.18,922700,50.030489
2015-07-09,51.43,51.439999,50.009998,50.18,1437500,49.052949
2015-07-10,50.290001,51.060001,50.009998,50.790001,834300,49.649249
2015-07-13,51.07,51.32,50.709999,50.990002,595500,49.844758
2015-07-14,51.23,51.439999,50.970001,51.189999,710700,50.040263
2015-07-15,51.220001,51.279999,50.919998,51.25,597900,50.098917
2015-07-16,51.439999,51.939999,51.200001,51.779999,560500,50.617012
2015-07-17,51.84,51.91,51.310001,51.310001,695300,50.15757
2015-07-20,51.310001,51.599998,51.0,51.360001,617700,50.206447
2015-07-21,51.290001,51.41,50.630001,50.759998,592600,49.619921
2015-07-22,50.630001,51.34,50.630001,51.139999,550500,49.991387
2015-07-23,51.110001,51.34,50.240002,50.439999,643400,49.307108
2015-07-24,50.459999,51.040001,50.43,50.939999,603400,49.795878
2015-07-27,50.889999,51.720001,50.779999,51.610001,794700,50.450832
2015-07-28,51.509998,51.740002,51.080002,51.48,747000,50.32375
2015-07-29,51.369999,51.740002,51.139999,51.709999,518200,50.548584
2015-07-30,51.57,51.970001,51.439999,51.59,537400,50.43128
2015-07-31,51.959999,52.439999,51.630001,51.91,523900,50.744093
2015-08-03,51.919998,52.43,51.84,52.080002,684700,50.910277
