Date,Open_DLPH,High_DLPH,Low_DLPH,Close_DLPH,Volume_DLPH,AdjClose_DLPH
2013-06-14,51.049999,51.279999,50.830002,51.220001,1576200,49.280667
2013-06-17,51.900002,51.900002,50.720001,51.209999,1861600,49.271043
2013-06-18,51.900002,52.0,51.34,51.93,2240900,49.963783
2013-06-19,52.060001,52.459999,51.91,52.09,2443900,50.117725
2013-06-20,51.380001,51.459999,50.049999,50.25,2340100,48.347392
2013-06-21,50.830002,50.830002,49.040001,49.689999,2965600,47.808594
2013-06-24,49.16,49.16,47.400002,48.169998,2112400,46.346145
2013-06-25,48.689999,49.130001,48.610001,49.009998,1508700,47.154341
2013-06-26,49.52,50.740002,49.099998,50.599998,1647800,48.684139
2013-06-27,50.860001,51.509998,50.700001,51.0,1397000,49.068995
2013-06-28,51.0,51.25,50.669998,50.689999,3094800,48.770731
2013-07-01,51.119999,52.34,51.119999,51.959999,1416800,49.992646
2013-07-02,52.150002,52.279999,51.59,51.93,1200300,49.963783
2013-07-03,51.529999,51.650002,51.349998,51.619999,619400,49.665519
2013-07-05,52.200001,52.59,51.830002,52.419998,1246800,50.435228
2013-07-08,53.080002,53.849998,53.080002,53.630001,2049500,51.599417
2013-07-09,54.130001,54.25,53.400002,53.779999,2289600,51.743735
2013-07-10,53.759998,53.93,53.48,53.779999,1742900,51.743735
2013-07-11,54.380001,54.810001,54.040001,54.77,5653900,52.696253
2013-07-12,54.509998,54.959999,54.509998,54.93,1185800,52.850195
2013-07-15,55.07,55.369999,54.869999,55.0,1513900,52.917544
2013-07-16,54.189999,54.509998,53.650002,54.0,2273400,51.955407
2013-07-17,54.330002,54.68,54.25,54.439999,1337400,52.378746
2013-07-18,54.75,55.220001,54.509998,55.09,1759900,53.004136
2013-07-19,55.150002,55.23,54.630001,54.950001,1169400,52.869438
2013-07-22,55.169998,55.400002,54.799999,55.099998,1504200,53.013756
2013-07-23,55.360001,55.66,54.599998,54.630001,1241200,52.561554
2013-07-24,55.060001,55.580002,54.950001,55.490002,2259400,53.388993
2013-07-25,55.220001,55.650002,54.939999,55.529999,1200300,53.427475
2013-07-26,55.290001,55.799999,55.279999,55.720001,1498600,53.610284
2013-07-29,55.439999,55.790001,55.080002,55.200001,757400,53.109972
2013-07-30,55.560001,55.75,54.91,55.32,1482900,53.225428
2013-07-31,54.630001,54.98,53.259998,53.720001,4051200,51.68601
2013-08-01,54.369999,55.900002,54.209999,55.43,4126400,53.331263
2013-08-02,55.25,55.950001,55.09,55.849998,1623100,53.735359
2013-08-05,55.75,56.029999,55.599998,55.91,1033900,53.793089
2013-08-06,55.860001,56.18,55.490002,55.630001,1394900,53.523691
2013-08-07,55.450001,55.509998,54.59,54.91,1049600,52.830951
2013-08-08,55.189999,55.810001,55.169998,55.549999,1526100,53.446719
2013-08-09,55.889999,56.41,55.360001,55.560001,1394800,53.456342
2013-08-12,55.349998,55.889999,55.110001,55.68,1208000,53.571798
2013-08-13,55.880001,56.810001,55.450001,56.799999,1412000,54.64939
2013-08-14,56.93,56.93,55.52,55.549999,1748200,53.607162
2013-08-15,54.919998,55.009998,53.720001,54.200001,1570500,52.304379
2013-08-16,53.860001,55.509998,53.84,54.959999,1658600,53.037796
2013-08-19,54.950001,55.169998,54.59,54.709999,936500,52.79654
2013-08-20,54.73,54.959999,54.34,54.73,1428300,52.815841
2013-08-21,54.57,55.150002,54.389999,54.43,904400,52.526334
2013-08-22,54.5,55.18,54.48,54.720001,998200,52.806192
2013-08-23,54.830002,55.950001,54.799999,55.560001,1539200,53.616814
2013-08-26,55.57,56.200001,55.43,55.639999,1359000,53.694014
2013-08-27,55.040001,55.040001,53.93,53.93,2090800,52.043821
2013-08-28,53.790001,55.669998,53.07,55.310001,2943800,53.375558
2013-08-29,55.049999,55.790001,54.900002,55.509998,1706900,53.56856
2013-08-30,55.52,55.889999,54.66,55.02,1558800,53.095699
2013-09-03,55.75,56.240002,55.560001,55.98,1499400,54.022123
2013-09-04,56.009998,56.830002,55.299999,56.68,1588100,54.697641
2013-09-05,56.84,58.259998,56.709999,57.470001,2214500,55.460012
2013-09-06,57.5,57.84,56.400002,56.5,1742900,54.523937
2013-09-09,56.560001,57.0,56.509998,56.540001,2397800,54.562538
2013-09-10,57.0,57.720001,57.0,57.400002,1305900,55.392461
2013-09-11,57.389999,57.849998,57.139999,57.650002,1800600,55.633717
2013-09-12,57.560001,57.59,55.959999,56.560001,1674200,54.581839
2013-09-13,56.59,56.91,56.009998,56.900002,1285800,54.909948
2013-09-16,57.799999,57.799999,56.970001,57.02,897500,55.02575
2013-09-17,57.099998,57.369999,56.470001,57.080002,1576400,55.083653
2013-09-18,57.060001,57.869999,56.349998,57.360001,2037700,55.353859
2013-09-19,57.720001,58.380001,57.630001,58.110001,1557200,56.077628
2013-09-20,58.360001,58.599998,57.880001,58.0,2802800,55.971475
2013-09-23,57.709999,57.970001,56.619999,57.310001,1021400,55.305608
2013-09-24,57.200001,58.470001,57.110001,57.98,1429900,55.952174
2013-09-25,58.139999,58.189999,57.419998,57.669998,1147200,55.653014
2013-09-26,57.860001,58.5,57.73,58.369999,809800,56.328533
2013-09-27,58.110001,58.5,57.970001,58.439999,1335600,56.396085
2013-09-30,57.950001,58.5,57.310001,58.419998,2093000,56.376784
2013-10-01,58.700001,59.540001,57.98,58.830002,5519200,56.772448
2013-10-02,58.540001,58.540001,57.599998,58.209999,1535300,56.174129
2013-10-03,57.849998,58.25,56.91,57.540001,2087000,55.527564
2013-10-04,57.580002,58.459999,57.580002,58.009998,3688300,55.981123
2013-10-07,57.470001,58.189999,57.119999,57.77,1139400,55.749519
2013-10-08,57.75,58.0,55.860001,55.880001,2301600,53.925622
2013-10-09,55.959999,56.32,54.630001,55.91,2713600,53.954571
2013-10-10,56.23,57.880001,55.91,57.720001,2036100,55.701269
2013-10-11,57.630001,57.849998,56.959999,57.310001,2197300,55.305608
