Date,Open_BDX,High_BDX,Low_BDX,Close_BDX,Volume_BDX,AdjClose_BDX
2013-06-14,98.419998,99.220001,98.339996,98.639999,677200,93.474668
2013-06-17,99.580002,100.660004,99.099998,100.169998,943400,94.924548
2013-06-18,100.269997,100.559998,99.43,100.400002,478200,95.142507
2013-06-19,100.309998,100.419998,98.739998,98.790001,851900,93.616815
2013-06-20,98.07,98.07,96.050003,96.25,1127600,91.209822
2013-06-21,96.739998,97.550003,95.800003,96.029999,1620700,91.001342
2013-06-24,94.849998,97.760002,94.25,97.690002,1650400,92.574418
2013-06-25,98.599998,98.599998,97.43,98.0,1196000,92.868183
2013-06-26,98.879997,99.870003,98.860001,99.160004,834900,93.967442
2013-06-27,99.639999,99.660004,98.709999,98.75,787200,93.578909
2013-06-28,98.620003,99.190002,98.120003,98.830002,1380500,93.654721
2013-07-01,99.43,99.830002,98.800003,99.25,1216600,94.052726
2013-07-02,99.129997,99.150002,96.82,97.139999,1234900,92.053217
2013-07-03,97.0,98.150002,96.779999,97.800003,577900,92.678659
2013-07-05,98.339996,98.690002,97.699997,98.669998,423400,93.503096
2013-07-08,99.330002,100.309998,99.190002,99.360001,824900,94.156966
2013-07-09,99.75,99.809998,98.68,98.760002,822100,93.588387
2013-07-10,98.870003,99.529999,98.580002,99.099998,739200,93.910579
2013-07-11,100.129997,100.220001,99.199997,100.010002,759300,94.77293
2013-07-12,100.32,102.059998,100.059998,102.010002,1106900,96.668199
2013-07-15,101.900002,102.32,101.529999,102.169998,401300,96.819817
2013-07-16,102.110001,102.610001,101.720001,101.900002,585200,96.563959
2013-07-17,102.139999,102.639999,101.849998,101.959999,499900,96.620815
2013-07-18,101.989998,103.160004,101.900002,102.980003,683200,97.587406
2013-07-19,102.720001,103.989998,102.330002,103.639999,852900,98.212841
2013-07-22,103.43,104.860001,103.32,104.5,692300,99.027807
2013-07-23,104.559998,104.980003,103.889999,104.309998,1142800,98.847754
2013-07-24,104.690002,104.849998,103.470001,103.730003,591700,98.298132
2013-07-25,103.559998,104.059998,103.169998,103.519997,973400,98.099122
2013-07-26,103.199997,103.519997,102.129997,103.25,887900,97.843264
2013-07-29,102.910004,103.300003,102.510002,103.110001,435400,97.710596
2013-07-30,103.519997,103.800003,102.940002,102.989998,782500,97.596877
2013-07-31,103.360001,104.260002,102.940002,103.720001,1716400,98.288653
2013-08-01,104.0,104.0,102.029999,103.110001,2117500,97.710596
2013-08-02,103.330002,103.480003,101.32,101.510002,1570700,96.194382
2013-08-05,101.550003,101.550003,100.690002,100.769997,1480400,95.493127
2013-08-06,101.190002,101.190002,100.0,100.169998,2286600,94.924548
2013-08-07,100.099998,100.150002,99.540001,100.0,911200,94.763452
2013-08-08,100.540001,100.629997,99.839996,100.309998,1196600,95.057216
2013-08-09,100.099998,100.57,99.75,99.940002,856200,94.706596
2013-08-12,99.790001,100.07,99.339996,100.0,695400,94.763452
2013-08-13,99.980003,100.029999,99.120003,99.860001,563900,94.630784
2013-08-14,99.660004,99.889999,99.25,99.529999,636600,94.318062
2013-08-15,99.209999,99.209999,97.75,97.830002,739900,92.707087
2013-08-16,97.440002,97.870003,97.129997,97.349998,790900,92.252219
2013-08-19,97.120003,98.120003,97.120003,97.720001,559000,92.602846
2013-08-20,97.720001,98.370003,97.410004,98.18,711200,93.038757
2013-08-21,97.860001,98.790001,97.779999,98.230003,769900,93.086142
2013-08-22,98.199997,99.150002,97.900002,98.849998,463600,93.673671
2013-08-23,98.959999,99.040001,98.540001,99.019997,549900,93.834767
2013-08-26,99.169998,99.519997,98.800003,99.099998,665500,93.910579
2013-08-27,98.360001,98.360001,97.190002,97.25,684400,92.157457
2013-08-28,97.379997,97.980003,97.169998,97.589996,507700,92.479649
2013-08-29,97.309998,98.089996,97.050003,97.580002,394800,92.470178
2013-08-30,97.599998,97.610001,96.949997,97.379997,494200,92.280647
2013-09-03,98.419998,98.599998,96.730003,97.309998,611500,92.214313
