Date,Open_HOT,High_HOT,Low_HOT,Close_HOT,Volume_HOT,AdjClose_HOT
2013-06-14,66.860001,67.699997,66.07,66.360001,1159600,59.900234
2013-06-17,66.949997,67.379997,66.300003,66.629997,1300000,60.143948
2013-06-18,66.769997,67.309998,66.580002,66.900002,1249500,60.387669
2013-06-19,66.699997,67.160004,65.720001,65.800003,1173500,59.394749
2013-06-20,64.830002,64.830002,62.619999,63.040001,3240900,56.903417
2013-06-21,63.560001,63.720001,61.189999,62.490002,3783500,56.406958
2013-06-24,61.689999,62.259998,60.459999,61.490002,1944200,55.504302
2013-06-25,62.240002,63.099998,62.09,62.830002,1426900,56.713861
2013-06-26,63.459999,63.580002,62.779999,63.189999,2052700,57.038814
2013-06-27,63.720001,64.330002,63.5,63.77,2036200,57.562356
2013-06-28,63.700001,63.93,63.150002,63.189999,2768100,57.038814
2013-07-01,63.889999,64.309998,63.279999,63.77,1513600,57.562356
2013-07-02,63.330002,63.880001,62.560001,62.990002,1552600,56.858285
2013-07-03,62.509998,63.209999,61.919998,62.950001,981200,56.822178
2013-07-05,63.57,65.550003,63.290001,65.400002,1722000,59.033686
2013-07-08,65.75,66.230003,64.970001,65.129997,1540600,58.789965
2013-07-09,65.489998,66.559998,65.279999,66.190002,1433500,59.746784
2013-07-10,66.190002,66.839996,65.809998,66.730003,1263700,60.234219
2013-07-11,67.730003,67.989998,67.120003,67.300003,1476600,60.748733
2013-07-12,67.150002,67.300003,66.389999,66.75,1468000,60.252269
2013-07-15,66.809998,66.900002,66.260002,66.620003,1313700,60.134927
2013-07-16,66.699997,66.870003,66.330002,66.459999,1515500,59.990498
2013-07-17,66.489998,66.75,66.040001,66.169998,1289500,59.728727
2013-07-18,66.419998,67.419998,66.309998,66.879997,1342100,60.369612
2013-07-19,66.849998,66.849998,66.07,66.150002,1284800,59.710677
2013-07-22,66.110001,66.529999,65.849998,66.099998,929800,59.665542
2013-07-23,66.169998,66.519997,65.739998,65.860001,1405400,59.448906
2013-07-24,65.199997,65.400002,63.009998,63.32,4203700,57.15616
2013-07-25,63.240002,66.400002,63.18,66.239998,3483100,59.791913
2013-07-26,65.900002,66.139999,65.160004,65.940002,1237000,59.52112
2013-07-29,65.879997,66.309998,65.309998,65.470001,1344500,59.096871
2013-07-30,65.93,66.489998,65.809998,66.339996,1639000,59.882177
2013-07-31,66.699997,67.410004,66.089996,66.150002,2148900,59.710677
2013-08-01,66.779999,68.370003,66.709999,68.050003,1740700,61.425725
2013-08-02,67.860001,68.690002,67.660004,68.230003,1604500,61.588203
2013-08-05,67.949997,68.400002,67.93,68.370003,1040600,61.714574
2013-08-06,68.400002,69.169998,67.989998,68.110001,1993600,61.479882
2013-08-07,67.900002,68.110001,67.190002,67.199997,1245200,60.658462
2013-08-08,67.400002,67.940002,67.160004,67.620003,1078300,61.037582
2013-08-09,67.449997,67.550003,66.489998,66.650002,1752500,60.162005
2013-08-12,66.190002,66.550003,65.610001,65.919998,1172800,59.503063
2013-08-13,66.110001,66.199997,65.139999,65.989998,1503500,59.566249
2013-08-14,66.040001,66.879997,65.809998,66.349998,1336800,59.891206
2013-08-15,65.949997,65.980003,64.769997,65.199997,1092300,58.85315
2013-08-16,65.0,65.580002,64.449997,64.459999,1550300,58.185187
2013-08-19,64.419998,64.919998,63.970001,63.98,1305800,57.751913
2013-08-20,64.010002,65.029999,63.959999,64.459999,987500,58.185187
2013-08-21,64.300003,65.029999,63.93,64.529999,1196600,58.248373
2013-08-22,64.669998,66.25,64.550003,65.790001,758700,59.385721
2013-08-23,65.900002,66.239998,65.5,65.669998,650300,59.2774
2013-08-26,65.660004,66.370003,65.400002,65.449997,721900,59.078814
2013-08-27,64.370003,64.57,62.990002,63.099998,2362500,56.957575
2013-08-28,62.709999,63.709999,62.400002,63.209999,2060800,57.056867
2013-08-29,62.93,64.43,62.869999,63.970001,1531900,57.742888
2013-08-30,63.939999,64.519997,63.740002,63.939999,1155700,57.715806
2013-09-03,64.82,64.900002,63.959999,64.220001,996700,57.968551
2013-09-04,64.129997,65.870003,63.849998,65.629997,1584000,59.241292
2013-09-05,65.629997,66.32,65.629997,65.889999,1663000,59.475985
2013-09-06,66.019997,66.160004,65.0,65.739998,1716800,59.340585
2013-09-09,65.879997,66.900002,65.879997,66.629997,1119400,60.143948
2013-09-10,66.959999,68.279999,66.809998,67.830002,1733600,61.227139
2013-09-11,68.0,68.889999,67.860001,68.760002,1335600,62.066609
2013-09-12,68.639999,68.800003,67.980003,68.230003,1171900,61.588203
