Date,Open_LEG,High_LEG,Low_LEG,Close_LEG,Volume_LEG,AdjClose_LEG
2016-03-01,45.16,46.32,44.880001,46.09,810900,45.770278
2016-03-02,46.119999,46.740002,45.919998,46.73,1032200,46.405838
2016-03-03,46.619999,47.189999,46.470001,47.150002,457600,46.822926
2016-03-04,47.130001,47.189999,46.549999,47.09,616200,46.763341
2016-03-07,46.919998,47.07,46.580002,46.880001,595200,46.554799
2016-03-08,46.389999,46.66,45.759998,46.200001,827700,45.879516
2016-03-09,46.669998,46.73,46.029999,46.25,647300,45.929168
2016-03-10,46.470001,46.57,45.290001,46.130001,790800,45.810002
2016-03-11,46.200001,46.490002,45.869999,46.43,754200,46.43
2016-03-14,46.310001,46.950001,46.220001,46.75,555000,46.75
2016-03-15,46.560001,46.810001,46.259998,46.490002,565300,46.490002
2016-03-16,46.450001,47.32,46.209999,47.110001,683500,47.110001
2016-03-17,47.110001,48.23,46.970001,48.130001,801400,48.130001
2016-03-18,48.130001,48.450001,47.860001,48.130001,1744000,48.130001
2016-03-21,48.189999,48.189999,47.509998,47.669998,631900,47.669998
2016-03-22,47.41,47.77,47.139999,47.450001,653400,47.450001
2016-03-23,47.52,47.73,47.02,47.049999,977200,47.049999
2016-03-24,46.75,47.200001,46.41,47.189999,636200,47.189999
2016-03-28,47.32,47.740002,47.220001,47.560001,417400,47.560001
2016-03-29,47.43,48.220001,47.139999,48.189999,563200,48.189999
2016-03-30,48.349998,48.349998,47.75,47.950001,444500,47.950001
2016-03-31,48.02,48.5,47.779999,48.400002,839600,48.400002
2016-04-01,48.029999,48.549999,48.029999,48.52,869500,48.52
2016-04-04,48.41,48.93,47.900002,48.029999,1005600,48.029999
2016-04-05,47.939999,48.110001,47.68,47.779999,1100700,47.779999
2016-04-06,47.84,48.73,47.650002,48.68,761300,48.68
2016-04-07,48.549999,49.0,48.189999,48.32,929200,48.32
2016-04-08,48.830002,48.849998,48.299999,48.669998,550300,48.669998
2016-04-11,49.0,49.02,48.549999,48.57,594900,48.57
2016-04-12,48.740002,49.119999,48.470001,48.689999,767500,48.689999
2016-04-13,48.860001,48.98,48.57,48.779999,830700,48.779999
2016-04-14,48.799999,48.98,48.459999,48.75,532700,48.75
2016-04-15,48.73,48.860001,47.970001,48.23,897300,48.23
2016-04-18,48.130001,48.549999,47.75,48.330002,743200,48.330002
2016-04-19,48.369999,48.52,47.349998,47.5,1273700,47.5
2016-04-20,47.599998,48.0,47.310001,47.669998,871600,47.669998
2016-04-21,47.610001,47.880001,47.240002,47.240002,944900,47.240002
2016-04-22,47.290001,47.82,47.110001,47.66,1063700,47.66
2016-04-25,47.689999,48.099998,47.529999,47.919998,729300,47.919998
2016-04-26,48.080002,48.580002,47.790001,48.52,719600,48.52
2016-04-27,48.830002,48.869999,47.830002,48.59,708100,48.59
2016-04-28,48.200001,48.450001,47.509998,47.689999,921700,47.689999
2016-04-29,48.400002,49.459999,47.529999,49.290001,2565200,49.290001
2016-05-02,49.5,50.009998,49.220001,49.830002,1441900,49.830002
2016-05-03,49.48,49.779999,48.900002,49.66,1380600,49.66
2016-05-04,49.529999,49.59,48.799999,49.23,961800,49.23
2016-05-05,49.189999,49.509998,48.869999,48.939999,704600,48.939999
2016-05-06,48.880001,49.259998,48.720001,49.09,821700,49.09
2016-05-09,49.139999,49.639999,49.029999,49.59,1198000,49.59
2016-05-10,49.700001,50.459999,49.639999,49.75,823900,49.75
2016-05-11,49.599998,49.77,49.0,49.07,589300,49.07
2016-05-12,49.360001,49.560001,49.139999,49.43,492500,49.43
2016-05-13,49.25,49.48,48.709999,48.810001,749300,48.810001
2016-05-16,48.900002,49.299999,48.84,49.09,746300,49.09
2016-05-17,48.939999,49.220001,48.439999,48.540001,868100,48.540001
2016-05-18,48.450001,49.060001,48.200001,48.509998,677800,48.509998
2016-05-19,48.27,48.630001,47.950001,48.52,460500,48.52
2016-05-20,48.869999,48.939999,48.43,48.860001,497100,48.860001
2016-05-23,48.799999,48.93,48.630001,48.779999,372000,48.779999
2016-05-24,49.040001,50.0,48.990002,49.889999,572300,49.889999
2016-05-25,49.849998,50.23,49.490002,49.509998,486400,49.509998
2016-05-26,49.59,49.720001,49.279999,49.389999,413000,49.389999
2016-05-27,49.259998,49.900002,49.259998,49.790001,445600,49.790001
2016-05-31,49.740002,50.32,49.5,50.259998,1156600,50.259998
2016-06-01,50.080002,50.66,49.799999,50.630001,1053700,50.630001
2016-06-02,50.529999,51.02,50.389999,51.009998,959600,51.009998
2016-06-03,50.75,51.0,50.150002,50.259998,764100,50.259998
