Date,Open_EOG,High_EOG,Low_EOG,Close_EOG,Volume_EOG,AdjClose_EOG
2013-06-14,133.610001,133.610001,131.130005,131.740005,2687800,64.54304
2013-06-17,133.199997,134.339996,132.160004,133.330002,2379400,65.322023
2013-06-18,133.5,135.960007,133.139999,135.020004,2800400,66.150001
2013-06-19,134.970001,137.990005,134.779999,135.589996,3409000,66.429256
2013-06-20,133.720001,133.889999,129.789993,130.990005,4397600,64.175594
2013-06-21,132.240005,132.399994,128.570007,130.399994,4786600,63.886531
2013-06-24,128.889999,129.460007,124.529999,127.410004,3962200,62.421653
2013-06-25,129.020004,131.100006,128.220001,130.149994,3441000,63.76405
2013-06-26,131.190002,132.550003,129.529999,131.850006,2504600,64.596932
2013-06-27,133.160004,134.080002,130.720001,131.009995,3610800,64.185387
2013-06-28,130.429993,132.990005,130.020004,131.679993,3424400,64.513638
2013-07-01,133.789993,136.429993,133.240005,135.309998,3230400,66.292077
2013-07-02,135.240005,139.270004,135.240005,137.880005,4339200,67.551194
2013-07-03,138.0,138.5,136.809998,138.179993,1707400,67.698166
2013-07-05,139.059998,140.639999,138.630005,140.399994,2281000,68.785806
2013-07-08,141.5,142.529999,139.009995,139.759995,3429400,68.472252
2013-07-09,140.949997,142.470001,140.389999,142.220001,3547400,69.677477
2013-07-10,142.690002,143.679993,141.630005,142.270004,3534000,69.701975
2013-07-11,144.0,146.789993,142.889999,143.550003,5601400,70.329081
2013-07-12,143.100006,144.770004,141.910004,144.710007,3772200,70.897399
2013-07-15,144.630005,145.619995,142.589996,143.539993,3459200,70.415659
2013-07-16,143.779999,145.539993,143.75,144.559998,3735400,70.916037
2013-07-17,145.050003,146.419998,144.649994,145.830002,2746000,71.539056
2013-07-18,146.419998,148.270004,146.220001,147.0,3070600,72.113016
2013-07-19,147.809998,148.699997,146.509995,148.669998,2742200,72.932258
2013-07-22,148.630005,150.050003,147.539993,149.490005,3240800,73.334525
2013-07-23,149.619995,149.979996,148.009995,148.639999,3264600,72.917542
2013-07-24,149.089996,149.139999,143.160004,144.070007,6075800,70.675665
2013-07-25,144.070007,147.399994,144.0,147.369995,3925000,72.294522
2013-07-26,146.240005,146.720001,144.240005,145.740005,2974400,71.494907
2013-07-29,145.320007,145.520004,143.869995,144.710007,1627400,70.989626
2013-07-30,145.050003,145.779999,141.550003,144.100006,3268400,70.690381
2013-07-31,144.619995,148.169998,144.619995,145.490005,3469400,71.372266
2013-08-01,147.570007,152.910004,147.570007,152.070007,3991600,74.600183
2013-08-02,150.759995,153.210007,150.25,153.029999,2813200,75.071121
2013-08-05,152.940002,155.039993,152.149994,154.179993,3574000,75.635267
2013-08-06,154.100006,154.910004,151.309998,153.220001,4948800,75.164329
2013-08-07,160.309998,161.470001,155.289993,156.220001,9410200,76.636023
2013-08-08,157.860001,160.25,156.309998,158.580002,4722600,77.793756
2013-08-09,158.660004,159.970001,158.0,158.839996,3664400,77.921301
2013-08-12,158.160004,160.449997,157.460007,158.759995,4004400,77.882054
2013-08-13,159.0,159.149994,156.759995,158.240005,2282600,77.626966
2013-08-14,158.119995,158.899994,156.119995,156.399994,2548200,76.724321
2013-08-15,155.539993,157.779999,154.289993,156.589996,2551400,76.81753
2013-08-16,155.529999,156.889999,154.309998,155.490005,2502000,76.277913
2013-08-19,155.520004,156.119995,152.539993,152.690002,2752800,74.90433
2013-08-20,152.699997,155.889999,152.160004,154.619995,2395400,75.851117
2013-08-21,154.369995,154.369995,151.389999,151.839996,2361200,74.487347
2013-08-22,152.729996,155.360001,152.449997,154.399994,1463000,75.743192
2013-08-23,154.399994,156.789993,153.539993,156.619995,2084200,76.832246
2013-08-26,157.259995,159.610001,156.830002,157.110001,2204200,77.072626
2013-08-27,156.160004,158.559998,156.0,156.289993,2267600,76.670359
2013-08-28,156.940002,161.320007,156.830002,159.460007,3517800,78.225456
2013-08-29,158.729996,159.300003,156.679993,157.089996,1990800,77.062812
2013-08-30,157.5,158.320007,156.289993,157.050003,2166200,77.043193
2013-09-03,159.460007,160.490005,157.050003,158.429993,2207600,77.720167
2013-09-04,157.490005,161.009995,157.490005,160.529999,2611800,78.750356
2013-09-05,161.220001,162.619995,160.949997,161.429993,1967800,79.191861
2013-09-06,162.570007,164.330002,160.580002,161.720001,3772400,79.334129
2013-09-09,163.100006,164.0,162.169998,163.649994,3747000,80.280916
2013-09-10,163.5,164.720001,160.929993,163.5,3420600,80.207334
2013-09-11,163.449997,167.369995,162.839996,167.149994,3613400,81.997892
2013-09-12,167.539993,168.770004,167.0,167.990005,3130200,82.409972
2013-09-13,167.75,168.139999,166.100006,166.440002,2089400,81.649595
2013-09-16,167.539993,167.990005,165.080002,165.800003,2466600,81.335634
2013-09-17,166.509995,168.360001,165.789993,167.770004,2069800,82.302047
2013-09-18,167.259995,172.360001,167.199997,171.789993,2870200,84.274112
2013-09-19,172.100006,172.809998,169.350006,170.729996,2122000,83.754115
2013-09-20,170.5,171.529999,168.529999,168.869995,3677400,82.841664
2013-09-23,168.570007,169.710007,168.110001,168.860001,2652000,82.836761
2013-09-24,169.410004,173.919998,168.619995,172.089996,4233600,84.421283
2013-09-25,172.089996,173.289993,170.729996,171.380005,3507400,84.072986
2013-09-26,171.720001,172.169998,169.820007,172.089996,1933600,84.421283
2013-09-27,171.229996,171.660004,169.800003,170.729996,1660600,83.754115
