Date,Open_DO,High_DO,Low_DO,Close_DO,Volume_DO,AdjClose_DO
2013-06-14,68.0,68.0,66.690002,67.160004,716400,59.438584
2013-06-17,67.589996,68.529999,67.529999,68.209999,565700,60.367861
2013-06-18,68.339996,68.82,68.260002,68.529999,591400,60.65107
2013-06-19,68.610001,68.940002,67.800003,67.809998,815100,60.013848
2013-06-20,66.739998,67.160004,65.610001,66.5,1220900,58.854461
2013-06-21,67.029999,67.440002,66.32,66.910004,1329200,59.217327
2013-06-24,66.330002,66.860001,64.889999,66.220001,1189600,58.606654
2013-06-25,66.959999,67.410004,66.639999,67.139999,794000,59.42088
2013-06-26,67.629997,67.870003,66.690002,67.610001,1110200,59.836845
2013-06-27,68.07,68.830002,67.870003,68.639999,992200,60.748424
2013-06-28,68.580002,68.989998,68.25,68.790001,1315100,60.88118
2013-07-01,69.059998,69.5,68.529999,68.779999,756400,60.872328
2013-07-02,68.769997,69.32,68.059998,68.370003,842900,60.509469
2013-07-03,68.360001,68.360001,67.620003,67.900002,443500,60.093504
2013-07-05,68.220001,69.43,68.07,69.25,578900,61.288293
2013-07-08,69.5,69.919998,69.360001,69.529999,745600,61.5361
2013-07-09,70.0,70.449997,69.550003,70.040001,1201200,61.987467
2013-07-10,70.339996,70.769997,69.889999,70.010002,879800,61.960917
2013-07-11,71.099998,71.599998,69.900002,71.040001,2316100,62.872496
2013-07-12,71.110001,72.160004,70.959999,72.110001,1738400,63.819477
2013-07-15,72.139999,72.779999,71.830002,71.989998,846900,63.713271
2013-07-16,71.849998,71.910004,70.25,70.550003,1623100,62.438834
2013-07-17,70.989998,71.629997,70.889999,71.07,1059200,62.899046
2013-07-18,71.5,72.389999,71.269997,72.239998,859500,63.934529
2013-07-19,72.400002,72.669998,71.82,72.650002,695000,64.297394
2013-07-22,72.75,73.0,72.059998,72.199997,501900,63.899127
2013-07-23,72.470001,72.889999,71.940002,72.150002,904700,63.854879
2013-07-24,72.410004,72.550003,71.120003,71.5,940200,63.279609
2013-07-25,70.459999,70.459999,68.169998,69.290001,2275200,61.323695
2013-07-26,68.620003,68.900002,67.269997,67.93,1499800,60.120054
