Date,Open_LMT,High_LMT,Low_LMT,Close_LMT,Volume_LMT,AdjClose_LMT
2013-06-14,107.75,108.459999,107.209999,107.699997,1053100,97.933363
2013-06-17,108.25,109.25,107.739998,108.269997,1144300,98.451673
2013-06-18,108.580002,109.260002,108.32,108.849998,1656600,98.979078
2013-06-19,108.760002,109.089996,106.900002,106.93,1566000,97.233192
2013-06-20,106.260002,106.93,105.0,105.040001,2591400,95.514585
2013-06-21,105.5,106.129997,105.0,105.059998,2836100,95.532768
2013-06-24,104.709999,104.919998,103.510002,103.830002,1419200,94.414313
2013-06-25,104.5,104.610001,103.540001,103.669998,1467900,94.268819
2013-06-26,104.5,105.910004,104.360001,105.769997,1666600,96.178382
2013-06-27,106.150002,107.629997,106.010002,107.360001,2536000,97.624199
2013-06-28,107.110001,108.860001,107.110001,108.459999,2717300,98.624445
2013-07-01,108.459999,108.849998,107.889999,108.059998,1509100,98.260717
2013-07-02,107.959999,107.959999,105.940002,106.400002,1587000,96.751256
2013-07-03,106.290001,107.379997,105.540001,107.199997,651600,97.478705
2013-07-05,107.580002,108.669998,107.370003,108.660004,731800,98.806313
2013-07-08,109.050003,109.389999,108.720001,109.169998,1102500,99.270059
2013-07-09,109.730003,110.309998,109.150002,109.57,1150900,99.633787
2013-07-10,109.620003,111.68,109.480003,111.519997,1397000,101.406951
2013-07-11,112.379997,113.160004,112.019997,113.099998,1118300,102.843672
2013-07-12,113.120003,113.57,111.779999,112.529999,1459400,102.325362
2013-07-15,112.75,114.370003,112.459999,114.370003,1446000,103.998508
2013-07-16,114.330002,114.510002,112.57,112.599998,1274500,102.389014
2013-07-17,112.989998,114.080002,112.900002,114.080002,1130600,103.734805
2013-07-18,114.18,115.389999,114.07,115.389999,1058200,104.926007
2013-07-19,114.980003,115.629997,114.690002,115.550003,1713900,105.071501
2013-07-22,115.800003,115.900002,115.18,115.650002,1129200,105.162432
2013-07-23,118.199997,119.610001,117.010002,117.919998,2643500,107.226577
2013-07-24,118.57,120.379997,118.230003,119.120003,2220700,108.31776
2013-07-25,117.599998,119.519997,117.300003,119.5,2833300,108.663298
2013-07-26,119.0,120.050003,118.809998,120.0,1675800,109.117956
2013-07-29,118.82,120.389999,118.809998,119.989998,1726900,109.108861
