Date,Open_UAL,High_UAL,Low_UAL,Close_UAL,Volume_UAL,AdjClose_UAL
2015-06-08,53.48,53.599998,51.029999,51.73,9231900,51.73
2015-06-09,50.349998,52.900002,49.849998,52.580002,12212200,52.580002
2015-06-10,52.32,53.099998,51.470001,52.419998,6406700,52.419998
2015-06-11,52.91,53.529999,52.330002,52.5,3370900,52.5
2015-06-12,52.0,53.369999,52.0,52.869999,4097900,52.869999
2015-06-15,52.490002,53.009998,51.869999,52.25,3199400,52.25
2015-06-16,52.25,52.560001,50.849998,51.23,4767500,51.23
2015-06-17,51.200001,51.84,50.689999,51.32,3712200,51.32
2015-06-18,51.43,52.080002,51.009998,52.009998,4278600,52.009998
2015-06-19,52.639999,53.959999,52.400002,53.25,5680000,53.25
2015-06-22,54.580002,55.18,53.84,54.799999,6806400,54.799999
2015-06-23,55.84,56.27,54.700001,55.23,5349400,55.23
2015-06-24,55.119999,55.849998,54.299999,54.459999,3987600,54.459999
2015-06-25,54.900002,55.400002,54.369999,54.939999,4182400,54.939999
2015-06-26,55.09,55.400002,54.189999,54.48,4252800,54.48
2015-06-29,53.849998,54.889999,52.509998,52.810001,5279000,52.810001
2015-06-30,53.400002,54.279999,52.990002,53.009998,4621900,53.009998
2015-07-01,54.049999,54.139999,50.099998,51.689999,13075800,51.689999
2015-07-02,51.880001,52.509998,50.98,51.5,5318900,51.5
2015-07-06,52.049999,53.950001,52.049999,53.849998,6371500,53.849998
2015-07-07,53.990002,54.490002,52.540001,54.310001,6627700,54.310001
2015-07-08,53.439999,53.720001,52.25,52.82,4619100,52.82
2015-07-09,53.459999,54.119999,53.060001,53.259998,3437800,53.259998
2015-07-10,54.689999,55.689999,54.599998,55.509998,5922600,55.509998
2015-07-13,56.91,57.389999,56.099998,56.389999,4246800,56.389999
2015-07-14,55.959999,56.490002,55.209999,55.73,4517000,55.73
2015-07-15,54.919998,56.220001,53.900002,55.5,6025200,55.5
2015-07-16,55.880001,56.439999,54.98,54.98,5440400,54.98
2015-07-17,55.23,56.700001,55.029999,55.389999,5893900,55.389999
2015-07-20,55.689999,56.099998,54.810001,55.349998,3425400,55.349998
2015-07-21,55.200001,56.299999,55.200001,55.970001,4032900,55.970001
2015-07-22,55.810001,57.41,55.790001,57.07,9298900,57.07
2015-07-23,58.720001,60.0,56.16,56.669998,10259200,56.669998
2015-07-24,57.779999,58.5,56.439999,56.490002,9534000,56.490002
2015-07-27,56.049999,57.240002,55.25,56.810001,5806500,56.810001
2015-07-28,57.080002,58.91,56.75,58.419998,6206400,58.419998
2015-07-29,58.099998,58.419998,56.799999,57.209999,4768100,57.209999
2015-07-30,57.09,57.310001,56.549999,56.84,3153700,56.84
2015-07-31,56.66,56.900002,56.360001,56.389999,3476300,56.389999
2015-08-03,56.860001,58.889999,56.689999,58.32,5270700,58.32
2015-08-04,59.189999,59.849998,58.209999,58.950001,4795300,58.950001
2015-08-05,59.41,59.5,58.049999,58.110001,4580200,58.110001
2015-08-06,58.41,58.959999,56.950001,57.509998,3749000,57.509998
2015-08-07,57.25,57.630001,56.610001,56.740002,3489900,56.740002
2015-08-10,57.419998,58.009998,56.900002,57.150002,3074000,57.150002
2015-08-11,57.220001,59.139999,57.220001,57.869999,4419800,57.869999
2015-08-12,57.599998,57.740002,55.07,57.41,4813300,57.41
2015-08-13,57.650002,58.59,57.18,58.349998,3337800,58.349998
2015-08-14,57.970001,58.860001,57.849998,58.529999,2391700,58.529999
2015-08-17,58.490002,59.93,58.0,59.599998,3889000,59.599998
2015-08-18,59.450001,60.119999,58.110001,58.509998,3834400,58.509998
2015-08-19,58.259998,59.029999,57.869999,58.23,3825200,58.23
2015-08-20,57.59,57.66,56.52,56.59,4164800,56.59
2015-08-21,55.919998,56.68,54.959999,55.09,6683400,55.09
2015-08-24,50.759998,54.98,49.200001,52.330002,7089300,52.330002
2015-08-25,54.369999,54.939999,52.099998,52.099998,4597100,52.099998
2015-08-26,53.369999,54.220001,51.619999,53.950001,4991300,53.950001
2015-08-27,54.380001,54.73,52.330002,53.360001,5769700,53.360001
2015-08-28,56.52,57.349998,55.779999,57.119999,19988900,57.119999
2015-08-31,57.18,58.040001,56.880001,56.970001,10560400,56.970001
2015-09-01,56.009998,57.380001,55.799999,57.130001,12670900,57.130001
2015-09-02,57.889999,58.09,56.720001,57.290001,67826200,57.290001
2015-09-03,57.529999,58.139999,57.049999,57.25,9954600,57.25
2015-09-04,56.799999,57.700001,56.310001,56.689999,6099700,56.689999
2015-09-08,57.740002,58.009998,56.91,57.509998,7115100,57.509998
2015-09-09,57.0,58.93,56.869999,57.669998,9041000,57.669998
2015-09-10,57.959999,58.360001,56.599998,56.900002,6500900,56.900002
2015-09-11,56.77,57.470001,56.34,56.830002,4028300,56.830002
2015-09-14,56.889999,57.459999,56.419998,57.450001,4652100,57.450001
2015-09-15,57.490002,57.700001,56.849998,57.279999,5310000,57.279999
2015-09-16,57.029999,57.990002,56.759998,57.950001,5151800,57.950001
2015-09-17,58.189999,62.209999,58.080002,61.560001,16405900,61.560001
2015-09-18,60.84,61.349998,60.029999,60.310001,7125600,60.310001
2015-09-21,60.360001,61.240002,59.59,60.450001,5417700,60.450001
2015-09-22,59.950001,60.220001,58.009998,58.240002,5477400,58.240002
2015-09-23,58.52,58.889999,57.290001,58.169998,4215500,58.169998
2015-09-24,57.580002,57.66,55.77,56.330002,5748900,56.330002
2015-09-25,56.990002,56.990002,54.950001,55.419998,6322900,55.419998
2015-09-28,55.209999,55.240002,53.040001,53.720001,5560900,53.720001
2015-09-29,53.830002,54.029999,52.110001,52.459999,6290700,52.459999
2015-09-30,52.880001,53.48,52.240002,53.049999,6347000,53.049999
2015-10-01,52.950001,53.169998,52.0,53.0,5990000,53.0
2015-10-02,52.34,52.380001,50.950001,51.759998,6745500,51.759998
2015-10-05,52.029999,53.630001,51.650002,53.330002,5846200,53.330002
2015-10-06,53.240002,53.549999,50.52,50.779999,7744900,50.779999
2015-10-07,51.040001,51.650002,49.759998,51.580002,7054000,51.580002
2015-10-08,51.25,52.43,50.5,52.259998,5012500,52.259998
2015-10-09,53.919998,56.099998,53.419998,55.709999,11375400,55.709999
2015-10-12,56.099998,58.040001,55.900002,57.799999,6114300,57.799999
2015-10-13,57.119999,57.759998,56.43,57.299999,6223100,57.299999
2015-10-14,57.869999,58.75,56.400002,57.509998,5912800,57.509998
2015-10-15,57.790001,58.080002,56.720001,57.759998,4188500,57.759998
2015-10-16,57.889999,57.98,55.049999,55.970001,14537200,55.970001
2015-10-19,55.900002,57.009998,55.84,56.75,6588400,56.75
2015-10-20,56.849998,57.07,55.450001,55.75,7306900,55.75
2015-10-21,55.650002,55.849998,54.200001,54.549999,7421800,54.549999
2015-10-22,55.09,56.439999,54.139999,56.049999,7564800,56.049999
2015-10-23,57.189999,59.799999,57.18,59.68,12308600,59.68
2015-10-26,59.419998,61.200001,59.150002,61.02,6017300,61.02
2015-10-27,60.720001,61.799999,60.470001,60.939999,5981600,60.939999
2015-10-28,60.849998,60.970001,58.700001,59.549999,5823400,59.549999
2015-10-29,59.130001,60.720001,58.599998,60.25,4301900,60.25
2015-10-30,60.07,61.869999,59.970001,60.310001,5520400,60.310001
2015-11-02,60.610001,61.290001,60.439999,60.599998,4012000,60.599998
2015-11-03,61.0,61.34,60.009998,60.84,4883300,60.84
2015-11-04,60.540001,60.93,59.689999,60.290001,6036500,60.290001
2015-11-05,60.509998,60.98,60.189999,60.299999,4623300,60.299999
2015-11-06,60.18,61.75,60.02,61.490002,6540700,61.490002
2015-11-09,61.16,61.419998,59.669998,60.150002,3469700,60.150002
2015-11-10,60.18,60.849998,59.029999,60.060001,2659000,60.060001
2015-11-11,60.259998,60.439999,59.580002,59.639999,2264500,59.639999
2015-11-12,59.0,60.110001,59.0,59.25,2707300,59.25
2015-11-13,59.099998,59.57,58.439999,58.799999,3085200,58.799999
2015-11-16,57.369999,58.209999,57.060001,58.080002,6174400,58.080002
2015-11-17,58.299999,59.290001,57.02,57.380001,4413500,57.380001
2015-11-18,57.490002,58.259998,56.509998,57.709999,4658800,57.709999
