Date,Open_COL,High_COL,Low_COL,Close_COL,Volume_COL,AdjClose_COL
2013-06-14,64.93,65.129997,64.230003,64.480003,597400,61.589774
2013-06-17,64.980003,65.129997,64.139999,64.440002,802800,61.551567
2013-06-18,64.5,64.830002,64.18,64.699997,863500,61.799907
2013-06-19,64.660004,64.889999,63.759998,63.77,519900,60.911596
2013-06-20,63.16,63.360001,62.07,62.360001,825000,59.564798
2013-06-21,62.799999,63.32,62.43,62.84,1062200,60.023282
2013-06-24,62.380001,62.389999,61.130001,61.73,840000,58.963036
2013-06-25,62.240002,62.240002,61.529999,61.740002,646900,58.97259
2013-06-26,62.220001,62.959999,61.889999,62.790001,517400,59.975524
2013-06-27,63.0,63.279999,62.630001,62.93,607400,60.109248
2013-06-28,62.849998,63.959999,62.700001,63.41,968100,60.567732
2013-07-01,63.599998,64.389999,63.5,63.580002,496200,60.730114
2013-07-02,63.540001,63.599998,62.439999,63.099998,573000,60.271626
2013-07-03,62.779999,63.77,62.48,63.57,460900,60.72056
2013-07-05,63.939999,64.459999,63.93,64.379997,576300,61.494251
2013-07-08,64.580002,65.269997,64.489998,65.129997,641900,62.210633
2013-07-09,65.389999,66.709999,65.32,66.449997,827600,63.471466
2013-07-10,66.400002,66.940002,66.290001,66.68,810200,63.69116
2013-07-11,67.0,67.599998,67.0,67.559998,556600,64.531712
2013-07-12,67.559998,67.940002,66.809998,67.739998,1102900,64.703644
2013-07-15,67.68,68.0,67.389999,67.989998,502000,64.942438
2013-07-16,67.989998,68.18,67.839996,67.849998,647900,64.808714
2013-07-17,68.080002,68.400002,67.949997,68.300003,531000,65.238548
2013-07-18,68.309998,68.989998,68.309998,68.519997,743800,65.448681
2013-07-19,69.940002,71.519997,68.739998,70.419998,1879900,67.263517
2013-07-22,70.57,71.230003,70.230003,70.779999,543600,67.607381
2013-07-23,70.760002,70.970001,70.239998,70.68,579400,67.511865
2013-07-24,70.989998,71.5,70.550003,71.110001,687800,67.922591
2013-07-25,70.889999,71.230003,70.349998,70.970001,559500,67.788867
2013-07-26,70.589996,70.839996,70.379997,70.779999,465100,67.607381
2013-07-29,70.239998,70.769997,70.209999,70.379997,569400,67.225309
2013-07-30,70.650002,71.040001,70.239998,70.629997,379000,67.464103
2013-07-31,70.82,71.830002,70.779999,71.169998,583400,67.979899
2013-08-01,71.589996,73.290001,71.050003,73.209999,654100,69.92846
2013-08-02,73.019997,74.099998,72.830002,73.980003,776300,70.66395
2013-08-05,73.709999,74.379997,73.709999,74.169998,694500,70.845428
2013-08-06,73.989998,74.470001,73.779999,74.129997,847800,70.80722
2013-08-07,73.919998,74.860001,73.839996,74.690002,883900,71.342124
2013-08-08,74.760002,75.25,74.25,74.639999,468200,71.581876
2013-08-09,74.529999,74.839996,74.089996,74.419998,568000,71.370889
2013-08-12,74.660004,74.959999,71.540001,73.330002,2192800,70.325552
2013-08-13,73.760002,74.370003,72.739998,74.290001,1662300,71.246218
2013-08-14,74.32,74.480003,73.580002,74.199997,1397500,71.159902
2013-08-15,73.669998,73.779999,72.400002,72.959999,1072000,69.970709
2013-08-16,72.959999,73.419998,72.25,72.559998,2469600,69.587096
2013-08-19,72.449997,72.910004,72.099998,72.129997,800800,69.174713
2013-08-20,72.139999,72.550003,71.690002,72.0,578800,69.050042
2013-08-21,71.970001,72.110001,71.139999,71.18,622900,68.263639
2013-08-22,71.419998,71.980003,71.269997,71.779999,400200,68.839055
2013-08-23,71.690002,72.120003,71.580002,72.029999,367700,69.078812
2013-08-26,72.040001,72.589996,71.82,72.010002,313100,69.059634
2013-08-27,71.43,71.75,70.5,70.660004,422000,67.764948
2013-08-28,70.669998,71.279999,70.620003,71.019997,342800,68.110191
2013-08-29,70.839996,71.699997,70.620003,71.43,345200,68.503396
2013-08-30,71.660004,71.699997,70.559998,70.769997,395000,67.870434
2013-09-03,71.199997,71.959999,70.269997,70.68,974000,67.784125
2013-09-04,70.610001,71.290001,70.410004,71.25,576700,68.330771
2013-09-05,71.239998,71.470001,70.889999,71.120003,641500,68.2061
2013-09-06,71.260002,71.519997,70.120003,71.080002,337800,68.167738
2013-09-09,71.239998,71.559998,71.129997,71.400002,491100,68.474627
2013-09-10,71.68,72.279999,71.650002,71.970001,585100,69.021272
2013-09-11,72.099998,72.760002,72.050003,72.580002,373300,69.60628
2013-09-12,72.410004,73.279999,72.410004,72.790001,407900,69.807675
2013-09-13,73.0,73.190002,72.239998,73.029999,325300,70.03784
2013-09-16,73.050003,73.910004,72.709999,73.669998,610300,70.651618
2013-09-17,73.580002,74.589996,73.389999,74.5,432700,71.447613
2013-09-18,74.269997,74.589996,73.129997,73.989998,1042400,70.958507
2013-09-19,74.059998,75.050003,74.059998,74.279999,736800,71.236626
2013-09-20,72.300003,72.589996,69.190002,70.0,2873200,67.131985
2013-09-23,69.470001,69.699997,68.059998,68.68,1904200,65.866068
2013-09-24,68.489998,70.010002,68.120003,69.410004,1383200,66.566162
2013-09-25,69.349998,69.349998,68.440002,68.989998,2303800,66.163365
2013-09-26,68.949997,69.32,68.519997,68.93,1182400,66.105825
2013-09-27,68.470001,68.830002,68.309998,68.589996,715900,65.779752
2013-09-30,67.870003,68.190002,67.68,67.860001,916800,65.079665
2013-10-01,68.120003,69.510002,67.910004,69.25,1316500,66.412714
2013-10-02,68.849998,68.849998,67.330002,67.720001,1264000,64.945402
2013-10-03,67.480003,67.709999,66.199997,66.839996,998500,64.101452
2013-10-04,66.879997,67.160004,66.309998,66.989998,494600,64.245308
2013-10-07,66.519997,67.260002,66.279999,66.870003,409000,64.130229
2013-10-08,66.919998,66.919998,65.860001,65.900002,813900,63.199971
2013-10-09,66.209999,66.790001,65.760002,66.529999,910700,63.804156
2013-10-10,67.57,68.309998,66.989998,68.269997,785000,65.472863
2013-10-11,67.989998,68.550003,67.629997,68.540001,527100,65.731805
2013-10-14,68.040001,68.959999,67.860001,68.919998,553100,66.096233
2013-10-15,68.809998,69.129997,67.870003,68.059998,888600,65.271468
2013-10-16,68.699997,69.190002,68.599998,69.0,813400,66.172957
2013-10-17,68.75,70.459999,68.639999,70.169998,1086100,67.295018
2013-10-18,70.559998,70.559998,69.400002,70.540001,1047100,67.649862
2013-10-21,70.540001,70.540001,69.5,69.839996,625500,66.978537
2013-10-22,70.269997,70.830002,69.690002,70.709999,950600,67.812895
2013-10-23,70.610001,72.050003,70.5,72.029999,990500,69.078812
2013-10-24,72.050003,72.459999,71.660004,72.239998,802500,69.280207
2013-10-25,70.239998,71.029999,68.75,70.690002,1637000,67.793717
2013-10-28,70.559998,70.839996,69.940002,70.120003,909700,67.247071
2013-10-29,70.32,70.480003,69.57,70.190002,784400,67.314203
2013-10-30,70.550003,70.82,69.830002,70.029999,684600,67.160755
2013-10-31,70.099998,70.309998,69.470001,69.830002,652100,66.968952
2013-11-01,70.029999,70.389999,69.510002,70.089996,706500,67.218294
2013-11-04,70.25,70.68,70.0,70.57,556700,67.678631
2013-11-05,70.510002,71.230003,70.279999,70.660004,679300,67.764948
2013-11-06,70.82,71.279999,70.370003,71.269997,538600,68.349948
2013-11-07,71.110001,71.519997,69.93,70.0,526900,67.415762
2013-11-08,70.040001,71.279999,69.720001,70.900002,661600,68.282537
2013-11-11,70.93,71.18,70.730003,70.970001,489100,68.349953
2013-11-12,70.809998,71.0,70.269997,70.349998,554900,67.752839
2013-11-13,69.75,70.57,69.75,70.529999,578700,67.926194
2013-11-14,70.449997,70.989998,70.010002,70.739998,500500,68.128441
2013-11-15,70.720001,71.110001,70.230003,71.110001,1450800,68.484784
2013-11-18,71.489998,72.599998,71.330002,72.169998,869100,69.505649
2013-11-19,72.160004,72.589996,71.529999,72.0,1473400,69.341927
2013-11-20,72.040001,72.720001,71.720001,72.050003,588700,69.390084
2013-11-21,72.339996,72.970001,72.239998,72.93,560000,70.237593
2013-11-22,73.0,73.230003,72.760002,73.0,851700,70.305009
2013-11-25,73.089996,73.190002,72.419998,72.550003,427500,69.871625
2013-11-26,72.629997,73.220001,72.440002,72.900002,669500,70.208702
2013-11-27,73.059998,73.269997,72.739998,73.260002,447700,70.555412
2013-11-29,73.25,73.43,72.730003,72.730003,418600,70.04498
2013-12-02,72.730003,73.239998,72.559998,72.660004,522400,69.977564
2013-12-03,72.43,72.940002,72.07,72.470001,577600,69.794576
2013-12-04,72.199997,72.870003,71.809998,72.660004,834900,69.977564
2013-12-05,72.550003,72.959999,72.220001,72.410004,604800,69.736794
2013-12-06,72.900002,73.580002,72.790001,73.5,415200,70.78655
2013-12-09,73.449997,73.830002,73.040001,73.400002,596900,70.690243
2013-12-10,73.050003,73.470001,72.68,72.889999,393800,70.199069
2013-12-11,72.870003,72.870003,71.480003,71.580002,565200,68.937434
2013-12-12,71.639999,71.839996,71.010002,71.260002,572000,68.629248
2013-12-13,71.389999,71.540001,71.150002,71.309998,512700,68.677397
2013-12-16,71.669998,72.290001,71.669998,71.860001,885500,69.207096
2013-12-17,72.080002,72.120003,70.970001,71.050003,1108300,68.427001
2013-12-18,71.290001,72.379997,70.580002,72.220001,902600,69.553806
2013-12-19,72.269997,72.489998,71.650002,71.900002,983200,69.24562
2013-12-20,71.82,73.099998,71.809998,72.870003,723200,70.179811
2013-12-23,73.610001,73.610001,72.93,73.07,427700,70.372424
2013-12-24,73.260002,73.790001,73.139999,73.730003,111300,71.008062
