Date,Open_EQIX,High_EQIX,Low_EQIX,Close_EQIX,Volume_EQIX,AdjClose_EQIX
2013-06-14,191.669998,192.509995,189.850006,191.110001,630800,170.512214
2013-06-17,191.399994,193.300003,190.529999,193.110001,1150000,172.296655
2013-06-18,193.199997,194.429993,190.940002,191.330002,780000,170.708504
2013-06-19,191.080002,192.009995,184.990005,185.25,1678400,165.283803
2013-06-20,183.300003,183.869995,177.0,177.550003,2120200,158.41371
2013-06-21,178.039993,179.130005,174.899994,178.070007,2220200,158.877668
2013-06-24,177.320007,178.330002,172.970001,176.130005,1040300,157.146759
2013-06-25,178.639999,178.770004,173.949997,178.550003,1479600,159.30593
2013-06-26,179.589996,184.190002,179.320007,182.850006,1030100,163.14248
2013-06-27,184.380005,188.25,184.009995,186.919998,1409900,166.773809
2013-06-28,186.279999,186.389999,182.449997,184.720001,1348700,164.810927
2013-07-01,187.529999,189.25,186.0,187.419998,899400,167.219919
2013-07-02,187.080002,188.039993,182.669998,185.470001,743100,165.480092
2013-07-03,184.830002,186.809998,182.820007,184.270004,320200,164.409431
2013-07-05,186.600006,188.020004,183.399994,185.669998,363500,165.658534
2013-07-08,187.100006,187.289993,185.149994,185.539993,452600,165.542541
2013-07-09,186.990005,187.369995,184.820007,187.0,653200,166.845188
2013-07-10,186.330002,191.309998,186.220001,190.839996,591800,170.271311
2013-07-11,193.910004,200.880005,192.240005,199.509995,2219300,178.006859
2013-07-12,199.0,203.580002,198.550003,202.979996,956800,181.102864
2013-07-15,202.080002,202.550003,198.949997,200.639999,657500,179.015072
2013-07-16,201.0,201.949997,198.490005,200.149994,767500,178.577879
2013-07-17,198.0,204.75,197.460007,202.5,809600,180.674602
2013-07-18,205.360001,205.360001,200.190002,200.460007,764200,178.854479
2013-07-19,200.389999,202.020004,197.550003,198.009995,976500,176.668529
2013-07-22,197.820007,197.970001,193.679993,194.210007,808800,173.278102
2013-07-23,194.179993,195.929993,193.509995,193.990005,653900,173.081813
2013-07-24,197.0,198.589996,191.119995,191.630005,1875400,170.976173
2013-07-25,184.869995,191.490005,181.0,184.470001,4412600,164.587872
2013-07-26,183.440002,185.490005,181.990005,183.75,1094500,163.945473
2013-07-29,182.690002,185.240005,179.460007,180.100006,1258800,160.688874
2013-07-30,181.589996,182.270004,177.529999,180.199997,1059500,160.778088
2013-07-31,181.070007,182.449997,178.369995,179.350006,793700,160.019709
2013-08-01,180.179993,181.559998,176.850006,177.110001,1474200,158.021131
2013-08-02,176.100006,177.75,175.050003,177.229996,1046600,158.128193
2013-08-05,176.699997,179.039993,175.759995,178.929993,740200,159.644964
2013-08-06,178.029999,179.440002,176.910004,177.169998,741800,158.074662
2013-08-07,177.110001,180.880005,176.059998,180.309998,1022300,160.876233
2013-08-08,181.619995,181.809998,179.029999,181.279999,893200,161.741687
2013-08-09,182.0,183.910004,180.880005,181.179993,1601800,161.65246
2013-08-12,180.789993,181.25,178.169998,178.75,992100,159.484371
2013-08-13,178.649994,179.0,174.929993,175.25,1180700,156.3616
2013-08-14,173.639999,175.949997,171.639999,171.850006,1380600,153.328057
2013-08-15,169.830002,169.990005,163.729996,165.889999,3329700,148.010418
2013-08-16,165.710007,169.100006,164.179993,167.779999,1393800,149.696714
2013-08-19,168.110001,169.949997,165.850006,165.990005,1137200,148.099646
2013-08-20,167.080002,169.460007,165.5,168.179993,788400,150.053597
2013-08-21,167.490005,168.880005,166.380005,166.5,661200,148.554673
2013-08-22,166.860001,168.880005,165.279999,167.289993,378700,149.259521
2013-08-23,167.320007,170.419998,167.25,170.009995,543700,151.686361
2013-08-26,170.169998,170.899994,168.990005,169.470001,714500,151.204568
2013-08-27,167.5,170.550003,167.25,170.229996,862600,151.882651
2013-08-28,170.089996,172.649994,169.649994,171.5,703400,153.015774
2013-08-29,171.190002,176.080002,170.830002,175.860001,1060600,156.905855
2013-08-30,175.800003,176.470001,173.380005,173.740005,656500,155.014353
2013-09-03,175.559998,177.960007,173.929993,176.929993,1090300,157.860524
2013-09-04,176.449997,177.929993,175.039993,176.350006,797900,157.343048
2013-09-05,175.940002,177.660004,174.210007,176.660004,585100,157.619634
2013-09-06,176.289993,177.070007,172.619995,172.770004,851000,154.148898
2013-09-09,173.910004,177.710007,173.300003,177.259995,618300,158.154958
2013-09-10,177.710007,178.929993,176.380005,177.229996,487700,158.128193
2013-09-11,176.839996,179.259995,176.570007,179.220001,794600,159.903716
2013-09-12,178.869995,179.860001,176.869995,177.800003,568400,158.636765
2013-09-13,178.550003,179.110001,176.639999,177.050003,414100,157.9676
2013-09-16,179.0,179.0,170.309998,173.759995,1103900,155.032187
2013-09-17,174.279999,176.259995,173.539993,174.940002,464400,156.085014
2013-09-18,175.320007,180.860001,174.240005,179.240005,1017600,159.921564
2013-09-19,179.440002,184.419998,178.520004,183.289993,1158100,163.535045
2013-09-20,183.509995,184.929993,183.25,184.029999,1362100,164.195293
2013-09-23,183.300003,184.0,181.089996,183.460007,527900,163.686735
2013-09-24,183.399994,184.220001,181.190002,181.389999,537400,161.839832
2013-09-25,181.059998,183.470001,179.75,181.610001,432800,162.036122
2013-09-26,182.529999,184.110001,181.630005,183.550003,527200,163.767031
2013-09-27,182.600006,184.5,182.220001,184.139999,512100,164.293438
2013-09-30,181.839996,184.559998,179.729996,183.649994,745200,163.856245
2013-10-01,183.110001,185.440002,179.830002,181.919998,842700,162.312708
2013-10-02,180.050003,181.669998,175.330002,175.619995,1191700,156.691717
2013-10-03,175.919998,176.889999,164.699997,166.610001,3655900,148.652818
2013-10-04,167.570007,168.729996,166.029999,167.570007,1320900,149.509355
2013-10-07,166.149994,168.300003,165.679993,165.699997,471300,147.840894
2013-10-08,165.809998,166.440002,162.979996,164.210007,912800,146.511495
2013-10-09,164.369995,166.080002,163.330002,165.360001,1260000,147.537543
2013-10-10,166.830002,167.869995,165.479996,166.330002,1222400,148.402997
2013-10-11,166.369995,167.479996,164.690002,167.089996,468700,149.08108
2013-10-14,166.169998,167.029999,164.279999,166.119995,438300,148.215625
2013-10-15,165.089996,166.630005,163.639999,164.020004,632100,146.341971
2013-10-16,167.800003,167.800003,163.979996,165.529999,606200,147.689218
2013-10-17,164.529999,168.979996,164.529999,168.0,953400,149.893003
2013-10-18,169.460007,169.460007,166.119995,166.839996,704500,148.858025
2013-10-21,166.800003,168.380005,166.199997,167.009995,1177900,149.009701
