Date,Open_PRU,High_PRU,Low_PRU,Close_PRU,Volume_PRU,AdjClose_PRU
2013-06-14,71.559998,71.639999,70.110001,70.480003,1955500,64.721873
2013-06-17,71.269997,72.5,71.260002,72.190002,2568200,66.292168
2013-06-18,72.18,73.300003,71.660004,72.970001,2866200,67.008441
2013-06-19,72.779999,73.480003,72.050003,72.230003,2343500,66.328901
2013-06-20,71.470001,73.050003,70.839996,71.910004,3369200,66.035044
2013-06-21,72.839996,73.010002,70.75,71.550003,4105600,65.704455
2013-06-24,70.580002,70.839996,69.040001,70.260002,4135400,64.519846
2013-06-25,71.099998,72.0,70.290001,71.089996,3559600,65.282031
2013-06-26,71.82,72.07,70.82,71.050003,3974100,65.245305
2013-06-27,71.760002,72.769997,71.519997,72.410004,2158900,66.494195
2013-06-28,72.110001,73.410004,71.720001,73.029999,3995000,67.063537
2013-07-01,73.099998,73.989998,73.07,73.300003,2604800,67.311483
2013-07-02,73.5,74.199997,73.120003,74.099998,3240600,68.046119
2013-07-03,73.199997,73.940002,72.870003,73.839996,1591400,67.807359
2013-07-05,74.709999,75.68,74.529999,75.599998,2221100,69.423571
2013-07-08,76.0,77.150002,76.0,76.779999,3283900,70.507167
2013-07-09,77.57,78.440002,77.169998,78.099998,2963400,71.719324
2013-07-10,77.760002,78.089996,76.860001,77.43,1912600,71.104064
2013-07-11,78.629997,78.639999,76.940002,78.010002,2784100,71.636681
2013-07-12,78.010002,78.370003,77.419998,77.889999,2124300,71.526482
2013-07-15,78.050003,78.489998,77.440002,77.529999,2127700,71.195893
2013-07-16,77.699997,78.080002,76.690002,77.330002,1643800,71.012235
2013-07-17,77.610001,77.800003,76.940002,77.059998,1691100,70.76429
2013-07-18,77.5,78.639999,77.480003,78.519997,1814800,72.105009
2013-07-19,78.07,78.510002,77.300003,78.190002,1482900,71.801975
2013-07-22,78.470001,79.190002,78.290001,79.150002,1617100,72.683543
2013-07-23,79.330002,79.489998,78.669998,78.93,1607000,72.481516
2013-07-24,79.389999,79.75,78.139999,78.400002,1855900,71.994817
2013-07-25,78.309998,78.730003,77.75,78.730003,1686400,72.297859
2013-07-26,77.949997,79.260002,77.800003,79.160004,1608800,72.692728
2013-07-29,79.080002,79.25,78.449997,78.839996,1208700,72.398865
2013-07-30,79.120003,79.489998,78.339996,78.68,1632800,72.251941
2013-07-31,78.779999,79.989998,78.779999,78.970001,2542400,72.518249
2013-08-01,79.669998,83.209999,79.669998,82.620003,3796600,75.87005
2013-08-02,83.669998,83.669998,81.779999,82.410004,2032500,75.677207
2013-08-05,82.089996,82.870003,81.019997,82.419998,1945300,75.686385
2013-08-06,82.139999,82.230003,80.519997,80.730003,2334500,74.134461
2013-08-07,80.5,80.559998,78.669998,79.370003,4165700,72.885571
2013-08-08,81.269997,82.0,79.029999,80.410004,4448200,73.840605
2013-08-09,80.330002,81.260002,80.029999,80.580002,2845900,73.996714
2013-08-12,80.029999,80.440002,79.5,79.709999,2518600,73.19779
2013-08-13,79.720001,80.779999,79.599998,80.419998,2264200,73.849783
2013-08-14,80.120003,80.769997,79.959999,80.129997,2272700,73.583475
2013-08-15,79.68,79.769997,78.650002,78.739998,2645800,72.307036
2013-08-16,78.440002,79.779999,78.440002,79.610001,2780000,73.105961
2013-08-19,79.410004,79.410004,77.870003,77.900002,2394100,71.535667
2013-08-20,78.440002,78.449997,77.190002,78.089996,1609300,71.710139
2013-08-21,77.82,78.730003,77.269997,77.690002,2265300,71.342824
2013-08-22,78.089996,80.010002,78.0,79.510002,2465900,73.014132
2013-08-23,79.080002,79.480003,78.230003,78.699997,1432000,72.635719
2013-08-26,78.519997,78.830002,77.709999,77.839996,1266000,71.841986
2013-08-27,76.830002,76.830002,74.330002,74.57,3320500,68.823961
2013-08-28,74.559998,75.510002,74.099998,75.07,2383500,69.285433
2013-08-29,74.949997,76.389999,74.790001,75.410004,1423000,69.599238
2013-08-30,75.559998,75.660004,74.540001,74.879997,1474300,69.110072
2013-09-03,76.019997,76.900002,75.32,75.919998,1808100,70.069935
2013-09-04,76.510002,78.989998,76.510002,78.190002,2935200,72.165022
2013-09-05,78.239998,79.099998,77.919998,78.050003,1751100,72.035811
2013-09-06,78.120003,78.400002,76.129997,77.550003,2097400,71.574338
2013-09-09,77.709999,78.779999,77.669998,78.720001,1951800,72.654182
2013-09-10,79.57,80.980003,79.540001,80.599998,2441500,74.389315
2013-09-11,80.220001,80.980003,80.0,80.230003,1590600,74.04783
2013-09-12,80.07,80.440002,79.599998,79.949997,1376500,73.789399
2013-09-13,80.300003,80.300003,79.360001,79.690002,1275700,73.549439
2013-09-16,80.730003,81.269997,80.160004,80.910004,1969900,74.675432
2013-09-17,80.970001,81.849998,80.639999,81.629997,1600000,75.339946
2013-09-18,81.370003,82.620003,79.769997,80.239998,4075400,74.057054
2013-09-19,80.699997,80.699997,78.029999,78.690002,4575900,72.626494
2013-09-20,78.75,79.239998,78.0,78.239998,3360800,72.211165
2013-09-23,78.120003,78.5,77.720001,77.980003,2218200,71.971205
2013-09-24,77.940002,78.559998,77.190002,77.800003,1805300,71.805075
2013-09-25,78.07,79.389999,77.669998,78.809998,2020500,72.737243
2013-09-26,79.059998,79.629997,78.32,78.800003,1077300,72.728019
2013-09-27,78.269997,78.639999,77.75,78.410004,1168600,72.368071
2013-09-30,77.32,78.550003,76.839996,77.980003,2991200,71.971205
2013-10-01,77.949997,78.75,77.790001,78.089996,1877600,72.072722
2013-10-02,77.489998,78.330002,77.220001,78.290001,2493300,72.257315
2013-10-03,78.029999,78.410004,75.730003,77.25,2957400,71.297452
2013-10-04,77.25,78.589996,76.900002,78.400002,1626200,72.35884
2013-10-07,77.559998,77.989998,77.029999,77.410004,1116700,71.445127
2013-10-08,77.599998,77.599998,75.910004,75.989998,2110100,70.13454
2013-10-09,76.199997,76.5,75.209999,75.989998,1916200,70.13454
2013-10-10,77.279999,79.099998,77.18,79.07,2146000,72.977211
2013-10-11,79.0,79.879997,78.809998,79.870003,1407000,73.715569
2013-10-14,79.07,80.559998,78.699997,80.260002,1679200,74.075517
2013-10-15,79.910004,80.900002,79.660004,79.739998,1707900,73.595582
2013-10-16,80.43,82.260002,80.360001,81.529999,1973000,75.247653
2013-10-17,80.75,82.629997,80.739998,82.260002,1789600,75.921406
2013-10-18,82.629997,82.650002,81.760002,82.529999,1704300,76.170597
2013-10-21,82.379997,82.449997,81.339996,81.419998,2281700,75.146129
2013-10-22,81.529999,82.379997,81.32,81.720001,2011600,75.423015
2013-10-23,81.230003,81.459999,79.760002,80.519997,1577200,74.315477
2013-10-24,80.660004,81.580002,80.040001,81.370003,1738700,75.099986
2013-10-25,81.5,82.029999,81.230003,81.410004,1761200,75.136904
2013-10-28,81.239998,81.669998,80.949997,81.050003,1537200,74.804644
2013-10-29,81.309998,82.720001,81.220001,82.660004,1542000,76.290585
2013-10-30,82.529999,83.139999,81.580002,82.199997,1667300,75.866024
2013-10-31,81.970001,82.349998,81.25,81.389999,2028300,75.118441
2013-11-01,81.599998,81.669998,80.599998,81.190002,1557800,74.933855
2013-11-04,81.269997,81.650002,80.699997,81.57,1235400,75.284572
2013-11-05,81.43,81.870003,80.699997,81.470001,1561300,75.192279
2013-11-06,81.660004,82.639999,81.209999,81.790001,2199300,75.487621
2013-11-07,82.230003,85.889999,81.75,83.760002,5859000,77.305822
2013-11-08,84.029999,87.849998,83.949997,86.900002,4144200,80.203867
2013-11-11,86.879997,86.879997,85.940002,86.489998,1984400,79.825456
2013-11-12,86.129997,87.419998,86.0,86.639999,2619400,79.963899
2013-11-13,86.290001,87.870003,86.120003,87.830002,2439100,81.062205
2013-11-14,88.330002,89.309998,88.019997,89.050003,2947300,82.188199
2013-11-15,88.410004,89.0,87.599998,88.620003,2501400,81.791332
2013-11-18,88.690002,89.959999,88.43,88.650002,3126800,81.81902
2013-11-19,88.599998,89.529999,88.43,88.980003,1883100,82.123593
2013-11-20,89.230003,89.529999,88.529999,88.889999,1844200,82.040524
2013-11-21,89.349998,90.639999,89.239998,90.199997,2740400,83.249579
2013-11-22,89.5,90.120003,89.400002,90.07,1868600,83.620943
2013-11-25,90.139999,90.199997,89.110001,89.230003,1697400,82.841091
2013-11-26,89.309998,90.239998,89.190002,89.739998,1959800,83.314569
2013-11-27,90.379997,90.389999,88.940002,89.279999,1529400,82.887507
2013-11-29,89.43,89.870003,88.730003,88.760002,1249400,82.404742
2013-12-02,88.93,90.529999,88.699997,89.459999,2238600,83.054619
2013-12-03,89.220001,89.669998,87.510002,87.760002,3360300,81.476342
2013-12-04,87.730003,88.889999,86.949997,87.760002,2052400,81.476342
2013-12-05,87.559998,88.389999,87.029999,87.699997,2429000,81.420634
2013-12-06,88.980003,89.699997,88.830002,88.910004,2202700,82.544003
2013-12-09,88.940002,89.82,88.650002,88.980003,2083900,82.608991
2013-12-10,88.75,89.290001,87.910004,89.029999,1513200,82.655407
2013-12-11,88.940002,89.309998,87.879997,88.059998,2523900,81.754858
2013-12-12,88.260002,89.120003,87.879997,88.330002,2507800,82.00553
2013-12-13,88.459999,88.959999,87.870003,88.190002,1533300,81.875554
2013-12-16,88.669998,89.199997,88.459999,88.68,1516000,82.330468
2013-12-17,88.68,88.779999,87.639999,87.949997,1666000,81.652733
2013-12-18,88.449997,90.639999,87.389999,90.589996,2735200,84.103708
2013-12-19,90.010002,90.720001,89.779999,90.169998,2667100,83.713782
2013-12-20,90.190002,91.68,90.010002,91.330002,2995500,84.790728
2013-12-23,91.690002,92.18,91.080002,91.5,1624300,84.948555
2013-12-24,91.5,91.989998,91.230003,91.910004,477900,85.329202
2013-12-26,91.959999,92.599998,91.720001,92.43,867400,85.811966
2013-12-27,92.5,92.68,91.739998,91.830002,913800,85.254928
2013-12-30,91.650002,91.989998,91.18,91.5,980300,84.948555
2013-12-31,91.620003,92.309998,91.589996,92.220001,993300,85.617003
2014-01-02,91.5,91.639999,90.089996,90.760002,1694900,84.261541
2014-01-03,90.059998,91.050003,90.0,90.209999,1660200,83.750918
2014-01-06,90.419998,90.980003,90.050003,90.5,2166500,84.020155
2014-01-07,91.139999,91.93,90.57,90.839996,1701900,84.335807
2014-01-08,90.910004,91.57,90.620003,90.93,2005900,84.419367
2014-01-09,91.190002,91.910004,90.800003,91.230003,1676000,84.69789
2014-01-10,90.970001,91.190002,89.839996,90.730003,1804600,84.23369
2014-01-13,90.43,90.870003,88.32,88.529999,2074200,82.191207
2014-01-14,89.209999,89.860001,88.720001,89.669998,1574000,83.249582
2014-01-15,90.029999,91.050003,89.709999,91.029999,1959600,84.512206
2014-01-16,90.519997,90.989998,89.940002,90.360001,1715800,83.89018
2014-01-17,90.279999,90.790001,89.900002,90.230003,2348000,83.76949
2014-01-21,90.580002,91.089996,89.699997,90.129997,1676300,83.676645
2014-01-22,90.050003,90.529999,89.059998,89.510002,1710300,83.101042
2014-01-23,88.629997,88.800003,87.019997,87.510002,3179700,81.244243
2014-01-24,86.82,87.330002,84.349998,84.360001,3546000,78.319783
2014-01-27,84.43,84.809998,82.309998,83.389999,3138800,77.419234
2014-01-28,83.830002,85.0,83.800003,84.459999,1945100,78.412621
2014-01-29,83.629997,84.550003,83.25,83.82,2438400,77.818446
2014-01-30,84.779999,85.519997,84.300003,85.209999,1489200,79.108921
2014-01-31,83.739998,85.5,83.349998,84.389999,2228800,78.347634
2014-02-03,84.419998,84.790001,80.349998,80.449997,3285100,74.689737
2014-02-04,81.169998,82.959999,81.010002,82.519997,2494100,76.611524
2014-02-05,82.199997,82.970001,81.07,82.720001,3304900,76.797208
2014-02-06,81.720001,82.269997,79.540001,82.25,7595800,76.360859
2014-02-07,82.540001,83.610001,81.739998,83.410004,4464100,77.437806
2014-02-10,83.339996,83.669998,82.279999,82.790001,1975000,76.862196
2014-02-11,82.949997,84.870003,82.510002,84.529999,2866700,78.477609
2014-02-12,84.529999,85.339996,83.910004,84.339996,1793400,78.301211
2014-02-13,83.559998,84.660004,83.110001,84.620003,2172700,78.561169
2014-02-14,84.379997,85.230003,84.220001,84.989998,1964500,78.904672
2014-02-18,84.870003,85.669998,84.790001,85.410004,2169800,79.294605
2014-02-19,85.160004,87.029999,84.169998,84.279999,2672900,78.245509
2014-02-20,84.309998,84.910004,83.110001,84.489998,2942100,78.440472
2014-02-21,83.959999,84.400002,83.699997,83.93,1677000,78.412443
2014-02-24,83.870003,85.370003,83.720001,84.959999,1950300,79.37473
2014-02-25,84.580002,84.910004,83.889999,84.120003,1982100,78.589955
2014-02-26,84.260002,84.610001,83.5,84.160004,1443300,78.627326
2014-02-27,83.980003,84.480003,83.169998,84.160004,1994100,78.627326
2014-02-28,84.389999,85.489998,83.980003,84.580002,2297300,79.019713
2014-03-03,83.519997,83.800003,82.589996,82.989998,2393300,77.534236
2014-03-04,84.190002,85.620003,84.190002,85.330002,2806300,79.720408
2014-03-05,85.339996,86.43,85.0,86.0,2781000,80.346361
2014-03-06,86.389999,87.330002,86.389999,86.769997,2276000,81.065738
2014-03-07,87.949997,89.769997,87.93,88.580002,4372000,82.756753
2014-03-10,88.089996,89.080002,87.739998,88.349998,2147500,82.541871
2014-03-11,88.540001,88.650002,87.080002,87.449997,2014900,81.701035
2014-03-12,86.709999,86.830002,85.709999,86.400002,2517200,80.720066
2014-03-13,86.849998,87.019997,84.120003,84.370003,2632100,78.82352
2014-03-14,84.169998,85.040001,83.660004,83.730003,2099100,78.225594
2014-03-17,84.220001,84.959999,83.730003,83.919998,2178200,78.403098
2014-03-18,83.959999,84.989998,83.959999,84.879997,2468100,79.299987
2014-03-19,84.959999,86.410004,84.709999,85.610001,2701000,79.982
2014-03-20,85.470001,87.75,85.410004,87.690002,3206500,81.925263
2014-03-21,88.489998,89.309998,86.839996,86.839996,4106600,81.131136
2014-03-24,87.339996,88.25,86.419998,86.910004,1997000,81.196541
2014-03-25,87.389999,87.870003,86.839996,87.199997,2189100,81.46747
2014-03-26,87.629997,88.0,85.160004,85.18,2756600,79.580268
2014-03-27,84.919998,85.139999,82.510002,83.309998,3613300,77.833199
2014-03-28,83.830002,84.620003,82.699997,83.589996,2714300,78.094791
2014-03-31,84.339996,84.989998,84.300003,84.650002,2220000,79.085111
2014-04-01,85.040001,85.970001,84.849998,85.82,2111500,80.178194
2014-04-02,85.849998,86.82,85.790001,86.32,2096000,80.645324
2014-04-03,86.480003,86.830002,85.800003,86.5,2195400,80.813491
2014-04-04,87.370003,87.699997,84.25,84.330002,3366700,78.786148
2014-04-07,84.150002,84.199997,81.160004,81.169998,3680700,75.833883
2014-04-08,81.120003,81.629997,80.410004,81.110001,3521000,75.77783
2014-04-09,81.620003,82.330002,80.510002,82.220001,2294900,76.814859
2014-04-10,82.25,82.25,79.279999,79.43,3381400,74.208273
2014-04-11,78.510002,79.330002,77.440002,77.610001,4688500,72.50792
2014-04-14,78.099998,78.709999,77.400002,78.400002,3706100,73.245986
2014-04-15,78.720001,79.330002,77.339996,78.610001,3930900,73.44218
2014-04-16,79.470001,80.129997,78.709999,80.089996,3318700,74.824881
2014-04-17,80.0,81.349998,80.0,80.919998,2738400,75.600318
2014-04-21,80.790001,81.160004,80.550003,81.0,1667600,75.675061
2014-04-22,81.059998,82.730003,80.779999,82.279999,2623600,76.870913
2014-04-23,82.150002,82.599998,81.669998,82.129997,1388100,76.730772
2014-04-24,82.75,82.75,81.330002,81.910004,1795100,76.525241
2014-04-25,81.330002,81.830002,80.300003,80.68,2365600,75.376098
2014-04-28,81.199997,81.400002,78.519997,79.830002,2451600,74.581978
2014-04-29,80.290001,81.040001,80.040001,80.739998,2360200,75.432151
2014-04-30,80.610001,80.800003,80.029999,80.68,2644500,75.376098
2014-05-01,80.660004,81.709999,80.339996,81.169998,1707500,75.833883
2014-05-02,80.5,83.0,80.489998,82.050003,3278500,76.656037
2014-05-05,81.309998,82.540001,80.730003,82.360001,2519800,76.945655
2014-05-06,82.050003,82.089996,80.110001,80.110001,2874900,74.84357
2014-05-07,80.599998,81.089996,79.639999,80.900002,2342300,75.581636
2014-05-08,81.410004,84.5,80.900002,83.25,4298100,77.777146
2014-05-09,83.139999,83.790001,82.5,83.75,2108800,78.244276
2014-05-12,84.389999,84.93,83.919998,84.809998,2039100,79.234589
2014-05-13,84.93,85.150002,84.260002,84.459999,1609900,78.9076
2014-05-14,84.309998,84.330002,82.330002,82.440002,2162300,77.020398
2014-05-15,81.970001,81.989998,78.900002,79.980003,4903600,74.722119
2014-05-16,80.0,80.190002,79.099998,79.599998,2859600,74.367095
2014-05-19,80.110001,81.099998,79.669998,80.970001,2774200,75.647034
2014-05-20,80.93,81.050003,79.779999,80.309998,2040700,75.030419
2014-05-21,80.730003,81.800003,80.699997,81.089996,2456900,75.759141
2014-05-22,80.580002,81.760002,80.400002,81.459999,1838900,76.605513
2014-05-23,81.400002,81.93,81.150002,81.720001,1400300,76.85002
2014-05-27,81.900002,83.389999,81.75,83.110001,2490400,78.157185
2014-05-28,82.779999,83.050003,81.809998,81.839996,2149700,76.962865
2014-05-29,82.059998,82.25,81.419998,82.129997,1847300,77.235583
2014-05-30,81.93,82.709999,81.699997,82.160004,1534100,77.263802
2014-06-02,82.440002,84.120003,82.089996,84.019997,2270900,79.012951
2014-06-03,83.730003,86.080002,83.730003,86.029999,4598100,80.90317
2014-06-04,87.379997,89.300003,87.379997,88.089996,5312000,82.840405
2014-06-05,87.669998,88.610001,87.169998,88.309998,4976600,83.047296
2014-06-06,88.43,89.650002,88.339996,89.349998,2850000,84.025319
2014-06-09,88.949997,90.010002,88.779999,89.43,2140500,84.100554
2014-06-10,88.540001,89.779999,88.540001,89.57,1473800,84.23221
2014-06-11,88.970001,89.610001,88.68,88.860001,1757200,83.564522
2014-06-12,89.82,90.099998,87.910004,88.43,3354500,83.160147
