Date,Open_KMX,High_KMX,Low_KMX,Close_KMX,Volume_KMX,AdjClose_KMX
2013-06-14,46.82,47.310001,46.369999,46.41,1145100,46.41
2013-06-17,46.880001,47.330002,46.689999,47.119999,1118600,47.119999
2013-06-18,47.18,48.299999,46.810001,48.209999,1120800,48.209999
2013-06-19,48.220001,48.41,47.439999,47.470001,1211200,47.470001
2013-06-20,47.07,47.189999,44.25,44.57,3445300,44.57
2013-06-21,47.599998,48.099998,42.209999,44.59,8563100,44.59
2013-06-24,44.0,44.709999,43.419998,43.990002,2270500,43.990002
2013-06-25,44.369999,44.740002,44.040001,44.360001,1714400,44.360001
2013-06-26,44.939999,45.98,44.869999,45.889999,2229600,45.889999
2013-06-27,46.259998,46.84,46.220001,46.700001,1482400,46.700001
2013-06-28,46.599998,46.889999,46.16,46.16,2662400,46.16
2013-07-01,46.66,47.139999,46.27,46.689999,1324600,46.689999
2013-07-02,46.66,47.240002,46.279999,46.52,837100,46.52
2013-07-03,46.369999,46.990002,46.279999,46.799999,481800,46.799999
2013-07-05,47.16,47.48,46.650002,47.330002,578000,47.330002
2013-07-08,47.84,48.639999,47.790001,48.080002,1274900,48.080002
2013-07-09,48.43,48.880001,48.130001,48.669998,1069500,48.669998
2013-07-10,48.639999,48.66,47.990002,48.529999,1188300,48.529999
2013-07-11,49.240002,49.240002,48.310001,48.43,1110300,48.43
2013-07-12,48.450001,48.709999,47.950001,48.0,1237200,48.0
2013-07-15,47.990002,48.439999,47.669998,47.73,1109800,47.73
2013-07-16,47.84,47.990002,47.25,47.630001,963300,47.630001
2013-07-17,47.849998,47.990002,47.580002,47.860001,655200,47.860001
2013-07-18,47.889999,48.360001,47.860001,47.990002,701700,47.990002
2013-07-19,48.040001,48.110001,47.810001,47.84,730400,47.84
2013-07-22,47.900002,48.459999,47.82,48.389999,598500,48.389999
2013-07-23,48.450001,48.869999,47.880001,48.049999,606600,48.049999
2013-07-24,48.189999,48.299999,47.02,47.169998,986400,47.169998
2013-07-25,47.009998,47.389999,46.490002,46.75,1431600,46.75
2013-07-26,46.549999,47.810001,46.509998,47.779999,903400,47.779999
2013-07-29,47.669998,47.939999,47.450001,47.66,518400,47.66
2013-07-30,47.93,48.310001,47.779999,48.259998,886400,48.259998
2013-07-31,48.400002,49.810001,48.400002,49.040001,1619200,49.040001
2013-08-01,49.509998,49.84,49.380001,49.73,1027500,49.73
2013-08-02,49.5,49.57,48.950001,49.57,883400,49.57
2013-08-05,49.459999,49.630001,49.240002,49.400002,742700,49.400002
2013-08-06,49.389999,49.509998,48.82,49.240002,769000,49.240002
2013-08-07,49.099998,49.130001,48.23,48.34,693500,48.34
2013-08-08,48.66,49.360001,48.349998,49.27,1012400,49.27
2013-08-09,49.169998,49.689999,48.970001,49.380001,785300,49.380001
2013-08-12,49.07,49.650002,48.810001,49.509998,660700,49.509998
2013-08-13,49.59,50.0,49.290001,49.740002,521300,49.740002
2013-08-14,49.59,50.0,49.560001,49.610001,541700,49.610001
2013-08-15,49.119999,49.169998,48.049999,48.080002,673100,48.080002
2013-08-16,47.889999,48.43,47.48,47.48,918700,47.48
2013-08-19,47.5,47.880001,47.119999,47.189999,823600,47.189999
2013-08-20,47.259998,48.41,47.259998,48.279999,663100,48.279999
2013-08-21,48.080002,48.41,47.509998,47.860001,636200,47.860001
2013-08-22,47.869999,48.810001,47.709999,48.549999,723500,48.549999
2013-08-23,48.75,48.900002,48.330002,48.860001,637100,48.860001
2013-08-26,48.860001,49.400002,48.799999,48.84,684500,48.84
2013-08-27,48.09,48.169998,47.310001,47.34,694700,47.34
2013-08-28,47.34,47.950001,47.16,47.720001,413200,47.720001
2013-08-29,47.490002,48.299999,47.25,48.049999,404500,48.049999
2013-08-30,48.080002,48.209999,47.310001,47.560001,614800,47.560001
2013-09-03,48.25,48.720001,47.59,48.02,606600,48.02
2013-09-04,48.150002,49.23,47.84,49.049999,887100,49.049999
2013-09-05,49.049999,50.639999,48.91,49.990002,1854700,49.990002
2013-09-06,50.220001,51.720001,49.939999,51.209999,2005500,51.209999
2013-09-09,51.310001,51.48,50.73,51.349998,1077500,51.349998
2013-09-10,51.73,52.27,51.540001,52.049999,1305700,52.049999
2013-09-11,52.16,52.25,51.73,51.759998,954600,51.759998
2013-09-12,51.619999,51.779999,50.939999,51.119999,821900,51.119999
2013-09-13,51.240002,51.439999,51.040001,51.080002,554600,51.080002
2013-09-16,51.720001,51.810001,50.779999,50.919998,1108900,50.919998
2013-09-17,50.889999,51.200001,50.639999,50.98,1062400,50.98
2013-09-18,51.07,51.349998,50.310001,51.130001,1754100,51.130001
2013-09-19,51.32,51.549999,51.18,51.25,1378800,51.25
2013-09-20,51.400002,51.880001,51.049999,51.189999,1855400,51.189999
