Date,Open_KMB,High_KMB,Low_KMB,Close_KMB,Volume_KMB,AdjClose_KMB
2013-06-14,97.570002,98.749997,97.469992,97.859995,2349400,85.515984
2013-06-17,98.309998,99.589995,98.300003,99.539998,2020600,86.984072
2013-06-18,99.680001,99.680001,98.870004,99.440004,1730600,86.896692
2013-06-19,98.989994,99.399994,96.46,96.499994,2431000,84.327533
2013-06-20,95.879997,95.879997,93.809991,94.659999,5664500,82.719634
2013-06-21,95.729999,96.419998,94.829994,95.779995,3933600,83.698354
2013-06-24,94.639994,96.050008,93.760003,95.089996,2470000,83.095391
2013-06-25,95.699991,96.059994,94.41,95.600006,1988100,83.541068
2013-06-26,96.410003,97.299997,96.269992,96.989999,2228800,84.755728
2013-06-27,97.479995,98.189999,97.150007,97.320002,1758300,85.044106
2013-06-28,97.000001,97.540002,96.43,97.140005,2593200,84.886813
2013-07-01,96.879995,98.049996,96.879995,97.169996,1545700,84.913021
2013-07-02,97.379994,97.910008,96.639998,97.039995,1307000,84.799418
2013-07-03,96.839992,97.410001,96.030003,97.029993,980800,84.790678
2013-07-05,97.429998,97.580004,96.089994,97.389996,969300,85.10527
2013-07-08,97.929997,98.589989,97.540002,98.070001,1611400,85.6995
2013-07-09,98.690006,99.080001,98.32,98.529997,1186500,86.101473
2013-07-10,98.719998,98.969997,97.999999,98.589989,1928300,86.153897
2013-07-11,99.480007,99.849997,98.919993,99.650002,1807200,87.0802
2013-07-12,99.419999,99.929993,99.250004,99.879996,1198200,87.281183
2013-07-15,99.889999,100.21,99.069999,100.120001,1445400,87.490914
2013-07-16,99.889999,100.269991,99.519993,100.190003,2252100,87.552086
2013-07-17,100.669997,100.809992,99.519993,99.639999,1464100,87.071459
2013-07-18,99.749995,100.019992,98.789999,98.910006,2338900,86.433547
2013-07-19,98.939998,99.489993,98.16,99.489993,3047200,86.940375
2013-07-22,97.459998,98.910006,96.139991,97.679998,3378600,85.358691
2013-07-23,97.679998,98.360002,96.580006,98.199994,2453000,85.813095
2013-07-24,98.179997,98.300003,97.669995,97.849993,1675700,85.507243
2013-07-25,97.819993,98.789999,97.629993,98.470006,1248200,86.049049
2013-07-26,98.339997,98.589989,97.440001,98.389994,1386000,85.979129
2013-07-29,98.189999,98.690006,97.910008,98.140002,975300,85.760671
2013-07-30,98.54,98.98,97.699995,97.959997,1154300,85.603371
2013-07-31,97.910008,99.269993,97.910008,98.800002,2022900,86.337419
2013-08-01,99.440004,99.99,98.24999,98.789999,1898100,86.328678
2013-08-02,98.670001,99.639999,98.16,99.61,1887000,87.045244
2013-08-05,99.269993,99.690004,99.020002,99.319998,1282600,86.791823
