Date,Open_FDX,High_FDX,Low_FDX,Close_FDX,Volume_FDX,AdjClose_FDX
2013-06-14,99.510002,100.75,98.720001,99.120003,1534900,97.636891
2013-06-17,100.129997,100.199997,97.68,98.410004,2504600,96.937515
2013-06-18,98.620003,100.379997,98.239998,99.480003,2195300,97.991505
2013-06-19,100.959999,103.470001,99.260002,100.540001,4496600,99.035642
2013-06-20,97.839996,97.970001,95.169998,95.709999,4945600,94.27791
2013-06-21,96.5,97.029999,94.669998,96.459999,3632400,95.016688
2013-06-24,95.370003,96.699997,94.599998,95.900002,2710500,94.46507
2013-06-25,97.050003,98.309998,96.68,97.190002,2240600,95.735769
2013-06-26,98.07,99.349998,97.989998,98.370003,2777200,96.898113
2013-06-27,99.150002,99.529999,98.730003,99.370003,1941500,97.88315
2013-06-28,98.910004,99.589996,98.580002,98.580002,2245400,97.10497
2013-07-01,98.720001,99.730003,98.550003,98.889999,1975900,97.410329
2013-07-02,98.760002,99.419998,97.940002,98.269997,1740900,96.799603
2013-07-03,97.879997,98.25,97.540001,97.769997,783900,96.307084
2013-07-05,98.589996,99.199997,98.18,98.959999,1056300,97.479281
2013-07-08,99.18,99.5,98.629997,98.830002,1913400,97.351229
2013-07-09,99.5,106.349998,99.389999,103.150002,15122500,101.606589
2013-07-10,102.68,106.470001,102.010002,103.0,6783500,101.458832
2013-07-11,104.0,105.980003,103.910004,104.400002,3983100,102.837886
2013-07-12,102.07,103.309998,101.580002,102.290001,5071300,100.759457
2013-07-15,102.279999,103.93,102.139999,103.699997,2218200,102.148355
2013-07-16,103.379997,103.980003,102.949997,103.510002,1905800,101.961203
2013-07-17,103.599998,104.949997,103.059998,104.260002,2141400,102.699981
2013-07-18,103.919998,108.980003,103.849998,108.660004,4659400,107.034147
2013-07-19,108.449997,108.449997,107.330002,108.029999,2387500,106.413568
2013-07-22,108.07,108.879997,107.650002,107.75,2305200,106.137759
2013-07-23,107.940002,108.0,106.449997,106.790001,2080100,105.192124
2013-07-24,106.910004,107.199997,105.779999,105.879997,1280500,104.295737
2013-07-25,105.889999,106.110001,101.949997,104.870003,3956100,103.300855
2013-07-26,104.690002,105.279999,104.139999,104.580002,1831700,103.015193
2013-07-29,104.099998,104.57,103.230003,103.389999,1301400,101.842996
2013-07-30,104.129997,104.400002,103.32,103.559998,1241400,102.010451
2013-07-31,102.0,106.959999,102.0,106.0,5473500,104.413944
2013-08-01,106.790001,110.330002,106.540001,110.0,5120900,108.354093
2013-08-02,108.730003,110.080002,108.699997,109.150002,1717600,107.516813
2013-08-05,109.0,109.720001,108.75,109.419998,1429400,107.782769
2013-08-06,109.330002,109.849998,108.360001,108.769997,1567800,107.142494
2013-08-07,108.019997,108.540001,107.529999,107.980003,1598300,106.364321
