Date,Open_LLL,High_LLL,Low_LLL,Close_LLL,Volume_LLL,AdjClose_LLL
2015-06-08,115.529999,115.989998,115.059998,115.099998,484800,112.581449
2015-06-09,114.910004,115.18,114.029999,114.110001,530900,111.613114
2015-06-10,114.169998,116.120003,114.129997,115.839996,513200,113.305255
2015-06-11,115.919998,117.309998,115.790001,117.199997,523000,114.635497
2015-06-12,116.190002,116.760002,115.370003,116.550003,401800,113.999726
2015-06-15,115.370003,116.269997,114.779999,115.489998,361200,112.962915
2015-06-16,115.209999,116.040001,114.860001,115.730003,347100,113.197669
2015-06-17,115.989998,117.110001,115.290001,116.440002,485700,113.892132
2015-06-18,116.720001,118.110001,116.360001,117.629997,435900,115.056088
2015-06-19,117.519997,117.580002,116.419998,116.769997,476900,114.214905
2015-06-22,117.300003,117.580002,116.480003,117.400002,304500,114.831125
2015-06-23,117.220001,117.529999,116.230003,116.709999,412200,114.156221
2015-06-24,116.709999,116.720001,115.550003,115.730003,409100,113.197669
2015-06-25,115.75,115.75,114.190002,114.279999,393400,111.779392
2015-06-26,114.699997,114.879997,114.300003,114.699997,492300,112.1902
2015-06-29,113.879997,114.760002,113.209999,113.279999,509900,110.801274
2015-06-30,114.25,114.309998,113.010002,113.379997,535600,110.899084
2015-07-01,114.629997,115.900002,114.470001,115.849998,539300,113.315038
2015-07-02,116.129997,116.459999,115.629997,115.739998,681900,113.207444
2015-07-06,114.75,116.059998,113.779999,116.010002,596300,113.471541
2015-07-07,116.440002,118.32,115.260002,118.239998,809500,115.652741
2015-07-08,117.370003,118.540001,117.139999,117.209999,884400,114.64528
2015-07-09,118.199997,118.540001,117.589996,117.589996,765600,115.016962
2015-07-10,119.080002,120.620003,118.720001,120.220001,651200,117.589419
2015-07-13,121.07,121.339996,120.540001,121.050003,663500,118.401259
2015-07-14,121.18,121.940002,120.540001,121.660004,528700,118.997912
2015-07-15,121.760002,122.110001,121.239998,122.050003,509200,119.379378
2015-07-16,122.57,123.32,122.040001,123.290001,572000,120.592243
2015-07-17,122.730003,123.080002,122.459999,122.669998,485300,119.985807
2015-07-20,122.889999,123.029999,122.459999,122.800003,472600,120.112967
2015-07-21,122.43,122.589996,121.470001,121.75,682700,119.085939
2015-07-22,121.699997,122.029999,121.129997,121.75,579700,119.085939
2015-07-23,122.040001,122.980003,121.709999,121.93,496400,119.262001
2015-07-24,121.639999,121.68,120.300003,120.650002,349800,118.01001
2015-07-27,120.379997,120.489998,119.540001,120.190002,466300,117.560077
2015-07-28,120.5,121.989998,120.059998,121.580002,528700,118.919661
2015-07-29,122.0,124.400002,121.370003,124.040001,722000,121.325832
2015-07-30,118.279999,118.480003,113.309998,114.75,2723200,112.239109
2015-07-31,114.43,117.5,113.339996,115.459999,1287400,112.933572
2015-08-03,115.389999,115.809998,113.489998,114.410004,1034900,111.906552
2015-08-04,114.32,115.529999,113.580002,114.760002,478900,112.248892
2015-08-05,115.080002,116.32,115.010002,115.550003,903400,113.021607
2015-08-06,115.589996,116.059998,114.559998,115.709999,702700,113.178102
2015-08-07,115.400002,116.080002,114.099998,115.269997,593300,112.747728
2015-08-10,116.18,117.360001,115.720001,116.339996,924900,113.794314
2015-08-11,115.260002,115.75,114.690002,115.629997,670500,113.099851
2015-08-12,114.300003,116.010002,113.760002,115.540001,791400,113.011824
2015-08-13,114.980003,116.260002,114.370003,115.550003,697700,113.661039
2015-08-14,115.650002,116.160004,114.379997,115.43,675200,113.542998
2015-08-17,115.019997,115.910004,114.839996,115.790001,350200,113.897114
2015-08-18,115.370003,115.639999,114.809998,115.050003,439500,113.169213
2015-08-19,114.220001,114.940002,113.400002,113.779999,525100,111.91997
2015-08-20,112.720001,112.959999,111.550003,111.629997,496600,109.805116
2015-08-21,110.290001,110.849998,108.43,108.5,645200,106.726287
2015-08-24,101.110001,108.43,101.110001,105.660004,1151900,103.932718
2015-08-25,106.870003,107.790001,104.239998,104.370003,862100,102.663805
2015-08-26,106.419998,107.300003,103.830002,107.120003,735800,105.368849
2015-08-27,108.07,108.839996,105.18,107.120003,1008800,105.368849
2015-08-28,106.769997,107.169998,106.25,106.970001,528800,105.2213
2015-08-31,106.589996,106.800003,105.190002,105.470001,559500,103.745821
2015-09-01,103.779999,104.220001,102.690002,103.07,598500,101.385054
2015-09-02,103.849998,105.949997,103.82,105.949997,377100,104.21797
2015-09-03,106.230003,107.57,105.879997,106.32,334200,104.581924
2015-09-04,104.730003,105.32,104.220001,104.629997,414400,102.919549
2015-09-08,104.940002,107.050003,104.860001,107.019997,1088600,105.270478
2015-09-09,108.040001,108.279999,105.709999,105.940002,588700,104.208139
2015-09-10,105.629997,106.589996,104.260002,105.839996,382100,104.109768
2015-09-11,105.550003,106.169998,105.129997,105.610001,454600,103.883532
2015-09-14,105.580002,106.010002,105.080002,105.839996,455600,104.109768
2015-09-15,106.019997,107.970001,105.75,107.510002,353900,105.752473
2015-09-16,107.650002,107.870003,106.419998,107.650002,497700,105.890184
2015-09-17,107.760002,109.849998,107.57,108.080002,851700,106.313155
2015-09-18,106.769997,107.93,106.110001,106.889999,843300,105.142606
2015-09-21,107.410004,108.699997,107.160004,107.940002,581800,106.175444
2015-09-22,106.559998,106.82,105.470001,105.989998,388400,104.257317
2015-09-23,106.300003,106.949997,103.839996,104.440002,472500,102.73266
2015-09-24,103.400002,104.669998,102.559998,104.339996,602600,102.634289
2015-09-25,104.889999,105.169998,103.470001,104.269997,705000,102.565434
2015-09-28,103.459999,103.82,101.839996,101.900002,588700,100.234182
2015-09-29,101.790001,103.150002,101.129997,102.080002,526200,100.41124
2015-09-30,103.25,104.580002,103.07,104.519997,498100,102.811347
2015-10-01,104.339996,105.0,102.739998,103.989998,380000,102.290012
2015-10-02,102.760002,105.290001,102.400002,105.260002,411300,103.539255
2015-10-05,106.139999,107.209999,106.139999,107.129997,438900,105.37868
2015-10-06,106.970001,108.580002,106.889999,107.639999,608500,105.880345
2015-10-07,108.129997,110.559998,108.129997,110.440002,758500,108.634575
2015-10-08,110.139999,113.190002,110.139999,112.830002,478600,110.985504
2015-10-09,113.120003,114.349998,112.639999,113.68,433500,111.821607
2015-10-12,113.559998,113.849998,113.07,113.580002,329900,111.723243
2015-10-13,112.589996,113.269997,111.440002,111.480003,449700,109.657574
2015-10-14,111.449997,111.93,108.809998,109.5,367600,107.709939
2015-10-15,110.230003,110.699997,108.910004,110.339996,592200,108.536204
2015-10-16,110.82,111.139999,110.040001,110.339996,434600,108.536204
2015-10-19,109.940002,110.139999,109.589996,109.93,658500,108.13291
2015-10-20,109.760002,111.07,108.209999,110.660004,461200,108.85098
2015-10-21,111.449997,112.730003,111.309998,111.349998,434600,109.529695
2015-10-22,112.18,114.699997,112.080002,114.010002,365800,112.146214
2015-10-23,114.419998,115.129997,113.449997,114.839996,341200,112.962639
2015-10-26,114.989998,115.309998,114.360001,115.040001,256700,113.159374
2015-10-27,114.459999,115.220001,114.230003,114.550003,419900,112.677387
2015-10-28,116.849998,126.230003,116.839996,125.589996,1869600,123.536903
2015-10-29,123.790001,131.360001,120.93,128.399994,2197300,126.300964
2015-10-30,127.43,128.770004,126.360001,126.400002,1360200,124.333666
2015-11-02,126.400002,127.470001,123.07,124.230003,1327000,122.199143
2015-11-03,123.800003,124.730003,123.279999,123.720001,870000,121.697478
2015-11-04,123.940002,124.5,122.599998,123.040001,876000,121.028594
2015-11-05,123.129997,123.75,122.419998,122.93,709200,120.920391
2015-11-06,122.459999,122.980003,120.470001,122.089996,707000,120.094119
2015-11-09,121.449997,121.68,119.93,120.68,387400,118.707173
2015-11-10,120.300003,121.0,119.050003,119.889999,486200,117.930087
2015-11-11,120.230003,121.5,119.959999,120.169998,478200,118.205509
2015-11-12,119.07,119.589996,118.370003,118.849998,819900,117.542878
2015-11-13,118.68,119.629997,118.25,118.410004,480800,117.107722
2015-11-16,118.959999,123.949997,118.959999,123.650002,1149300,122.29009
2015-11-17,124.050003,124.849998,123.050003,124.419998,878000,123.051618
2015-11-18,124.68,125.959999,124.209999,125.160004,679100,123.783485
2015-11-19,125.529999,126.199997,124.419998,125.360001,519200,123.981283
2015-11-20,126.040001,126.93,125.839996,126.349998,495900,124.960392
2015-11-23,126.120003,126.599998,125.720001,126.019997,407300,124.63402
2015-11-24,125.629997,125.93,118.290001,124.610001,2009800,123.239531
2015-11-25,124.480003,126.620003,123.059998,123.57,482100,122.210968
2015-11-27,123.599998,124.860001,123.589996,124.470001,152500,123.101071
2015-11-30,124.599998,124.599998,122.029999,122.410004,699600,121.06373
2015-12-01,123.300003,123.900002,122.18,122.959999,625200,121.607676
2015-12-02,122.93,123.489998,122.0,122.360001,465800,121.014277
2015-12-03,122.559998,122.900002,120.080002,120.739998,482100,119.412091
2015-12-04,121.209999,124.82,121.019997,124.010002,1175400,122.646131
2015-12-07,123.809998,125.699997,123.809998,125.470001,815100,124.090073
2015-12-08,124.269997,125.230003,123.410004,124.209999,822900,122.843929
2015-12-09,123.5,124.440002,119.93,120.610001,737300,119.283523
2015-12-10,120.57,121.970001,119.839996,121.190002,538900,119.857146
2015-12-11,119.769997,120.489998,118.93,119.260002,560900,117.948372
2015-12-14,119.550003,119.889999,117.940002,119.510002,671000,118.195623
2015-12-15,119.860001,121.300003,119.169998,119.480003,465700,118.165954
2015-12-16,120.330002,121.290001,119.089996,120.769997,461800,119.44176
2015-12-17,120.989998,121.239998,117.529999,117.650002,658300,116.356079
2015-12-18,117.580002,117.779999,116.43,116.559998,1055900,115.278063
2015-12-21,117.709999,118.660004,116.760002,117.260002,512600,115.970368
2015-12-22,117.93,119.120003,117.580002,118.480003,432200,117.176952
2015-12-23,118.980003,119.889999,118.129997,119.720001,872500,118.403312
2015-12-24,119.610001,120.449997,119.07,119.949997,123500,118.630778
2015-12-28,119.709999,119.709999,118.050003,119.379997,316100,118.067048
2015-12-29,120.050003,121.269997,119.940002,120.720001,270300,119.392314
2015-12-30,120.779999,121.68,120.300003,120.940002,302700,119.609896
2015-12-31,120.260002,120.739998,119.120003,119.510002,290300,118.195623
2016-01-04,117.849998,117.849998,115.959999,117.279999,474400,115.990145
2016-01-05,117.599998,120.120003,117.599998,119.599998,555300,118.284629
2016-01-06,118.309998,119.32,116.489998,117.480003,502600,116.18795
2016-01-07,115.050003,117.559998,114.93,115.68,573200,114.407744
2016-01-08,116.059998,117.279999,114.260002,114.550003,746200,113.290174
2016-01-11,115.089996,116.449997,114.629997,115.889999,437100,114.615433
2016-01-12,116.699997,117.379997,114.849998,116.940002,460100,115.653888
2016-01-13,117.57,117.769997,113.370003,114.18,494000,112.924241
2016-01-14,114.239998,114.709999,112.75,113.550003,491600,112.301172
2016-01-15,110.610001,112.5,109.900002,111.690002,607600,110.461628
2016-01-19,112.970001,113.059998,109.650002,109.870003,697600,108.661645
2016-01-20,108.349998,108.959999,105.879997,108.050003,632400,106.861662
2016-01-21,108.370003,110.099998,107.919998,108.849998,690000,107.652859
2016-01-22,109.889999,111.599998,109.889999,111.559998,422000,110.333053
2016-01-25,111.559998,111.839996,110.139999,110.269997,347500,109.057239
2016-01-26,110.169998,112.25,110.169998,111.919998,427300,110.689094
2016-01-27,110.989998,112.099998,109.889999,110.209999,755500,108.997902
2016-01-28,112.5,114.57,110.260002,111.980003,864300,110.748439
2016-01-29,112.839996,116.870003,112.699997,116.839996,1069800,115.554982
2016-02-01,118.370003,118.730003,117.029999,117.589996,854700,116.296733
2016-02-02,116.650002,117.519997,116.169998,116.75,657600,115.465975
2016-02-03,117.82,118.209999,115.800003,117.57,655300,116.276957
2016-02-04,117.57,118.449997,116.889999,117.389999,543100,116.098936
2016-02-05,117.540001,117.949997,116.720001,117.580002,768100,116.286849
2016-02-08,116.139999,117.279999,115.610001,117.199997,699200,115.911023
2016-02-09,115.790001,119.139999,115.790001,118.150002,608600,116.85058
2016-02-10,118.540001,119.25,117.559998,118.099998,349700,116.801126
2016-02-11,115.889999,116.389999,112.449997,114.730003,484000,113.468195
2016-02-12,115.190002,115.959999,113.980003,115.330002,415300,114.061594
2016-02-16,117.040001,117.040001,115.169998,116.199997,572800,114.922021
2016-02-17,117.25,118.370003,116.379997,117.139999,594900,115.851685
2016-02-18,117.540001,118.870003,116.449997,117.43,485400,116.138497
