Date,Open_JBHT,High_JBHT,Low_JBHT,Close_JBHT,Volume_JBHT,AdjClose_JBHT
2013-06-14,72.400002,72.779999,71.809998,72.010002,358700,69.858791
2013-06-17,72.349998,72.669998,71.620003,72.25,581800,70.091619
2013-06-18,72.309998,73.029999,72.029999,72.699997,274500,70.528173
2013-06-19,72.870003,73.370003,72.459999,72.519997,336200,70.35355
2013-06-20,71.860001,72.0,70.599998,70.800003,548900,68.684939
2013-06-21,71.010002,71.309998,69.43,69.68,980400,67.598395
2013-06-24,68.690002,69.18,67.970001,68.610001,645600,66.56036
2013-06-25,69.300003,69.860001,69.029999,69.230003,608900,67.161841
2013-06-26,70.019997,70.889999,69.599998,70.389999,627300,68.287183
2013-06-27,70.879997,71.839996,70.410004,71.360001,369900,69.228207
2013-06-28,71.480003,72.360001,71.279999,72.239998,852500,70.081915
2013-07-01,72.709999,73.919998,72.419998,73.489998,741500,71.294573
2013-07-02,73.230003,73.949997,73.010002,73.230003,489700,71.042346
2013-07-03,72.529999,73.82,72.510002,73.300003,312300,71.110254
2013-07-05,73.550003,75.0,73.480003,74.769997,439800,72.536334
2013-07-08,75.230003,75.760002,74.870003,75.139999,498700,72.895283
2013-07-09,75.440002,76.879997,75.239998,76.290001,611600,74.01093
2013-07-10,76.040001,76.739998,75.550003,76.559998,600600,74.27286
2013-07-11,77.290001,77.760002,76.82,76.900002,452400,74.602707
2013-07-12,76.400002,76.5,75.470001,75.730003,575900,73.467661
2013-07-15,73.519997,76.599998,73.010002,76.220001,1311000,73.943021
2013-07-16,76.529999,77.559998,75.18,75.480003,710800,73.22513
2013-07-17,75.349998,75.889999,74.489998,74.860001,667300,72.623649
2013-07-18,74.769997,75.989998,74.769997,75.610001,415100,73.351243
2013-07-19,75.440002,75.970001,75.150002,75.459999,234500,73.205723
2013-07-22,75.029999,75.669998,74.839996,74.879997,390800,72.643048
2013-07-23,75.239998,75.239998,74.510002,74.599998,432000,72.371414
2013-07-24,74.540001,75.089996,73.889999,74.040001,344600,71.828146
2013-07-25,74.029999,74.779999,73.75,74.5,316200,72.274403
2013-07-26,73.980003,75.089996,73.910004,75.010002,225100,72.769169
2013-07-29,74.440002,75.080002,74.440002,74.690002,257300,72.458729
2013-07-30,75.129997,75.279999,74.260002,74.599998,357200,72.371414
2013-07-31,74.800003,75.5,74.620003,74.93,495700,72.838017
2013-08-01,75.879997,78.389999,75.830002,77.779999,1107000,75.608446
2013-08-02,77.75,78.160004,77.059998,77.440002,350600,75.277942
2013-08-05,77.18,77.620003,76.849998,77.389999,249400,75.229335
2013-08-06,76.989998,77.309998,75.839996,75.949997,253000,73.829536
2013-08-07,75.589996,76.029999,74.709999,75.169998,242300,73.071314
2013-08-08,75.379997,76.139999,75.019997,75.919998,207400,73.800375
2013-08-09,75.800003,76.230003,75.339996,75.709999,205300,73.596239
2013-08-12,75.160004,76.339996,75.040001,76.190002,193100,74.062841
2013-08-13,76.129997,76.410004,75.220001,75.470001,301800,73.362941
2013-08-14,75.739998,75.739998,74.330002,74.459999,288100,72.381137
