Date,Open_BXP,High_BXP,Low_BXP,Close_BXP,Volume_BXP,AdjClose_BXP
2013-06-14,110.779999,113.190002,109.790001,110.089996,1184400,96.463967
2013-06-17,110.809998,111.519997,110.190002,111.230003,1177200,97.462874
2013-06-18,111.160004,111.919998,110.440002,111.199997,961400,97.436581
2013-06-19,111.230003,111.68,107.239998,107.510002,924300,94.203303
2013-06-20,106.790001,106.959999,99.809998,100.580002,2501000,88.131041
2013-06-21,101.470001,102.940002,99.709999,101.940002,1823600,89.322712
2013-06-24,100.43,104.900002,99.589996,102.629997,1484600,89.927305
2013-06-25,103.620003,103.900002,101.860001,102.660004,1236700,89.953598
2013-06-26,103.080002,104.349998,102.760002,103.910004,1303000,91.629036
2013-06-27,104.449997,106.620003,104.440002,106.480003,1164300,93.895291
2013-06-28,106.300003,106.900002,105.370003,105.470001,1079500,93.00466
2013-07-01,106.269997,106.360001,104.529999,104.760002,651700,92.378575
2013-07-02,104.099998,106.830002,104.050003,106.089996,812600,93.551379
2013-07-03,105.43,106.260002,104.440002,104.93,539300,92.528481
2013-07-05,105.660004,105.839996,103.150002,105.18,743700,92.748934
2013-07-08,105.300003,106.419998,105.0,105.470001,1128100,93.00466
2013-07-09,105.959999,107.75,105.889999,107.309998,850800,94.62719
2013-07-10,107.029999,107.279999,105.870003,106.860001,743600,94.230377
2013-07-11,107.849998,111.129997,107.849998,110.690002,1171200,97.607717
2013-07-12,110.910004,111.440002,109.209999,110.360001,1178000,97.316718
2013-07-15,110.0,110.0,108.25,109.699997,856100,96.734719
2013-07-16,109.660004,110.190002,108.900002,109.5,834900,96.558359
2013-07-17,109.769997,109.959999,108.57,109.050003,1004300,96.161547
2013-07-18,109.519997,110.529999,109.160004,110.510002,548600,97.448991
2013-07-19,110.459999,110.690002,109.389999,110.110001,670900,97.096265
2013-07-22,110.089996,111.620003,109.879997,111.349998,654900,98.189709
2013-07-23,111.510002,111.82,110.5,111.0,487400,97.881076
2013-07-24,111.07,111.410004,108.480003,109.029999,1032800,96.143907
2013-07-25,108.400002,109.370003,108.07,108.550003,857100,95.720641
2013-07-26,108.339996,109.779999,107.830002,109.75,535900,96.778812
2013-07-29,109.440002,109.839996,108.470001,108.970001,379700,96.091
2013-07-30,109.419998,110.25,108.459999,108.720001,747200,95.870547
2013-07-31,108.739998,109.900002,103.82,106.949997,1628500,94.309737
2013-08-01,106.919998,107.459999,104.400002,105.0,866600,92.590207
2013-08-02,105.010002,105.330002,103.82,103.970001,715700,91.681943
2013-08-05,103.790001,104.449997,103.410004,103.989998,420500,91.699576
2013-08-06,103.260002,104.440002,103.129997,103.919998,711500,91.637849
2013-08-07,103.75,103.919998,102.25,102.650002,1251700,90.517952
2013-08-08,103.099998,103.209999,102.160004,103.0,847000,90.826584
2013-08-09,103.07,105.300003,102.610001,105.089996,926900,92.669567
2013-08-12,104.779999,105.199997,103.309998,103.830002,1003500,91.55849
2013-08-13,103.720001,103.93,102.07,103.110001,1123200,90.923584
2013-08-14,103.110001,103.5,102.529999,103.410004,727700,91.18813
2013-08-15,102.760002,103.279999,100.82,101.75,1327500,89.72432
2013-08-16,101.389999,101.839996,98.290001,99.459999,1701900,87.704971
2013-08-19,99.449997,99.910004,98.209999,98.269997,964100,86.655613
2013-08-20,98.459999,101.919998,98.459999,101.550003,1194600,89.54796
2013-08-21,101.199997,102.349998,99.800003,100.800003,750100,88.886602
2013-08-22,100.919998,101.669998,100.480003,101.440002,716900,89.450961
2013-08-23,101.550003,103.360001,101.18,103.290001,632800,91.082311
2013-08-26,103.57,104.449997,103.199997,103.959999,769700,91.673123
2013-08-27,102.839996,103.620003,102.519997,103.410004,598400,91.18813
2013-08-28,103.349998,103.480003,102.309998,102.75,599300,90.606132
2013-08-29,102.050003,102.459999,101.260002,102.389999,683500,90.288679
2013-08-30,102.519997,103.080002,102.099998,102.5,1062900,90.385679
2013-09-03,103.099998,103.279999,100.790001,101.68,1258800,89.662594
2013-09-04,101.830002,103.260002,101.330002,102.980003,965100,90.808951
2013-09-05,103.330002,103.449997,102.199997,102.480003,1092300,90.368045
2013-09-06,103.550003,105.470001,103.349998,104.809998,1015600,92.422661
2013-09-09,104.75,105.790001,104.660004,105.790001,906800,93.286839
2013-09-10,106.25,106.68,105.400002,106.620003,729000,94.018745
2013-09-11,106.389999,107.040001,106.059998,106.959999,669500,94.318557
2013-09-12,106.68,107.239998,104.190002,104.599998,810500,92.237482
2013-09-13,104.690002,105.309998,104.400002,104.800003,464200,92.413848
2013-09-16,106.650002,107.160004,105.360001,105.860001,447400,93.348566
2013-09-17,105.82,106.809998,105.279999,105.699997,396500,93.207473
2013-09-18,105.620003,111.029999,104.699997,110.889999,1427100,97.784077
2013-09-19,110.800003,112.93,110.690002,111.120003,1181000,97.986896
2013-09-20,111.099998,111.099998,108.949997,109.360001,1386800,96.434906
2013-09-23,108.940002,110.379997,108.349998,109.43,999500,96.496633
2013-09-24,109.120003,109.639999,107.080002,107.199997,912000,94.53019
2013-09-25,107.129997,108.370003,105.57,106.309998,1131100,93.745378
2013-09-26,106.010002,106.839996,105.739998,106.739998,591800,94.703594
2013-09-27,106.419998,107.449997,106.160004,107.089996,827200,95.014125
2013-09-30,106.68,107.970001,106.279999,106.900002,994200,94.845555
2013-10-01,107.059998,108.910004,106.400002,107.739998,1242700,95.59083
2013-10-02,106.519997,107.650002,105.870003,107.559998,1049300,95.431128
2013-10-03,107.470001,107.550003,105.349998,106.699997,794500,94.668104
2013-10-04,106.940002,107.830002,105.769997,106.480003,584500,94.472918
2013-10-07,105.68,106.970001,105.440002,105.550003,633800,93.647788
2013-10-08,104.82,104.980003,103.330002,103.550003,1316600,91.873315
2013-10-09,103.82,104.669998,103.190002,103.440002,755600,91.775719
2013-10-10,104.209999,105.489998,103.809998,105.349998,1317500,93.470336
2013-10-11,105.510002,107.330002,105.010002,107.279999,805900,95.182702
2013-10-14,106.809998,107.5,106.099998,107.220001,664500,95.12947
2013-10-15,106.519997,108.080002,106.519997,106.980003,429400,94.916536
2013-10-16,107.32,108.910004,106.860001,108.449997,733900,96.220767
2013-10-17,108.019997,109.580002,107.82,109.18,682300,96.868453
2013-10-18,108.830002,109.349998,107.300003,108.82,960400,96.549047
2013-10-21,108.650002,108.650002,106.519997,106.980003,977900,94.916536
2013-10-22,107.550003,109.690002,107.550003,109.370003,1218700,97.03703
2013-10-23,109.120003,109.589996,107.870003,108.400002,697300,96.17641
2013-10-24,108.400002,108.75,107.32,107.379997,865300,95.271425
2013-10-25,107.260002,109.669998,107.239998,109.639999,991900,97.276581
2013-10-28,109.809998,109.830002,106.949997,107.389999,716500,95.280299
2013-10-29,107.379997,108.050003,106.279999,107.959999,1034000,95.786023
2013-10-30,106.870003,106.870003,103.629997,105.059998,1528100,93.213037
2013-10-31,105.0,105.639999,102.879997,103.5,1305500,91.828951
2013-11-01,103.959999,104.599998,102.989998,104.419998,800800,92.645206
2013-11-04,104.459999,104.989998,103.419998,103.779999,935100,92.077376
2013-11-05,103.400002,103.599998,102.0,102.150002,858600,90.631183
2013-11-06,102.290001,102.790001,101.93,102.150002,694400,90.631183
2013-11-07,102.449997,102.690002,101.120003,101.230003,793900,89.814927
2013-11-08,100.860001,100.870003,98.709999,100.330002,1060900,89.016413
2013-11-11,100.660004,101.730003,100.660004,100.959999,495300,89.57537
2013-11-12,100.730003,101.099998,99.940002,100.650002,852700,89.300329
2013-11-13,100.389999,101.370003,100.059998,101.32,626400,89.894775
2013-11-14,101.610001,102.400002,101.199997,101.580002,700600,90.125459
2013-11-15,101.470001,103.120003,101.470001,103.029999,1185300,91.411948
2013-11-18,103.699997,103.970001,102.129997,102.489998,703600,90.93284
2013-11-19,102.57,103.720001,101.620003,103.410004,767900,91.749103
2013-11-20,103.309998,104.260002,101.25,101.879997,881000,90.391625
2013-11-21,101.760002,102.68,101.25,102.360001,722500,90.817502
2013-11-22,102.360001,102.760002,101.040001,101.690002,689700,90.223055
2013-11-25,101.709999,102.279999,101.199997,101.620003,581300,90.160949
2013-11-26,101.620003,101.800003,100.639999,100.660004,592700,89.309203
2013-11-27,100.739998,101.760002,100.089996,101.620003,603300,90.160949
2013-11-29,101.949997,102.050003,99.360001,99.489998,493900,88.271131
2013-12-02,99.849998,101.160004,99.510002,99.839996,1161100,88.581663
2013-12-03,99.239998,100.010002,98.900002,99.489998,1108600,88.271131
2013-12-04,98.610001,100.720001,98.519997,99.779999,810800,88.528431
2013-12-05,99.389999,100.400002,98.419998,100.040001,1091000,88.759114
2013-12-06,100.93,101.419998,99.940002,100.730003,912000,89.371309
2013-12-09,100.959999,102.0,100.480003,102.0,876300,90.498096
2013-12-10,101.699997,102.959999,101.379997,102.230003,987800,90.702164
2013-12-11,102.089996,102.089996,99.599998,99.660004,1243800,88.421967
2013-12-12,99.769997,99.830002,98.830002,99.129997,947100,87.951726
2013-12-13,99.620003,100.370003,98.18,98.459999,883800,87.357279
2013-12-16,98.589996,99.239998,98.040001,98.970001,733000,87.809772
2013-12-17,99.260002,101.160004,98.879997,101.110001,994400,89.708457
2013-12-18,101.370003,103.209999,99.739998,103.0,1012400,91.385332
2013-12-19,103.099998,103.099998,101.57,102.150002,1167800,90.631183
2013-12-20,101.959999,103.620003,101.809998,103.5,1475400,91.828951
2013-12-23,103.959999,105.220001,103.370003,103.709999,789800,92.015269
2013-12-24,103.510002,104.029999,102.57,103.419998,373900,91.75797
2013-12-26,103.889999,104.239998,102.830002,104.0,608100,92.272569
2013-12-27,101.07,101.5,99.800003,100.400002,653300,91.633693
2013-12-30,100.540001,101.300003,100.25,101.110001,502100,92.281699
2013-12-31,101.150002,101.620003,99.889999,100.370003,896800,91.606313
2014-01-02,100.220001,101.360001,99.550003,100.389999,894800,91.624564
2014-01-03,100.730003,102.699997,100.07,101.589996,686800,92.719785
2014-01-06,101.839996,103.209999,101.699997,102.720001,981000,93.751124
2014-01-07,102.709999,103.830002,102.129997,103.379997,1127800,94.353494
2014-01-08,103.510002,104.010002,102.339996,102.690002,908900,93.723745
2014-01-09,102.93,102.93,101.739998,102.739998,934100,93.769375
2014-01-10,103.150002,104.980003,102.75,104.440002,929000,95.320946
2014-01-13,104.059998,104.940002,103.160004,103.599998,769000,94.554286
2014-01-14,104.050003,104.989998,103.599998,104.559998,970400,95.430464
2014-01-15,104.25,105.349998,104.25,105.190002,913800,96.00546
2014-01-16,104.879997,105.660004,104.68,104.870003,553800,95.713401
2014-01-17,105.120003,105.239998,104.139999,104.739998,991800,95.594747
2014-01-21,105.099998,106.93,105.099998,106.209999,976700,96.936397
2014-01-22,106.57,107.809998,106.410004,107.290001,705800,97.9221
2014-01-23,106.260002,107.120003,105.940002,106.900002,662800,97.566153
2014-01-24,106.75,106.849998,104.889999,104.889999,833600,95.731652
2014-01-27,104.949997,105.629997,103.93,104.309998,809800,95.202292
2014-01-28,104.360001,105.989998,104.360001,105.32,762000,96.124107
2014-01-29,104.860001,106.839996,104.190002,105.800003,1056800,96.562199
