Date,Open_MDT,High_MDT,Low_MDT,Close_MDT,Volume_MDT,AdjClose_MDT
2013-06-14,52.880001,53.299999,52.619999,52.919998,5463600,50.165071
2013-06-17,53.169998,53.799999,53.099998,53.509998,6131000,50.724357
2013-06-18,52.990002,53.25,52.450001,52.919998,5610000,50.165071
2013-06-19,52.990002,53.18,52.049999,52.049999,5714900,49.340363
2013-06-20,51.66,51.98,51.060001,51.189999,7158700,48.525132
2013-06-21,51.669998,52.549999,51.66,52.490002,8406400,49.757459
2013-06-24,52.07,52.23,51.189999,51.580002,6412400,48.894833
2013-06-25,52.0,52.189999,51.369999,51.830002,3921300,49.131818
2013-06-26,52.380001,52.759998,52.0,52.0,4362200,49.292966
2013-06-27,52.130001,52.220001,51.709999,51.93,4382200,49.226611
2013-06-28,51.93,52.169998,51.470001,51.470001,6747100,48.790558
2013-07-01,52.060001,52.630001,51.91,52.049999,4715800,49.340363
2013-07-02,51.779999,52.290001,51.650002,51.810001,4872100,49.378486
2013-07-03,51.66,51.869999,51.279999,51.529999,2259100,49.111625
2013-07-05,51.869999,52.419998,51.849998,52.41,3673200,49.950326
2013-07-08,52.610001,52.98,52.509998,52.790001,4606400,50.312493
2013-07-09,52.950001,52.990002,52.48,52.880001,4269500,50.398269
2013-07-10,52.799999,53.16,52.689999,53.0,4333300,50.512637
2013-07-11,53.400002,53.77,53.360001,53.740002,5063400,51.217909
2013-07-12,53.0,53.549999,52.799999,53.439999,5866200,50.931985
2013-07-15,53.580002,53.91,53.52,53.689999,4725500,51.170253
2013-07-16,53.630001,53.990002,53.330002,53.52,3623600,51.008233
2013-07-17,54.029999,54.779999,53.919998,54.400002,5190200,51.846934
2013-07-18,54.439999,54.75,54.32,54.700001,4708000,52.132854
2013-07-19,54.650002,55.119999,54.419998,55.02,7319300,52.437836
2013-07-22,54.950001,55.580002,54.950001,55.48,4019000,52.876246
2013-07-23,55.450001,55.630001,55.150002,55.48,4099600,52.876246
2013-07-24,55.509998,55.619999,55.02,55.09,3155400,52.50455
2013-07-25,55.18,55.529999,54.900002,55.380001,4180700,52.780941
2013-07-26,55.23,55.599998,54.84,55.599998,2671700,52.990613
2013-07-29,55.540001,55.59,55.189999,55.32,2831700,52.723755
2013-07-30,55.57,55.900002,55.029999,55.07,4319100,52.485488
2013-07-31,55.139999,55.75,55.029999,55.240002,4376700,52.647512
2013-08-01,55.34,55.619999,55.23,55.490002,4418300,52.885779
2013-08-02,54.91,55.16,54.349998,54.939999,11814400,52.361588
2013-08-05,54.759998,55.459999,54.669998,55.360001,5395300,52.761879
2013-08-06,55.349998,55.48,55.09,55.130001,4429600,52.542674
2013-08-07,55.040001,55.349998,54.84,55.18,3839300,52.590326
2013-08-08,55.490002,55.98,55.389999,55.880001,4641500,53.257475
2013-08-09,55.759998,55.779999,55.290001,55.369999,3868100,52.771408
2013-08-12,55.209999,55.290001,54.959999,55.220001,3247400,52.62845
2013-08-13,55.200001,55.349998,54.650002,54.84,4612600,52.266283
2013-08-14,55.099998,55.330002,54.91,55.200001,4784700,52.609388
2013-08-15,54.790001,54.950001,54.080002,54.330002,4479400,51.78022
2013-08-16,54.130001,54.290001,53.889999,53.91,4583300,51.379929
2013-08-19,53.650002,54.259998,53.57,54.099998,4325200,51.561011
2013-08-20,52.73,53.139999,52.400002,52.830002,6160700,50.350617
2013-08-21,52.720001,53.18,52.52,52.68,5298000,50.207655
2013-08-22,52.759998,53.529999,52.700001,53.360001,3485100,50.855742
2013-08-23,53.34,53.720001,52.619999,52.740002,5979800,50.26484
2013-08-26,52.77,53.0,52.349998,52.369999,4871300,49.912202
2013-08-27,51.889999,52.110001,51.470001,51.509998,5667000,49.092563
2013-08-28,51.48,51.799999,51.470001,51.560001,4532200,49.140219
2013-08-29,51.470001,52.349998,51.220001,51.830002,4865700,49.397548
2013-08-30,51.970001,51.970001,51.529999,51.75,5442900,49.321301
2013-09-03,52.25,52.580002,51.779999,52.09,5625300,49.645344
2013-09-04,53.380001,53.490002,52.860001,53.200001,11290000,50.703251
2013-09-05,53.220001,53.740002,53.220001,53.66,4618100,51.141662
2013-09-06,53.66,53.880001,52.880001,53.459999,4443300,50.951047
2013-09-09,53.48,53.990002,53.450001,53.919998,3662700,51.389458
2013-09-10,54.09,54.259998,53.779999,53.959999,2956700,51.427582
2013-09-11,54.0,54.25,53.959999,54.09,3191600,51.551481
2013-09-12,54.07,54.209999,53.509998,53.580002,3907100,51.065418
2013-09-13,53.709999,53.799999,53.439999,53.580002,2256400,51.065418
2013-09-16,54.040001,54.23,53.790001,54.060001,2515700,51.522891
2013-09-17,54.040001,54.209999,53.799999,53.939999,2522100,51.40852
2013-09-18,53.91,54.240002,53.290001,54.080002,4809900,51.541952
2013-09-19,54.139999,54.150002,53.799999,54.0,2778200,51.465705
2013-09-20,54.25,54.299999,53.650002,53.709999,6328700,51.189314
2013-09-23,53.720001,53.889999,53.52,53.759998,2611200,51.236967
2013-09-24,53.849998,53.869999,53.41,53.43,2919000,50.922456
2013-09-25,53.459999,53.48,52.759998,52.810001,3631200,50.331555
2013-09-26,52.740002,53.130001,52.709999,52.939999,2067300,50.455451
2013-09-27,52.779999,53.110001,52.639999,53.0,2920300,50.512637
2013-09-30,52.82,53.880001,52.599998,53.25,5588300,50.750904
2013-10-01,53.34,53.580002,53.049999,53.52,2987300,51.008233
2013-10-02,53.07,53.529999,52.98,53.52,3440300,51.276496
2013-10-03,53.330002,53.400002,52.619999,53.040001,3178000,50.816617
2013-10-04,52.990002,53.400002,52.73,53.349998,2228900,51.11362
2013-10-07,52.959999,52.98,52.630001,52.720001,2631300,50.510032
2013-10-08,52.77,53.32,52.439999,52.459999,5094000,50.260929
2013-10-09,52.560001,53.279999,52.529999,53.060001,4238200,50.83578
2013-10-10,53.470001,54.27,53.389999,54.27,3543400,51.995057
2013-10-11,54.029999,55.040001,54.02,54.990002,4230100,52.684876
2013-10-14,54.759998,55.34,54.66,55.189999,3452200,52.876489
2013-10-15,55.040001,55.369999,54.52,54.580002,3086100,52.292063
2013-10-16,54.68,55.48,54.669998,55.48,3352500,53.154334
2013-10-17,55.41,56.369999,55.259998,56.32,3477800,53.959122
2013-10-18,56.48,56.700001,56.139999,56.59,4941000,54.217804
2013-10-21,56.43,56.529999,56.009998,56.490002,3657800,54.121998
2013-10-22,56.57,56.82,56.419998,56.73,3183100,54.351935
2013-10-23,56.970001,57.880001,56.900002,57.650002,4954100,55.233372
2013-10-24,57.549999,57.689999,57.009998,57.5,4375500,55.089658
2013-10-25,57.619999,57.779999,57.009998,57.360001,2817600,54.955527
2013-10-28,57.330002,57.959999,57.310001,57.650002,3738700,55.233372
2013-10-29,57.82,58.580002,57.630001,58.5,5742400,56.047739
