Date,Open_REGN,High_REGN,Low_REGN,Close_REGN,Volume_REGN,AdjClose_REGN
2015-06-08,540.97998,544.0,525.559998,526.090027,1025900,526.090027
2015-06-09,526.090027,526.090027,526.090027,526.090027,12100,526.090027
2015-06-10,505.730011,513.72998,498.600006,512.320007,1810900,512.320007
2015-06-11,513.289978,514.849976,499.899994,501.100006,1115600,501.100006
2015-06-12,499.440002,500.779999,490.869995,492.290009,982800,492.290009
2015-06-15,490.109985,499.899994,482.920013,499.059998,1302600,499.059998
2015-06-16,498.179993,505.149994,497.070007,501.76001,639000,501.76001
2015-06-17,501.76001,515.0,501.76001,512.890015,851800,512.890015
2015-06-18,515.109985,533.169983,514.97998,527.969971,997300,527.969971
2015-06-19,531.640015,534.77002,520.960022,522.280029,1150900,522.280029
2015-06-22,526.849976,532.0,518.0,520.710022,750800,520.710022
2015-06-23,522.159973,523.630005,514.0,521.049988,474500,521.049988
2015-06-24,519.01001,522.22998,513.429993,516.590027,454900,516.590027
2015-06-25,517.969971,525.950012,516.599976,519.23999,482900,519.23999
2015-06-26,522.530029,524.719971,513.659973,520.630005,408200,520.630005
2015-06-29,514.590027,520.5,504.519989,504.970001,599900,504.970001
2015-06-30,512.200012,514.799988,505.619995,510.130005,635800,510.130005
2015-07-01,515.22998,516.049988,504.329987,506.51001,527700,506.51001
2015-07-02,509.5,512.5,505.290009,511.079987,374700,511.079987
2015-07-06,505.459991,519.659973,505.109985,512.23999,457600,512.23999
2015-07-07,515.73999,517.890015,507.5,517.609985,457500,517.609985
2015-07-08,515.539978,518.440002,508.279999,509.299988,405900,509.299988
2015-07-09,505.149994,513.179993,503.640015,509.029999,650700,509.029999
2015-07-10,514.5,526.22998,509.149994,526.01001,723500,526.01001
2015-07-13,532.280029,539.5,531.950012,536.210022,812700,536.210022
2015-07-14,537.0,544.859985,536.109985,542.900024,597200,542.900024
2015-07-15,546.960022,551.929993,540.429993,543.380005,466700,543.380005
2015-07-16,547.0,552.0,542.429993,551.530029,436800,551.530029
2015-07-17,552.619995,552.97998,545.5,551.97998,489000,551.97998
2015-07-20,555.0,569.909973,552.340027,561.169983,935500,561.169983
