Date,Open_SLB,High_SLB,Low_SLB,Close_SLB,Volume_SLB,AdjClose_SLB
2013-06-14,72.510002,72.68,71.550003,71.599998,4937500,67.285993
2013-06-17,72.400002,73.43,72.400002,73.099998,5376400,68.695616
2013-06-18,73.18,74.599998,73.059998,74.160004,5682300,69.691754
2013-06-19,74.260002,74.790001,73.400002,73.400002,6332400,68.977543
2013-06-20,72.610001,72.82,71.809998,72.139999,8916000,67.793458
2013-06-21,72.779999,73.129997,71.809998,72.830002,9785400,68.441887
2013-06-24,71.839996,71.980003,70.25,71.239998,7984300,66.947683
2013-06-25,72.040001,72.989998,71.870003,72.089996,6693400,67.746468
2013-06-26,72.620003,72.730003,71.610001,71.809998,5199700,67.483339
2013-06-27,72.120003,72.540001,71.849998,71.93,5951000,67.596112
2013-06-28,71.809998,72.279999,71.599998,71.660004,7497100,67.342383
2013-07-01,72.190002,73.339996,71.949997,72.779999,6432900,68.394897
2013-07-02,73.309998,73.309998,72.25,72.610001,4931300,68.235141
2013-07-03,72.489998,73.139999,71.839996,73.010002,3147100,68.611042
2013-07-05,73.419998,74.379997,72.980003,74.089996,3992100,69.625965
2013-07-08,74.620003,75.220001,74.309998,74.790001,5457700,70.283793
2013-07-09,75.230003,76.790001,75.230003,76.540001,7159600,71.928353
2013-07-10,76.370003,76.540001,75.959999,76.18,4594000,71.590043
2013-07-11,77.080002,77.220001,76.010002,76.629997,4889800,72.012927
2013-07-12,76.419998,76.879997,76.339996,76.839996,4254400,72.210273
2013-07-15,76.839996,77.309998,76.389999,77.019997,3927800,72.379428
2013-07-16,77.190002,77.529999,75.940002,76.519997,6037200,71.909554
2013-07-17,76.760002,77.769997,76.760002,77.610001,6667600,72.933884
2013-07-18,77.760002,78.849998,77.760002,78.480003,6141300,73.751467
2013-07-19,81.209999,83.550003,80.889999,82.739998,17430400,77.754791
2013-07-22,82.360001,85.019997,82.220001,83.809998,11197700,78.760322
2013-07-23,83.860001,84.470001,83.400002,83.57,6866900,78.534784
2013-07-24,83.730003,83.800003,82.330002,82.849998,5378100,77.858164
2013-07-25,82.519997,83.279999,82.019997,82.57,5837900,77.595035
2013-07-26,82.269997,82.269997,81.150002,81.910004,5040600,76.974805
2013-07-29,81.110001,81.519997,80.800003,81.150002,4867300,76.260594
2013-07-30,81.480003,81.879997,81.239998,81.43,5142600,76.523723
2013-07-31,81.989998,82.129997,81.110001,81.330002,5034500,76.429749
2013-08-01,82.349998,83.699997,82.349998,83.550003,7005700,78.515992
2013-08-02,83.489998,83.589996,82.550003,82.889999,5881400,77.895755
2013-08-05,82.870003,83.010002,81.949997,82.889999,4036200,77.895755
2013-08-06,82.730003,82.959999,82.099998,82.220001,5372400,77.266125
2013-08-07,81.639999,81.800003,80.410004,81.050003,7098700,76.166621
2013-08-08,81.57,82.029999,81.120003,81.230003,3996900,76.335776
2013-08-09,81.139999,81.529999,80.260002,80.489998,4523100,75.640357
2013-08-12,80.029999,80.730003,79.800003,80.25,4988700,75.414819
2013-08-13,80.669998,82.5,80.580002,82.220001,7282400,77.266125
2013-08-14,82.300003,82.739998,81.989998,82.160004,4401200,77.209742
2013-08-15,81.620003,82.32,81.480003,81.989998,4601100,77.04998
2013-08-16,81.919998,82.330002,81.720001,81.919998,4754300,76.984197
2013-08-19,81.260002,81.900002,80.300003,80.410004,4684300,75.565182
2013-08-20,80.470001,81.18,80.150002,80.620003,3642200,75.762529
2013-08-21,80.260002,80.93,80.0,80.050003,4118100,75.226872
2013-08-22,80.769997,82.639999,80.510002,82.209999,4504300,77.256725
