Date,Open_AGN,High_AGN,Low_AGN,Close_AGN,Volume_AGN,AdjClose_AGN
2015-06-08,302.940002,303.26001,298.029999,298.660004,1962300,298.660004
2015-06-09,297.890015,298.679993,294.720001,296.869995,1811700,296.869995
2015-06-10,298.730011,301.869995,296.019989,301.290009,1439300,301.290009
2015-06-11,302.23999,303.119995,300.320007,301.920013,1606100,301.920013
2015-06-12,301.269989,301.559998,297.859985,298.980011,1370800,298.980011
2015-06-15,297.829987,301.980011,295.940002,301.350006,1079500,301.350006
2015-06-16,298.059998,300.899994,297.429993,298.019989,1348100,298.019989
2015-06-17,299.5,301.399994,296.190002,298.790009,1891400,298.790009
2015-06-18,299.779999,304.809998,299.220001,302.470001,2123600,302.470001
2015-06-19,302.0,304.959991,301.320007,302.369995,2212400,302.369995
2015-06-22,305.0,307.529999,302.019989,307.25,1683800,307.25
2015-06-23,308.200012,312.839996,308.070007,312.320007,2046400,312.320007
2015-06-24,311.980011,314.690002,308.529999,308.660004,1650900,308.660004
2015-06-25,309.25,312.0,307.980011,309.149994,1344400,309.149994
2015-06-26,310.23999,310.5,304.130005,306.600006,4923800,306.600006
2015-06-29,302.809998,305.880005,298.149994,299.25,1756600,299.25
2015-06-30,301.290009,304.570007,298.799988,303.459991,2045300,303.459991
2015-07-01,306.859985,310.5,304.399994,306.910004,1759200,306.910004
2015-07-02,309.190002,309.790009,305.01001,307.51001,1084500,307.51001
2015-07-06,304.170013,308.850006,304.029999,306.700012,1540800,306.700012
2015-07-07,307.579987,308.75,301.869995,307.0,1707200,307.0
2015-07-08,304.940002,305.049988,298.880005,299.670013,1694900,299.670013
2015-07-09,303.0,305.829987,301.880005,304.100006,1789300,304.100006
2015-07-10,306.079987,313.070007,305.839996,312.130005,2164300,312.130005
2015-07-13,314.950012,318.459991,314.709991,318.350006,2128600,318.350006
2015-07-14,318.230011,322.049988,316.48999,321.130005,1901500,321.130005
2015-07-15,321.609985,322.440002,317.799988,320.130005,1799500,320.130005
2015-07-16,320.130005,322.0,315.5,317.369995,1604600,317.369995
2015-07-17,316.839996,316.959991,312.850006,316.209991,1896500,316.209991
2015-07-20,316.899994,319.290009,316.320007,317.75,1193700,317.75
2015-07-21,317.75,319.059998,312.950012,317.0,1827000,317.0
