Date,Open_FSLR,High_FSLR,Low_FSLR,Close_FSLR,Volume_FSLR,AdjClose_FSLR
2015-08-25,45.990002,47.369999,44.310001,44.380001,2834100,44.380001
2015-08-26,45.709999,46.23,44.040001,46.09,1990100,46.09
2015-08-27,47.470001,48.049999,46.400002,47.84,2079600,47.84
2015-08-28,47.349998,49.220001,47.060001,47.799999,1910900,47.799999
2015-08-31,47.5,48.799999,46.82,47.84,1218700,47.84
2015-09-01,46.93,48.790001,46.389999,47.259998,1915100,47.259998
2015-09-02,48.0,48.41,46.849998,47.959999,1596300,47.959999
2015-09-03,48.009998,49.380001,47.900002,48.290001,1329100,48.290001
2015-09-04,47.48,48.0,46.610001,46.939999,1091000,46.939999
2015-09-08,47.720001,49.139999,47.5,49.110001,1412600,49.110001
2015-09-09,49.759998,50.459999,47.599998,47.73,1683200,47.73
2015-09-10,48.360001,49.32,47.900002,48.220001,1581200,48.220001
2015-09-11,47.82,48.860001,47.709999,48.790001,1339300,48.790001
2015-09-14,48.369999,48.459999,45.849998,46.200001,2583100,46.200001
2015-09-15,46.200001,46.790001,45.599998,46.580002,1649900,46.580002
2015-09-16,46.650002,48.41,46.610001,47.759998,1792100,47.759998
2015-09-17,47.950001,48.049999,46.75,46.919998,1391900,46.919998
2015-09-18,46.189999,46.419998,45.080002,45.330002,3862900,45.330002
2015-09-21,45.57,45.919998,44.799999,45.139999,1247000,45.139999
2015-09-22,44.279999,44.759998,43.900002,44.419998,1599700,44.419998
2015-09-23,44.619999,44.869999,43.310001,43.369999,1632000,43.369999
2015-09-24,43.099998,43.900002,42.150002,43.639999,1695100,43.639999
2015-09-25,44.209999,44.830002,42.939999,43.290001,1206100,43.290001
2015-09-28,43.0,43.200001,40.509998,40.810001,1870700,40.810001
2015-09-29,41.009998,42.330002,40.720001,41.02,1765500,41.02
2015-09-30,41.490002,42.849998,41.48,42.75,1496200,42.75
2015-10-01,42.560001,43.349998,41.970001,42.68,1469500,42.68
2015-10-02,42.240002,45.470001,41.900002,45.459999,1747300,45.459999
2015-10-05,45.889999,47.23,45.669998,46.66,1604100,46.66
2015-10-06,46.77,49.16,46.68,48.880001,2697500,48.880001
2015-10-07,49.860001,50.830002,48.220001,49.91,2566600,49.91
2015-10-08,49.849998,51.450001,49.450001,51.119999,1604100,51.119999
2015-10-09,51.119999,51.599998,50.439999,51.200001,1399400,51.200001
2015-10-12,51.209999,51.310001,50.110001,50.830002,1270600,50.830002
2015-10-13,50.459999,51.799999,50.0,50.580002,1175400,50.580002
2015-10-14,50.810001,52.450001,50.5,51.950001,1383100,51.950001
2015-10-15,52.259998,52.75,51.560001,52.48,1533800,52.48
2015-10-16,52.549999,52.630001,51.080002,52.049999,1154800,52.049999
2015-10-19,51.700001,52.290001,50.880001,51.189999,980600,51.189999
2015-10-20,51.119999,52.490002,50.810001,51.77,951500,51.77
2015-10-21,51.869999,51.900002,49.84,49.939999,1475600,49.939999
2015-10-22,50.549999,50.950001,49.099998,49.889999,1718000,49.889999
2015-10-23,50.310001,50.889999,49.220001,50.43,1376100,50.43
2015-10-26,50.970001,51.689999,49.810001,50.57,1251000,50.57
2015-10-27,50.189999,50.360001,48.580002,49.16,1284700,49.16
2015-10-28,49.389999,50.93,48.880001,50.849998,1772100,50.849998
2015-10-29,51.349998,52.150002,50.25,50.990002,3001400,50.990002
2015-10-30,56.900002,58.43,54.650002,57.07,6634100,57.07
2015-11-02,56.650002,57.82,55.82,57.779999,2937800,57.779999
2015-11-03,57.439999,59.549999,57.279999,58.349998,2654600,58.349998
2015-11-04,58.400002,58.880001,57.709999,58.66,1728600,58.66
2015-11-05,58.939999,59.41,57.700001,58.330002,1641600,58.330002
2015-11-06,58.189999,59.849998,58.049999,59.669998,1505100,59.669998
2015-11-09,59.41,59.799999,57.610001,58.389999,1523500,58.389999
2015-11-10,58.52,58.599998,54.630001,55.869999,3854200,55.869999
2015-11-11,56.02,56.299999,54.07,54.75,2317200,54.75
2015-11-12,54.41,55.400002,53.43,53.919998,2147000,53.919998
2015-11-13,53.720001,54.07,52.16,52.720001,2263900,52.720001
2015-11-16,52.779999,54.290001,52.43,54.18,1390000,54.18
2015-11-17,54.549999,54.700001,52.389999,52.75,1821500,52.75
2015-11-18,53.07,54.130001,52.830002,53.939999,1489300,53.939999
2015-11-19,53.400002,53.57,52.799999,53.279999,961400,53.279999
2015-11-20,53.400002,54.759998,53.34,54.439999,1344400,54.439999
2015-11-23,54.32,55.32,53.630001,54.880001,1401700,54.880001
2015-11-24,54.59,56.369999,54.389999,56.169998,1230200,56.169998
2015-11-25,56.040001,57.259998,55.84,56.400002,1092300,56.400002
2015-11-27,56.169998,56.189999,55.389999,56.099998,678800,56.099998
2015-11-30,56.18,57.130001,56.099998,56.509998,1445200,56.509998
2015-12-01,56.599998,58.290001,56.599998,58.18,1607900,58.18
2015-12-02,58.060001,60.32,57.950001,59.669998,3719900,59.669998
2015-12-03,60.0,62.049999,58.66,59.459999,2700100,59.459999
2015-12-04,59.060001,60.009998,58.490002,59.84,1537800,59.84
2015-12-07,59.290001,59.59,58.220001,59.32,1850900,59.32
2015-12-08,58.43,59.25,56.959999,59.07,2753100,59.07
2015-12-09,59.459999,61.919998,58.419998,58.849998,2960600,58.849998
2015-12-10,54.32,55.389999,52.509998,54.349998,7504600,54.349998
2015-12-11,53.950001,56.599998,53.5,55.259998,3201500,55.259998
2015-12-14,55.790001,58.48,55.040001,58.41,3441900,58.41
2015-12-15,58.860001,60.349998,58.119999,59.830002,4585000,59.830002
2015-12-16,63.52,66.349998,63.400002,65.620003,7171700,65.620003
2015-12-17,66.5,66.650002,64.029999,64.480003,3315000,64.480003
2015-12-18,63.84,65.339996,63.290001,63.41,3283700,63.41
2015-12-21,64.650002,66.150002,64.5,65.739998,2768500,65.739998
2015-12-22,65.470001,65.629997,63.73,64.989998,1870400,64.989998
2015-12-23,65.489998,66.519997,65.349998,66.169998,1325000,66.169998
2015-12-24,66.260002,67.800003,66.25,66.919998,921200,66.919998
2015-12-28,66.529999,66.800003,65.110001,66.400002,1025200,66.400002
2015-12-29,66.699997,66.949997,65.449997,66.410004,1048600,66.410004
2015-12-30,66.230003,67.160004,66.010002,66.989998,1342100,66.989998
2015-12-31,66.510002,67.07,65.989998,65.989998,1512500,65.989998
2016-01-04,64.709999,66.760002,64.099998,66.720001,2116200,66.720001
2016-01-05,70.559998,72.120003,70.110001,72.029999,6366900,72.029999
2016-01-06,71.0,71.449997,68.419998,69.519997,2935600,69.519997
2016-01-07,67.639999,68.699997,65.349998,66.220001,4087200,66.220001
2016-01-08,67.43,67.949997,64.730003,65.620003,3034000,65.620003
2016-01-11,65.839996,66.720001,64.370003,65.419998,1744400,65.419998
2016-01-12,65.980003,66.540001,63.07,65.220001,2305200,65.220001
2016-01-13,65.519997,66.269997,61.080002,61.369999,2541200,61.369999
2016-01-14,60.799999,62.599998,57.540001,61.779999,3849800,61.779999
2016-01-15,59.580002,61.639999,58.799999,61.32,2373600,61.32
2016-01-19,62.209999,63.150002,60.740002,61.490002,2196100,61.490002
2016-01-20,60.400002,62.0,57.200001,61.27,3309100,61.27
2016-01-21,61.290001,64.529999,60.860001,63.23,2418700,63.23
2016-01-22,65.099998,66.940002,64.290001,66.440002,2960800,66.440002
2016-01-25,66.559998,66.589996,63.93,64.139999,1862800,64.139999
2016-01-26,64.760002,67.599998,64.440002,67.400002,1917900,67.400002
2016-01-27,66.93,67.730003,65.220001,65.639999,1891500,65.639999
2016-01-28,66.849998,67.43,64.18,65.879997,2228100,65.879997
2016-01-29,65.919998,68.699997,65.800003,68.660004,2324100,68.660004
2016-02-01,68.099998,69.769997,66.739998,69.129997,1961000,69.129997
2016-02-02,68.050003,68.739998,65.610001,66.129997,1966400,66.129997
2016-02-03,66.940002,67.150002,64.099998,66.489998,1759600,66.489998
2016-02-04,66.389999,68.489998,66.050003,67.199997,1669300,67.199997
2016-02-05,66.709999,66.879997,64.860001,65.07,1653900,65.07
2016-02-08,63.5,65.07,62.959999,64.18,2130300,64.18
2016-02-09,63.029999,66.849998,62.540001,66.480003,2207100,66.480003
2016-02-10,64.660004,65.720001,63.790001,64.410004,2386200,64.410004
2016-02-11,63.0,64.07,60.099998,61.360001,3048800,61.360001
2016-02-12,62.299999,62.799999,58.080002,60.990002,2937600,60.990002
2016-02-16,61.98,63.310001,61.669998,63.049999,1645300,63.049999
2016-02-17,63.700001,64.199997,62.169998,63.470001,2205400,63.470001
2016-02-18,64.290001,64.830002,62.5,63.540001,1803300,63.540001
2016-02-19,63.029999,63.5,61.439999,62.759998,1721200,62.759998
2016-02-22,63.560001,65.559998,63.450001,64.230003,2372500,64.230003
2016-02-23,63.799999,64.559998,61.27,61.790001,2815100,61.790001
2016-02-24,63.959999,70.57,63.950001,69.449997,7954700,69.449997
2016-02-25,69.330002,72.519997,68.540001,72.25,5101500,72.25
2016-02-26,72.25,73.370003,69.879997,70.25,3540400,70.25
2016-02-29,70.279999,73.709999,70.019997,71.870003,3153200,71.870003
2016-03-01,71.360001,71.410004,68.370003,69.019997,3342600,69.019997
2016-03-02,68.949997,70.599998,68.529999,69.139999,2036200,69.139999
2016-03-03,69.580002,70.5,68.660004,69.709999,1705800,69.709999
2016-03-04,70.160004,71.209999,68.709999,69.519997,1926500,69.519997
2016-03-07,69.169998,70.489998,68.349998,69.18,1357800,69.18
2016-03-08,68.449997,69.169998,66.580002,66.870003,1722100,66.870003
2016-03-09,67.290001,68.75,66.709999,68.489998,1563600,68.489998
2016-03-10,68.32,69.529999,67.809998,69.25,1663900,69.25
2016-03-11,70.0,70.559998,68.510002,70.32,1861400,70.32
2016-03-14,70.349998,71.18,69.599998,70.889999,1303000,70.889999
2016-03-15,70.25,70.989998,69.860001,70.779999,1283000,70.779999
2016-03-16,70.150002,73.190002,70.029999,72.059998,2328400,72.059998
2016-03-17,72.389999,73.529999,71.699997,73.209999,1633600,73.209999
2016-03-18,73.43,74.290001,72.300003,72.440002,2284300,72.440002
2016-03-21,72.209999,72.620003,71.040001,71.239998,1598300,71.239998
2016-03-22,70.620003,71.57,70.230003,71.290001,1367400,71.290001
2016-03-23,71.25,71.300003,68.139999,68.230003,1921600,68.230003
2016-03-24,67.980003,68.839996,66.610001,68.459999,1469700,68.459999
2016-03-28,68.550003,69.300003,67.529999,68.400002,1335200,68.400002
2016-03-29,68.150002,69.720001,67.760002,69.300003,1260500,69.300003
2016-03-30,69.879997,70.290001,68.910004,68.970001,1268200,68.970001
2016-03-31,68.730003,69.639999,68.400002,68.470001,1392500,68.470001
2016-04-01,67.879997,68.470001,66.779999,67.480003,1787000,67.480003
2016-04-04,67.360001,69.010002,67.089996,67.239998,1578300,67.239998
2016-04-05,65.230003,65.970001,62.299999,62.419998,4828500,62.419998
2016-04-06,62.919998,63.59,61.470001,62.759998,3186200,62.759998
2016-04-07,62.43,62.799999,60.759998,61.259998,2398800,61.259998
2016-04-08,61.950001,62.139999,60.27,60.630001,2147600,60.630001
2016-04-11,61.0,61.209999,59.630001,59.959999,2361300,59.959999
2016-04-12,59.93,60.849998,59.5,60.34,1486900,60.34
2016-04-13,61.25,63.09,61.040001,61.650002,2621500,61.650002
2016-04-14,61.580002,61.619999,60.380001,60.419998,1799300,60.419998
2016-04-15,60.330002,60.939999,59.27,59.59,1691100,59.59
2016-04-18,59.43,60.689999,59.0,60.360001,1208900,60.360001
2016-04-19,60.59,61.490002,60.169998,60.52,1280600,60.52
2016-04-20,60.41,62.599998,60.02,61.720001,1900800,61.720001
2016-04-21,61.799999,62.689999,61.66,61.939999,1481600,61.939999
2016-04-22,62.23,62.77,61.23,61.540001,1474200,61.540001
2016-04-25,61.16,61.34,60.18,60.389999,1474100,60.389999
2016-04-26,60.599998,61.34,60.459999,61.240002,1366400,61.240002
2016-04-27,61.110001,62.139999,61.029999,62.029999,2757300,62.029999
2016-04-28,59.049999,59.41,56.880001,57.02,6922600,57.02
2016-04-29,56.93,57.209999,55.189999,55.84,3340100,55.84
2016-05-02,56.259998,56.32,54.540001,54.849998,2503500,54.849998
2016-05-03,54.540001,54.540001,52.709999,52.849998,3021500,52.849998
2016-05-04,52.459999,52.669998,51.32,51.779999,2700800,51.779999
2016-05-05,52.25,52.509998,51.610001,51.959999,2098600,51.959999
2016-05-06,51.869999,52.599998,51.369999,51.799999,1787400,51.799999
2016-05-09,51.779999,51.790001,50.029999,50.599998,1480500,50.599998
2016-05-10,50.0,51.5,49.91,51.27,2578600,51.27
2016-05-11,51.509998,51.970001,50.689999,50.740002,1900100,50.740002
2016-05-12,50.950001,51.470001,49.0,49.09,2456300,49.09
2016-05-13,49.049999,49.799999,48.490002,48.560001,1981100,48.560001
2016-05-16,48.849998,49.740002,48.75,49.07,1612600,49.07
2016-05-17,49.07,49.299999,48.330002,48.509998,1772400,48.509998
2016-05-18,48.169998,49.669998,48.049999,48.709999,1765600,48.709999
2016-05-19,48.400002,48.889999,46.669998,47.09,3056100,47.09
2016-05-20,47.369999,48.23,47.0,48.02,1967900,48.02
2016-05-23,48.110001,49.77,48.110001,49.040001,2277400,49.040001
2016-05-24,49.57,50.669998,49.360001,50.459999,2524500,50.459999
2016-05-25,51.009998,51.330002,49.939999,50.560001,2026300,50.560001
2016-05-26,50.419998,50.509998,49.279999,49.73,1545000,49.73
2016-05-27,49.630001,50.09,49.279999,49.900002,1059100,49.900002
2016-05-31,49.919998,50.43,49.310001,49.650002,1643900,49.650002
2016-06-01,49.779999,50.279999,48.849998,50.07,1573800,50.07
2016-06-02,49.580002,50.330002,49.400002,49.84,1253300,49.84
2016-06-03,49.93,50.169998,48.84,49.25,1445600,49.25
