Date,Open_FSLR,High_FSLR,Low_FSLR,Close_FSLR,Volume_FSLR,AdjClose_FSLR
2015-06-08,51.049999,51.490002,49.610001,49.849998,1820200,49.849998
2015-06-09,49.950001,50.240002,49.009998,49.169998,1410500,49.169998
2015-06-10,49.48,51.369999,49.220001,50.290001,2447000,50.290001
2015-06-11,50.369999,50.799999,50.02,50.43,1168300,50.43
2015-06-12,50.290001,50.98,50.119999,50.48,1135400,50.48
2015-06-15,50.080002,53.669998,50.029999,53.48,3979900,53.48
2015-06-16,53.369999,53.669998,51.970001,52.150002,2418500,52.150002
2015-06-17,52.459999,53.130001,51.220001,51.759998,2199400,51.759998
2015-06-18,52.130001,52.48,51.700001,51.98,1753500,51.98
2015-06-19,52.040001,52.970001,50.639999,51.029999,6904900,51.029999
2015-06-22,51.16,51.610001,50.810001,51.110001,1153100,51.110001
2015-06-23,51.290001,52.099998,50.880001,51.490002,1556600,51.490002
2015-06-24,51.25,51.939999,51.099998,51.360001,1772200,51.360001
2015-06-25,51.630001,51.869999,50.900002,50.970001,1493700,50.970001
2015-06-26,50.950001,51.099998,49.650002,49.950001,1746100,49.950001
2015-06-29,48.950001,49.169998,47.779999,47.84,2853000,47.84
2015-06-30,48.419998,48.439999,46.84,46.98,2494400,46.98
2015-07-01,47.32,47.75,45.650002,46.040001,2375900,46.040001
2015-07-02,46.029999,46.279999,45.139999,45.169998,2389300,45.169998
2015-07-06,44.880001,44.919998,43.950001,44.189999,2035000,44.189999
2015-07-07,44.0,45.139999,42.709999,45.119999,3769500,45.119999
2015-07-08,44.68,45.0,43.16,43.27,2159200,43.27
2015-07-09,44.5,45.220001,43.57,43.650002,1883000,43.650002
2015-07-10,44.310001,44.75,43.619999,44.029999,1349000,44.029999
2015-07-13,44.549999,46.060001,44.439999,46.009998,2454200,46.009998
2015-07-14,46.439999,47.009998,45.57,45.810001,2940700,45.810001
2015-07-15,45.720001,45.939999,44.110001,44.490002,2210900,44.490002
2015-07-16,44.759998,45.209999,44.110001,44.759998,1244100,44.759998
2015-07-17,44.619999,44.700001,43.75,43.950001,1418100,43.950001
2015-07-20,44.490002,44.5,43.23,43.279999,1841600,43.279999
2015-07-21,43.110001,43.98,42.860001,43.48,1452900,43.48
2015-07-22,43.099998,43.25,42.25,42.5,1742200,42.5
2015-07-23,42.57,43.639999,42.57,42.740002,1767800,42.740002
2015-07-24,42.919998,43.25,42.25,42.970001,1818400,42.970001
2015-07-27,42.43,42.619999,41.560001,42.27,1888900,42.27
2015-07-28,42.5,43.66,41.66,43.380001,1719800,43.380001
2015-07-29,43.509998,45.959999,43.130001,45.540001,2765900,45.540001
2015-07-30,45.889999,45.93,44.580002,45.310001,1597100,45.310001
2015-07-31,45.310001,45.400002,44.259998,44.299999,1529000,44.299999
2015-08-03,44.700001,44.799999,43.279999,43.689999,1939000,43.689999
2015-08-04,43.700001,44.790001,43.419998,44.5,3645800,44.5
2015-08-05,50.119999,53.09,49.009998,51.919998,11124100,51.919998
2015-08-06,52.450001,53.48,50.099998,51.200001,4630200,51.200001
2015-08-07,51.310001,52.700001,50.799999,52.080002,2783500,52.080002
2015-08-10,52.5,53.630001,52.450001,53.48,2666400,53.48
2015-08-11,52.77,53.200001,51.310001,51.439999,2516800,51.439999
2015-08-12,50.77,52.189999,49.73,51.880001,2695100,51.880001
2015-08-13,51.619999,52.5,51.009998,51.110001,1469800,51.110001
2015-08-14,51.189999,52.299999,51.139999,51.509998,1139900,51.509998
2015-08-17,51.09,51.939999,50.650002,51.740002,1346500,51.740002
2015-08-18,51.669998,52.299999,50.93,51.630001,1611700,51.630001
2015-08-19,51.07,51.279999,48.849998,49.939999,3084100,49.939999
2015-08-20,49.369999,49.599998,47.849998,47.91,2059200,47.91
2015-08-21,47.290001,48.049999,45.259998,45.27,3651700,45.27
2015-08-24,40.799999,46.299999,40.25,43.610001,3818700,43.610001
