Date,Open_HCN,High_HCN,Low_HCN,Close_HCN,Volume_HCN,AdjClose_HCN
2013-06-14,66.900002,68.099998,66.730003,67.370003,2071800,58.18543
2013-06-17,67.650002,68.099998,67.139999,67.589996,2075100,58.375431
2013-06-18,67.639999,68.589996,67.639999,68.150002,1850100,58.859091
2013-06-19,68.139999,68.290001,65.309998,65.400002,2490500,56.483999
2013-06-20,65.07,65.07,61.849998,62.099998,3635300,53.633887
2013-06-21,62.59,63.830002,61.619999,63.349998,5343200,54.713474
2013-06-24,62.939999,64.599998,61.860001,63.27,2895300,54.644382
2013-06-25,63.790001,64.870003,63.139999,64.389999,2342800,55.611691
2013-06-26,64.870003,65.629997,64.809998,65.489998,2829600,56.561726
2013-06-27,65.660004,67.220001,65.660004,67.129997,2075200,57.978144
2013-06-28,67.25,67.629997,66.510002,67.029999,2599800,57.891778
2013-07-01,67.559998,67.68,66.239998,66.389999,1603000,57.33903
2013-07-02,66.440002,67.449997,66.349998,66.870003,2528300,57.753595
2013-07-03,66.769997,66.879997,65.5,66.059998,1448000,57.054018
2013-07-05,66.360001,66.5,63.25,65.220001,2135200,56.328538
2013-07-08,65.360001,66.120003,64.540001,64.75,1974700,55.922613
2013-07-09,65.150002,65.82,64.93,65.720001,1868700,56.760373
2013-07-10,65.620003,66.059998,64.910004,65.68,1809500,56.725826
2013-07-11,66.620003,68.669998,66.470001,68.599998,2521600,59.24774
2013-07-12,68.599998,68.790001,66.709999,67.110001,2301500,57.960874
2013-07-15,67.139999,67.669998,67.0,67.57,1031000,58.358161
2013-07-16,67.559998,68.150002,67.540001,67.800003,1301100,58.556808
2013-07-17,67.879997,68.5,67.839996,68.099998,1903200,58.815905
2013-07-18,68.150002,68.510002,67.839996,68.489998,1121700,59.152735
2013-07-19,68.709999,68.75,67.650002,67.769997,1580600,58.530892
2013-07-22,67.75,67.900002,67.139999,67.410004,1692000,58.219977
2013-07-23,67.599998,68.089996,67.32,67.849998,1011300,58.599987
2013-07-24,67.82,67.949997,65.300003,65.68,2070900,56.725826
2013-07-25,65.559998,66.040001,65.110001,65.779999,1635200,56.812191
2013-07-26,65.800003,66.139999,65.18,66.129997,892700,57.114474
2013-07-29,66.089996,66.239998,65.519997,65.550003,827900,56.613551
2013-07-30,65.900002,66.360001,65.18,65.580002,1149900,56.63946
2013-07-31,65.580002,65.68,63.740002,64.489998,1854800,55.698057
2013-08-01,64.669998,64.849998,63.560001,63.580002,2316800,54.912121
2013-08-02,62.799999,63.860001,62.799999,63.369999,2131700,55.397293
2013-08-05,63.470001,64.139999,63.259998,63.34,1344400,55.371068
2013-08-06,63.360001,64.540001,63.099998,63.25,1935500,55.292391
2013-08-07,63.150002,63.389999,62.639999,62.740002,1716400,54.846557
2013-08-08,62.75,62.900002,62.290001,62.810001,1724500,54.90775
2013-08-09,62.830002,64.230003,62.790001,63.740002,2286700,55.720745
2013-08-12,63.810001,63.91,62.779999,63.139999,1626400,55.19623
2013-08-13,63.18,63.189999,61.759998,62.060001,2143600,54.252109
2013-08-14,61.799999,62.040001,61.169998,61.200001,1857300,53.500307
2013-08-15,60.75,60.790001,59.509998,59.889999,2200200,52.355119
2013-08-16,59.759998,59.849998,58.349998,58.57,3624500,51.201191
2013-08-19,58.369999,58.939999,58.16,58.32,2732200,50.982644
2013-08-20,58.43,60.209999,58.43,60.009998,3795100,52.460021
2013-08-21,59.98,61.830002,59.349998,60.709999,3024900,53.071953
2013-08-22,60.709999,60.900002,60.119999,60.77,2014100,53.124406
2013-08-23,60.84,61.599998,60.669998,61.459999,1936100,53.727594
2013-08-26,61.459999,61.5,60.91,61.07,1293000,53.386661
2013-08-27,60.639999,61.700001,60.5,61.509998,1390400,53.771303
2013-08-28,61.299999,62.009998,60.959999,61.689999,1980000,53.928657
2013-08-29,61.459999,61.459999,60.709999,61.279999,1628500,53.57024
2013-08-30,61.27,61.860001,61.200001,61.439999,2021200,53.71011
2013-09-03,61.799999,61.799999,60.349998,60.84,1722200,53.185598
2013-09-04,60.919998,61.5,60.73,61.200001,1246600,53.500307
2013-09-05,61.209999,61.25,59.880001,60.02,1268500,52.468765
2013-09-06,60.389999,61.48,60.349998,60.830002,1720800,53.176858
2013-09-09,60.860001,62.220001,60.650002,62.139999,1670900,54.322042
2013-09-10,62.34,62.439999,61.119999,61.439999,1661100,53.71011
2013-09-11,61.509998,61.790001,61.27,61.77,1267000,53.998594
2013-09-12,61.77,62.150002,61.200001,61.290001,1289900,53.578984
2013-09-13,61.400002,61.810001,61.259998,61.759998,922400,53.98985
2013-09-16,62.549999,63.330002,62.470001,62.810001,1998900,54.90775
2013-09-17,62.740002,63.299999,62.5,62.82,1291000,54.91649
2013-09-18,62.799999,65.650002,61.900002,65.589996,2483600,57.337988
2013-09-19,65.540001,66.080002,65.269997,65.389999,2127500,57.163153
2013-09-20,65.540001,65.540001,63.73,63.73,2591100,55.712001
2013-09-23,63.580002,64.279999,62.919998,62.919998,1796800,55.003908
2013-09-24,62.93,63.700001,62.700001,63.07,1870800,55.135037
2013-09-25,63.23,64.029999,63.02,63.419998,1611400,55.441002
2013-09-26,63.57,63.73,63.200001,63.720001,1022500,55.703261
2013-09-27,63.619999,63.889999,62.619999,63.18,1264700,55.231198
2013-09-30,62.880001,63.450001,62.0,62.380001,1483200,54.531849
2013-10-01,62.380001,63.959999,62.07,63.509998,1631100,55.519679
2013-10-02,63.040001,63.389999,62.18,62.779999,2246200,54.881522
2013-10-03,62.779999,62.779999,61.34,61.580002,2242300,53.832499
2013-10-04,61.610001,62.16,61.279999,61.849998,2542300,54.068527
2013-10-07,61.419998,62.48,61.349998,62.040001,1287500,54.234625
2013-10-08,62.040001,62.5,61.57,61.619999,1598300,53.867464
2013-10-09,61.759998,62.060001,61.299999,61.419998,1338700,53.692626
2013-10-10,61.880001,63.119999,61.810001,63.09,1278400,55.152521
2013-10-11,62.990002,63.669998,62.720001,63.66,993100,55.650808
2013-10-14,63.139999,63.529999,62.639999,63.380001,1067400,55.406037
2013-10-15,63.16,63.889999,62.950001,63.220001,1448000,55.266167
2013-10-16,63.450001,64.629997,63.369999,64.550003,1247000,56.428838
2013-10-17,64.489998,65.360001,64.279999,65.269997,1964400,57.058248
2013-10-18,65.589996,65.610001,64.660004,64.849998,1655800,56.691091
2013-10-21,64.830002,65.029999,63.990002,64.449997,1821300,56.341414
2013-10-22,64.449997,65.849998,64.389999,65.110001,1789500,56.918382
2013-10-23,65.0,65.410004,64.57,65.290001,1703100,57.075736
2013-10-24,65.309998,65.620003,64.800003,65.580002,1164100,57.329251
2013-10-25,65.57,66.760002,65.43,66.470001,1666800,58.107278
2013-10-28,66.459999,66.760002,65.010002,65.82,1322400,57.539054
2013-10-29,65.900002,66.120003,64.860001,65.290001,1561400,57.075736
2013-10-30,65.150002,65.449997,64.540001,64.620003,2059100,56.490031
2013-10-31,64.760002,65.330002,64.559998,64.849998,1599000,56.691091
2013-11-01,64.900002,65.400002,64.349998,64.989998,1552100,56.813477
2013-11-04,64.989998,65.129997,64.360001,65.110001,1408600,56.918382
2013-11-05,64.709999,64.75,62.700001,62.849998,2310900,54.942715
2013-11-06,63.0,63.560001,62.849998,63.27,1411100,55.309876
2013-11-07,62.709999,62.830002,61.369999,61.43,1526300,54.358622
2013-11-08,61.0,61.0,59.5,60.41,2373300,53.456037
2013-11-11,60.41,60.84,59.919998,60.080002,1692900,53.164026
2013-11-12,60.0,60.189999,59.34,59.639999,1683900,52.774673
2013-11-13,59.580002,59.990002,59.259998,59.990002,2491000,53.084386
2013-11-14,60.009998,60.990002,59.98,60.560001,1467400,53.588771
2013-11-15,60.459999,60.91,60.189999,60.509998,1469900,53.544524
2013-11-18,60.439999,60.73,60.049999,60.099998,1278700,53.18172
2013-11-19,60.009998,60.09,59.34,59.439999,1505600,52.597695
2013-11-20,59.490002,59.790001,58.16,58.48,1703400,51.748204
2013-11-21,58.5,58.869999,58.330002,58.73,1561300,51.969426
2013-11-22,58.639999,58.799999,57.560001,57.759998,2048800,51.111084
2013-11-25,57.700001,57.880001,56.849998,57.330002,2293200,50.730586
2013-11-26,57.220001,57.419998,55.900002,56.18,2854900,49.712964
2013-11-27,56.299999,56.869999,56.09,56.77,1508200,50.235048
2013-11-29,56.029999,57.169998,55.900002,55.990002,1251100,49.544837
2013-12-02,56.16,56.240002,55.27,55.75,1923600,49.332462
2013-12-03,55.740002,55.849998,55.299999,55.34,1558300,48.969659
2013-12-04,55.009998,55.549999,54.509998,55.110001,2301600,48.766135
2013-12-05,55.110001,55.48,54.650002,55.18,2137100,48.828077
2013-12-06,55.470001,55.580002,54.970001,55.16,1433000,48.810379
2013-12-09,55.150002,55.490002,54.849998,55.380001,1919700,49.005055
2013-12-10,55.450001,55.849998,55.400002,55.52,1663100,49.128939
2013-12-11,55.549999,55.639999,54.200001,54.220001,2186400,47.978586
2013-12-12,54.220001,54.330002,53.310001,53.639999,2400900,47.46535
2013-12-13,53.610001,54.400002,53.599998,53.91,1790300,47.70427
2013-12-16,54.0,54.209999,53.580002,53.68,2034500,47.500746
2013-12-17,53.799999,53.98,53.689999,53.830002,2060400,47.633481
2013-12-18,53.849998,54.75,53.060001,54.66,3257700,48.367935
2013-12-19,54.259998,54.259998,52.43,52.580002,3333300,46.527372
2013-12-20,52.810001,53.32,52.669998,53.110001,3759600,46.996361
2013-12-23,53.48,53.560001,52.900002,52.959999,2116800,46.863626
2013-12-24,53.0,53.330002,52.759998,53.09,787500,46.978663
2013-12-26,53.09,53.470001,52.82,53.049999,1467800,46.943266
2013-12-27,53.220001,53.240002,52.860001,53.200001,1540700,47.076001
2013-12-30,53.200001,53.549999,53.0,53.439999,1468400,47.288372
2013-12-31,53.360001,53.73,53.110001,53.57,2408300,47.403408
2014-01-02,53.150002,53.689999,53.080002,53.540001,2575100,47.376862
2014-01-03,53.279999,53.380001,52.900002,53.049999,2160600,46.943266
2014-01-06,53.290001,54.799999,53.139999,54.290001,3218400,48.040528
2014-01-07,54.419998,54.639999,53.849998,54.259998,2185700,48.013979
2014-01-08,54.189999,54.32,53.700001,53.900002,1648100,47.695422
2014-01-09,54.07,54.220001,53.5,54.02,1558300,47.801608
2014-01-10,54.310001,55.509998,54.299999,55.48,2889400,49.093542
2014-01-13,55.360001,56.16,55.18,55.950001,4426300,49.509441
2014-01-14,55.919998,55.950001,54.959999,55.139999,3374200,48.792681
2014-01-15,55.259998,55.869999,55.25,55.549999,2596200,49.155484
2014-01-16,55.799999,56.169998,55.650002,56.060001,2183400,49.606779
2014-01-17,56.200001,56.240002,55.549999,55.59,2001300,49.190881
2014-01-21,55.959999,56.470001,55.869999,56.439999,2055000,49.943033
2014-01-22,56.43,56.790001,56.290001,56.540001,1541600,50.031524
2014-01-23,56.599998,56.619999,55.950001,56.029999,2188600,49.58023
2014-01-24,56.009998,56.209999,55.669998,55.919998,2931600,49.482892
2014-01-27,55.939999,56.639999,55.919998,56.25,2531800,49.774906
2014-01-28,56.41,57.099998,56.32,56.790001,1828500,50.252746
2014-01-29,56.509998,56.759998,56.200001,56.689999,2141300,50.164255
2014-01-30,56.919998,57.529999,56.799999,57.049999,1775300,50.482815
2014-01-31,56.799999,58.110001,56.43,57.919998,2915000,51.252666
2014-02-03,57.82,57.900002,57.310001,57.490002,2274500,50.872168
2014-02-04,57.450001,57.790001,57.16,57.630001,2312400,50.996051
2014-02-05,57.52,57.73,56.5,56.91,2106100,50.358931
2014-02-06,56.0,56.540001,55.869999,56.279999,2066600,50.507004
2014-02-07,56.419998,56.959999,56.209999,56.889999,1628200,51.054433
2014-02-10,56.759998,57.240002,56.41,57.09,1761100,51.233918
2014-02-11,57.139999,57.599998,56.799999,57.139999,1703900,51.278789
2014-02-12,57.099998,57.279999,56.619999,56.830002,1258100,51.00059
2014-02-13,56.68,57.419998,56.549999,56.990002,1458800,51.144177
2014-02-14,57.040001,57.25,56.580002,56.860001,1495200,51.027511
2014-02-18,56.810001,57.060001,56.310001,56.959999,1477000,51.117252
2014-02-19,56.950001,57.959999,56.799999,57.330002,1905600,51.449301
2014-02-20,57.41,57.950001,56.310001,56.580002,1846600,50.776234
2014-02-21,56.48,56.98,56.009998,56.779999,2522200,50.955716
2014-02-24,56.790001,58.52,56.790001,58.029999,1972600,52.077495
2014-02-25,58.07,58.130001,57.43,57.66,1579300,51.74545
2014-02-26,57.830002,58.029999,57.400002,57.91,1310000,51.969805
2014-02-27,57.990002,58.400002,57.77,58.130001,1038100,52.16724
2014-02-28,58.18,59.080002,58.07,58.740002,2273800,52.714669
2014-03-03,58.470001,58.919998,58.169998,58.860001,1459300,52.822359
2014-03-04,59.25,59.810001,59.139999,59.610001,1509300,53.495426
2014-03-05,59.549999,59.93,59.27,59.869999,1225500,53.728755
2014-03-06,59.860001,59.869999,58.939999,59.049999,1583000,52.992868
2014-03-07,58.93,58.970001,57.549999,58.290001,2009600,52.310827
2014-03-10,58.25,58.450001,57.68,58.09,1979700,52.131342
2014-03-11,58.110001,59.049999,58.040001,58.860001,2216200,52.822359
2014-03-12,58.82,59.650002,58.82,59.310001,2332600,53.2262
2014-03-13,59.389999,59.389999,58.549999,58.639999,1766900,52.624924
2014-03-14,58.630001,59.43,58.560001,58.93,1468800,52.885178
2014-03-17,59.080002,59.130001,58.349998,58.599998,1234900,52.589027
2014-03-18,58.68,58.709999,58.16,58.389999,1639100,52.400568
2014-03-19,58.450001,59.0,57.060001,57.18,2013900,51.314687
2014-03-20,57.07,57.119999,56.450001,57.049999,2027200,51.198021
2014-03-21,57.740002,58.27,57.290001,58.23,3762100,52.256981
2014-03-24,58.25,58.450001,57.759998,57.970001,1394400,52.023652
2014-03-25,58.200001,58.560001,57.84,58.43,1096500,52.436466
2014-03-26,58.650002,58.82,58.049999,58.080002,1228400,52.122369
2014-03-27,58.060001,58.799999,57.82,58.779999,1083100,52.750563
2014-03-28,58.82,59.41,58.759998,59.130001,1034000,53.064663
2014-03-31,59.299999,59.830002,58.790001,59.599998,1534800,53.48645
2014-04-01,59.66,59.709999,58.91,59.48,1754800,53.37876
2014-04-02,59.459999,60.080002,59.310001,59.869999,1369900,53.728755
2014-04-03,59.970001,60.09,59.139999,59.490002,1375500,53.387737
2014-04-04,59.720001,60.560001,59.439999,60.439999,1501500,54.240286
2014-04-07,60.34,61.849998,60.330002,61.200001,1903400,54.92233
2014-04-08,61.099998,62.150002,61.099998,62.099998,1839200,55.730009
2014-04-09,62.240002,62.279999,61.5,61.93,1660500,55.577449
2014-04-10,61.950001,62.459999,61.290001,61.669998,1644000,55.344117
2014-04-11,61.650002,62.349998,61.529999,61.77,2215300,55.433861
2014-04-14,61.970001,62.09,61.25,61.689999,2196700,55.362066
2014-04-15,61.630001,62.900002,61.400002,62.720001,2133100,56.286415
2014-04-16,62.790001,62.939999,62.299999,62.830002,1569500,56.385132
2014-04-17,62.669998,62.740002,61.400002,61.939999,1885200,55.586422
2014-04-21,62.02,62.41,61.84,62.18,1316700,55.801805
2014-04-22,62.040001,62.18,61.23,61.790001,1493800,55.45181
2014-04-23,61.880001,61.950001,61.349998,61.73,1630800,55.397964
2014-04-24,61.779999,62.580002,61.619999,62.360001,1033700,55.963342
2014-04-25,62.369999,62.470001,62.040001,62.18,947900,55.801805
2014-04-28,62.290001,63.240002,62.259998,63.110001,1664100,56.636409
2014-04-29,63.279999,63.360001,62.790001,62.959999,960300,56.501794
2014-04-30,62.830002,63.110001,62.689999,63.09,1101200,56.61846
2014-05-01,63.02,63.279999,62.32,63.25,1450100,56.762048
2014-05-02,63.060001,63.279999,62.630001,63.099998,1292700,56.627433
