Date,Open_FLR,High_FLR,Low_FLR,Close_FLR,Volume_FLR,AdjClose_FLR
2013-06-14,61.150002,61.860001,60.849998,61.0,1171900,58.563071
2013-06-17,61.5,62.919998,61.450001,62.310001,1580100,59.820738
2013-06-18,62.529999,63.509998,62.419998,63.279999,1347900,60.751985
2013-06-19,63.139999,63.5,62.209999,62.23,1296500,59.743932
2013-06-20,61.299999,61.310001,59.709999,60.009998,1927600,57.61262
2013-06-21,60.43,60.73,59.299999,60.169998,2596800,57.766227
2013-06-24,59.110001,59.139999,57.84,58.610001,1760500,56.268551
2013-06-25,59.279999,59.740002,58.75,59.139999,1731400,56.777377
2013-06-26,59.669998,59.740002,58.439999,58.860001,1536700,56.508564
2013-06-27,59.349998,59.900002,58.970001,59.73,1326600,57.343807
2013-06-28,59.189999,59.709999,58.779999,59.310001,2050400,56.940587
2013-07-01,59.84,59.990002,58.860001,59.02,1800200,56.662172
2013-07-02,58.970001,59.25,58.009998,58.299999,1337900,55.970934
2013-07-03,58.23,58.669998,57.639999,58.27,943500,55.942134
2013-07-05,58.880001,58.970001,57.5,58.59,1394400,56.24935
2013-07-08,58.799999,58.93,57.709999,57.75,2006400,55.442907
2013-07-09,58.330002,59.540001,58.23,59.009998,1287400,56.652569
2013-07-10,59.110001,59.52,58.799999,59.290001,1091600,56.921386
2013-07-11,60.310001,61.360001,60.18,61.240002,2093400,58.793485
2013-07-12,61.07,61.860001,60.700001,61.490002,1255200,59.033497
2013-07-15,61.5,62.07,61.349998,61.84,882500,59.369513
2013-07-16,62.0,62.150002,60.650002,61.169998,1146400,58.726278
2013-07-17,61.630001,61.759998,61.060001,61.27,918400,58.822285
2013-07-18,61.360001,62.560001,61.360001,62.27,1130800,59.782335
2013-07-19,62.330002,63.119999,62.0,62.84,1406300,60.329564
2013-07-22,62.619999,63.049999,62.23,63.009998,1017100,60.492771
2013-07-23,63.119999,63.150002,62.639999,62.950001,802100,60.43517
2013-07-24,63.099998,63.380001,62.209999,62.290001,1015700,59.801537
2013-07-25,62.07,62.77,61.75,62.099998,1315500,59.619125
2013-07-26,61.580002,62.169998,61.110001,61.599998,1562900,59.1391
2013-07-29,61.34,61.380001,59.98,60.299999,1629600,57.891035
2013-07-30,60.580002,60.860001,60.139999,60.73,2057300,58.303857
2013-07-31,60.900002,63.400002,60.900002,62.560001,2884400,60.060751
2013-08-01,63.189999,65.459999,61.68,65.040001,2593500,62.441675
2013-08-02,64.919998,67.059998,64.330002,66.529999,2620100,63.872148
2013-08-05,66.32,66.910004,65.82,66.699997,1297100,64.035355
2013-08-06,66.529999,66.650002,64.889999,65.550003,2970100,62.931303
2013-08-07,65.370003,65.470001,64.220001,65.209999,2039800,62.604882
