Date,Open_RRC,High_RRC,Low_RRC,Close_RRC,Volume_RRC,AdjClose_RRC
2013-06-14,74.82,75.389999,73.080002,73.370003,1176500,72.739174
2013-06-17,74.169998,77.620003,74.169998,77.370003,2100800,76.704782
2013-06-18,77.459999,80.050003,77.220001,79.459999,2258800,78.776809
2013-06-19,79.169998,80.239998,78.889999,79.239998,1344700,78.558699
2013-06-20,77.959999,78.449997,75.989998,77.519997,2393900,76.853487
2013-06-21,77.889999,78.099998,76.480003,77.300003,2648700,76.635385
2013-06-24,75.739998,79.139999,74.529999,78.669998,2061400,77.993601
2013-06-25,79.620003,80.07,78.959999,79.68,1388600,78.994919
2013-06-26,80.290001,80.470001,78.800003,79.330002,976900,78.64793
2013-06-27,79.699997,81.129997,78.720001,78.940002,2433900,78.261283
2013-06-28,78.699997,78.760002,77.089996,77.32,2397900,76.655209
2013-07-01,77.620003,78.150002,76.489998,77.089996,1781900,76.427183
2013-07-02,77.129997,79.160004,77.019997,78.260002,1521800,77.58713
2013-07-03,77.839996,78.419998,76.639999,77.470001,790500,76.803921
2013-07-05,77.93,78.019997,76.709999,77.620003,1369100,76.952633
2013-07-08,78.400002,80.0,78.25,78.919998,1008400,78.241451
2013-07-09,79.379997,80.360001,79.089996,79.980003,1904000,79.292342
2013-07-10,80.07,80.260002,78.779999,79.089996,1052300,78.409988
2013-07-11,80.099998,80.309998,77.489998,77.730003,2472500,77.061688
2013-07-12,77.739998,77.889999,76.690002,77.300003,1371600,76.635385
2013-07-15,77.449997,78.129997,77.0,77.629997,1445700,76.962541
2013-07-16,77.32,77.790001,75.760002,77.019997,1538500,76.357786
2013-07-17,77.129997,77.25,75.0,75.699997,2171700,75.049135
2013-07-18,74.660004,77.989998,74.660004,77.5,1262700,76.833662
2013-07-19,77.709999,78.629997,76.75,78.550003,930900,77.874637
2013-07-22,78.32,78.699997,77.529999,77.980003,882400,77.309538
2013-07-23,78.309998,78.629997,76.440002,76.690002,1363400,76.030629
2013-07-24,76.809998,76.860001,75.330002,76.050003,1255100,75.396132
2013-07-25,79.330002,85.230003,78.099998,81.389999,7936200,80.690215
2013-07-26,80.75,82.349998,79.739998,80.459999,1787800,79.768211
2013-07-29,80.800003,80.949997,78.629997,79.389999,1753300,78.707411
2013-07-30,79.449997,80.480003,78.650002,79.860001,913900,79.173371
2013-07-31,80.120003,81.860001,78.980003,79.099998,1627300,78.419904
2013-08-01,79.480003,80.57,78.760002,80.510002,1254100,79.817784
2013-08-02,79.93,81.449997,79.730003,81.360001,816700,80.660475
2013-08-05,81.25,81.949997,80.849998,81.779999,1078300,81.076862
2013-08-06,81.300003,81.989998,80.230003,81.519997,898500,80.819095
2013-08-07,81.059998,82.400002,78.610001,79.230003,1611700,78.548791
2013-08-08,79.32,80.019997,77.889999,79.93,1491400,79.242769
2013-08-09,80.209999,80.25,78.730003,79.5,980100,78.816466
2013-08-12,79.18,79.82,78.400002,78.800003,1051000,78.122488
2013-08-13,79.190002,79.309998,77.93,79.029999,667100,78.350506
2013-08-14,79.099998,79.360001,78.0,78.32,811800,77.646611
2013-08-15,77.150002,78.190002,76.400002,78.080002,1330200,77.408677
2013-08-16,77.150002,78.339996,77.150002,77.660004,1077400,76.99229
2013-08-19,77.779999,78.010002,75.529999,75.669998,1161000,75.019394
2013-08-20,76.389999,77.360001,75.699997,76.620003,1406400,75.961231
2013-08-21,76.699997,77.220001,75.889999,75.949997,1128800,75.296986
2013-08-22,76.07,77.459999,76.050003,77.279999,1105600,76.615552
2013-08-23,77.389999,77.389999,76.330002,77.059998,807700,76.397443
2013-08-26,77.32,77.870003,77.099998,77.239998,951000,76.575895
2013-08-27,75.889999,76.959999,75.889999,76.150002,908700,75.495271
2013-08-28,76.150002,77.389999,76.150002,76.720001,801000,76.06037
2013-08-29,76.709999,76.889999,75.099998,75.57,1151600,74.920256
2013-08-30,75.629997,75.830002,74.690002,74.980003,906400,74.335332
2013-09-03,75.980003,76.959999,75.959999,76.540001,1323800,75.881917
2013-09-04,76.43,77.080002,75.330002,76.349998,1636800,75.693548
2013-09-05,76.599998,77.220001,76.160004,76.459999,1555500,75.802603
2013-09-06,76.410004,77.900002,75.870003,76.5,1289300,75.84226
2013-09-09,77.190002,78.440002,77.089996,78.389999,1391200,77.716009
2013-09-10,78.43,78.830002,77.209999,78.379997,1015300,77.706093
2013-09-11,78.459999,79.720001,78.059998,79.690002,1023800,79.004835
2013-09-12,79.629997,79.849998,78.690002,78.989998,1170500,78.350176
2013-09-13,78.879997,78.970001,78.010002,78.639999,766700,78.003013
2013-09-16,79.389999,79.870003,78.339996,78.620003,902900,77.983178
2013-09-17,78.57,79.690002,78.230003,79.129997,795400,78.489042
2013-09-18,78.970001,81.0,78.809998,79.690002,1545600,79.044511
2013-09-19,79.949997,80.370003,78.459999,78.830002,1394200,78.191476
2013-09-20,78.790001,79.580002,78.339996,78.68,1477600,78.04269
2013-09-23,78.18,78.449997,77.279999,78.190002,900600,77.556661
2013-09-24,78.059998,78.290001,77.25,77.480003,1059300,76.852413
2013-09-25,77.300003,77.959999,75.68,75.760002,2225700,75.146344
2013-09-26,76.029999,78.139999,75.879997,78.089996,2109100,77.457465
2013-09-27,77.699997,78.07,77.080002,77.309998,1058800,76.683784
2013-09-30,76.440002,76.800003,75.629997,75.889999,1478100,75.275288
2013-10-01,75.830002,76.400002,75.589996,75.949997,1552600,75.334799
2013-10-02,75.550003,75.980003,74.629997,75.709999,2239700,75.096746
2013-10-03,75.410004,75.93,74.940002,75.220001,1129000,74.610717
2013-10-04,75.440002,76.860001,75.099998,76.559998,1018700,75.939859
2013-10-07,75.669998,77.129997,75.290001,75.559998,1277400,74.947959
2013-10-08,75.669998,76.18,73.790001,73.830002,1237200,73.231976
2013-10-09,73.889999,75.629997,73.550003,75.0,2525000,74.392498
2013-10-10,76.110001,78.459999,75.489998,77.980003,2317100,77.348363
2013-10-11,77.75,79.690002,77.589996,78.900002,1405700,78.260909
2013-10-14,78.57,79.629997,77.970001,79.330002,1012700,78.687426
2013-10-15,79.029999,79.779999,78.32,78.919998,902600,78.280744
2013-10-16,79.660004,81.419998,79.510002,81.110001,1256500,80.453007
2013-10-17,80.900002,80.949997,77.610001,78.540001,2250900,77.903824
2013-10-18,79.150002,79.459999,76.959999,77.839996,2278500,77.20949
2013-10-21,77.720001,78.360001,76.690002,76.870003,1854700,76.247353
2013-10-22,76.860001,77.339996,74.230003,75.099998,3032000,74.491686
2013-10-23,75.050003,75.089996,73.0,74.160004,2370900,73.559305
2013-10-24,74.050003,74.959999,72.68,73.199997,2230000,72.607075
2013-10-25,75.290001,75.290001,72.540001,74.730003,2674000,74.124688
2013-10-28,74.110001,74.440002,73.300003,73.610001,2023600,73.013757
2013-10-29,73.75,74.809998,73.650002,74.639999,1258800,74.035413
2013-10-30,75.75,79.449997,75.720001,77.400002,5729800,76.773059
2013-10-31,77.330002,77.57,75.540001,75.709999,2185700,75.096746
2013-11-01,75.68,76.0,73.5,75.379997,1657100,74.769417
2013-11-04,74.470001,76.639999,73.949997,76.589996,2287900,75.969615
2013-11-05,76.120003,76.360001,74.82,74.93,1177800,74.323065
2013-11-06,75.010002,75.68,73.989998,74.32,1686200,73.718005
2013-11-07,74.779999,74.989998,73.040001,73.93,2619500,73.331165
2013-11-08,75.230003,76.169998,74.010002,75.779999,1783700,75.166178
2013-11-11,74.0,75.82,74.0,74.849998,1687500,74.243711
2013-11-12,75.239998,75.470001,74.269997,74.620003,1473700,74.015578
2013-11-13,74.0,75.489998,74.0,74.82,1611800,74.213955
2013-11-14,74.629997,75.040001,73.910004,74.089996,1544400,73.489865
2013-11-15,74.309998,74.68,73.919998,74.650002,1517900,74.045334
2013-11-18,74.650002,75.0,73.519997,73.800003,1406900,73.202221
2013-11-19,73.760002,75.849998,73.239998,75.550003,1978300,74.938046
2013-11-20,76.709999,78.440002,75.980003,77.550003,2230200,76.921845
2013-11-21,77.75,79.449997,77.400002,79.099998,1635800,78.459286
2013-11-22,79.5,79.5,77.559998,78.82,1115400,78.181555
2013-11-25,78.989998,79.790001,77.510002,79.449997,1185900,78.806449
2013-11-26,79.360001,79.900002,78.379997,78.480003,1093800,77.844313
2013-11-27,78.139999,78.400002,77.239998,78.199997,790100,77.566574
2013-11-29,78.269997,78.389999,77.339996,77.650002,366900,77.021034
2013-12-02,77.730003,78.470001,76.660004,76.790001,1351200,76.167999
2013-12-03,76.379997,77.93,76.0,76.440002,1293900,75.820836
2013-12-04,76.050003,76.830002,75.209999,76.599998,1592100,75.979536
2013-12-05,76.599998,79.419998,76.150002,79.400002,2002500,78.756859
2013-12-06,80.370003,80.849998,78.68,79.059998,1965600,78.419609
2013-12-09,79.550003,82.120003,79.040001,82.080002,2420400,81.415151
2013-12-10,81.830002,83.120003,80.470001,81.480003,2065000,80.820013
2013-12-11,81.470001,81.809998,79.769997,80.019997,1282300,79.371832
2013-12-12,80.400002,81.5,79.400002,80.279999,1313400,79.669554
2013-12-13,80.0,80.199997,78.739998,79.690002,1187900,79.084044
2013-12-16,79.290001,80.599998,78.949997,80.169998,1388500,79.56039
2013-12-17,80.480003,80.480003,77.93,79.760002,2737800,79.153512
2013-12-18,80.330002,81.669998,79.169998,81.120003,2394100,80.503171
2013-12-19,81.110001,82.82,80.650002,81.779999,2123500,81.158148
2013-12-20,82.110001,83.379997,81.57,82.449997,1881300,81.823052
2013-12-23,83.589996,83.989998,82.690002,83.080002,1158400,82.448266
2013-12-24,82.879997,83.779999,82.480003,83.43,473000,82.795603
2013-12-26,83.589996,83.809998,82.540001,83.580002,674700,82.944464
2013-12-27,83.32,83.889999,82.760002,83.559998,793000,82.924612
2013-12-30,84.0,84.779999,83.43,83.629997,932300,82.994079
2013-12-31,84.059998,85.489998,83.809998,84.309998,1255500,83.668909
2014-01-02,83.129997,84.279999,81.080002,81.739998,1996500,81.118452
2014-01-03,82.0,82.5,80.400002,80.529999,1812700,79.917653
2014-01-06,81.059998,81.360001,80.059998,81.050003,1730300,80.433703
2014-01-07,81.629997,83.099998,81.629997,82.43,1269700,81.803207
2014-01-08,82.18,83.489998,81.769997,82.519997,1304200,81.892519
2014-01-09,82.559998,83.050003,80.459999,81.230003,1607300,80.612335
2014-01-10,81.849998,82.050003,80.889999,81.709999,898300,81.088681
2014-01-13,81.75,82.290001,79.559998,79.669998,1766200,79.064192
2014-01-14,79.279999,82.25,79.279999,82.169998,1465800,81.545182
2014-01-15,82.510002,83.800003,81.730003,83.720001,1546200,83.083399
2014-01-16,84.099998,84.970001,83.0,83.970001,1662800,83.331498
2014-01-17,84.43,84.43,82.610001,82.639999,1389800,82.01161
2014-01-21,82.959999,85.0,82.309998,84.93,1415100,84.284197
2014-01-22,87.190002,88.239998,86.260002,87.419998,2185000,86.755261
2014-01-23,88.050003,88.709999,86.220001,86.68,1745400,86.02089
2014-01-24,86.120003,87.099998,85.010002,86.150002,2259200,85.494922
