Date,Open_VNO,High_VNO,Low_VNO,Close_VNO,Volume_VNO,AdjClose_VNO
2013-06-14,82.279988,83.849999,81.849993,82.849996,1422700,69.036324
2013-06-17,83.260004,84.319994,82.779994,83.179995,1216900,69.311302
2013-06-18,83.139995,84.480003,82.730004,83.990004,1085100,69.986257
2013-06-19,83.979997,84.190004,80.699987,80.910003,1180700,67.419788
2013-06-20,80.350001,80.350001,76.349997,76.729994,1242000,63.936717
2013-06-21,77.390001,78.970001,76.749999,78.329999,2228100,65.269951
2013-06-24,77.400007,79.839997,76.189997,78.139988,1367100,65.111621
2013-06-25,78.769992,79.749999,77.669993,79.189998,1363000,65.986561
2013-06-26,79.970004,80.959992,79.95,80.599991,1155900,67.161465
2013-06-27,81.179997,83.019994,81.099989,82.929996,1008300,69.102985
2013-06-28,82.679989,83.449998,81.959995,82.849996,1661200,69.036324
2013-07-01,83.189993,83.76999,82.239996,83.010005,1103000,69.169654
2013-07-02,82.779994,84.519995,82.730004,84.509997,1043600,70.419551
2013-07-03,83.739997,84.619999,83.189993,84.150004,1005200,70.11958
2013-07-05,84.029995,84.500007,82.980003,84.440003,1407000,70.361227
2013-07-08,84.449992,85.14999,84.440003,84.699991,1710500,70.577867
2013-07-09,85.109999,85.980003,84.619999,85.519998,1341800,71.261153
2013-07-10,85.199997,85.779994,84.559995,85.47,1191400,71.219491
2013-07-11,86.699997,87.619991,86.189993,87.510006,1236600,72.919365
2013-07-12,87.750007,87.750007,86.149993,86.960002,635000,72.461064
2013-07-15,87.079994,87.809994,86.260004,87.769994,660900,73.136005
2013-07-16,87.819992,87.999988,87.129992,87.279995,651000,72.727704
2013-07-17,87.839988,87.989999,87.360003,87.569993,560100,72.969351
2013-07-18,87.890003,88.949993,87.569993,88.709993,531100,73.919277
2013-07-19,88.440007,88.949993,88.219993,88.410004,1584100,73.669306
2013-07-22,88.830001,89.08,88.349992,88.909993,677600,74.085931
2013-07-23,89.08999,89.349995,88.479998,88.679999,707300,73.894284
2013-07-24,89.009998,89.059996,86.330007,87.069996,918500,72.552719
2013-07-25,86.839993,87.37001,86.220004,86.829995,740600,72.352733
2013-07-26,86.510003,87.559995,86.230002,87.529993,527600,72.93602
2013-07-29,87.169992,87.350005,86.480009,86.929991,639100,72.436057
2013-07-30,87.419991,87.669998,85.830001,86.16,896200,71.794447
2013-07-31,86.310002,86.989996,83.529998,84.809993,1742800,70.669529
2013-08-01,85.359997,85.580002,84.150004,84.160002,1173900,70.127911
2013-08-02,84.219998,84.749989,83.350002,83.379995,890300,69.477956
2013-08-05,83.379995,84.219998,83.019994,83.620005,874100,69.677948
