Date,Open_WDC,High_WDC,Low_WDC,Close_WDC,Volume_WDC,AdjClose_WDC
2013-06-14,64.480003,64.660004,63.66,63.880001,1466500,59.887151
2013-06-17,64.529999,65.0,64.099998,64.650002,1849000,60.609022
2013-06-18,64.870003,65.25,64.599998,64.669998,2286600,60.627769
2013-06-19,64.639999,64.790001,63.509998,63.57,4052600,59.596526
2013-06-20,62.84,62.849998,60.970001,61.490002,3366900,57.646539
2013-06-21,61.34,61.650002,59.990002,60.189999,4040100,56.427794
2013-06-24,59.610001,59.799999,58.040001,58.540001,2394400,54.88093
2013-06-25,59.330002,60.27,58.970001,60.060001,2197100,56.305922
2013-06-26,60.509998,61.400002,60.34,60.709999,2457500,57.153189
2013-06-27,61.889999,63.130001,61.419998,62.619999,2618700,58.951288
2013-06-28,62.32,62.869999,61.650002,62.09,4392500,58.45234
2013-07-01,62.09,63.5,62.09,63.060001,1806000,59.365512
2013-07-02,62.759998,63.560001,62.419998,63.18,2157000,59.47848
2013-07-03,62.889999,63.810001,62.560001,63.209999,951900,59.506721
2013-07-05,63.799999,64.730003,63.330002,64.510002,1857000,60.730561
2013-07-08,64.610001,65.339996,64.589996,65.220001,2364700,61.398964
2013-07-09,66.029999,66.300003,64.779999,66.199997,2085900,62.321545
2013-07-10,66.230003,67.269997,66.010002,67.230003,2491400,63.291206
2013-07-11,68.07,68.639999,66.690002,67.019997,2506300,63.093503
2013-07-12,67.260002,67.93,67.0,67.860001,2299200,63.884294
2013-07-15,67.910004,68.669998,67.839996,68.239998,1886600,64.242028
2013-07-16,68.449997,68.550003,67.779999,67.889999,1317700,63.912535
2013-07-17,68.43,68.669998,67.709999,68.550003,1096500,64.533871
2013-07-18,68.849998,69.989998,68.589996,69.650002,1742000,65.569424
2013-07-19,69.540001,70.25,69.019997,69.790001,1746800,65.701221
2013-07-22,70.260002,70.610001,69.580002,70.089996,1832700,65.983641
2013-07-23,70.419998,70.5,67.620003,67.830002,2796000,63.856053
2013-07-24,66.269997,67.800003,65.970001,67.529999,3289400,63.573626
2013-07-25,63.5,64.160004,61.490002,63.529999,5316200,59.807973
