Date,Open_CCI,High_CCI,Low_CCI,Close_CCI,Volume_CCI,AdjClose_CCI
2013-06-14,69.739998,70.959999,69.610001,70.339996,3132200,65.210878
2013-06-17,70.739998,70.949997,70.099998,70.339996,2731200,65.210878
2013-06-18,70.339996,71.68,70.339996,71.330002,1573900,66.128693
2013-06-19,71.260002,71.379997,69.459999,69.540001,2571600,64.469217
2013-06-20,68.889999,68.889999,67.349998,67.699997,3659900,62.763384
2013-06-21,68.080002,68.75,67.059998,68.529999,3083200,63.532863
2013-06-24,67.699997,67.970001,66.949997,67.330002,1967400,62.420369
2013-06-25,67.910004,68.68,67.580002,68.32,1493700,63.338177
2013-06-26,68.669998,70.190002,68.389999,70.129997,2958400,65.016191
2013-06-27,70.540001,73.290001,70.480003,72.470001,4992600,67.185565
2013-06-28,72.330002,72.739998,71.910004,72.389999,5256700,67.111397
2013-07-01,72.5,73.290001,72.190002,72.309998,3484400,67.037228
2013-07-02,72.160004,72.639999,71.660004,72.160004,1982900,66.898172
2013-07-03,71.879997,72.610001,71.379997,72.400002,925700,67.120669
2013-07-05,72.650002,72.650002,71.0,72.209999,1178000,66.944522
2013-07-08,72.370003,73.5,72.330002,73.32,2272500,67.973582
2013-07-09,73.900002,73.900002,72.449997,72.690002,2046700,67.389524
2013-07-10,72.769997,75.190002,72.650002,74.839996,3505500,69.382742
2013-07-11,75.900002,77.459999,75.900002,76.720001,3532800,71.125659
2013-07-12,76.900002,77.57,76.309998,77.300003,2178700,71.663368
2013-07-15,77.620003,78.0,76.150002,77.360001,1768800,71.71899
2013-07-16,77.269997,77.370003,75.900002,76.349998,1970300,70.782637
2013-07-17,75.519997,76.550003,73.870003,76.440002,4825100,70.866078
2013-07-18,76.610001,77.059998,76.019997,76.43,1928700,70.856805
2013-07-19,76.5,77.110001,76.160004,76.720001,1337000,71.125659
2013-07-22,76.889999,76.949997,75.769997,76.599998,1372600,71.014407
2013-07-23,76.940002,77.220001,76.419998,76.849998,1240900,71.246177
2013-07-24,76.959999,77.059998,76.160004,76.720001,1642400,71.125659
2013-07-25,76.889999,76.889999,73.339996,73.690002,3543400,68.316605
2013-07-26,73.519997,74.279999,73.209999,73.349998,1725300,68.001393
2013-07-29,73.389999,73.919998,72.379997,72.489998,2278800,67.204103
2013-07-30,72.900002,72.970001,71.879997,71.919998,2001800,66.675667
2013-07-31,72.349998,72.589996,69.360001,70.25,4505200,65.127444
2013-08-01,70.540001,70.730003,69.470001,69.620003,3051900,64.543385
2013-08-02,69.650002,70.059998,69.120003,69.300003,3348800,64.246719
