Date,Open_TYC,High_TYC,Low_TYC,Close_TYC,Volume_TYC,AdjClose_TYC
2015-06-08,40.130001,40.27,40.029999,40.080002,2108900,39.155106
2015-06-09,40.119999,40.360001,40.029999,40.23,1857300,39.301643
2015-06-10,40.32,40.669998,40.27,40.470001,1341800,39.536106
2015-06-11,40.540001,40.68,40.400002,40.599998,1311000,39.663103
2015-06-12,40.5,40.509998,40.130001,40.279999,1788900,39.350488
2015-06-15,39.939999,39.950001,39.200001,39.639999,2010700,38.725257
2015-06-16,39.639999,39.950001,39.380001,39.919998,2070000,38.998795
2015-06-17,39.93,40.490002,39.889999,40.27,2506700,39.34072
2015-06-18,40.400002,40.709999,40.25,40.450001,2717300,39.516567
2015-06-19,40.279999,40.43,40.080002,40.139999,2388300,39.213719
2015-06-22,40.25,40.400002,40.0,40.0,2131000,39.076951
2015-06-23,40.029999,40.18,39.73,39.830002,3217900,38.910875
2015-06-24,39.790001,40.0,39.669998,39.700001,3349000,38.783874
2015-06-25,39.650002,39.889999,39.189999,39.209999,2180300,38.30518
2015-06-26,39.220001,39.549999,39.139999,39.389999,2332300,38.481026
2015-06-29,39.0,39.110001,38.299999,38.330002,1939900,37.44549
2015-06-30,38.599998,38.73,38.23,38.48,3226800,37.592026
2015-07-01,38.720001,38.869999,38.5,38.84,2286800,37.943719
2015-07-02,38.93,39.0,38.259998,38.41,2070200,37.523642
2015-07-06,38.0,38.459999,37.950001,38.209999,1776800,37.328256
2015-07-07,38.23,38.73,37.860001,38.689999,2478500,37.797179
2015-07-08,38.27,38.380001,37.68,37.77,1697700,36.898411
2015-07-09,38.16,38.5,37.959999,37.970001,4047300,37.093797
2015-07-10,38.380001,38.490002,37.66,37.720001,3439300,36.849566
2015-07-13,38.0,38.25,37.98,38.130001,2346200,37.250104
2015-07-14,38.139999,38.34,38.040001,38.110001,3242500,37.230565
2015-07-15,38.150002,38.279999,37.880001,38.169998,2100600,37.289178
2015-07-16,38.43,38.720001,38.380001,38.549999,4264800,37.66041
2015-07-17,38.48,38.549999,38.220001,38.400002,2054200,37.513874
2015-07-20,38.360001,38.380001,38.150002,38.310001,2375100,37.425951
2015-07-21,38.259998,38.360001,38.07,38.080002,2194000,37.201259
2015-07-22,37.900002,37.959999,37.189999,37.189999,2832900,36.528441
2015-07-23,37.18,37.470001,36.990002,37.07,2463900,36.410577
2015-07-24,37.009998,37.040001,36.419998,36.439999,3010300,35.791782
2015-07-27,36.23,36.619999,36.200001,36.290001,3347500,35.644453
2015-07-28,36.470001,36.549999,35.919998,36.439999,7303600,35.791782
2015-07-29,36.439999,36.900002,36.310001,36.790001,6314100,36.135559
2015-07-30,36.619999,37.07,36.610001,36.93,3388500,36.273068
2015-07-31,37.209999,38.419998,37.200001,37.990002,5780800,37.314213
2015-08-03,37.990002,38.25,37.459999,38.18,3994600,37.500832
2015-08-04,38.259998,38.830002,38.139999,38.27,3099600,37.589231
2015-08-05,38.599998,38.619999,38.110001,38.279999,2032700,37.599052
2015-08-06,38.389999,38.470001,38.16,38.330002,2154300,37.648165
2015-08-07,38.279999,38.369999,37.77,37.98,1582600,37.304389
2015-08-10,38.32,38.619999,38.27,38.529999,2246100,37.844604
2015-08-11,38.07,38.169998,37.75,37.84,1197800,37.16688
2015-08-12,37.509998,38.099998,37.400002,37.900002,3807000,37.225814
2015-08-13,37.810001,37.919998,37.459999,37.470001,2573800,36.803463
