Date,Open_LB,High_LB,Low_LB,Close_LB,Volume_LB,AdjClose_LB
2013-06-14,50.740002,51.669998,50.73,50.790001,4201500,44.373633
2013-06-17,50.98,51.27,50.650002,51.0,2164300,44.557102
2013-06-18,50.98,52.41,50.959999,52.32,1972500,45.710345
2013-06-19,52.32,53.139999,51.75,51.82,3004200,45.27351
2013-06-20,51.169998,51.630001,50.41,51.18,4451100,44.714363
2013-06-21,51.639999,51.970001,51.18,51.509998,4861100,45.002672
2013-06-24,50.990002,51.029999,49.209999,49.290001,2583800,43.06313
2013-06-25,49.790001,50.139999,49.380001,49.73,1548300,43.447543
2013-06-26,50.18,50.41,49.400002,49.73,1826100,43.447543
2013-06-27,49.889999,50.080002,49.150002,49.189999,3301300,42.975761
2013-06-28,49.209999,49.869999,49.060001,49.25,3553700,43.028182
2013-07-01,49.669998,50.080002,49.549999,49.59,2676600,43.32523
2013-07-02,49.59,50.18,49.470001,49.790001,1487800,43.499964
2013-07-03,49.5,49.5,48.77,49.200001,1171500,42.984499
2013-07-05,49.59,49.950001,49.049999,49.669998,2196400,43.395121
2013-07-08,49.849998,50.599998,49.759998,50.369999,2309400,44.00669
2013-07-09,50.580002,51.060001,50.09,50.57,2195100,44.181424
2013-07-10,50.52,50.799999,50.080002,50.610001,2616700,44.216372
2013-07-11,51.240002,52.389999,51.049999,52.330002,3639400,45.719083
2013-07-12,52.330002,52.330002,51.57,51.82,1633100,45.27351
2013-07-15,51.700001,52.599998,51.639999,52.07,1469000,45.491927
2013-07-16,52.220001,52.509998,51.580002,51.810001,1404800,45.264775
2013-07-17,51.950001,52.41,51.689999,51.93,1089800,45.369614
2013-07-18,52.040001,52.700001,52.029999,52.57,1329100,45.928762
2013-07-19,52.509998,52.720001,52.119999,52.490002,1327000,45.85887
2013-07-22,52.41,52.98,52.389999,52.91,914600,46.225809
2013-07-23,52.939999,53.450001,52.759998,53.169998,1672500,46.452962
2013-07-24,53.23,53.360001,52.490002,52.639999,1245100,45.989918
2013-07-25,52.509998,53.259998,52.48,53.25,1086200,46.522857
2013-07-26,53.09,53.77,52.82,53.68,1485900,46.898535
2013-07-29,53.66,55.799999,53.610001,55.41,4197600,48.409981
2013-07-30,55.650002,55.650002,54.75,55.32,2108200,48.331351
2013-07-31,55.240002,56.009998,55.119999,55.77,1950400,48.724502
2013-08-01,56.110001,57.619999,55.91,57.549999,1966500,50.279631
2013-08-02,57.400002,58.689999,57.259998,58.400002,3418000,51.022252
2013-08-05,58.299999,58.549999,57.389999,57.470001,2409500,50.20974
2013-08-06,57.240002,57.279999,56.049999,56.959999,3969100,49.764167
2013-08-07,56.189999,57.34,56.189999,57.299999,2850300,50.061214
2013-08-08,60.169998,60.799999,59.59,60.25,4349600,52.638537
2013-08-09,60.07,61.34,60.0,61.27,2429800,53.52968
2013-08-12,60.93,61.27,60.650002,61.189999,1517000,53.459785
2013-08-13,61.290001,61.360001,60.59,61.360001,1741700,53.60831
