Date,Open_SBUX,High_SBUX,Low_SBUX,Close_SBUX,Volume_SBUX,AdjClose_SBUX
2013-06-14,65.949997,66.669998,65.449997,65.599998,9854600,31.496538
2013-06-17,66.190002,66.559998,65.709999,66.029999,8115800,31.702994
2013-06-18,66.0,67.129997,65.949997,67.099998,7453600,32.216733
2013-06-19,67.019997,67.480003,66.410004,66.410004,10647200,31.885446
2013-06-20,65.82,66.32,65.040001,65.220001,11606600,31.31409
2013-06-21,65.709999,65.919998,64.230003,64.690002,14709600,31.059622
2013-06-24,64.0,64.580002,63.18,64.010002,9913200,30.733133
2013-06-25,64.529999,65.360001,64.440002,64.739998,9857000,31.083626
2013-06-26,65.370003,66.709999,64.889999,65.800003,9545800,31.592566
2013-06-27,66.269997,66.5,65.650002,65.690002,6296000,31.539752
2013-06-28,65.510002,66.25,65.400002,65.510002,10836600,31.453328
2013-07-01,66.089996,66.489998,65.82,66.239998,6692200,31.803821
2013-07-02,66.239998,67.199997,66.080002,66.790001,6765600,32.067894
2013-07-03,66.43,67.68,66.400002,67.300003,5616400,32.312762
2013-07-05,67.870003,68.0,66.900002,67.720001,5189400,32.514415
2013-07-08,67.940002,68.82,67.879997,68.290001,8030000,32.788089
2013-07-09,68.900002,69.0,67.989998,68.129997,7460000,32.711267
2013-07-10,67.870003,68.120003,67.449997,68.099998,8090800,32.696864
2013-07-11,68.68,69.519997,68.349998,69.339996,8385800,33.292224
2013-07-12,69.239998,69.720001,68.779999,69.720001,9706600,33.474676
2013-07-15,69.690002,69.900002,69.529999,69.660004,6180600,33.445869
2013-07-16,69.639999,69.720001,69.080002,69.519997,6068200,33.378648
2013-07-17,69.739998,69.82,67.889999,68.199997,12147400,32.744876
2013-07-18,68.449997,69.010002,68.040001,68.480003,8537800,32.879315
2013-07-19,68.57,69.110001,68.400002,68.790001,7197000,33.028155
2013-07-22,69.080002,69.209999,68.550003,69.019997,6559800,33.138582
2013-07-23,69.239998,69.32,67.449997,67.660004,8466200,32.485609
2013-07-24,68.120003,68.43,66.300003,66.610001,14034200,31.981471
2013-07-25,66.940002,68.300003,66.730003,68.169998,15978400,32.730473
2013-07-26,72.599998,73.519997,71.849998,73.360001,32293400,35.222349
2013-07-29,72.75,73.080002,72.099998,72.449997,12800800,34.785429
2013-07-30,72.900002,72.980003,71.709999,71.93,9808800,34.535763
2013-07-31,72.139999,72.5,71.220001,71.290001,11248400,34.22848
2013-08-01,72.269997,73.730003,72.080002,73.480003,12854600,35.279966
2013-08-02,73.5,74.269997,73.160004,74.230003,9416800,35.640064
2013-08-05,74.220001,74.269997,73.709999,73.970001,7606200,35.515229
2013-08-06,73.660004,73.849998,72.779999,72.800003,7956000,35.052993
2013-08-07,72.360001,73.150002,72.169998,72.190002,7066000,34.75928
2013-08-08,72.769997,73.400002,72.400002,72.940002,5923800,35.120402
2013-08-09,72.589996,73.230003,72.519997,72.800003,5366400,35.052993
2013-08-12,72.279999,73.129997,72.25,72.93,5472400,35.115586
2013-08-13,73.089996,73.089996,71.93,72.639999,5377800,34.975952
2013-08-14,72.580002,72.580002,71.790001,71.849998,4932000,34.595569
2013-08-15,71.309998,71.349998,70.309998,70.739998,7198800,34.061107
2013-08-16,70.980003,71.389999,70.550003,70.709999,6929800,34.046662
2013-08-19,70.580002,71.300003,70.18,70.290001,6349200,33.844434
2013-08-20,70.360001,71.029999,70.110001,70.660004,6045000,34.02259
2013-08-21,70.419998,71.400002,70.279999,70.709999,6917000,34.046662
2013-08-22,71.080002,72.260002,71.010002,71.900002,5399600,34.619645
2013-08-23,72.059998,72.190002,71.580002,71.970001,5869800,34.65335
2013-08-26,72.07,72.209999,71.599998,71.879997,4929400,34.610013
2013-08-27,70.900002,71.370003,70.110001,70.160004,8025200,33.781841
2013-08-28,70.089996,71.32,69.860001,70.959999,6249800,34.167037
2013-08-29,70.730003,71.839996,70.5,71.18,5510000,34.272966
2013-08-30,71.379997,71.400002,70.330002,70.519997,5665000,33.955177
2013-09-03,71.699997,72.139999,71.190002,71.599998,7249400,34.475194
2013-09-04,71.419998,72.269997,71.089996,72.139999,6502200,34.735203
2013-09-05,72.25,72.760002,72.010002,72.050003,4931200,34.69187
2013-09-06,72.370003,72.650002,70.93,71.57,6356600,34.46075
2013-09-09,71.68,72.489998,71.669998,72.440002,4936800,34.879654
2013-09-10,72.980003,74.32,72.93,74.220001,11779000,35.736718
2013-09-11,74.330002,75.5,74.330002,75.389999,9982400,36.300069
2013-09-12,75.5,75.910004,75.120003,75.669998,7628600,36.434888
2013-09-13,75.589996,75.699997,74.650002,75.57,5767400,36.386739
2013-09-16,76.57,76.599998,74.860001,75.239998,8708400,36.227844
2013-09-17,75.260002,76.239998,75.169998,76.040001,6660600,36.613043
2013-09-18,75.879997,77.620003,75.550003,77.330002,9487000,37.234175
2013-09-19,77.519997,77.839996,76.300003,76.349998,8041600,36.762306
2013-09-20,76.260002,77.0,76.07,76.120003,9635400,36.651564
2013-09-23,76.110001,76.379997,75.07,75.360001,6783800,36.285625
2013-09-24,75.529999,77.309998,75.480003,76.550003,7736000,36.858607
2013-09-25,76.839996,77.010002,76.07,76.339996,7251800,36.75749
2013-09-26,76.639999,77.279999,76.32,77.18,4988800,37.161949
2013-09-27,76.910004,77.480003,76.400002,77.330002,6200200,37.234175
2013-09-30,76.5,77.080002,76.050003,76.970001,8861200,37.060835
2013-10-01,76.980003,77.339996,76.559998,77.160004,5205200,37.152321
2013-10-02,76.589996,77.230003,76.209999,77.190002,6088400,37.166765
2013-10-03,76.959999,77.459999,76.32,76.870003,8266400,37.012686
2013-10-04,76.800003,77.459999,76.510002,77.400002,5226600,37.267879
2013-10-07,76.599998,77.389999,76.410004,76.860001,5106800,37.00787
2013-10-08,77.110001,78.029999,75.440002,75.529999,12637800,36.367478
2013-10-09,75.389999,75.800003,74.449997,75.260002,9482000,36.237476
2013-10-10,76.290001,77.309998,76.129997,77.120003,6625800,37.133061
2013-10-11,77.220001,77.839996,76.879997,77.82,5530400,37.470107
2013-10-14,77.540001,78.32,77.25,78.099998,5986600,37.604926
2013-10-15,77.830002,77.900002,76.599998,76.709999,8135200,36.935645
2013-10-16,77.199997,78.220001,76.889999,78.040001,10104000,37.576037
2013-10-17,77.669998,78.849998,77.449997,78.739998,6551000,37.913084
2013-10-18,79.269997,79.669998,78.970001,79.309998,9050000,38.187537
2013-10-21,79.110001,79.910004,78.669998,79.459999,6770200,38.259762
2013-10-22,79.900002,81.080002,79.599998,80.900002,8419600,38.953119
2013-10-23,80.449997,80.849998,79.889999,80.050003,7892200,38.543847
2013-10-24,79.360001,79.440002,78.510002,79.050003,13504600,38.06235
2013-10-25,79.470001,80.0,79.269997,79.959999,7251800,38.500511
