Date,Open_RHI,High_RHI,Low_RHI,Close_RHI,Volume_RHI,AdjClose_RHI
2015-06-08,56.220001,56.470001,56.110001,56.139999,347300,55.099992
2015-06-09,56.139999,56.450001,55.75,56.240002,596500,55.198142
2015-06-10,56.419998,57.130001,56.290001,56.66,451300,55.61036
2015-06-11,56.73,57.32,56.73,56.990002,683500,55.934248
2015-06-12,56.82,56.93,56.389999,56.439999,522100,55.394434
2015-06-15,56.0,56.169998,55.560001,55.939999,420900,54.903697
2015-06-16,55.959999,56.689999,55.830002,56.560001,427900,55.512214
2015-06-17,56.59,56.82,56.279999,56.5,463900,55.453324
2015-06-18,56.509998,57.66,56.5,57.380001,785000,56.317023
2015-06-19,57.369999,57.450001,57.009998,57.040001,806500,55.983321
2015-06-22,57.290001,57.700001,57.16,57.450001,551400,56.385726
2015-06-23,57.549999,57.619999,56.759998,56.84,742500,55.787025
2015-06-24,56.84,56.950001,56.299999,56.32,703400,55.276658
2015-06-25,56.5,56.560001,55.98,56.02,720600,54.982216
2015-06-26,56.240002,56.759998,55.860001,56.639999,600000,55.59073
2015-06-29,56.23,56.32,55.41,55.450001,709300,54.422776
2015-06-30,55.939999,56.07,55.330002,55.5,907600,54.471849
2015-07-01,55.98,56.009998,55.48,55.82,647000,54.785921
2015-07-02,55.830002,55.990002,55.200001,55.48,580000,54.452219
2015-07-06,55.130001,55.490002,54.470001,54.830002,1022600,53.814263
2015-07-07,54.84,55.790001,54.540001,55.73,745800,54.697588
2015-07-08,55.080002,55.619999,54.740002,54.900002,1498600,53.882966
2015-07-09,55.830002,56.0,55.18,55.470001,797800,54.442406
2015-07-10,56.27,56.439999,55.93,56.169998,728400,55.129435
2015-07-13,56.709999,56.860001,56.259998,56.689999,663500,55.639803
2015-07-14,56.740002,57.0,56.57,56.880001,412100,55.826285
2015-07-15,56.860001,56.98,56.23,56.400002,694000,55.355178
2015-07-16,56.759998,57.919998,56.540001,57.889999,848000,56.817573
2015-07-17,57.549999,57.82,56.349998,57.049999,1179600,55.993134
2015-07-20,57.0,57.310001,56.889999,56.959999,494700,55.904801
2015-07-21,56.84,56.860001,55.75,56.0,1158400,54.962586
2015-07-22,55.830002,56.549999,55.810001,56.419998,776500,55.374804
2015-07-23,56.490002,56.720001,55.959999,56.110001,929800,55.070549
2015-07-24,55.0,55.0,52.299999,52.549999,2513600,51.576498
2015-07-27,52.400002,53.009998,52.200001,52.57,1814700,51.596128
2015-07-28,51.91,52.790001,51.68,52.23,1583300,51.262426
2015-07-29,52.189999,53.400002,52.18,53.330002,1155500,52.342051
2015-07-30,52.98,54.360001,52.759998,53.869999,1076800,52.872044
2015-07-31,54.73,55.290001,54.279999,55.029999,1389200,54.010555
2015-08-03,55.07,55.490002,54.720001,55.490002,1212700,54.462036
2015-08-04,55.32,56.099998,55.02,55.32,972100,54.295183
2015-08-05,55.91,56.709999,55.799999,56.040001,1177200,55.001846
2015-08-06,56.200001,56.200001,55.470001,55.720001,1135300,54.687775
2015-08-07,55.439999,55.82,55.09,55.82,827000,54.785921
2015-08-10,56.369999,56.91,56.25,56.759998,785600,55.708506
2015-08-11,56.299999,56.959999,56.099998,56.939999,831600,55.885171
2015-08-12,56.43,56.610001,55.610001,56.48,1019600,55.433694
2015-08-13,56.540001,56.959999,56.130001,56.560001,502700,55.512214
2015-08-14,56.419998,57.299999,56.299999,57.220001,538700,56.159987
2015-08-17,57.060001,57.939999,56.790001,57.91,506800,56.837203
2015-08-18,57.93,58.0,57.509998,57.540001,582600,56.474058
2015-08-19,57.209999,57.48,56.689999,57.290001,543200,56.22869
2015-08-20,56.700001,57.049999,55.810001,55.84,885200,54.805551
2015-08-21,55.009998,55.349998,53.810001,54.009998,1619400,53.199994
2015-08-24,50.889999,52.669998,50.040001,51.209999,2011100,50.441987
2015-08-25,52.5,52.5,50.41,50.419998,1252500,49.663834
2015-08-26,51.57,51.970001,50.099998,51.779999,1410100,51.003438
2015-08-27,52.349998,52.75,51.59,52.48,1089100,51.692941
2015-08-28,52.02,52.02,50.689999,51.439999,2177000,50.668537
2015-08-31,50.93,51.549999,50.75,51.029999,1957900,50.264686
2015-09-01,50.040001,50.779999,49.669998,49.91,1285200,49.161484
2015-09-02,50.630001,51.369999,50.200001,51.369999,1035900,50.599587
2015-09-03,51.43,52.02,51.32,51.639999,701000,50.865539
2015-09-04,50.919998,51.16,50.48,50.610001,920000,49.850987
2015-09-08,51.59,51.650002,51.119999,51.360001,1107400,50.589739
2015-09-09,51.880001,52.040001,51.099998,51.200001,925100,50.432139
2015-09-10,50.91,51.619999,50.880001,51.27,1163200,50.501089
2015-09-11,51.119999,51.720001,50.959999,51.529999,761800,50.757188
2015-09-14,51.529999,51.669998,51.080002,51.240002,528800,50.47154
2015-09-15,51.470001,52.369999,51.32,52.240002,773500,51.456543
2015-09-16,52.200001,52.709999,52.060001,52.470001,733000,51.683093
2015-09-17,52.52,52.959999,51.98,52.110001,664300,51.328491
2015-09-18,51.529999,51.919998,50.73,50.900002,1780400,50.136639
2015-09-21,51.279999,52.02,50.959999,51.27,674800,50.501089
2015-09-22,50.59,50.880001,50.310001,50.799999,951300,50.038136
2015-09-23,50.73,51.25,50.470001,51.150002,712200,50.382889
2015-09-24,50.619999,50.82,50.07,50.330002,1088100,49.575188
2015-09-25,50.639999,51.049999,50.209999,50.610001,889800,49.850987
2015-09-28,50.5,50.66,49.740002,49.799999,885100,49.053134
2015-09-29,49.939999,50.02,49.18,49.77,1097600,49.023585
2015-09-30,50.450001,51.25,50.380001,51.16,998400,50.392738
2015-10-01,51.049999,51.439999,50.32,51.009998,1194100,50.244986
2015-10-02,50.299999,50.34,49.290001,50.34,1083300,49.585036
2015-10-05,50.73,51.669998,50.720001,51.549999,784400,50.776888
2015-10-06,51.419998,51.810001,50.740002,50.919998,640100,50.156336
2015-10-07,51.169998,51.790001,51.099998,51.700001,1139600,50.92464
2015-10-08,51.52,52.75,51.310001,52.66,773000,51.870242
2015-10-09,52.75,53.060001,52.549999,52.84,593100,52.047543
2015-10-12,52.779999,53.360001,52.75,53.27,873200,52.471094
2015-10-13,53.0,53.27,52.5,52.630001,669000,51.840693
2015-10-14,52.740002,53.02,52.240002,52.34,1004400,51.555041
2015-10-15,52.709999,53.060001,52.360001,52.990002,499000,52.195295
2015-10-16,53.310001,53.48,52.650002,53.189999,666400,52.392292
2015-10-19,53.0,53.400002,52.599998,52.919998,748800,52.126341
2015-10-20,52.77,53.52,52.75,53.330002,1132400,52.530196
2015-10-21,53.200001,53.419998,52.310001,52.389999,1334600,51.604291
2015-10-22,51.990002,51.990002,49.150002,50.0,2448600,49.250135
2015-10-23,50.279999,51.189999,50.16,50.959999,1581200,50.195737
2015-10-26,50.93,51.41,50.759998,51.200001,862500,50.432139
2015-10-27,50.889999,51.049999,50.509998,50.900002,700200,50.136639
2015-10-28,51.099998,51.740002,50.709999,51.709999,701000,50.934489
2015-10-29,51.75,52.240002,51.66,52.150002,549200,51.367892
2015-10-30,52.529999,53.080002,52.189999,52.66,1352300,51.870242
2015-11-02,52.709999,54.009998,52.509998,53.82,1048700,53.012845
