Date,Open_APA,High_APA,Low_APA,Close_APA,Volume_APA,AdjClose_APA
2015-06-08,59.009998,59.400002,57.73,58.209999,2857700,56.925683
2015-06-09,58.950001,59.400002,58.560001,58.57,3578200,57.277741
2015-06-10,59.509998,59.610001,58.59,58.959999,3907100,57.659136
2015-06-11,58.91,59.130001,57.720001,58.150002,2996900,56.867009
2015-06-12,57.799999,58.27,57.490002,58.18,3502000,56.896346
2015-06-15,57.560001,59.029999,57.41,57.970001,2773800,56.69098
2015-06-16,57.779999,59.09,57.700001,59.049999,2198300,57.74715
2015-06-17,59.669998,60.130001,57.5,57.669998,3356400,56.397597
2015-06-18,58.029999,58.400002,57.130001,57.23,2297300,55.967306
2015-06-19,57.07,57.439999,56.060001,56.540001,4779200,55.292531
2015-06-22,56.75,57.630001,56.200001,57.529999,3742800,56.260686
2015-06-23,57.709999,58.93,57.5,58.849998,3594300,57.551562
2015-06-24,58.900002,59.400002,58.5,58.709999,2996600,57.414651
2015-06-25,58.779999,59.0,57.610001,57.799999,2640700,56.524729
2015-06-26,57.830002,58.529999,57.240002,58.48,3806900,57.189726
2015-06-29,57.43,57.970001,56.900002,57.209999,3474200,55.947747
2015-06-30,57.790001,57.959999,57.150002,57.630001,2885600,56.358482
2015-07-01,57.639999,58.849998,55.82,56.080002,3080500,54.842681
2015-07-02,56.200001,56.990002,56.110001,56.779999,2303100,55.527234
2015-07-06,55.66,56.689999,55.150002,55.5,2878600,54.275476
2015-07-07,55.16,55.990002,53.75,55.700001,3716200,54.471064
2015-07-08,55.16,55.939999,53.110001,53.459999,2863900,52.280485
2015-07-09,54.599998,54.970001,53.82,53.830002,2464600,52.642324
2015-07-10,54.220001,54.740002,52.790001,52.939999,3178700,51.771957
2015-07-13,52.900002,53.439999,52.5,53.259998,2953400,52.084897
2015-07-14,53.0,54.529999,52.82,54.389999,3263100,53.189966
2015-07-15,54.119999,54.349998,53.119999,53.48,3972400,52.300044
2015-07-16,53.849998,53.900002,52.52,52.669998,2780900,51.507914
2015-07-17,52.25,52.25,50.57,50.639999,4859200,49.522704
2015-07-20,50.299999,50.540001,48.5,48.619999,5746700,47.783167
2015-07-21,48.900002,49.439999,47.369999,47.529999,5201800,46.711928
2015-07-22,47.32,47.700001,46.619999,47.32,4780900,46.505543
2015-07-23,47.34,47.5,46.32,47.349998,4511100,46.535026
2015-07-24,47.200001,47.25,45.029999,45.080002,4703400,44.304099
2015-07-27,44.279999,45.290001,43.84,44.509998,5824100,43.743907
2015-07-28,44.799999,47.07,44.290001,46.470001,7655300,45.670175
2015-07-29,46.34,47.59,46.07,46.790001,6760600,45.984667
2015-07-30,46.580002,47.18,45.959999,46.48,4823200,45.680001
2015-07-31,46.470001,46.639999,45.700001,45.860001,5070100,45.070673
2015-08-03,45.049999,46.419998,44.299999,45.27,6496800,44.490828
2015-08-04,45.919998,46.23,45.009998,45.349998,5332600,44.569449
2015-08-05,46.02,46.799999,44.34,44.439999,5789800,43.675112
2015-08-06,44.389999,46.900002,43.040001,46.599998,6176500,45.797934
2015-08-07,46.139999,47.310001,45.549999,46.110001,6478300,45.31637
2015-08-10,46.599998,48.540001,46.330002,48.450001,10337000,47.616095
2015-08-11,46.990002,47.93,46.450001,47.689999,6142400,46.869174
2015-08-12,47.639999,49.68,47.220001,49.209999,6701800,48.363013
2015-08-13,48.91,49.66,47.799999,47.900002,6749200,47.075562
2015-08-14,47.950001,48.689999,46.900002,47.0,5017500,46.191051
2015-08-17,46.810001,47.93,46.32,47.849998,2992600,47.02642
2015-08-18,47.650002,48.43,47.34,48.07,2287100,47.242634
