Date,Open_ARG,High_ARG,Low_ARG,Close_ARG,Volume_ARG,AdjClose_ARG
2013-06-14,96.5,97.18,95.269997,95.940002,697400,90.907921
2013-06-17,96.5,96.860001,95.690002,95.940002,743400,90.907921
2013-06-18,96.029999,96.279999,95.389999,96.089996,737700,91.050047
2013-06-19,96.43,97.68,96.150002,96.150002,689200,91.106905
2013-06-20,93.900002,95.910004,93.900002,95.269997,575400,90.273057
2013-06-21,95.779999,95.800003,93.709999,95.029999,1146100,90.045647
2013-06-24,93.82,94.580002,92.860001,94.059998,584500,89.126523
2013-06-25,94.940002,95.849998,94.339996,95.519997,665200,90.509944
2013-06-26,96.029999,96.980003,95.610001,96.739998,529500,91.665956
2013-06-27,96.879997,96.919998,95.379997,95.830002,436500,90.80369
2013-06-28,95.839996,96.389999,95.010002,95.459999,895500,90.453094
2013-07-01,95.730003,97.800003,95.580002,97.5,478800,92.386096
2013-07-02,97.040001,97.980003,96.220001,96.550003,510200,91.485926
2013-07-03,94.370003,96.699997,94.370003,96.300003,178300,91.249039
2013-07-05,96.889999,97.440002,96.790001,97.110001,319200,92.016552
2013-07-08,97.480003,97.989998,97.290001,97.919998,334700,92.784065
2013-07-09,98.440002,99.269997,97.900002,99.230003,371800,94.02536
2013-07-10,99.040001,99.419998,98.529999,98.870003,555700,93.684242
2013-07-11,100.040001,100.68,99.400002,99.629997,451900,94.404374
2013-07-12,99.559998,100.440002,99.360001,100.290001,337300,95.02976
2013-07-15,100.290001,100.709999,99.139999,100.330002,378700,95.067663
2013-07-16,100.400002,100.650002,99.75,100.639999,389200,95.361401
2013-07-17,101.0,101.07,100.269997,100.5,377500,95.228745
2013-07-18,101.029999,101.169998,100.239998,100.769997,358100,95.48458
2013-07-19,101.0,101.220001,100.260002,100.900002,350000,95.607766
2013-07-22,100.989998,101.25,99.809998,99.839996,503600,94.603359
2013-07-23,100.349998,101.260002,99.779999,101.080002,427900,95.778325
2013-07-24,101.309998,101.309998,100.160004,101.080002,516300,95.778325
2013-07-25,100.75,103.260002,99.75,102.110001,786000,96.754301
2013-07-26,101.779999,102.470001,99.970001,100.309998,421100,95.048708
2013-07-29,100.449997,101.290001,99.900002,101.290001,316900,95.97731
2013-07-30,101.150002,101.839996,100.620003,101.580002,300600,96.2521
2013-07-31,102.059998,103.970001,101.790001,103.209999,490600,97.796604
2013-08-01,104.120003,106.0,103.150002,105.150002,535100,99.634852
2013-08-02,105.099998,105.980003,104.650002,105.830002,567800,100.279187
2013-08-05,105.650002,105.989998,105.32,105.720001,317000,100.174956
2013-08-06,105.410004,105.949997,104.989998,105.410004,190500,99.881217
2013-08-07,105.07,106.07,104.389999,105.699997,204000,100.156
2013-08-08,106.0,106.5,105.889999,106.07,167900,100.506596
2013-08-09,106.0,106.629997,105.43,105.519997,232600,99.985441
2013-08-12,105.25,105.68,103.709999,104.0,303100,98.545169
2013-08-13,104.080002,104.639999,103.830002,104.349998,114000,98.87681
2013-08-14,104.309998,104.470001,103.019997,103.07,163600,97.663947
2013-08-15,102.760002,102.800003,101.25,101.709999,240000,96.375279
2013-08-16,101.379997,102.040001,100.779999,101.580002,258700,96.2521
2013-08-19,101.470001,102.199997,101.0,101.07,430200,95.768848
2013-08-20,101.25,102.699997,100.720001,102.459999,262000,97.085941
2013-08-21,102.290001,103.18,102.110001,102.25,192900,96.886957
2013-08-22,102.269997,104.040001,102.150002,103.470001,138700,98.042969
2013-08-23,103.660004,103.809998,102.510002,103.300003,135400,97.881887
2013-08-26,103.360001,104.0,102.610001,102.879997,114200,97.483911
2013-08-27,101.879997,102.18,101.050003,101.169998,135000,95.863601
2013-08-28,101.18,101.660004,100.529999,101.279999,182500,95.967833
2013-08-29,101.129997,102.110001,100.75,101.419998,105800,96.100489
2013-08-30,101.470001,101.879997,101.269997,101.650002,202300,96.318429
2013-09-03,102.940002,103.519997,102.25,103.25,396700,97.834507
2013-09-04,103.040001,105.0,102.919998,104.949997,497700,99.445338
2013-09-05,104.690002,104.959999,103.629997,104.279999,469500,98.810482
2013-09-06,104.449997,104.839996,103.269997,103.330002,266800,97.910312
2013-09-09,103.589996,105.690002,103.169998,105.449997,901900,99.919113
2013-09-10,105.980003,106.360001,104.510002,104.980003,628400,99.473771
2013-09-11,104.900002,105.129997,104.230003,105.050003,219700,99.997318
2013-09-12,104.830002,105.389999,103.849998,104.0,251100,98.997818
2013-09-13,104.279999,104.389999,103.669998,103.860001,401100,98.864552
2013-09-16,105.349998,106.019997,104.239998,105.559998,351700,100.482782
2013-09-17,105.5,105.919998,104.07,104.300003,345200,99.283391
2013-09-18,104.239998,106.959999,103.68,106.849998,285800,101.710737
2013-09-19,106.849998,107.720001,106.580002,106.980003,209600,101.834489
2013-09-20,106.75,107.519997,105.279999,105.349998,352500,100.282884
2013-09-23,105.110001,105.349998,104.199997,104.389999,124700,99.369059
2013-09-24,104.599998,105.330002,104.010002,105.040001,208000,99.987797
2013-09-25,105.379997,105.660004,104.800003,105.5,342000,100.425671
2013-09-26,105.720001,106.870003,105.650002,106.699997,368700,101.56795
2013-09-27,106.019997,106.459999,105.559998,105.93,337800,100.834989
2013-09-30,105.540001,106.349998,105.07,106.050003,661500,100.94922
2013-10-01,107.370003,109.0,107.0,108.989998,600500,103.747807
2013-10-02,107.839996,109.370003,107.010002,109.32,570900,104.061936
2013-10-03,108.849998,109.139999,108.0,108.57,701000,103.34801
2013-10-04,108.400002,109.32,107.889999,108.82,295900,103.585985
2013-10-07,107.709999,108.339996,106.900002,106.940002,291100,101.796412
2013-10-08,106.739998,107.190002,105.599998,105.790001,282300,100.701723
2013-10-09,105.760002,106.370003,104.599998,106.18,273900,101.072964
2013-10-10,107.379997,109.099998,107.379997,108.989998,245300,103.747807
2013-10-11,108.68,109.019997,107.910004,108.449997,187200,103.233779
2013-10-14,108.0,109.690002,107.959999,109.470001,254500,104.204723
2013-10-15,109.239998,109.650002,108.470001,108.739998,171900,103.509831
2013-10-16,109.209999,110.489998,109.059998,109.5,275500,104.233279
2013-10-17,109.32,110.940002,109.32,110.839996,175300,105.508824
2013-10-18,111.309998,111.669998,110.510002,111.580002,176400,106.213237
2013-10-21,111.410004,111.959999,110.720001,111.519997,227100,106.156118
2013-10-22,111.639999,112.43,110.959999,112.239998,500900,106.841489
2013-10-23,111.43,111.43,105.32,107.0,1206300,101.853524
2013-10-24,105.980003,107.360001,105.0,107.059998,1117300,101.910636
2013-10-25,107.360001,109.139999,106.82,109.139999,359500,103.890594
2013-10-28,109.330002,109.589996,107.610001,107.879997,428100,102.691195
2013-10-29,108.160004,108.860001,107.550003,108.809998,255700,103.576464
2013-10-30,108.779999,109.18,108.260002,108.849998,402800,103.614541
