Date,Open_ADP,High_ADP,Low_ADP,Close_ADP,Volume_ADP,AdjClose_ADP
2013-06-14,68.050005,68.540001,67.850007,68.010001,1620500,55.546769
2013-06-17,68.560001,69.090001,68.390005,68.699995,1931400,56.110318
2013-06-18,68.670006,69.680005,68.610002,69.600001,1458100,56.845393
2013-06-19,69.079999,69.980006,68.920005,69.039999,2169000,56.388014
2013-06-20,68.440007,68.660004,68.080002,68.199996,2839400,55.701947
2013-06-21,68.680008,68.980009,67.990001,68.680008,3641700,56.093994
2013-06-24,68.420007,68.930007,68.110004,68.380003,2064200,55.848966
2013-06-25,69.160002,69.160002,68.160006,68.840002,1499700,56.224668
2013-06-26,69.500007,69.750006,69.150005,69.350002,1947100,56.641207
2013-06-27,69.680005,69.920002,69.190004,69.370002,1571600,56.657542
2013-06-28,68.910003,69.370002,68.499997,68.860002,3545500,56.241002
2013-07-01,68.83,69.920002,68.749996,69.450005,2221300,56.722884
2013-07-02,69.790006,70.490002,69.200006,70.080009,2683500,57.237436
2013-07-03,69.690003,70.589996,69.559998,70.240002,1200400,57.36811
2013-07-05,70.639998,71.169998,70.000005,70.750003,1748000,57.78465
2013-07-08,70.879995,71.270001,70.770003,70.97,1546400,57.964331
2013-07-09,71.000002,71.340002,70.89001,71.040002,1692700,58.021504
2013-07-10,70.860008,71.870003,70.839995,71.75,1924100,58.601391
2013-07-11,72.220009,72.589998,71.75,71.850003,2565900,58.683068
2013-07-12,71.989997,73.439999,71.930006,73.41001,3199500,59.957195
2013-07-15,73.250003,73.320009,72.220009,72.360003,2370900,59.099608
2013-07-16,72.54001,72.630002,72.07,72.300013,1484900,59.050611
2013-07-17,72.670002,72.849999,72.260009,72.319999,2153100,59.066935
2013-07-18,72.670002,73.050006,72.560001,72.819998,1459200,59.475306
2013-07-19,73.139998,73.170004,72.260009,72.880001,2580300,59.524313
2013-07-22,73.790001,73.830009,72.790009,73.160011,1826200,59.75301
2013-07-23,73.170004,73.330011,72.480006,72.490008,1755000,59.205789
2013-07-24,72.950003,72.950003,72.050013,72.220009,1464900,58.985269
2013-07-25,72.180005,72.400003,71.660007,72.170003,1791200,58.944427
2013-07-26,72.050013,72.500006,71.709996,72.480006,1624900,59.19762
2013-07-29,72.160006,72.490008,71.850003,72.100002,1054800,58.887253
2013-07-30,72.690006,72.690006,72.01001,72.140006,1426600,58.919926
2013-07-31,72.62,72.780007,72.039998,72.09,2489300,58.879084
2013-08-01,70.510006,72.019999,70.110011,71.850003,2633400,58.683068
2013-08-02,71.219999,71.620003,70.860008,71.580004,2377900,58.462548
2013-08-05,71.530002,71.709996,71.160009,71.600004,2314600,58.478883
2013-08-06,71.480009,72.380003,71.100005,72.239996,1927000,59.001593
2013-08-07,72.110004,72.28,71.670005,71.989997,1664000,58.797407
