Date,Open_RCL,High_RCL,Low_RCL,Close_RCL,Volume_RCL,AdjClose_RCL
2013-06-14,34.110001,34.279999,33.880001,33.98,1899100,32.146572
2013-06-17,34.200001,34.509998,34.07,34.169998,1271000,32.326319
2013-06-18,33.98,34.540001,33.98,34.259998,2268500,32.411463
2013-06-19,34.23,34.41,33.59,33.639999,2715200,31.824917
2013-06-20,32.98,33.049999,32.09,32.23,2727500,30.490995
2013-06-21,32.57,32.669998,31.66,32.240002,2396200,30.500457
2013-06-24,31.540001,32.139999,31.370001,31.82,2201600,30.103117
2013-06-25,32.689999,33.349998,32.599998,33.099998,2485800,31.314052
2013-06-26,33.009998,33.509998,33.009998,33.23,1528700,31.437039
2013-06-27,33.439999,33.75,33.349998,33.470001,945700,31.664091
2013-06-28,33.150002,33.779999,33.150002,33.34,1721800,31.541104
2013-07-01,33.59,34.52,33.580002,34.25,1555200,32.402004
2013-07-02,34.029999,34.34,33.799999,33.959999,1230000,32.12765
2013-07-03,33.509998,33.650002,33.310001,33.310001,1242600,31.512724
2013-07-05,33.720001,34.299999,33.630001,34.25,905700,32.402004
2013-07-08,34.459999,34.560001,33.98,34.150002,994500,32.307401
2013-07-09,34.459999,34.82,34.189999,34.75,1103600,32.875026
2013-07-10,34.830002,34.950001,34.540001,34.919998,1184100,33.035852
2013-07-11,35.59,36.0,35.48,35.939999,1449000,34.000817
2013-07-12,35.900002,35.93,35.34,35.57,855500,33.650782
2013-07-15,35.540001,35.66,35.139999,35.299999,1149500,33.395349
2013-07-16,35.299999,35.810001,34.950001,35.799999,1408700,33.868371
2013-07-17,36.119999,37.009998,36.110001,36.830002,2832900,34.842799
2013-07-18,36.75,37.029999,36.490002,36.77,2153300,34.786035
2013-07-19,36.740002,36.779999,36.32,36.349998,745600,34.388695
2013-07-22,36.290001,36.529999,36.18,36.279999,812100,34.322472
2013-07-23,36.5,36.790001,36.439999,36.669998,932100,34.691428
2013-07-24,36.919998,36.950001,36.27,36.369999,1593900,34.407616
2013-07-25,37.0,37.259998,35.860001,36.57,3690300,34.596825
2013-07-26,37.130001,37.689999,36.93,37.049999,1924700,35.050926
2013-07-29,36.720001,37.119999,36.41,36.68,1034800,34.700891
2013-07-30,37.169998,37.560001,37.119999,37.369999,1595000,35.35366
2013-07-31,37.610001,38.240002,37.599998,38.09,2230700,36.034813
2013-08-01,38.52,39.279999,38.279999,39.220001,2218200,37.103843
2013-08-02,38.880001,39.23,38.77,39.09,956700,36.980857
2013-08-05,38.919998,38.98,38.299999,38.400002,1066600,36.328088
2013-08-06,38.689999,38.959999,38.049999,38.25,1536500,36.18618
2013-08-07,38.220001,38.369999,37.830002,37.939999,1137100,35.892905
2013-08-08,38.349998,38.549999,38.080002,38.299999,1561100,36.233481
2013-08-09,38.459999,38.549999,37.709999,37.77,1272600,35.732079
2013-08-12,37.68,37.869999,37.48,37.810001,1117400,35.769921
2013-08-13,38.040001,39.200001,37.93,39.150002,2610000,37.03762
2013-08-14,39.279999,39.900002,39.27,39.369999,2038200,37.245748
2013-08-15,39.290001,39.310001,38.66,38.93,1192000,36.82949
2013-08-16,38.990002,39.25,38.560001,38.650002,896000,36.564599
2013-08-19,38.669998,38.669998,37.619999,37.73,1491100,35.694236
2013-08-20,37.740002,38.41,37.720001,38.049999,875900,35.99697
2013-08-21,38.59,38.880001,38.189999,38.240002,1844100,36.176721
2013-08-22,38.220001,39.0,38.18,38.73,1691400,36.64028
2013-08-23,38.889999,38.950001,38.48,38.66,1009400,36.574057
2013-08-26,38.549999,39.169998,38.549999,38.720001,814700,36.630821
2013-08-27,37.639999,37.639999,36.66,36.689999,2585700,34.71035
2013-08-28,36.360001,36.5,35.669998,35.889999,2773400,33.953515
2013-08-29,35.93,36.849998,35.93,36.400002,1327900,34.436
2013-08-30,36.790001,36.880001,36.330002,36.689999,1643500,34.71035
2013-09-03,36.990002,37.150002,36.66,36.900002,1527800,34.909022
2013-09-04,36.459999,37.32,36.389999,37.02,2597700,35.022546
2013-09-05,36.790001,37.330002,36.740002,37.099998,1293200,35.098228
2013-09-06,37.009998,37.369999,36.5,37.139999,1740300,35.13607
2013-09-09,37.200001,37.549999,37.049999,37.240002,1633400,35.230677
2013-09-10,38.380001,38.580002,38.099998,38.23,3316400,36.167258
2013-09-11,38.5,38.93,38.369999,38.720001,1507700,36.630821
2013-09-12,39.950001,40.0,38.799999,38.950001,3757100,36.848411
2013-09-13,39.25,39.279999,38.810001,39.189999,1237000,37.075459
2013-09-16,39.990002,40.169998,39.619999,39.790001,1978400,37.643088
2013-09-17,40.060001,40.119999,39.75,40.060001,865600,37.89852
2013-09-18,40.130001,40.599998,39.59,40.290001,1247000,38.11611
2013-09-19,40.349998,40.709999,40.130001,40.439999,1339800,38.258014
2013-09-20,40.029999,40.049999,39.209999,39.34,1700200,37.448877
2013-09-23,39.669998,39.68,39.049999,39.380001,1052500,37.486955
2013-09-24,38.82,38.93,37.740002,38.66,4364700,36.801565
2013-09-25,38.209999,39.099998,37.939999,38.970001,3141200,37.096664
2013-09-26,38.799999,38.91,38.310001,38.5,1659200,36.649256
2013-09-27,38.509998,38.639999,38.310001,38.400002,1207400,36.554065
2013-09-30,37.93,38.5,37.869999,38.279999,1496500,36.439831
2013-10-01,38.43,38.939999,38.419998,38.939999,1216000,37.068104
2013-10-02,38.630001,38.939999,38.5,38.939999,939200,37.068104
2013-10-03,38.639999,38.91,38.060001,38.080002,1386700,36.249448
2013-10-04,38.310001,39.049999,38.200001,38.77,1382500,36.906277
2013-10-07,38.189999,38.450001,37.580002,37.650002,1501300,35.840118
2013-10-08,37.52,37.619999,35.970001,36.290001,3739900,34.545495
2013-10-09,36.369999,36.799999,35.98,36.509998,1884400,34.754917
2013-10-10,37.040001,37.16,36.549999,36.939999,1830900,35.164246
2013-10-11,36.75,37.310001,36.619999,37.310001,1592200,35.516462
2013-10-14,36.830002,37.27,36.529999,37.169998,1606100,35.383189
2013-10-15,37.349998,37.380001,36.68,36.720001,2564600,34.954824
2013-10-16,37.169998,37.91,37.130001,37.669998,2870500,35.859154
2013-10-17,37.82,38.790001,37.560001,38.779999,1963900,36.915795
2013-10-18,38.98,39.41,38.66,39.279999,2342200,37.39176
2013-10-21,39.25,39.380001,38.93,39.369999,1561900,37.477433
2013-10-22,39.34,39.93,39.34,39.77,1889000,37.858206
2013-10-23,39.360001,39.869999,39.169998,39.75,2882400,37.839167
2013-10-24,41.43,42.450001,41.400002,42.349998,5865400,40.31418
2013-10-25,42.759998,43.529999,42.41,43.470001,2751000,41.380343
2013-10-28,43.150002,43.48,43.0,43.41,2630500,41.323226
2013-10-29,43.25,43.349998,42.709999,43.060001,2092000,40.990053
2013-10-30,42.93,43.110001,42.119999,42.380001,2248300,40.342741
2013-10-31,42.110001,42.709999,42.029999,42.040001,1685600,40.019085
2013-11-01,42.099998,42.560001,42.099998,42.459999,1012500,40.418893
2013-11-04,42.59,42.889999,42.209999,42.860001,1236500,40.799666
2013-11-05,42.5,43.099998,42.34,42.84,1733800,40.780627
2013-11-06,43.099998,43.689999,42.869999,43.66,1979000,41.561208
2013-11-07,43.27,43.400002,42.099998,42.16,2057400,40.133315
2013-11-08,42.080002,43.02,42.080002,43.02,947500,40.951975
2013-11-11,42.799999,43.299999,42.799999,43.279999,752900,41.199474
2013-11-12,42.759998,43.07,42.740002,42.869999,1405200,40.809184
2013-11-13,42.07,43.220001,42.0,43.200001,2460700,41.123322
2013-11-14,43.349998,43.93,43.0,43.759998,1458800,41.6564
2013-11-15,43.669998,44.09,43.560001,43.759998,1527300,41.6564
2013-11-18,43.759998,43.959999,43.27,43.349998,799200,41.266109
2013-11-19,43.220001,43.41,42.93,42.98,818100,40.913897
2013-11-20,43.150002,43.299999,42.490002,42.59,1189600,40.542645
2013-11-21,42.919998,43.799999,42.799999,43.630001,1263300,41.532652
2013-11-22,43.700001,44.59,43.509998,44.259998,2207700,42.132364
2013-11-25,44.099998,44.240002,43.700001,43.73,766300,41.627843
2013-11-26,43.580002,44.41,43.57,44.25,1311000,42.122847
2013-11-27,44.330002,44.689999,44.139999,44.259998,884100,42.132364
2013-11-29,44.220001,44.57,44.0,44.049999,563600,41.93246
2013-12-02,43.959999,44.18,43.73,43.790001,720300,41.68496
2013-12-03,43.68,43.759998,43.150002,43.310001,1700900,41.228035
2013-12-04,42.939999,43.57,42.790001,43.259998,1277100,41.180435
2013-12-05,43.080002,43.139999,42.599998,42.75,1061400,40.694953
2013-12-06,43.330002,43.459999,43.07,43.360001,816900,41.275631
2013-12-09,43.52,44.029999,43.5,44.009998,757900,41.894382
2013-12-10,43.84,44.41,43.77,44.0,1113100,41.884864
2013-12-11,43.869999,44.060001,43.41,43.459999,910800,41.370822
2013-12-12,42.950001,43.310001,42.810001,43.0,1149100,41.169762
2013-12-13,43.279999,43.84,43.0,43.709999,1235500,41.849541
2013-12-16,43.849998,44.400002,43.810001,44.130001,979700,42.251666
2013-12-17,44.060001,44.48,43.900002,44.200001,1528800,42.318686
2013-12-18,44.060001,44.91,43.740002,44.740002,1352400,42.835703
2013-12-19,45.869999,46.16,45.23,45.91,3838100,43.955901
2013-12-20,45.810001,47.049999,45.810001,46.959999,2173000,44.961209
2013-12-23,47.389999,47.599998,46.880001,47.049999,1279000,45.047378
2013-12-24,47.049999,47.580002,46.950001,47.439999,279700,45.420778
2013-12-26,47.560001,47.66,47.119999,47.139999,525500,45.133548
2013-12-27,47.25,47.59,47.099998,47.139999,617500,45.133548
2013-12-30,46.900002,47.459999,46.900002,47.310001,420800,45.296314
2013-12-31,47.34,47.650002,47.18,47.419998,567000,45.401629
