Date,Open_AVGO,High_AVGO,Low_AVGO,Close_AVGO,Volume_AVGO,AdjClose_AVGO
2015-06-08,143.570007,143.770004,137.529999,138.630005,5442200,136.93077
2015-06-09,138.949997,140.729996,136.509995,140.210007,4407100,138.491405
2015-06-10,139.929993,143.979996,139.839996,142.860001,4261700,141.108917
2015-06-11,142.179993,143.259995,141.020004,141.990005,3151700,140.249586
2015-06-12,141.289993,141.479996,139.880005,140.470001,1914500,138.748213
2015-06-15,139.160004,144.020004,139.009995,143.119995,3456500,141.365725
2015-06-16,142.699997,143.490005,141.380005,141.990005,2099800,140.249586
2015-06-17,141.5,142.5,139.460007,140.690002,2542900,139.358106
2015-06-18,140.729996,143.75,140.729996,143.0,2529800,141.646235
2015-06-19,143.009995,143.910004,141.600006,142.889999,2688100,141.537276
2015-06-22,144.160004,145.139999,142.0,143.279999,2284600,141.923583
2015-06-23,143.960007,143.960007,140.860001,141.639999,2149700,140.29911
2015-06-24,142.059998,142.220001,139.830002,139.970001,2240200,138.644921
2015-06-25,140.130005,141.050003,138.830002,139.229996,1753800,137.911921
2015-06-26,138.850006,139.039993,134.75,135.149994,7179800,133.870544
2015-06-29,132.850006,135.210007,131.039993,132.009995,4047300,130.760271
2015-06-30,133.800003,134.380005,132.119995,132.929993,2869500,131.67156
2015-07-01,134.410004,137.699997,134.320007,135.5,4305900,134.217237
2015-07-02,135.600006,137.75,135.350006,137.639999,3279700,136.336977
2015-07-06,136.160004,137.610001,133.869995,134.199997,3018800,132.929541
2015-07-07,133.949997,134.449997,126.160004,132.839996,5926800,131.582415
2015-07-08,130.100006,131.339996,126.860001,128.050003,5137100,126.837768
2015-07-09,130.179993,131.360001,123.720001,124.68,7346900,123.499669
2015-07-10,126.610001,130.820007,126.5,129.839996,5094800,128.610816
2015-07-13,131.380005,131.380005,128.460007,129.179993,2530400,127.95706
2015-07-14,129.350006,132.479996,128.509995,132.300003,2628900,131.047534
2015-07-15,131.669998,133.490005,130.820007,131.720001,2310000,130.473023
2015-07-16,133.630005,134.770004,130.889999,134.699997,3397700,133.424807
2015-07-17,134.960007,135.0,131.960007,133.660004,2900000,132.39466
2015-07-20,134.550003,135.619995,133.75,134.639999,2356300,133.365378
2015-07-21,135.100006,136.380005,134.139999,134.509995,3153200,133.236604
2015-07-22,127.040001,130.0,125.379997,129.589996,6134600,128.363183
2015-07-23,131.179993,135.0,130.5,131.970001,3060800,130.720656
2015-07-24,133.509995,133.850006,128.339996,128.479996,3631100,127.26369
2015-07-27,127.349998,127.5,124.099998,124.650002,3489300,123.469954
2015-07-28,125.580002,129.550003,123.519997,128.419998,2786900,127.204261
2015-07-29,128.369995,129.119995,125.449997,128.580002,3340700,127.36275
2015-07-30,125.739998,128.789993,125.07,127.650002,3916900,126.441553
2015-07-31,128.339996,128.339996,124.959999,125.139999,3059300,123.955313
2015-08-03,126.419998,127.489998,124.239998,125.800003,2727300,124.609069
2015-08-04,125.550003,125.550003,118.760002,123.470001,4746700,122.301125
2015-08-05,123.0,125.690002,121.0,124.75,3415800,123.569006
2015-08-06,125.040001,125.400002,120.599998,123.269997,4605200,122.103014
2015-08-07,121.019997,123.980003,120.82,122.550003,3052700,121.389836
2015-08-10,123.489998,127.400002,123.0,127.279999,2890700,126.075053
2015-08-11,125.639999,126.230003,122.919998,124.209999,2674400,123.034117
2015-08-12,121.589996,126.68,120.620003,125.730003,2720500,124.539732
2015-08-13,125.620003,126.82,124.010002,124.190002,1457100,123.01431
2015-08-14,124.0,124.5,121.169998,121.959999,2649600,120.805418
2015-08-17,121.32,125.519997,120.800003,125.519997,2129300,124.331713
