Date,Open_CL,High_CL,Low_CL,Close_CL,Volume_CL,AdjClose_CL
2013-06-14,58.509998,59.009998,58.209999,58.82,3099100,55.048651
2013-06-17,59.099998,59.919998,59.029999,59.639999,3724200,55.816075
2013-06-18,59.700001,59.919998,59.48,59.700001,3156100,55.872229
2013-06-19,59.669998,59.799999,57.98,58.0,4256400,54.281227
2013-06-20,57.599998,57.720001,55.689999,55.869999,7546900,52.287795
2013-06-21,56.389999,57.09,56.009998,56.810001,6013600,53.167527
2013-06-24,56.279999,56.740002,55.470001,56.150002,4418700,52.549844
2013-06-25,56.490002,56.66,55.860001,56.220001,4152100,52.615356
2013-06-26,56.779999,57.200001,56.419998,57.0,4130400,53.345344
2013-06-27,57.509998,57.830002,57.139999,57.389999,2983100,53.710338
2013-06-28,57.099998,57.669998,56.799999,57.290001,5508900,53.616751
2013-07-01,57.599998,58.66,57.580002,57.950001,3727600,54.234434
2013-07-02,57.939999,58.200001,57.5,57.720001,3355700,54.019181
2013-07-03,57.540001,57.939999,57.189999,57.82,2443200,54.112768
2013-07-05,58.0,58.220001,57.110001,57.860001,2501300,54.150204
2013-07-08,57.98,58.639999,57.98,58.580002,2492100,54.824041
2013-07-09,59.029999,59.240002,58.82,58.98,2916100,55.198392
2013-07-10,58.990002,59.27,58.490002,58.619999,2434900,54.861474
2013-07-11,59.240002,59.360001,58.630001,58.950001,4292100,55.170317
2013-07-12,58.98,59.23,58.669998,59.139999,2651200,55.348133
2013-07-15,59.240002,59.27,58.580002,58.82,3302400,55.048651
2013-07-16,58.709999,58.799999,58.09,58.48,3068000,54.730451
2013-07-17,58.599998,58.709999,58.07,58.360001,2873500,54.618146
2013-07-18,58.330002,58.990002,58.209999,58.799999,3242900,55.029933
2013-07-19,58.470001,58.919998,58.25,58.880001,3135900,55.425295
2013-07-22,58.759998,59.07,58.450001,58.650002,2303700,55.20879
2013-07-23,58.610001,58.790001,58.23,58.41,2627100,54.98287
2013-07-24,58.5,58.66,58.200001,58.470001,3935200,55.039351
2013-07-25,58.700001,59.900002,58.5,59.619999,4558000,56.121874
2013-07-26,59.459999,60.259998,59.150002,60.25,4022400,56.714911
2013-07-29,59.990002,60.360001,59.849998,60.080002,2992400,56.554887
2013-07-30,60.400002,60.68,59.91,60.240002,3269000,56.705499
2013-07-31,60.34,60.669998,59.849998,59.869999,3867500,56.357206
2013-08-01,60.27,60.82,60.240002,60.560001,2799300,57.006723
2013-08-02,60.259998,60.580002,60.009998,60.529999,2508800,56.978481
2013-08-05,60.490002,61.080002,60.459999,60.98,2965100,57.402079
2013-08-06,60.82,61.25,60.759998,60.990002,2586100,57.411494
2013-08-07,60.799999,61.169998,60.650002,60.939999,2469800,57.364425
2013-08-08,61.27,61.5,60.5,60.91,2817000,57.336186
2013-08-09,60.830002,61.049999,60.470001,60.68,1656000,57.119681
2013-08-12,60.299999,60.98,60.240002,60.959999,2276400,57.383252
2013-08-13,61.0,61.200001,60.790001,61.080002,2430100,57.496213
2013-08-14,61.0,61.139999,60.439999,60.669998,2383200,57.110266
2013-08-15,60.299999,60.580002,59.689999,59.810001,2814400,56.300729
2013-08-16,59.52,59.669998,59.119999,59.470001,3130100,55.980677
2013-08-19,59.279999,59.380001,58.91,59.150002,2351400,55.679453
2013-08-20,59.240002,59.619999,59.02,59.09,1946300,55.622972
2013-08-21,59.0,59.049999,58.439999,58.509998,3036800,55.077001
2013-08-22,58.470001,58.59,58.25,58.450001,3035500,55.020524
2013-08-23,58.509998,59.080002,58.439999,59.029999,2728900,55.566492
2013-08-26,59.080002,59.25,58.200001,58.220001,1960700,54.80402
