Date,Open_CCL,High_CCL,Low_CCL,Close_CCL,Volume_CCL,AdjClose_CCL
2015-06-08,47.0,47.400002,46.91,47.02,1965600,45.846051
2015-06-09,46.919998,47.240002,46.779999,47.200001,2071300,46.021558
2015-06-10,47.330002,47.630001,46.990002,47.0,4142500,45.82655
2015-06-11,47.169998,47.860001,47.02,47.830002,2812800,46.635829
2015-06-12,47.25,47.650002,47.200001,47.419998,1890900,46.236062
2015-06-15,46.91,47.290001,46.549999,47.23,2266300,46.050807
2015-06-16,47.119999,47.630001,46.880001,47.450001,2121700,46.265316
2015-06-17,47.209999,47.689999,46.990002,47.580002,2216100,46.392071
2015-06-18,47.59,48.709999,47.470001,48.619999,4063500,47.406103
2015-06-19,48.630001,49.119999,48.529999,48.919998,6296800,47.698612
2015-06-22,50.419998,50.650002,49.52,49.919998,6143900,48.673645
2015-06-23,49.91,50.110001,49.060001,49.48,5867800,48.244632
2015-06-24,50.290001,50.939999,49.810001,49.84,5375200,48.595644
2015-06-25,50.560001,51.0,49.970001,50.040001,5083400,48.790651
2015-06-26,50.52,50.810001,50.419998,50.599998,4451600,49.336668
2015-06-29,50.060001,50.220001,48.900002,48.950001,3203400,47.727865
2015-06-30,49.540001,49.759998,49.02,49.389999,3234200,48.156879
2015-07-01,49.91,50.16,49.41,49.630001,3995600,48.390888
2015-07-02,49.880001,50.07,49.439999,49.860001,2894300,48.615145
2015-07-06,49.450001,49.970001,49.009998,49.360001,3431900,48.127629
2015-07-07,49.330002,50.27,48.57,50.200001,3988400,48.946657
2015-07-08,49.599998,49.709999,48.919998,48.93,3997300,47.708364
2015-07-09,49.950001,50.02,49.18,49.200001,2722600,47.971624
2015-07-10,50.509998,50.759998,50.150002,50.580002,4469100,49.31717
2015-07-13,51.59,52.110001,51.560001,51.830002,4407700,50.535961
2015-07-14,52.200001,52.400002,52.029999,52.200001,2726300,50.896723
2015-07-15,52.169998,52.259998,51.700001,51.84,3569300,50.54571
2015-07-16,52.330002,52.400002,51.93,52.209999,3576900,50.906471
2015-07-17,52.150002,52.330002,52.009998,52.099998,2874100,50.799217
2015-07-20,52.34,52.380001,52.029999,52.150002,2960700,50.847972
2015-07-21,52.389999,52.470001,51.720001,51.959999,2477600,50.662713
2015-07-22,51.869999,52.400002,51.849998,52.369999,2266400,51.062476
2015-07-23,52.310001,52.419998,51.700001,51.810001,2278700,50.51646
2015-07-24,51.68,51.810001,50.830002,51.119999,2637600,49.843685
2015-07-27,50.93,51.110001,50.529999,50.849998,2390000,49.580426
2015-07-28,50.830002,51.380001,50.68,51.34,2499600,50.058194
2015-07-29,51.830002,52.450001,51.779999,52.099998,3396500,50.799217
2015-07-30,51.560001,52.0,51.16,51.880001,2914000,50.584712
2015-07-31,53.599998,54.049999,53.150002,53.290001,5530200,51.959509
2015-08-03,53.150002,53.18,51.880001,52.220001,4078600,50.916224
2015-08-04,52.439999,52.549999,51.68,51.869999,3400800,50.57496
2015-08-05,52.380001,53.080002,52.32,52.630001,3725000,51.315987
