Date,Open_NLSN,High_NLSN,Low_NLSN,Close_NLSN,Volume_NLSN,AdjClose_NLSN
2015-06-08,44.669998,44.73,44.290001,44.299999,1362700,43.262803
2015-06-09,44.299999,44.689999,44.259998,44.509998,1380400,43.467886
2015-06-10,44.619999,45.299999,44.560001,45.220001,978400,44.161265
2015-06-11,45.0,45.130001,44.869999,45.060001,3091200,44.005011
2015-06-12,44.900002,45.080002,44.810001,44.939999,1051700,43.887818
2015-06-15,44.59,44.860001,44.459999,44.759998,2076100,43.712032
2015-06-16,44.790001,44.98,44.48,44.82,1880900,43.770629
2015-06-17,44.939999,45.27,44.77,45.02,1659000,43.965947
2015-06-18,45.139999,45.799999,45.029999,45.619999,2951000,44.551898
2015-06-19,45.470001,45.709999,45.27,45.540001,3387600,44.473773
2015-06-22,45.759998,46.169998,45.610001,45.900002,2349700,44.825345
2015-06-23,45.849998,46.049999,45.59,45.720001,1648000,44.649559
2015-06-24,45.810001,46.040001,45.459999,45.610001,2204900,44.542134
2015-06-25,45.650002,45.830002,45.52,45.57,1777100,44.503069
2015-06-26,45.73,46.849998,45.599998,46.220001,8506400,45.137852
2015-06-29,45.830002,46.0,44.689999,44.73,2339700,43.682736
2015-06-30,45.07,45.130001,44.610001,44.77,2081200,43.7218
2015-07-01,45.41,45.709999,44.939999,45.119999,1842800,44.063604
2015-07-02,45.299999,45.389999,44.669998,44.990002,1575100,43.936651
2015-07-06,44.619999,45.130001,44.610001,44.799999,1308000,43.751097
2015-07-07,44.880001,44.98,44.310001,44.959999,1722400,43.907351
2015-07-08,44.650002,44.799999,43.950001,44.16,1835500,43.126082
2015-07-09,44.689999,44.790001,44.459999,44.459999,1928600,43.419057
2015-07-10,45.0,45.360001,44.849998,45.27,1636500,44.210094
2015-07-13,45.700001,45.880001,45.48,45.790001,1504000,44.71792
2015-07-14,45.959999,45.959999,45.580002,45.599998,1475900,44.532366
2015-07-15,45.57,45.66,45.360001,45.560001,1304500,44.493305
2015-07-16,45.740002,45.950001,45.560001,45.810001,1024800,44.737452
2015-07-17,45.950001,45.950001,45.43,45.52,1683800,44.454241
2015-07-20,45.400002,45.77,45.400002,45.630001,1632100,44.561666
2015-07-21,45.599998,45.650002,45.189999,45.330002,991500,44.26869
2015-07-22,45.259998,45.66,45.169998,45.310001,1062100,44.249158
2015-07-23,45.25,45.360001,44.970001,45.32,1255700,44.258922
2015-07-24,45.369999,45.52,45.080002,45.169998,1553400,44.112433
2015-07-27,44.790001,45.150002,44.41,44.799999,2635400,43.751097
2015-07-28,46.150002,47.389999,45.779999,47.18,3306000,46.075375
2015-07-29,47.380001,48.52,47.380001,48.32,3309700,47.188683
2015-07-30,48.02,49.279999,47.830002,49.060001,5419500,47.911359
2015-07-31,49.279999,49.369999,48.380001,48.459999,2683300,47.325405
2015-08-03,48.299999,48.41,47.639999,47.950001,3246200,46.827347
2015-08-04,48.080002,48.110001,47.73,47.950001,1786200,46.827347
2015-08-05,47.990002,48.139999,47.580002,48.049999,2720600,46.925004
2015-08-06,47.849998,47.939999,46.099998,46.549999,4707800,45.460124
2015-08-07,46.34,46.700001,46.189999,46.450001,3058900,45.362467
2015-08-10,47.139999,48.25,47.139999,48.0,3488200,46.876176
2015-08-11,47.540001,47.91,47.41,47.869999,1604500,46.749219
2015-08-12,47.32,47.869999,47.07,47.830002,1853500,46.710158
2015-08-13,47.450001,48.330002,47.299999,48.110001,1987400,46.983601
2015-08-14,48.119999,48.619999,48.029999,48.509998,956000,47.374234
2015-08-17,48.34,48.419998,48.080002,48.360001,995300,47.227748
2015-08-18,48.349998,48.380001,48.0,48.349998,1375700,47.21798
2015-08-19,48.07,48.540001,47.77,48.220001,1329300,47.091026
2015-08-20,47.75,48.049999,47.299999,47.43,2676600,46.319522
