Date,Open_AIG,High_AIG,Low_AIG,Close_AIG,Volume_AIG,AdjClose_AIG
2013-06-14,45.900002,46.450001,45.259998,45.380001,12433200,43.655992
2013-06-17,45.509998,45.599998,44.59,45.150002,14222400,43.43473
2013-06-18,44.57,45.23,44.380001,45.139999,14905300,43.425108
2013-06-19,45.099998,45.849998,44.779999,44.810001,17730100,43.107647
2013-06-20,44.57,45.0,44.02,44.27,21068600,42.588161
2013-06-21,44.599998,44.610001,43.330002,43.689999,25687200,42.030193
2013-06-24,43.009998,43.040001,41.529999,42.32,27345600,40.712241
2013-06-25,42.849998,43.799999,42.779999,43.349998,16197500,41.70311
2013-06-26,43.84,44.110001,43.209999,43.619999,14282300,41.962853
2013-06-27,43.950001,44.73,43.830002,44.48,16681200,42.790182
2013-06-28,44.380001,45.110001,44.07,44.700001,39987400,43.001825
2013-07-01,44.82,45.419998,44.73,45.09,12675600,43.377008
2013-07-02,44.950001,45.560001,44.869999,44.889999,17234200,43.184605
2013-07-03,44.610001,44.709999,44.169998,44.220001,7433200,42.540061
2013-07-05,44.700001,45.34,44.580002,45.189999,9687000,43.473208
2013-07-08,45.470001,45.73,45.310001,45.52,9459900,43.790672
2013-07-09,45.849998,46.040001,45.610001,45.779999,15044300,44.040793
2013-07-10,45.759998,46.029999,45.5,45.720001,10186900,43.983075
2013-07-11,46.259998,46.360001,45.759998,45.919998,15967000,44.175474
2013-07-12,45.990002,46.830002,45.799999,46.740002,13022500,44.964325
2013-07-15,46.990002,47.07,46.700001,46.700001,9822300,44.925844
2013-07-16,46.830002,46.950001,46.02,46.240002,8378700,44.48332
2013-07-17,46.66,47.049999,46.400002,46.830002,10266600,45.050906
2013-07-18,46.970001,47.049999,46.68,46.990002,11468600,45.204828
2013-07-19,47.09,47.09,46.580002,46.880001,6758300,45.099006
2013-07-22,46.939999,47.5,46.779999,47.450001,8982200,45.647351
2013-07-23,47.630001,47.68,46.279999,46.599998,10050500,44.829641
2013-07-24,46.720001,46.77,45.639999,45.959999,9158500,44.213955
2013-07-25,45.93,46.610001,45.720001,46.5,7622400,44.733441
2013-07-26,46.220001,46.650002,46.0,46.540001,6535800,44.771923
2013-07-29,46.419998,46.709999,46.150002,46.27,7147700,44.51218
2013-07-30,46.470001,46.580002,45.610001,45.889999,8862100,44.146615
2013-07-31,45.950001,46.27,45.5,45.509998,13392400,43.78105
2013-08-01,46.02,47.139999,46.02,47.07,21009600,45.281786
2013-08-02,49.459999,49.5,47.779999,48.330002,41724600,46.49392
