Date,Open_GIS,High_GIS,Low_GIS,Close_GIS,Volume_GIS,AdjClose_GIS
2015-06-08,54.48,54.619999,54.290001,54.360001,1609600,52.724708
2015-06-09,54.540001,54.889999,54.349998,54.450001,2178500,52.812001
2015-06-10,54.669998,55.290001,54.5,55.09,2287900,53.432747
2015-06-11,55.150002,55.32,55.0,55.110001,1843200,53.452146
2015-06-12,55.009998,55.099998,54.740002,54.919998,1342400,53.267859
2015-06-15,54.610001,54.73,54.349998,54.400002,2200400,52.763506
2015-06-16,54.509998,55.150002,54.439999,55.09,2302300,53.432747
2015-06-17,55.060001,55.400002,54.849998,55.25,2301500,53.587934
2015-06-18,55.470001,56.150002,55.310001,55.849998,2999400,54.169883
2015-06-19,55.849998,56.419998,55.669998,56.130001,4183700,54.441462
2015-06-22,56.389999,56.860001,56.279999,56.57,2174900,54.868225
2015-06-23,56.57,56.790001,56.419998,56.560001,2163000,54.858527
2015-06-24,56.549999,56.91,56.41,56.549999,4657500,54.848826
2015-06-25,57.02,57.02,56.310001,56.490002,3766700,54.790633
2015-06-26,56.689999,57.060001,56.470001,56.93,5394700,55.217395
2015-06-29,56.52,56.740002,55.990002,56.060001,3735900,54.373568
2015-06-30,56.360001,56.490002,55.650002,55.720001,3432100,54.043796
2015-07-01,55.119999,57.18,54.130001,57.09,10353200,55.372582
2015-07-02,57.18,57.799999,56.84,57.049999,8850700,55.333784
2015-07-06,56.91,57.299999,56.310001,56.59,3468700,54.887623
2015-07-07,56.700001,57.98,56.599998,57.889999,4285700,56.148515
2015-07-08,57.290001,57.529999,56.950001,56.950001,3604000,55.659845
2015-07-09,57.41,57.669998,56.91,56.93,2234600,55.640298
2015-07-10,57.259998,57.5,57.18,57.27,2011000,55.972596
2015-07-13,57.490002,57.669998,57.32,57.52,2412700,56.216932
2015-07-14,57.5,57.630001,57.060001,57.25,3175400,55.953048
2015-07-15,57.07,57.380001,56.650002,56.810001,3591700,55.523018
2015-07-16,57.16,57.540001,56.939999,57.029999,2871500,55.738031
2015-07-17,56.849998,57.0,56.619999,56.939999,2514600,55.65007
2015-07-20,56.98,57.200001,56.700001,56.830002,4683500,55.542565
2015-07-21,57.380001,57.48,57.080002,57.209999,4491200,55.913954
2015-07-22,57.25,57.950001,57.25,57.630001,2045300,56.324441
2015-07-23,57.549999,57.700001,57.02,57.080002,1717900,55.786901
2015-07-24,56.939999,57.25,56.779999,56.919998,1994600,55.630523
2015-07-27,56.599998,57.060001,56.450001,56.959999,2927000,55.669617
2015-07-28,57.259998,57.580002,56.630001,57.549999,2846300,56.246251
2015-07-29,57.549999,57.860001,57.369999,57.490002,3360300,56.187613
2015-07-30,57.299999,58.360001,57.110001,58.259998,2716200,56.940166
2015-07-31,58.490002,58.529999,58.040001,58.209999,3013900,56.8913
2015-08-03,58.290001,58.950001,58.200001,58.93,2593300,57.59499
2015-08-04,58.900002,59.310001,58.66,58.990002,2502400,57.653632
2015-08-05,59.080002,59.689999,58.580002,59.400002,2248000,58.054343
2015-08-06,59.759998,59.869999,59.130001,59.549999,2583700,58.200943
2015-08-07,59.290001,59.490002,58.799999,59.110001,2325200,57.770912
2015-08-10,59.23,59.549999,59.16,59.400002,1895400,58.054343
2015-08-11,58.970001,59.310001,58.75,59.139999,1798000,57.800231
2015-08-12,58.77,59.139999,58.110001,59.099998,2881600,57.761137
2015-08-13,58.939999,59.34,58.810001,58.889999,2527200,57.555895
2015-08-14,58.950001,59.299999,58.77,59.259998,1440500,57.917512
2015-08-17,59.080002,59.459999,58.919998,59.290001,1484600,57.946835
2015-08-18,59.16,59.5,58.849998,58.939999,2180800,57.604762
2015-08-19,58.68,58.880001,57.990002,58.529999,3119500,57.20405
2015-08-20,58.07,58.419998,57.77,57.82,2668100,56.510135
2015-08-21,57.52,57.599998,56.18,56.209999,4083600,54.936608
2015-08-24,53.93,55.610001,47.5,54.52,6846800,53.284895
2015-08-25,55.869999,55.98,54.810001,54.810001,5662300,53.568326
2015-08-26,55.759998,56.32,54.389999,55.889999,5065400,54.623858
2015-08-27,56.34,58.470001,55.880001,56.959999,4011200,55.669617
2015-08-28,56.610001,57.169998,56.610001,57.130001,4289000,55.835768
2015-08-31,56.790001,57.02,56.560001,56.759998,3389400,55.474147
2015-09-01,55.849998,56.209999,55.240002,55.529999,4629300,54.272012
2015-09-02,56.580002,56.82,56.07,56.82,5751700,55.532789
2015-09-03,56.790001,57.93,56.700001,57.610001,5217600,56.304894
2015-09-04,56.939999,57.02,56.400002,56.59,4330200,55.308
2015-09-08,57.209999,57.439999,56.630001,57.16,3844600,55.865087
2015-09-09,57.48,57.540001,55.619999,55.790001,4923700,54.526124
2015-09-10,55.709999,56.25,55.529999,55.889999,4112800,54.623858
2015-09-11,55.759998,56.490002,55.59,56.470001,2623200,55.19072
2015-09-14,56.369999,56.470001,55.91,56.09,3336800,54.819327
2015-09-15,56.25,56.84,55.709999,56.740002,2508100,55.454604
2015-09-16,56.939999,57.25,56.639999,57.119999,3031200,55.825992
2015-09-17,57.18,58.139999,57.0,57.48,2826300,56.177838
2015-09-18,56.619999,57.43,56.439999,56.57,5248100,55.288453
2015-09-21,56.950001,57.119999,56.66,56.790001,4194400,55.50347
2015-09-22,56.779999,57.419998,56.209999,57.130001,5960300,55.835768
2015-09-23,57.18,57.470001,56.700001,57.41,4745600,56.109424
2015-09-24,57.189999,57.380001,56.549999,56.950001,5120900,55.659845
2015-09-25,57.139999,58.439999,57.139999,57.43,4836000,56.128971
2015-09-28,57.200001,57.439999,55.139999,55.41,8991100,54.154732
2015-09-29,55.560001,55.740002,55.18,55.560001,4037000,54.301335
2015-09-30,56.139999,56.299999,55.48,56.130001,4474100,54.858422
2015-10-01,55.889999,56.220001,55.290001,55.990002,3493600,54.721594
2015-10-02,55.599998,56.66,55.310001,56.619999,4062300,55.33732
2015-10-05,57.0,57.27,56.77,57.220001,4898100,55.923729
2015-10-06,57.23,57.23,55.66,55.700001,5045400,54.438163
2015-10-07,55.57,55.990002,55.310001,55.720001,4356900,54.891319
2015-10-08,55.650002,56.57,55.509998,56.48,2836900,55.640015
2015-10-09,56.419998,56.959999,56.419998,56.610001,2593900,55.768082
2015-10-12,56.52,57.169998,56.5,57.169998,2357200,56.319751
2015-10-13,56.900002,57.200001,56.48,56.59,2492300,55.748379
2015-10-14,56.560001,56.830002,55.990002,56.09,2330700,55.255815
2015-10-15,56.450001,56.529999,55.880001,56.400002,2137100,55.561206
2015-10-16,56.560001,56.959999,56.330002,56.939999,2311500,56.093173
2015-10-19,56.810001,57.09,56.599998,56.68,1939100,55.837041
2015-10-20,56.700001,56.84,56.32,56.599998,2025200,55.758229
2015-10-21,56.669998,57.369999,56.52,56.98,3316600,56.132579
2015-10-22,57.259998,59.360001,57.25,59.23,4470000,58.349116
2015-10-23,59.23,59.25,58.110001,58.330002,3335100,57.462503
2015-10-26,58.459999,58.5,58.130001,58.310001,2385000,57.4428
2015-10-27,58.02,58.400002,57.810001,58.220001,2765400,57.354139
2015-10-28,58.490002,58.549999,57.689999,58.119999,2353700,57.255624
2015-10-29,58.029999,58.369999,57.639999,58.18,1620700,57.314733
2015-10-30,58.119999,58.630001,57.91,58.110001,2373700,57.245774
2015-11-02,58.18,58.259998,57.549999,57.98,1842500,57.117706
2015-11-03,57.689999,57.709999,57.049999,57.310001,3530000,56.457673
2015-11-04,57.509998,57.580002,57.150002,57.290001,2485200,56.43797
2015-11-05,57.25,57.669998,57.09,57.619999,2419200,56.76306
2015-11-06,57.310001,57.32,56.16,56.580002,3318700,55.73853
2015-11-09,56.380001,56.669998,55.970001,56.43,3864500,55.590759
2015-11-10,56.290001,56.84,56.27,56.66,2460300,55.817338
2015-11-11,56.830002,57.419998,56.669998,57.130001,1907700,56.280349
2015-11-12,56.689999,57.029999,56.200001,56.200001,2378500,55.36418
2015-11-13,56.139999,56.650002,55.73,55.810001,3124800,54.979981
2015-11-16,55.91,57.130001,55.91,57.110001,2771000,56.260646
2015-11-17,57.080002,57.299999,56.040001,56.189999,4712300,55.354327
2015-11-18,56.27,57.240002,56.25,57.169998,2636100,56.319751
2015-11-19,57.290001,57.41,56.900002,56.91,3296800,56.06362
