Date,Open_WBA,High_WBA,Low_WBA,Close_WBA,Volume_WBA,AdjClose_WBA
2015-06-08,83.730003,84.110001,82.919998,83.260002,2580200,81.807643
2015-06-09,83.599998,84.620003,83.300003,84.169998,2998500,82.701766
2015-06-10,84.529999,85.809998,84.370003,85.489998,3197800,83.99874
2015-06-11,85.669998,86.199997,85.5,85.790001,3018900,84.29351
2015-06-12,85.510002,85.699997,84.919998,85.059998,3024200,83.57624
2015-06-15,84.68,84.949997,83.889999,84.419998,2631400,82.947405
2015-06-16,84.440002,85.940002,84.25,85.879997,2605800,84.381936
2015-06-17,85.989998,86.059998,85.150002,85.620003,2881800,84.126477
2015-06-18,85.910004,88.209999,85.889999,87.800003,3484300,86.26845
2015-06-19,87.82,89.379997,87.639999,88.519997,6381900,86.975884
2015-06-22,88.879997,89.239998,87.620003,87.75,2879200,86.219319
2015-06-23,87.940002,87.959999,86.830002,87.089996,2515600,85.570828
2015-06-24,86.860001,86.949997,85.809998,86.150002,2427600,84.64723
2015-06-25,86.120003,86.970001,85.949997,86.360001,2640500,84.853566
2015-06-26,86.800003,87.089996,86.07,86.769997,14432200,85.256411
2015-06-29,86.010002,86.160004,84.260002,84.279999,2797000,82.809847
2015-06-30,85.190002,85.440002,84.360001,84.440002,3778800,82.96706
2015-07-01,85.080002,85.860001,84.849998,85.769997,2834900,84.273854
2015-07-02,86.089996,86.279999,85.639999,85.809998,2811700,84.313157
2015-07-06,84.93,85.849998,84.730003,85.389999,3238300,83.900486
2015-07-07,85.610001,87.610001,85.449997,87.25,4780600,85.728041
2015-07-08,86.709999,86.989998,85.419998,85.910004,4139400,84.411419
2015-07-09,90.0,90.239998,88.0,89.550003,10379400,87.987924
2015-07-10,91.760002,93.790001,91.300003,93.110001,7640500,91.485822
2015-07-13,93.809998,94.900002,93.010002,94.480003,5749700,92.831927
2015-07-14,94.760002,94.800003,94.029999,94.330002,2969000,92.684542
2015-07-15,94.330002,94.68,93.470001,93.949997,3213700,92.311165
2015-07-16,94.949997,96.220001,94.389999,96.089996,6651000,94.413835
2015-07-17,95.660004,96.019997,95.120003,95.75,2465200,94.07977
2015-07-20,95.230003,95.910004,94.68,95.650002,2338300,93.981516
2015-07-21,95.559998,95.849998,94.959999,95.660004,2135500,93.991343
2015-07-22,96.730003,97.019997,96.089996,96.639999,3641900,94.954244
2015-07-23,96.860001,96.870003,95.199997,95.480003,2064700,93.814483
2015-07-24,95.610001,95.93,94.879997,95.110001,2300900,93.450934
2015-07-27,94.860001,95.440002,93.709999,94.379997,2589300,92.733665
2015-07-28,94.760002,96.510002,94.400002,96.220001,3470800,94.541573
2015-07-29,95.639999,97.269997,95.580002,96.580002,3829100,94.895293
2015-07-30,96.300003,97.029999,96.110001,96.540001,2348700,94.85599
2015-07-31,96.650002,96.970001,95.919998,96.629997,2892800,94.944417
2015-08-03,96.120003,96.300003,95.059998,95.910004,2269300,94.236982
2015-08-04,96.099998,96.110001,94.800003,95.669998,2978200,94.001164
