Date,Open_WBA,High_WBA,Low_WBA,Close_WBA,Volume_WBA,AdjClose_WBA
2015-08-05,97.029999,97.300003,96.290001,96.68,2515900,94.993548
2015-08-06,96.669998,96.889999,93.650002,93.730003,3439500,92.095009
2015-08-07,94.709999,94.709999,92.050003,93.279999,4221700,91.652854
2015-08-10,94.209999,94.440002,93.580002,93.949997,2420900,92.311165
2015-08-11,93.379997,94.099998,92.410004,92.949997,2998000,91.328609
2015-08-12,92.339996,93.709999,91.639999,93.360001,3563900,91.731461
2015-08-13,93.440002,93.660004,92.330002,92.540001,3479800,90.925765
2015-08-14,92.279999,92.910004,91.809998,92.099998,2829900,90.493438
2015-08-17,91.690002,92.739998,91.339996,92.699997,1876700,91.440394
2015-08-18,92.550003,92.699997,91.529999,91.940002,3410300,90.690726
2015-08-19,91.25,92.269997,90.790001,91.410004,3145600,90.167929
2015-08-20,90.220001,91.160004,89.720001,89.769997,3406100,88.550206
2015-08-21,88.629997,88.949997,85.519997,85.610001,8084000,84.446736
2015-08-24,81.889999,84.949997,76.010002,82.269997,10616200,81.152116
2015-08-25,84.019997,86.989998,80.860001,81.0,10711300,79.899376
2015-08-26,83.68,85.589996,81.080002,85.410004,7096400,84.249457
2015-08-27,86.279999,88.300003,85.919998,87.849998,5569900,86.656297
2015-08-28,87.269997,88.050003,86.400002,87.419998,3940300,86.232139
2015-08-31,86.849998,87.129997,85.940002,86.550003,3530700,85.373966
2015-09-01,84.339996,87.129997,84.199997,86.040001,7100900,84.870894
2015-09-02,86.980003,88.059998,85.919998,87.830002,5053200,86.636572
2015-09-03,88.349998,89.239998,87.93,88.260002,4024200,87.060729
2015-09-04,87.010002,88.0,86.43,87.43,5468900,86.242006
2015-09-08,88.669998,90.169998,88.449997,90.089996,3969000,88.865858
2015-09-09,92.07,92.07,88.690002,88.940002,3722700,87.73149
2015-09-10,88.519997,90.129997,88.519997,89.379997,3991600,88.165506
2015-09-11,89.010002,90.459999,88.75,90.400002,3286200,89.171651
2015-09-14,90.660004,90.760002,89.900002,90.169998,3022900,88.944773
2015-09-15,90.449997,91.239998,89.419998,90.919998,2711400,89.684582
2015-09-16,90.900002,91.029999,90.279999,90.910004,2540100,89.674723
2015-09-17,91.099998,91.099998,89.239998,89.68,3663600,88.461433
2015-09-18,88.730003,88.769997,86.199997,86.489998,10782000,85.314776
2015-09-21,87.080002,88.440002,87.019997,88.25,3945700,87.050863
2015-09-22,86.68,87.709999,85.980003,86.709999,3878700,85.531788
2015-09-23,89.339996,89.339996,86.519997,87.440002,2398800,86.251872
2015-09-24,86.519997,86.830002,85.029999,85.75,4286500,84.584833
2015-09-25,87.129997,87.82,84.809998,85.32,5285900,84.160676
2015-09-28,85.029999,85.449997,81.959999,82.629997,4845500,81.507225
2015-09-29,82.75,83.849998,81.449997,82.059998,4483000,80.94497
2015-09-30,82.82,83.279999,81.989998,83.099998,3888300,81.97084
2015-10-01,83.57,84.769997,82.599998,84.629997,4312700,83.480049
2015-10-02,83.32,87.160004,82.720001,87.110001,4629800,85.926354
2015-10-05,87.720001,88.519997,87.110001,87.959999,5143500,86.764803
2015-10-06,87.080002,87.870003,83.639999,84.099998,5770800,82.957252
2015-10-07,84.900002,85.0,83.339996,84.440002,3504500,83.292636
2015-10-08,84.120003,85.599998,83.550003,84.279999,3313900,83.134806
2015-10-09,84.269997,85.529999,83.75,85.370003,3568400,84.209999
2015-10-12,85.190002,86.25,85.120003,86.209999,2100200,85.038582
2015-10-13,85.669998,86.440002,84.970001,85.139999,2868300,83.983121
2015-10-14,85.019997,85.400002,83.459999,84.029999,3548900,82.888203
2015-10-15,84.760002,87.32,84.370003,87.260002,3450900,86.074317
2015-10-16,87.769997,88.199997,86.709999,88.139999,3702900,86.942357
2015-10-19,87.82,88.550003,87.769997,88.459999,3714000,87.258009
2015-10-20,88.459999,89.559998,88.389999,88.739998,2705400,87.534203
2015-10-21,89.089996,89.190002,87.730003,88.040001,3508600,86.843718
2015-10-22,87.879997,89.260002,87.849998,88.629997,4298200,87.425697
2015-10-23,89.5,90.160004,87.839996,89.959999,4706600,88.737627
2015-10-26,90.129997,90.309998,89.18,89.480003,4139400,88.264153
2015-10-27,89.199997,95.739998,88.959999,95.160004,13905200,93.866974
2015-10-28,92.040001,93.0,84.440002,84.949997,24357500,83.7957
2015-10-29,85.360001,86.760002,83.769997,83.879997,9903300,82.74024
2015-10-30,83.870003,84.970001,82.510002,84.68,8099600,83.529373
2015-11-02,84.300003,86.650002,83.32,86.550003,6950300,85.373966
2015-11-03,86.440002,89.150002,86.010002,88.230003,7044100,87.031138
2015-11-04,88.360001,88.489998,86.059998,87.480003,5484800,86.291329
2015-11-05,87.669998,87.699997,85.639999,85.949997,3550400,84.782113
2015-11-06,85.699997,85.919998,83.760002,84.669998,6129100,83.519506
2015-11-09,84.269997,84.370003,82.440002,83.480003,4450700,82.345681
2015-11-10,83.830002,84.790001,83.260002,83.529999,4302600,82.394997
2015-11-11,83.709999,83.860001,81.699997,81.82,6027700,80.708233
2015-11-12,81.669998,81.940002,80.150002,80.400002,5764500,79.658018
2015-11-13,80.18,80.849998,79.040001,79.169998,5702300,78.439366
2015-11-16,79.0,82.089996,78.900002,81.839996,5944800,81.084724
2015-11-17,82.160004,83.739998,82.019997,82.970001,4723400,82.2043
2015-11-18,82.970001,84.82,82.760002,84.580002,4606400,83.799443
2015-11-19,84.550003,84.730003,81.849998,82.830002,4456000,82.065593
2015-11-20,83.529999,83.529999,81.650002,81.830002,5851100,81.074822
2015-11-23,81.620003,82.400002,80.599998,81.910004,4275900,81.154085
2015-11-24,81.129997,83.120003,80.599998,82.93,5154600,82.164669
2015-11-25,82.93,84.0,82.900002,83.400002,2085300,82.630332
2015-11-27,83.459999,85.199997,83.459999,84.18,2346600,83.403133
2015-11-30,84.099998,84.519997,83.769997,84.029999,3861800,83.254516
2015-12-01,84.43,84.690002,83.360001,83.989998,2978800,83.214884
2015-12-02,84.040001,84.099998,83.029999,83.309998,2771700,82.541159
2015-12-03,83.589996,84.190002,81.75,81.940002,4316000,81.183807
2015-12-04,82.019997,84.730003,82.0,84.620003,4702700,83.839075
2015-12-07,84.459999,85.129997,83.93,84.870003,5867000,84.086767
2015-12-08,84.260002,84.889999,83.440002,83.660004,5106100,82.887935
2015-12-09,83.050003,84.0,82.360001,83.339996,4238400,82.570881
2015-12-10,83.43,84.019997,82.75,83.419998,2692700,82.650144
2015-12-11,82.080002,82.889999,81.029999,81.709999,4209100,80.955926
2015-12-14,81.800003,82.889999,81.150002,82.559998,3980300,81.798081
2015-12-15,83.400002,83.959999,82.040001,82.110001,4439400,81.352236
2015-12-16,82.93,84.959999,82.459999,84.709999,4816400,83.92824
2015-12-17,85.110001,85.32,83.290001,83.339996,3797600,82.570881
2015-12-18,82.730003,83.440002,82.139999,82.510002,8529900,81.748546
2015-12-21,83.010002,85.019997,82.709999,84.889999,4895800,84.10658
2015-12-22,85.010002,86.339996,84.230003,86.010002,4992600,85.216246
2015-12-23,86.309998,86.5,85.709999,86.050003,3559100,85.255878
2015-12-24,86.360001,86.949997,85.93,86.459999,1367000,85.66209
2015-12-28,85.989998,86.410004,85.419998,85.839996,2133400,85.047809
2015-12-29,86.410004,87.050003,86.220001,86.82,3569700,86.018769
2015-12-30,86.82,87.0,86.339996,86.389999,2184400,85.592737
2015-12-31,85.919998,86.040001,84.779999,85.160004,2528700,84.374092
2016-01-04,83.699997,83.769997,82.120003,83.050003,6347600,82.283564
2016-01-05,82.790001,83.080002,80.830002,80.870003,7603100,80.123682
2016-01-06,80.540001,81.260002,79.43,79.629997,11659200,78.89512
2016-01-07,82.400002,82.400002,79.029999,81.169998,11362000,80.420909
2016-01-08,81.879997,83.0,80.919998,81.050003,9767900,80.302021
2016-01-11,81.769997,82.349998,79.860001,81.019997,5354800,80.272292
2016-01-12,81.580002,81.980003,80.809998,81.82,4143800,81.064912
2016-01-13,81.830002,82.190002,79.620003,79.93,5080500,79.192355
2016-01-14,80.0,82.739998,79.779999,81.870003,5895200,81.114453
2016-01-15,79.480003,80.75,78.949997,79.93,7606700,79.192355
2016-01-19,80.919998,81.639999,79.860001,80.699997,6292100,79.955245
2016-01-20,79.199997,80.220001,77.0,79.449997,5386600,78.716781
2016-01-21,79.449997,79.919998,78.529999,78.980003,4449300,78.251125
2016-01-22,80.629997,81.089996,79.610001,80.839996,3449200,80.093953
2016-01-25,80.620003,80.940002,78.559998,78.709999,3405800,77.983612
2016-01-26,78.800003,79.800003,78.800003,79.440002,3559400,78.706879
2016-01-27,79.980003,80.459999,77.970001,78.449997,3474000,77.72601
2016-01-28,78.849998,78.93,76.620003,77.610001,4435700,76.893765
2016-01-29,78.580002,79.739998,77.139999,79.720001,4906800,78.984293
2016-02-01,78.889999,80.709999,78.32,80.07,4964100,79.331062
2016-02-02,79.089996,79.290001,77.709999,78.0,4313200,77.280166
2016-02-03,78.43,78.699997,76.050003,76.809998,4465400,76.101145
2016-02-04,76.760002,77.330002,75.110001,77.190002,5420900,76.477643
2016-02-05,76.589996,77.389999,74.790001,75.199997,6224200,74.506003
2016-02-08,74.18,74.18,71.5,72.910004,8962600,72.237143
2016-02-09,72.550003,75.690002,72.139999,74.93,7227400,74.238498
2016-02-10,75.660004,77.510002,75.0,76.010002,4141100,75.308533
2016-02-11,74.849998,76.120003,73.879997,75.529999,5069300,74.832959
2016-02-12,76.589996,77.110001,75.839996,77.080002,4213500,76.368658
2016-02-16,78.199997,78.199997,76.169998,76.550003,4815000,76.199439
2016-02-17,77.190002,78.239998,76.629997,78.160004,4256200,77.802066
2016-02-18,77.5,77.989998,76.440002,76.550003,4059900,76.199439
2016-02-19,76.440002,77.589996,75.949997,77.57,4079200,77.214764
2016-02-22,78.400002,78.879997,77.75,78.800003,3348900,78.439135
2016-02-23,78.470001,78.940002,77.690002,78.730003,3835700,78.369456
2016-02-24,78.050003,79.43,77.910004,79.43,3593900,79.066247
2016-02-25,79.480003,79.940002,78.559998,79.919998,3355800,79.554001
2016-02-26,80.0,80.050003,78.870003,79.57,4507300,79.205605
2016-02-29,79.349998,79.93,78.790001,78.940002,3231300,78.578493
2016-03-01,79.919998,80.550003,79.519997,80.349998,4244200,79.982032
2016-03-02,80.300003,80.489998,78.629997,79.459999,4137700,79.096109
2016-03-03,79.360001,79.970001,78.330002,79.919998,2542500,79.554001
2016-03-04,80.0,80.089996,79.040001,79.449997,2119000,79.086152
2016-03-07,78.879997,80.029999,78.610001,79.150002,3586700,78.787531
2016-03-08,78.940002,81.449997,78.709999,80.389999,3978400,80.02185
2016-03-09,80.940002,83.099998,80.629997,81.599998,5018400,81.226308
2016-03-10,81.599998,81.849998,79.470001,80.660004,3582100,80.290618
2016-03-11,81.440002,81.580002,80.82,81.410004,2545600,81.037183
2016-03-14,81.120003,81.860001,81.0,81.519997,1874200,81.146672
2016-03-15,80.910004,81.82,80.900002,81.32,1974800,80.947591
2016-03-16,81.209999,82.220001,80.940002,82.099998,3235900,81.724018
2016-03-17,81.410004,83.440002,81.410004,83.300003,3833600,82.918527
2016-03-18,83.760002,84.580002,83.059998,83.940002,9460300,83.555596
2016-03-21,83.860001,84.059998,83.489998,83.550003,2602100,83.167382
2016-03-22,83.160004,83.339996,82.260002,82.800003,2787400,82.420817
2016-03-23,82.82,83.050003,82.080002,82.339996,2114100,81.962917
2016-03-24,82.239998,82.339996,81.720001,82.330002,1947000,81.952968
2016-03-28,82.330002,83.220001,82.059998,82.790001,1738000,82.41086
2016-03-29,82.919998,83.059998,81.940002,83.019997,2819800,82.639803
2016-03-30,83.5,83.860001,83.029999,83.629997,2811100,83.24701
2016-03-31,83.830002,84.470001,83.699997,84.239998,3820400,83.854217
2016-04-01,84.239998,86.839996,84.019997,86.699997,6502500,86.30295
2016-04-04,86.639999,86.790001,84.82,86.309998,5114600,85.914737
2016-04-05,85.769997,86.0,82.550003,83.360001,9433900,82.97825
2016-04-06,83.339996,85.099998,83.120003,83.690002,8017000,83.30674
2016-04-07,83.379997,83.540001,81.199997,81.300003,5653200,80.927686
2016-04-08,81.559998,82.059998,81.18,81.370003,4172100,80.997365
2016-04-11,81.720001,82.139999,81.019997,81.150002,3099900,80.778372
2016-04-12,81.260002,81.699997,80.910004,81.309998,3624000,80.937635
2016-04-13,81.949997,82.0,80.82,81.080002,5257300,80.708692
2016-04-14,80.989998,81.360001,80.760002,81.260002,4038900,80.887868
2016-04-15,81.769997,81.830002,81.120003,81.440002,3245300,81.067044
2016-04-18,81.18,81.470001,80.860001,81.25,4129200,80.877912
2016-04-19,81.269997,81.959999,80.699997,81.839996,5384900,81.465206
2016-04-20,82.089996,82.18,81.07,81.129997,3067100,80.758459
2016-04-21,81.050003,81.489998,80.519997,80.559998,3222000,80.191069
2016-04-22,80.540001,81.110001,79.720001,80.139999,3764000,79.772995
2016-04-25,80.019997,80.400002,79.709999,80.389999,2961700,80.02185
2016-04-26,80.82,81.400002,80.370003,81.309998,3400900,80.937635
2016-04-27,81.470001,81.970001,81.050003,81.559998,3584200,81.18649
2016-04-28,81.110001,81.379997,80.160004,80.349998,2876600,79.982032
2016-04-29,79.580002,79.760002,78.279999,79.279999,5421200,78.916933
2016-05-02,79.099998,80.790001,79.019997,80.559998,3250300,80.191069
2016-05-03,79.860001,81.919998,79.660004,81.459999,5294000,81.086949
2016-05-04,81.040001,81.720001,80.839996,81.489998,3480700,81.116811
2016-05-05,81.339996,81.800003,81.010002,81.459999,2531000,81.086949
2016-05-06,79.0,79.5,78.239998,79.43,11411600,79.066247
2016-05-09,79.5,81.309998,79.400002,80.889999,6226900,80.51956
2016-05-10,80.970001,81.25,80.650002,80.919998,3197500,80.549421
2016-05-11,80.949997,80.949997,79.43,80.230003,5918000,79.862587
2016-05-12,80.370003,80.57,79.68,79.870003,3066900,79.504235
2016-05-13,79.589996,80.040001,78.550003,78.610001,4062800,78.250003
2016-05-16,78.410004,79.230003,78.010002,78.870003,5209200,78.870003
2016-05-17,77.690002,77.989998,76.470001,76.480003,7683300,76.480003
2016-05-18,76.489998,77.019997,75.849998,76.540001,5884800,76.540001
2016-05-19,76.019997,76.980003,75.739998,76.209999,3015000,76.209999
2016-05-20,76.339996,77.529999,76.300003,77.220001,6193200,77.220001
2016-05-23,77.019997,77.260002,76.400002,76.529999,3609700,76.529999
2016-05-24,76.720001,77.650002,76.709999,77.150002,4688700,77.150002
2016-05-25,77.309998,77.919998,77.199997,77.629997,4013500,77.629997
2016-05-26,77.459999,77.529999,76.739998,76.779999,3253900,76.779999
2016-05-27,77.089996,77.330002,76.550003,77.0,3003100,77.0
2016-05-31,76.940002,77.589996,76.650002,77.400002,4715700,77.400002
2016-06-01,77.419998,78.220001,77.220001,78.099998,3910500,78.099998
2016-06-02,78.199997,79.5,78.029999,79.099998,4012600,79.099998
2016-06-03,79.139999,79.139999,78.160004,78.68,2486400,78.68
