Date,Open_TAP,High_TAP,Low_TAP,Close_TAP,Volume_TAP,AdjClose_TAP
2013-06-14,49.84,50.110001,49.450001,49.59,1143500,46.482006
2013-06-17,49.82,50.650002,49.52,49.990002,1408300,46.856938
2013-06-18,49.970001,50.099998,49.75,49.84,1134600,46.716338
2013-06-19,49.900002,50.59,49.139999,49.139999,2057900,46.060209
2013-06-20,48.720001,48.869999,47.52,47.619999,2125800,44.635472
2013-06-21,48.099998,48.330002,47.0,47.790001,2306300,44.79482
2013-06-24,47.150002,48.330002,46.939999,47.900002,1448400,44.897926
2013-06-25,48.369999,48.369999,47.540001,48.110001,907600,45.094764
2013-06-26,48.529999,48.709999,48.09,48.470001,1067500,45.432202
2013-06-27,48.790001,49.150002,48.48,48.560001,1057100,45.516561
2013-06-28,48.470001,48.650002,47.82,47.860001,1581300,44.860432
2013-07-01,48.18,48.470001,48.009998,48.16,958700,45.141629
2013-07-02,48.07,48.32,47.66,48.07,1222200,45.05727
2013-07-03,47.669998,47.77,47.16,47.540001,884300,44.560488
2013-07-05,47.790001,47.919998,47.169998,47.650002,548800,44.663595
2013-07-08,47.869999,48.470001,47.790001,48.209999,1322500,45.188495
2013-07-09,48.48,50.360001,48.470001,50.330002,2336300,47.175629
2013-07-10,50.330002,50.59,49.759998,50.330002,1605500,47.175629
2013-07-11,50.900002,51.939999,50.790001,51.900002,1748100,48.647231
2013-07-12,51.759998,51.759998,51.040001,51.299999,1413000,48.084833
2013-07-15,51.34,51.790001,51.200001,51.709999,976300,48.469137
2013-07-16,51.5,51.5,50.740002,51.080002,977100,47.878624
2013-07-17,51.220001,51.43,50.77,50.830002,1225300,47.644292
2013-07-18,50.75,51.360001,50.700001,51.0,1979900,47.803636
2013-07-19,51.0,51.419998,50.799999,51.389999,2255000,48.169192
2013-07-22,51.290001,51.400002,50.82,50.950001,1575100,47.75677
2013-07-23,50.990002,51.02,50.400002,50.630001,1955400,47.456826
2013-07-24,50.669998,50.75,49.279999,49.889999,2643200,46.763203
2013-07-25,49.43,49.889999,48.93,49.830002,2334500,46.706966
2013-07-26,49.080002,50.060001,49.080002,49.790001,1639500,46.669472
2013-07-29,49.700001,49.950001,49.529999,49.869999,1013400,46.744456
2013-07-30,49.950001,50.380001,49.82,49.880001,1261600,46.753832
2013-07-31,50.18,50.509998,50.009998,50.060001,1539100,46.922551
2013-08-01,50.57,50.950001,50.41,50.91,1278200,47.719276
2013-08-02,50.669998,51.0,50.650002,50.790001,1453400,47.606798
2013-08-05,50.700001,50.759998,49.990002,50.080002,2061300,46.941297
2013-08-06,50.889999,53.52,50.889999,53.259998,7457900,49.921991
2013-08-07,53.209999,53.32,52.439999,52.790001,2806500,49.481451
2013-08-08,52.790001,53.529999,52.610001,53.419998,1805600,50.071964
2013-08-09,53.459999,53.75,53.18,53.200001,1159600,49.865754
2013-08-12,52.93,52.93,52.419998,52.52,1463000,49.228372
2013-08-13,52.66,52.669998,52.16,52.419998,1196400,49.134637
2013-08-14,52.459999,52.459999,51.84,51.900002,1246000,48.647231
2013-08-15,51.580002,51.66,50.610001,50.75,1691100,47.569304
2013-08-16,50.560001,50.900002,50.419998,50.779999,2059200,47.597423
2013-08-19,50.610001,50.68,50.049999,50.110001,1269700,46.969416
2013-08-20,50.259998,50.849998,50.119999,50.52,1089400,47.35372
2013-08-21,50.5,50.5,49.700001,49.880001,1211000,46.753832
2013-08-22,49.860001,50.119999,49.73,49.84,937000,46.716338
2013-08-23,49.900002,50.580002,49.650002,50.459999,1043300,47.297479
2013-08-26,50.470001,50.470001,49.630001,49.759998,1005900,46.64135
2013-08-27,49.419998,49.57,49.150002,49.48,1065200,46.3789
2013-08-28,49.220001,49.220001,48.43,48.439999,964700,45.69963
2013-08-29,48.400002,48.790001,48.18,48.59,592000,45.841145
2013-08-30,48.619999,48.91,48.389999,48.790001,946500,46.029832
2013-09-03,49.5,49.849998,48.330002,48.560001,1126100,45.812844
2013-09-04,48.459999,49.32,48.25,49.310001,1481600,46.520414
2013-09-05,49.119999,49.459999,49.029999,49.189999,957500,46.407201
2013-09-06,49.400002,49.470001,48.93,49.240002,994900,46.454375
