Date,Open_VRSN,High_VRSN,Low_VRSN,Close_VRSN,Volume_VRSN,AdjClose_VRSN
2015-06-08,62.720001,62.779999,61.990002,62.009998,626700,62.009998
2015-06-09,61.919998,62.279999,61.5,61.540001,646900,61.540001
2015-06-10,61.900002,63.23,61.639999,62.810001,912300,62.810001
2015-06-11,62.970001,63.779999,62.75,63.099998,1358600,63.099998
2015-06-12,63.080002,63.400002,62.810001,62.950001,416900,62.950001
2015-06-15,62.52,62.599998,61.889999,62.5,474300,62.5
2015-06-16,62.200001,63.139999,62.200001,63.009998,516400,63.009998
2015-06-17,63.299999,63.919998,62.82,63.470001,668500,63.470001
2015-06-18,63.740002,64.660004,63.669998,64.629997,1086100,64.629997
2015-06-19,64.449997,64.690002,63.889999,64.190002,1805700,64.190002
2015-06-22,64.639999,64.879997,64.120003,64.389999,651800,64.389999
2015-06-23,64.519997,64.519997,63.740002,64.169998,591200,64.169998
2015-06-24,64.089996,64.089996,63.279999,63.330002,652400,63.330002
2015-06-25,63.509998,63.700001,63.130001,63.279999,431600,63.279999
2015-06-26,63.389999,63.540001,62.650002,62.950001,800000,62.950001
2015-06-29,62.5,62.720001,61.310001,61.380001,648800,61.380001
2015-06-30,61.970001,62.130001,61.509998,61.720001,1015900,61.720001
2015-07-01,62.389999,63.380001,62.290001,63.299999,1093100,63.299999
2015-07-02,63.32,63.66,62.490002,62.869999,720900,62.869999
2015-07-06,62.310001,63.139999,62.16,62.779999,551800,62.779999
2015-07-07,62.73,63.150002,61.810001,63.099998,1359800,63.099998
2015-07-08,62.540001,62.860001,61.419998,61.5,844400,61.5
2015-07-09,62.290001,62.84,62.150002,62.209999,587200,62.209999
2015-07-10,62.98,63.41,62.82,63.189999,400400,63.189999
2015-07-13,63.59,64.099998,63.419998,64.059998,423800,64.059998
2015-07-14,64.129997,64.660004,63.880001,64.190002,568500,64.190002
2015-07-15,64.269997,64.730003,63.990002,64.300003,744500,64.300003
2015-07-16,64.629997,65.120003,64.330002,64.949997,594800,64.949997
2015-07-17,65.199997,65.370003,64.790001,65.019997,516500,65.019997
2015-07-20,65.010002,65.709999,64.760002,65.529999,576800,65.529999
2015-07-21,65.400002,65.68,65.029999,65.080002,742200,65.080002
2015-07-22,65.019997,65.879997,65.0,65.849998,817800,65.849998
2015-07-23,65.849998,66.400002,65.629997,66.019997,1227600,66.019997
2015-07-24,65.830002,70.989998,65.150002,67.730003,2755500,67.730003
2015-07-27,67.330002,68.25,67.239998,67.93,1903000,67.93
2015-07-28,68.519997,70.080002,68.089996,69.970001,1440300,69.970001
2015-07-29,70.129997,70.550003,69.610001,70.540001,1547800,70.540001
2015-07-30,70.400002,71.269997,70.050003,71.029999,1031500,71.029999
2015-07-31,71.230003,71.730003,70.800003,70.940002,867500,70.940002
2015-08-03,70.610001,70.889999,69.970001,70.629997,843100,70.629997
2015-08-04,70.449997,71.080002,70.32,70.879997,581100,70.879997
2015-08-05,71.349998,71.82,70.830002,71.07,897900,71.07
2015-08-06,71.040001,71.269997,70.169998,70.620003,976200,70.620003
2015-08-07,71.0,71.18,70.239998,70.900002,937400,70.900002
2015-08-10,71.550003,71.639999,71.199997,71.370003,585400,71.370003
2015-08-11,70.93,71.290001,70.389999,70.860001,1521200,70.860001
2015-08-12,70.410004,70.779999,69.889999,70.720001,1410600,70.720001
2015-08-13,70.699997,71.0,69.93,70.620003,565800,70.620003
2015-08-14,70.629997,71.18,70.389999,71.089996,591400,71.089996
2015-08-17,71.150002,71.360001,70.709999,71.190002,606400,71.190002
2015-08-18,71.190002,71.580002,70.82,70.93,521400,70.93
