Date,Open_ICE,High_ICE,Low_ICE,Close_ICE,Volume_ICE,AdjClose_ICE
2013-06-14,175.0,175.220001,173.020004,173.149994,489900,167.755724
2013-06-17,174.369995,179.600006,173.619995,178.869995,943600,173.297526
2013-06-18,180.0,184.119995,179.759995,183.070007,1062500,177.366692
2013-06-19,183.0,183.0,178.460007,178.850006,636600,173.27816
2013-06-20,176.839996,178.179993,172.339996,173.470001,941400,168.065762
2013-06-21,174.059998,175.320007,170.339996,172.559998,851900,167.184109
2013-06-24,170.410004,173.960007,168.699997,171.940002,940700,166.583429
2013-06-25,173.279999,177.149994,172.679993,175.119995,901800,169.664353
2013-06-26,176.960007,180.720001,174.449997,179.899994,1126300,174.295437
2013-06-27,179.809998,181.429993,178.220001,179.660004,738900,174.062923
2013-06-28,179.100006,180.130005,177.759995,177.759995,808100,172.222106
2013-07-01,179.600006,181.25,177.929993,178.020004,728100,172.474016
2013-07-02,177.520004,178.850006,173.630005,174.5,1417400,169.063673
2013-07-03,174.369995,175.970001,173.619995,174.899994,723400,169.451205
2013-07-05,176.350006,177.350006,174.869995,177.029999,652100,171.514852
2013-07-08,177.449997,179.580002,176.979996,177.380005,454900,171.853955
2013-07-09,179.0,179.720001,173.539993,175.350006,929700,169.887198
2013-07-10,175.559998,179.490005,175.190002,179.270004,782100,173.685073
2013-07-11,180.740005,181.449997,177.009995,179.229996,894500,173.646311
2013-07-12,179.350006,181.110001,178.660004,180.669998,519300,175.041452
2013-07-15,180.839996,182.429993,179.779999,181.860001,565100,176.194382
2013-07-16,181.619995,183.440002,181.240005,181.559998,680600,175.903725
2013-07-17,181.880005,182.759995,180.539993,181.020004,504300,175.380554
2013-07-18,181.490005,182.259995,180.179993,181.470001,379000,175.816532
2013-07-19,180.619995,180.619995,177.460007,178.990005,568400,173.413798
2013-07-22,178.690002,178.690002,176.369995,177.179993,471700,171.660174
2013-07-23,177.25,178.850006,176.490005,178.490005,516600,172.929375
2013-07-24,178.679993,179.449997,176.100006,176.779999,545600,171.272641
2013-07-25,176.179993,178.759995,175.759995,178.649994,366400,173.084379
2013-07-26,177.820007,177.899994,174.899994,177.279999,442700,171.757064
2013-07-29,176.470001,179.190002,176.399994,178.25,388700,172.696846
2013-07-30,178.100006,180.130005,178.100006,179.660004,380100,174.062923
2013-07-31,180.089996,183.889999,179.660004,182.449997,948900,176.765997
2013-08-01,184.009995,185.949997,183.029999,185.800003,637700,180.011638
2013-08-02,187.220001,188.779999,183.940002,188.440002,934500,182.569392
2013-08-05,187.429993,187.880005,184.740005,185.639999,808400,179.856619
2013-08-06,184.380005,187.440002,183.949997,186.820007,644700,180.999866
2013-08-07,186.160004,186.320007,180.139999,184.990005,631100,179.226875
2013-08-08,185.380005,187.830002,184.5,187.169998,508900,181.338953
2013-08-09,187.050003,187.970001,184.630005,184.919998,206800,179.159049
2013-08-12,183.940002,184.380005,182.0,183.139999,428900,177.434504
2013-08-13,183.199997,183.610001,181.830002,183.0,387700,177.298866
2013-08-14,182.960007,183.600006,181.289993,182.100006,301100,176.42691
2013-08-15,180.830002,181.190002,178.770004,180.350006,446400,174.731429
2013-08-16,180.149994,182.399994,179.369995,181.789993,468500,176.126555
2013-08-19,180.550003,183.669998,180.550003,181.660004,517900,176.000615
2013-08-20,181.369995,183.570007,180.600006,183.289993,783200,177.579825
2013-08-21,182.449997,184.369995,181.419998,181.660004,453000,176.000615
2013-08-22,182.229996,186.210007,181.710007,185.509995,515200,179.730665
2013-08-23,185.520004,186.440002,184.029999,185.330002,567000,179.556279
2013-08-26,185.339996,186.479996,183.199997,183.369995,499000,177.657334
2013-08-27,181.910004,182.580002,179.270004,180.240005,646700,174.624855
2013-08-28,180.25,182.970001,179.259995,179.929993,456700,174.324501
2013-08-29,179.440002,181.679993,179.330002,180.270004,423100,174.65392
2013-08-30,179.899994,180.610001,178.570007,179.75,422100,174.150116
2013-09-03,182.229996,183.979996,180.820007,181.669998,516600,176.010299
2013-09-04,181.559998,183.600006,179.449997,182.949997,507600,177.250421
2013-09-05,182.669998,183.229996,180.860001,181.0,637200,175.361173
2013-09-06,181.949997,182.020004,177.259995,179.389999,827900,173.80133
2013-09-09,179.039993,181.460007,179.039993,181.429993,692500,175.77777
2013-09-10,182.5,182.970001,180.910004,181.0,666500,175.361173
2013-09-11,180.949997,181.720001,180.130005,181.550003,476700,175.894042
2013-09-12,181.309998,181.970001,179.649994,180.0,537700,174.392327
2013-09-13,180.75,180.990005,178.419998,180.529999,563600,174.905814
2013-09-16,182.389999,182.729996,180.690002,181.070007,557300,175.429
2013-09-17,181.690002,182.320007,181.089996,181.600006,586100,175.942487
2013-09-18,181.929993,182.300003,180.770004,181.720001,548600,176.058744
2013-09-19,182.0,183.160004,181.029999,182.970001,579900,177.269802
2013-09-20,183.169998,184.949997,181.550003,182.130005,638000,176.455974
2013-09-23,181.300003,181.729996,179.600006,181.139999,358700,175.496811
2013-09-24,180.770004,182.190002,179.839996,180.690002,402600,175.060833
2013-09-25,180.910004,181.619995,178.600006,178.899994,559200,173.32659
2013-09-26,179.259995,180.779999,178.610001,179.919998,390300,174.314818
2013-09-27,178.850006,182.0,178.429993,181.279999,379800,175.632449
2013-09-30,179.470001,181.759995,178.410004,181.419998,553100,175.768087
2013-10-01,181.089996,184.229996,180.820007,183.929993,708500,178.199886
2013-10-02,182.580002,184.110001,179.100006,184.110001,1174100,178.374286
2013-10-03,183.889999,188.520004,183.779999,188.029999,1158100,182.172161
2013-10-04,188.710007,193.779999,187.880005,193.649994,1190400,187.617073
2013-10-07,192.0,194.339996,191.539993,193.0,688600,186.987328
2013-10-08,192.5,193.699997,187.679993,189.660004,1097100,183.751386
2013-10-09,189.899994,191.199997,187.350006,188.960007,944600,183.073196
2013-10-10,190.660004,194.699997,190.009995,193.160004,855900,187.142347
