Date,Open_OMC,High_OMC,Low_OMC,Close_OMC,Volume_OMC,AdjClose_OMC
2013-06-14,62.950001,63.189999,62.5,62.759998,916400,58.052442
2013-06-17,63.18,63.610001,62.950001,63.290001,897000,58.54269
2013-06-18,63.419998,63.990002,63.25,63.82,848200,59.032934
2013-06-19,63.939999,64.25,62.91,62.919998,900600,58.20044
2013-06-20,62.259998,62.580002,61.32,61.66,1347100,57.034953
2013-06-21,62.27,62.330002,61.259998,62.029999,2397300,57.377199
2013-06-24,61.549999,61.709999,60.669998,61.23,1561300,56.637207
2013-06-25,61.779999,62.23,61.32,61.599998,1469200,56.979452
2013-06-26,62.200001,62.73,61.759998,62.450001,1016100,57.765697
2013-06-27,62.869999,63.419998,62.700001,63.18,1069800,58.44094
2013-06-28,63.060001,63.610001,62.779999,62.869999,1837400,58.154191
2013-07-01,62.889999,63.369999,62.650002,62.720001,1532700,58.015445
2013-07-02,62.549999,63.369999,61.990002,62.689999,1864200,57.987693
2013-07-03,62.25,63.080002,61.759998,62.48,1436100,57.793445
2013-07-05,63.189999,63.560001,62.740002,63.5,1221900,58.736937
2013-07-08,63.93,64.169998,63.630001,64.150002,1432700,59.338182
2013-07-09,64.5,64.879997,64.129997,64.739998,1305300,59.883924
2013-07-10,64.75,65.190002,64.529999,64.989998,1283100,60.115172
2013-07-11,65.82,66.260002,65.559998,66.139999,1568800,61.178913
2013-07-12,66.0,66.599998,66.0,66.339996,1799200,61.363908
2013-07-15,66.019997,66.75,65.879997,66.400002,1443400,61.419412
2013-07-16,66.559998,67.040001,66.230003,66.419998,1343000,61.437909
2013-07-17,66.489998,67.160004,66.489998,66.769997,2172000,61.761655
2013-07-18,66.360001,67.43,64.489998,65.830002,2571200,60.892168
2013-07-19,66.059998,66.120003,64.150002,65.400002,2864600,60.494421
2013-07-22,65.400002,65.480003,64.669998,64.970001,1463000,60.096675
2013-07-23,65.169998,65.309998,64.459999,64.510002,1141100,59.67118
2013-07-24,64.730003,64.919998,64.32,64.620003,1265200,59.772929
2013-07-25,64.839996,64.889999,63.810001,64.300003,1569300,59.476933
2013-07-26,64.080002,65.160004,63.790001,65.110001,1639200,60.226173
2013-07-29,70.040001,70.5,64.5,64.75,17632600,59.893176
2013-07-30,64.419998,64.470001,63.029999,63.630001,5499500,58.857187
2013-07-31,64.93,65.830002,64.139999,64.269997,5641500,59.449177
2013-08-01,64.879997,65.300003,64.510002,64.800003,3762700,59.939428
2013-08-02,63.330002,64.150002,63.330002,63.490002,2757800,58.727688
2013-08-05,63.169998,63.560001,62.970001,63.5,3161700,58.736937
2013-08-06,63.959999,64.279999,63.459999,63.48,3094300,58.718437
2013-08-07,63.349998,63.66,63.25,63.400002,2372300,58.644439
2013-08-08,63.799999,63.799999,63.389999,63.48,929400,58.718437
2013-08-09,63.360001,63.740002,62.630001,62.68,1748200,57.978444
2013-08-12,62.380001,63.0,62.23,62.68,1450500,57.978444
