Date,Open_URI,High_URI,Low_URI,Close_URI,Volume_URI,AdjClose_URI
2015-06-08,91.870003,92.32,90.169998,90.339996,1635700,90.339996
2015-06-09,90.230003,90.580002,88.459999,88.879997,2340900,88.879997
2015-06-10,89.57,90.339996,89.07,89.68,1889100,89.68
2015-06-11,89.769997,90.360001,89.599998,89.720001,1305900,89.720001
2015-06-12,90.839996,92.25,89.870003,91.440002,2325300,91.440002
2015-06-15,90.779999,91.760002,89.849998,91.139999,1483900,91.139999
2015-06-16,89.110001,89.5,86.879997,88.760002,3588700,88.760002
2015-06-17,88.93,91.050003,88.82,90.529999,2134000,90.529999
2015-06-18,90.769997,93.0,90.709999,92.580002,1905200,92.580002
2015-06-19,92.18,92.730003,91.760002,91.919998,1409900,91.919998
2015-06-22,92.25,92.650002,91.129997,92.129997,1503300,92.129997
2015-06-23,92.400002,93.349998,92.029999,92.57,1816500,92.57
2015-06-24,92.510002,92.989998,91.57,92.32,1136900,92.32
2015-06-25,92.610001,92.610001,88.989998,89.580002,2111800,89.580002
2015-06-26,89.849998,90.029999,89.120003,89.970001,1568100,89.970001
2015-06-29,88.879997,89.389999,87.080002,87.239998,2221400,87.239998
2015-06-30,88.120003,88.599998,87.5,87.620003,1809400,87.620003
2015-07-01,87.639999,87.989998,82.959999,83.599998,4131900,83.599998
2015-07-02,83.709999,84.669998,83.080002,84.279999,1788800,84.279999
2015-07-06,83.309998,85.269997,82.629997,83.25,1737200,83.25
2015-07-07,83.300003,83.690002,80.080002,83.309998,2301700,83.309998
2015-07-08,82.940002,83.129997,78.900002,80.050003,2950900,80.050003
2015-07-09,81.5,83.309998,81.339996,81.370003,2446900,81.370003
2015-07-10,82.440002,82.589996,81.18,81.389999,1463300,81.389999
2015-07-13,82.209999,82.629997,81.449997,82.010002,1647000,82.010002
2015-07-14,81.900002,82.550003,81.410004,82.32,1446900,82.32
2015-07-15,82.07,82.209999,80.080002,80.129997,2771900,80.129997
2015-07-16,80.959999,82.32,80.519997,81.779999,2058000,81.779999
2015-07-17,81.93,82.339996,80.300003,81.260002,2165200,81.260002
2015-07-20,80.510002,80.790001,79.110001,79.199997,2756000,79.199997
2015-07-21,79.25,80.129997,78.339996,78.769997,2252700,78.769997
2015-07-22,78.410004,78.480003,76.82,77.629997,3110300,77.629997
