Date,Open_ESS,High_ESS,Low_ESS,Close_ESS,Volume_ESS,AdjClose_ESS
2015-06-08,214.960007,216.059998,213.210007,213.889999,206100,208.3312
2015-06-09,213.509995,214.619995,211.130005,211.509995,309000,206.013049
2015-06-10,211.710007,215.490005,210.059998,213.470001,355600,207.922117
2015-06-11,214.449997,215.399994,210.179993,214.270004,378900,208.701329
2015-06-12,214.479996,215.729996,213.550003,214.369995,223100,208.798721
2015-06-15,213.669998,214.369995,212.649994,214.0,227100,208.438342
2015-06-16,214.169998,216.820007,213.720001,216.440002,226100,210.814931
2015-06-17,216.490005,218.589996,214.869995,218.139999,253500,212.470747
2015-06-18,219.169998,222.669998,219.169998,221.880005,343900,216.113553
2015-06-19,221.020004,221.369995,218.399994,219.710007,468800,213.999951
2015-06-22,220.259995,221.779999,217.190002,217.520004,272800,211.866865
2015-06-23,217.0,217.339996,214.619995,215.100006,251400,209.50976
2015-06-24,215.460007,216.75,214.669998,215.050003,302900,209.461057
2015-06-25,215.080002,216.979996,213.110001,213.300003,286600,207.756537
2015-06-26,212.169998,214.580002,208.850006,214.169998,355000,210.021789
2015-06-29,213.970001,216.100006,210.380005,210.490005,343500,206.413073
2015-06-30,212.360001,214.470001,209.889999,212.5,415200,208.384137
2015-07-01,214.309998,216.729996,212.350006,216.710007,330600,212.512601
2015-07-02,218.559998,220.229996,214.710007,218.309998,376400,214.081602
2015-07-06,216.800003,220.070007,215.970001,219.660004,330500,215.40546
2015-07-07,220.759995,222.979996,219.130005,222.339996,319800,218.033545
2015-07-08,221.490005,223.089996,220.270004,221.660004,403700,217.366723
2015-07-09,222.770004,224.399994,221.009995,221.009995,378700,216.729303
2015-07-10,222.199997,224.690002,221.660004,221.820007,370400,217.523627
2015-07-13,223.470001,224.800003,219.25,220.820007,417100,216.542996
2015-07-14,220.990005,222.660004,218.399994,221.869995,202000,217.572647
2015-07-15,221.300003,223.449997,218.889999,222.619995,257600,218.30812
2015-07-16,223.410004,225.0,222.139999,223.770004,243300,219.435855
2015-07-17,223.720001,223.770004,221.320007,222.990005,269600,218.670964
2015-07-20,221.789993,224.929993,221.740005,224.820007,237800,220.465521
2015-07-21,224.009995,226.360001,223.149994,223.550003,239300,219.220115
2015-07-22,223.740005,226.029999,222.479996,224.270004,240900,219.926171
2015-07-23,223.559998,223.889999,220.759995,222.369995,216000,218.062962
2015-07-24,221.889999,224.619995,221.869995,223.809998,218600,219.475074
2015-07-27,223.789993,226.539993,222.449997,224.309998,188200,219.965389
2015-07-28,223.759995,224.029999,219.910004,222.320007,381800,218.013943
2015-07-29,222.919998,223.020004,220.410004,222.550003,322400,218.239484
2015-07-30,222.029999,229.899994,221.110001,223.779999,383700,219.445656
2015-07-31,228.0,230.0,224.559998,224.910004,448700,220.553774
2015-08-03,225.669998,226.949997,224.089996,226.550003,246600,222.162009
2015-08-04,226.779999,228.910004,224.919998,225.309998,186400,220.946021
2015-08-05,225.529999,228.490005,223.179993,224.419998,185900,220.073259
2015-08-06,223.970001,226.279999,221.720001,226.070007,194700,221.69131
2015-08-07,226.149994,227.149994,223.199997,227.0,159300,222.60329
2015-08-10,227.779999,229.070007,225.520004,227.119995,242300,222.720961
2015-08-11,226.520004,229.539993,225.699997,228.149994,267200,223.73101
2015-08-12,227.600006,228.600006,225.110001,228.330002,281600,223.907531
2015-08-13,227.330002,228.949997,224.199997,227.929993,269400,223.51527
2015-08-14,227.229996,228.839996,225.399994,228.550003,315300,224.123271
2015-08-17,228.800003,231.199997,227.009995,231.110001,267200,226.633685
2015-08-18,230.75,232.199997,229.850006,231.929993,317800,227.437795
2015-08-19,230.070007,230.589996,224.929993,228.270004,425900,223.848696
2015-08-20,226.610001,230.970001,225.419998,227.610001,328000,223.201475
2015-08-21,226.839996,228.029999,222.949997,222.949997,351400,218.63173
2015-08-24,222.949997,222.949997,211.529999,211.860001,393700,207.756533
2015-08-25,213.0,216.130005,209.089996,209.5,739800,205.442243
2015-08-26,212.759995,215.690002,209.960007,215.119995,432600,210.953386
2015-08-27,216.360001,222.199997,215.130005,220.25,341100,215.984029
2015-08-28,220.009995,220.910004,215.580002,220.660004,303700,216.386091
2015-08-31,220.050003,220.509995,214.539993,214.619995,525200,210.46307
2015-09-01,211.429993,214.410004,208.699997,210.179993,319300,206.109065
2015-09-02,212.759995,214.550003,209.580002,211.820007,337800,207.717315
2015-09-03,212.869995,214.229996,211.470001,212.160004,255600,208.050726
2015-09-04,210.830002,211.320007,205.779999,207.169998,273700,203.157371
2015-09-08,210.080002,213.009995,208.080002,210.460007,353400,206.383656
2015-09-09,212.339996,213.009995,207.210007,207.649994,348000,203.628069
2015-09-10,206.539993,211.649994,205.720001,208.580002,289600,204.540064
