Date,Open_XOM,High_XOM,Low_XOM,Close_XOM,Volume_XOM,AdjClose_XOM
2013-06-14,91.160004,91.300003,90.290001,90.580002,12158400,82.55555
2013-06-17,90.970001,91.769997,90.769997,91.510002,12026400,83.403161
2013-06-18,91.360001,92.059998,91.260002,91.93,10678200,83.785952
2013-06-19,91.790001,92.269997,91.0,91.0,14189500,82.93834
2013-06-20,90.239998,90.519997,88.790001,89.050003,21077700,81.161093
2013-06-21,89.760002,90.139999,88.849998,89.480003,25493800,81.553
2013-06-24,88.949997,89.5,88.019997,88.480003,17653000,80.641589
2013-06-25,89.580002,89.620003,88.480003,89.110001,15790100,81.215775
2013-06-26,89.419998,89.970001,88.730003,89.800003,14446000,81.844651
2013-06-27,90.239998,90.669998,90.029999,90.040001,12348000,82.063387
2013-06-28,89.849998,90.75,89.559998,90.349998,22984200,82.345922
2013-07-01,90.389999,91.129997,89.959999,90.300003,13182200,82.300356
2013-07-02,90.370003,91.099998,90.120003,90.639999,12320700,82.610232
2013-07-03,90.629997,90.870003,90.139999,90.690002,5674000,82.655805
2013-07-05,91.099998,91.610001,90.57,91.57,8917900,83.457844
2013-07-08,91.959999,92.529999,91.900002,92.25,12086700,84.077603
2013-07-09,92.639999,93.440002,92.25,93.339996,12940000,85.071037
2013-07-10,93.279999,93.389999,92.379997,92.82,12430000,84.597107
2013-07-11,93.800003,93.809998,93.040001,93.269997,16184700,85.007239
2013-07-12,93.25,93.449997,92.720001,93.400002,11370300,85.125726
2013-07-15,93.190002,93.5,93.089996,93.25,8256200,84.989013
2013-07-16,93.190002,93.470001,92.769997,93.300003,11413500,85.034587
2013-07-17,93.559998,93.739998,93.139999,93.459999,9393300,85.180409
2013-07-18,93.800003,94.839996,93.709999,94.379997,10555400,86.018905
2013-07-19,94.690002,95.25,94.410004,95.169998,14431700,86.73892
2013-07-22,94.870003,95.199997,94.779999,94.830002,9530400,86.429043
2013-07-23,94.860001,95.489998,94.839996,95.199997,7377400,86.766261
2013-07-24,95.309998,95.309998,94.419998,94.989998,8222800,86.574865
2013-07-25,94.690002,95.309998,94.419998,94.970001,10059800,86.55664
2013-07-26,94.769997,94.860001,93.839996,94.790001,9721000,86.392586
2013-07-29,94.510002,94.519997,93.610001,94.029999,8844700,85.699912
2013-07-30,94.220001,94.330002,93.459999,93.809998,10470700,85.499401
2013-07-31,93.93,94.599998,93.379997,93.75,14400800,85.444719
2013-08-01,92.690002,93.099998,91.25,92.730003,23117700,84.515083
2013-08-02,92.459999,92.529999,91.339996,91.949997,14408600,83.804177
2013-08-05,91.419998,91.760002,91.010002,91.589996,12625900,83.476069
2013-08-06,91.330002,91.910004,91.279999,91.470001,11689200,83.366704
2013-08-07,91.18,91.550003,91.129997,91.339996,8163800,83.248216
2013-08-08,91.93,91.970001,91.279999,91.779999,11529500,83.649239
2013-08-09,91.199997,91.360001,90.43,90.720001,9467800,83.254626
2013-08-12,90.43,90.43,89.690002,89.889999,10133700,82.492925
2013-08-13,89.849998,89.919998,89.139999,89.400002,10892700,82.043249
2013-08-14,89.339996,89.480003,88.900002,88.949997,9797300,81.630276
2013-08-15,88.660004,88.870003,88.059998,88.160004,11273400,80.905291
2013-08-16,88.010002,88.489998,87.650002,87.910004,11872500,80.675864
2013-08-19,87.82,87.870003,86.779999,86.919998,11745600,79.767326
2013-08-20,87.129997,87.870003,86.830002,86.830002,16498800,79.684736
2013-08-21,86.949997,87.349998,86.389999,86.419998,12766900,79.308471
2013-08-22,86.580002,87.419998,86.449997,86.980003,10199900,79.822394
2013-08-23,87.150002,87.690002,86.760002,87.519997,9206400,80.317951
2013-08-26,87.5,87.699997,86.82,87.089996,10654700,79.923335
2013-08-27,86.620003,87.489998,86.580002,86.82,13960200,79.675557
2013-08-28,87.279999,88.989998,87.279999,88.839996,17738800,81.529327
2013-08-29,88.629997,88.629997,87.230003,87.269997,11407800,80.088523
2013-08-30,87.389999,87.550003,86.790001,87.160004,12480400,79.987582
2013-09-03,87.699997,88.0,86.830002,87.150002,10546700,79.978402
2013-09-04,87.010002,87.980003,86.900002,87.760002,9822300,80.538206
2013-09-05,88.059998,88.300003,87.330002,87.349998,11740100,80.161942
2013-09-06,87.489998,87.730003,86.800003,87.25,12950600,80.070172
2013-09-09,87.339996,88.190002,87.309998,88.040001,9297000,80.795164
2013-09-10,88.400002,88.400002,87.279999,87.82,11823100,80.593266
2013-09-11,87.879997,88.849998,87.879997,88.839996,11201200,81.529327
2013-09-12,88.589996,88.800003,87.860001,87.980003,10917200,80.740103
2013-09-13,88.150002,88.879997,88.150002,88.400002,8254200,81.12554
2013-09-16,88.879997,89.18,88.489998,88.669998,9421300,81.373318
2013-09-17,88.709999,89.349998,88.650002,88.940002,8941200,81.621104
2013-09-18,88.910004,89.870003,88.370003,89.580002,15134700,82.208437
2013-09-19,89.639999,89.739998,88.980003,89.279999,11757500,81.933122
2013-09-20,89.529999,89.75,88.589996,88.660004,20651100,81.364146
2013-09-23,88.290001,88.910004,87.639999,87.75,12227700,80.529027
2013-09-24,87.589996,88.07,87.279999,87.360001,12129200,80.171121
2013-09-25,87.589996,87.599998,86.93,87.139999,13577400,79.969223
2013-09-26,87.400002,87.449997,86.809998,87.07,9787100,79.904984
2013-09-27,86.849998,87.010002,86.610001,86.900002,10867100,79.748975
2013-09-30,86.059998,86.699997,85.610001,86.040001,17486100,78.959744
2013-10-01,85.989998,86.339996,85.779999,86.0,11885100,78.923035
2013-10-02,85.75,86.110001,85.279999,86.080002,11841400,78.996453
2013-10-03,86.040001,86.050003,85.339996,85.5,13923400,78.46418
2013-10-04,86.309998,86.419998,85.68,86.32,11325500,79.216702
2013-10-07,85.57,86.290001,85.269997,85.900002,10985800,78.831265
2013-10-08,85.860001,85.949997,85.470001,85.510002,15335700,78.473359
2013-10-09,85.349998,85.589996,84.830002,85.160004,13575100,78.152162
2013-10-10,85.519997,86.040001,84.790001,86.040001,17532400,78.959744
2013-10-11,85.900002,86.949997,85.5,86.949997,12661800,79.794856
2013-10-14,86.510002,87.739998,86.510002,87.599998,9742100,80.391369
2013-10-15,87.470001,87.580002,86.639999,86.790001,12018000,79.648026
2013-10-16,87.480003,87.860001,86.720001,87.309998,11668100,80.125232
2013-10-17,87.129997,87.5,87.010002,87.480003,10438200,80.281248
2013-10-18,87.690002,87.739998,87.300003,87.550003,12425100,80.345488
2013-10-21,87.5,87.650002,86.839996,87.230003,10730900,80.051821
2013-10-22,87.290001,88.150002,87.129997,87.980003,12710600,80.740103
2013-10-23,87.519997,87.650002,86.949997,87.610001,11449100,80.400548
2013-10-24,87.980003,88.730003,87.970001,88.419998,12288900,81.143891
2013-10-25,88.230003,88.650002,87.82,87.970001,11382000,80.730924
2013-10-28,87.830002,88.459999,87.610001,88.230003,9921900,80.969531
2013-10-29,88.449997,89.029999,88.440002,88.93,10340000,81.611925
2013-10-30,88.970001,89.480003,88.690002,88.809998,14305900,81.501797
2013-10-31,89.449997,90.959999,89.199997,89.620003,19185200,82.245147
2013-11-01,89.739998,90.040001,88.269997,89.82,19023500,82.428686
2013-11-04,90.0,92.269997,90.0,92.099998,20591600,84.521063
2013-11-05,91.339996,93.25,91.239998,91.989998,21122500,84.420114
2013-11-06,92.419998,93.279999,92.120003,93.220001,13464600,85.5489
2013-11-07,92.639999,92.980003,91.760002,91.959999,16572100,84.96681
2013-11-08,91.800003,92.82,91.480003,92.730003,12330100,85.678258
2013-11-11,92.849998,93.230003,92.5,92.959999,7924700,85.890764
2013-11-12,92.669998,93.32,92.5,92.669998,10727300,85.622816
2013-11-13,92.220001,92.739998,92.07,92.589996,9280000,85.548898
2013-11-14,92.68,93.419998,92.68,93.220001,7909200,86.130994
2013-11-15,94.150002,95.290001,94.029999,95.269997,18374500,88.025095
2013-11-18,95.980003,96.0,95.059998,95.449997,14243700,88.191407
2013-11-19,95.400002,95.790001,95.160004,95.419998,12697300,88.16369
2013-11-20,95.75,95.949997,94.370003,94.68,10455400,87.479966
2013-11-21,94.849998,95.389999,94.629997,94.690002,9128400,87.489207
2013-11-22,94.959999,95.07,94.290001,95.010002,8534700,87.784872
2013-11-25,95.209999,95.75,94.830002,95.089996,10515100,87.858783
2013-11-26,94.75,94.809998,94.150002,94.269997,11857900,87.101141
2013-11-27,94.360001,94.419998,93.480003,93.800003,8828100,86.666889
2013-11-29,93.650002,94.220001,93.300003,93.480003,6770500,86.371224
2013-12-02,93.269997,94.040001,92.919998,93.519997,9310500,86.408176
2013-12-03,93.599998,94.480003,93.230003,94.389999,12599500,87.212018
2013-12-04,94.190002,94.900002,93.919998,94.669998,13074000,87.470724
2013-12-05,94.07,94.650002,93.919998,94.129997,10586000,86.971788
2013-12-06,94.970001,95.709999,94.589996,95.650002,12063400,88.376202
2013-12-09,95.949997,96.25,95.599998,95.839996,15516700,88.551749
2013-12-10,95.900002,95.980003,95.389999,95.709999,9868100,88.431637
2013-12-11,95.379997,95.540001,94.160004,94.260002,12811800,87.091907
2013-12-12,94.5,95.879997,94.279999,95.360001,15562600,88.108255
2013-12-13,95.129997,95.919998,94.660004,95.309998,10629500,88.062054
2013-12-16,96.279999,98.879997,96.129997,97.220001,23226000,89.82681
2013-12-17,97.019997,97.129997,96.029999,96.75,14920900,89.39255
2013-12-18,97.43,99.949997,97.010002,99.540001,21331300,91.970383
2013-12-19,99.5,99.599998,99.0,99.43,12905900,91.868747
2013-12-20,99.389999,99.599998,98.599998,98.68,23331000,91.175782
2013-12-23,99.0,99.290001,98.389999,98.510002,10127600,91.018711
2013-12-24,98.330002,99.440002,98.330002,99.220001,4168300,91.674718
2013-12-26,99.419998,101.029999,99.379997,100.900002,9531200,93.226961
2013-12-27,101.239998,101.739998,100.989998,101.510002,10209000,93.790574
2013-12-30,101.529999,101.550003,100.309998,100.309998,9007900,92.681824
2013-12-31,100.489998,101.389999,100.43,101.199997,8509600,93.504143
2014-01-02,100.599998,100.760002,99.389999,99.75,11028100,92.164412
2014-01-03,99.769997,100.169998,99.139999,99.510002,9295600,91.942666
2014-01-06,99.940002,100.139999,98.889999,99.660004,11848500,92.08126
2014-01-07,99.610001,101.220001,99.419998,101.07,11187000,93.384032
2014-01-08,101.190002,101.190002,100.150002,100.739998,11180400,93.079125
2014-01-09,100.199997,100.389999,99.029999,99.760002,11674300,92.173654
2014-01-10,99.989998,100.629997,99.120003,100.519997,10535400,92.875854
2014-01-13,99.910004,100.099998,98.269997,98.550003,12110900,91.055671
2014-01-14,98.800003,99.269997,98.650002,99.120003,9265000,91.582324
2014-01-15,99.160004,99.349998,98.629997,98.779999,9425500,91.268176
2014-01-16,98.790001,99.040001,98.25,98.940002,9421700,91.416012
2014-01-17,99.18,100.339996,98.669998,99.160004,15998000,91.619283
2014-01-21,98.57,98.889999,98.040001,98.5,13847300,91.00947
2014-01-22,98.879997,98.949997,97.839996,97.879997,11642800,90.436616
2014-01-23,97.25,97.389999,96.010002,96.970001,15393200,89.595821
2014-01-24,96.18,96.25,94.82,94.849998,14584300,87.637036
2014-01-27,95.080002,95.580002,94.75,94.919998,12474600,87.701713
2014-01-28,95.349998,95.919998,94.769997,95.650002,10773600,88.376202
2014-01-29,94.93,96.199997,94.650002,95.110001,13191500,87.877266
2014-01-30,94.0,94.949997,93.059998,93.989998,14628400,86.842435
2014-01-31,92.849998,93.279999,91.699997,92.160004,17361400,85.151605
2014-02-03,91.919998,92.309998,89.639999,90.050003,20377900,83.202061
2014-02-04,90.370003,90.639999,89.389999,90.019997,17414400,83.174337
2014-02-05,90.309998,90.610001,89.379997,89.580002,16393600,82.767802
2014-02-06,89.510002,90.18,89.25,89.800003,13646100,83.558724
2014-02-07,90.120003,90.629997,89.75,90.580002,12573800,84.284511
2014-02-10,90.449997,90.529999,89.360001,89.519997,12237700,83.298178
2014-02-11,89.559998,91.0,89.400002,90.839996,13422800,84.526435
2014-02-12,91.010002,91.860001,90.639999,91.080002,10752400,84.74976
2014-02-13,90.589996,91.650002,90.400002,91.43,9775300,85.075433
2014-02-14,91.809998,94.43,91.599998,94.110001,18260400,87.569168
2014-02-18,94.07,94.720001,93.360001,94.07,12979300,87.531947
2014-02-19,93.800003,95.290001,93.800003,93.949997,12227800,87.420285
2014-02-20,93.849998,95.769997,93.75,95.370003,14424300,88.741597
2014-02-21,95.480003,95.580002,94.940002,95.029999,11282200,88.425224
2014-02-24,95.610001,97.25,95.410004,96.440002,16012500,89.73723
2014-02-25,96.540001,96.970001,95.959999,96.309998,10663000,89.61626
2014-02-26,96.559998,96.860001,95.529999,95.790001,9087600,89.132405
2014-02-27,95.580002,96.050003,95.160004,95.839996,9101200,89.178925
2014-02-28,95.959999,96.830002,95.779999,96.269997,12651400,89.57904
2014-03-03,95.760002,96.540001,94.830002,95.5,11896700,88.862559
2014-03-04,96.589996,96.860001,95.870003,96.519997,12566100,89.811664
2014-03-05,95.199997,95.290001,93.400002,93.800003,19829600,87.280716
2014-03-06,93.669998,93.940002,93.269997,93.760002,12610400,87.243495
2014-03-07,94.370003,95.059998,93.989998,94.989998,12659100,88.388003
