Date,Open_HUM,High_HUM,Low_HUM,Close_HUM,Volume_HUM,AdjClose_HUM
2013-06-14,81.32,82.050003,80.800003,80.93,816900,78.917205
2013-06-17,81.260002,82.440002,81.150002,82.239998,997900,80.194622
2013-06-18,82.089996,83.709999,82.029999,83.599998,949900,81.520799
2013-06-19,83.599998,85.360001,83.379997,84.160004,2217900,82.066876
2013-06-20,83.510002,84.790001,83.150002,83.629997,1895200,81.550051
2013-06-21,84.230003,84.959999,84.019997,84.910004,2001900,82.798223
2013-06-24,84.440002,85.900002,84.0,84.599998,1782200,82.495928
2013-06-25,85.019997,85.269997,84.040001,84.410004,1390400,82.310658
2013-06-26,84.709999,85.480003,83.910004,84.160004,1304400,82.330223
2013-06-27,84.25,85.559998,84.110001,85.169998,1281500,83.318259
2013-06-28,85.080002,85.099998,84.089996,84.379997,1477200,82.545434
2013-07-01,84.849998,86.300003,84.839996,85.190002,1171600,83.337828
2013-07-02,85.0,85.220001,82.330002,82.93,1219700,81.126962
2013-07-03,82.699997,83.550003,82.139999,83.050003,784900,81.244356
2013-07-05,83.540001,83.739998,82.610001,83.68,554000,81.860656
2013-07-08,84.290001,84.769997,83.889999,84.269997,866700,82.437825
2013-07-09,84.940002,86.290001,84.849998,85.18,1439400,83.328043
2013-07-10,85.18,85.639999,84.57,84.93,872900,83.083479
2013-07-11,85.709999,86.5,85.0,86.199997,668700,84.325863
2013-07-12,86.550003,87.25,85.410004,85.529999,1005700,83.670432
2013-07-15,85.529999,85.769997,85.050003,85.099998,1108600,83.249781
2013-07-16,84.919998,85.75,83.730003,85.160004,1061200,83.308481
2013-07-17,85.629997,86.089996,84.879997,85.43,1043900,83.572608
2013-07-18,86.230003,89.489998,86.230003,88.339996,2556400,86.419336
2013-07-19,87.339996,89.089996,87.089996,89.080002,1384600,87.143252
2013-07-22,89.339996,90.400002,88.739998,89.989998,879400,88.033463
2013-07-23,90.370003,90.860001,89.57,90.589996,1107000,88.620417
2013-07-24,90.959999,91.610001,90.300003,91.57,1218800,89.579113
2013-07-25,91.150002,91.150002,89.080002,90.360001,1021500,88.395422
2013-07-26,89.68,90.330002,88.089996,89.739998,846800,87.788899
2013-07-29,90.099998,90.959999,89.669998,90.639999,834900,88.669333
2013-07-30,91.139999,91.330002,88.760002,89.260002,1011400,87.319339
2013-07-31,90.110001,92.739998,89.260002,91.260002,2230400,89.275856
2013-08-01,90.389999,91.370003,89.0,91.309998,1802700,89.324764
2013-08-02,90.959999,91.330002,89.599998,89.889999,1046800,87.935639
2013-08-05,89.919998,91.559998,89.889999,91.25,1126200,89.266071
2013-08-06,91.279999,92.080002,90.449997,91.779999,913200,89.784547
2013-08-07,92.199997,92.959999,91.690002,91.849998,1498500,89.853024
