Date,Open_NUE,High_NUE,Low_NUE,Close_NUE,Volume_NUE,AdjClose_NUE
2015-06-08,48.869999,49.16,48.400002,48.52,1590900,46.853068
2015-06-09,48.59,48.830002,48.290001,48.310001,1335900,46.650283
2015-06-10,48.869999,49.119999,48.669998,48.900002,1252600,47.220014
2015-06-11,48.73,49.200001,48.59,48.900002,1159300,47.220014
2015-06-12,48.709999,48.790001,48.009998,48.59,1159700,46.920662
2015-06-15,48.119999,48.119999,47.419998,47.5,1420000,45.86811
2015-06-16,47.330002,48.169998,47.200001,48.09,1174100,46.43784
2015-06-17,48.240002,48.380001,47.5,48.119999,860900,46.466808
2015-06-18,47.169998,48.060001,47.139999,47.84,2501600,46.196429
2015-06-19,47.599998,47.93,47.330002,47.5,2100800,45.86811
2015-06-22,47.5,48.0,47.02,47.169998,1820100,45.549445
2015-06-23,47.32,48.189999,47.060001,48.099998,1547200,46.447495
2015-06-24,48.029999,48.27,47.380001,47.43,1445800,45.800515
2015-06-25,47.5,48.049999,47.259998,47.299999,1435000,45.67498
2015-06-26,46.939999,47.389999,46.200001,46.25,2456500,45.016042
2015-06-29,45.91,46.32,44.93,45.009998,1996100,43.809124
2015-06-30,45.41,45.459999,43.91,44.07,2663900,42.894205
2015-07-01,44.349998,44.889999,44.200001,44.490002,2210800,43.303001
2015-07-02,44.490002,44.66,43.669998,44.25,1968100,43.069402
2015-07-06,43.599998,44.34,43.310001,43.639999,1721700,42.475677
2015-07-07,43.259998,44.25,42.240002,44.110001,3237100,42.933138
2015-07-08,43.779999,43.799999,42.75,42.799999,1922200,41.658088
2015-07-09,43.470001,43.689999,42.959999,42.959999,1588500,41.813819
2015-07-10,43.459999,43.799999,43.27,43.349998,1264900,42.193413
2015-07-13,43.77,44.389999,43.299999,44.150002,1590700,42.972072
2015-07-14,43.950001,44.310001,43.689999,44.18,1060300,43.00127
2015-07-15,44.18,44.18,43.220001,43.52,1435100,42.358879
2015-07-16,43.939999,43.939999,43.099998,43.259998,1591800,42.105814
