Date,Open_TJX,High_TJX,Low_TJX,Close_TJX,Volume_TJX,AdjClose_TJX
2013-06-14,51.130001,51.169998,50.25,50.419998,2962300,48.709073
2013-06-17,50.59,50.650002,49.529999,49.77,4978900,48.081132
2013-06-18,49.759998,50.610001,49.630001,50.529999,3798800,48.815341
2013-06-19,50.689999,50.860001,49.84,49.84,2881900,48.148756
2013-06-20,49.540001,49.720001,48.91,48.970001,3187200,47.30828
2013-06-21,49.41,49.68,48.93,49.490002,4577000,47.810635
2013-06-24,49.220001,49.349998,48.709999,48.849998,3369600,47.192349
2013-06-25,49.080002,49.549999,48.77,49.25,3945500,47.578777
2013-06-26,49.669998,49.900002,49.369999,49.529999,2386800,47.849275
2013-06-27,49.759998,50.470001,49.73,50.119999,2935600,48.419254
2013-06-28,50.07,50.529999,49.889999,50.060001,5230000,48.361292
2013-07-01,50.400002,50.93,50.360001,50.470001,2555100,48.757379
2013-07-02,50.459999,50.73,50.029999,50.240002,2885700,48.535185
2013-07-03,49.939999,50.400002,49.709999,50.290001,1276300,48.583487
2013-07-05,50.59,51.07,50.310001,50.919998,1735500,49.192106
2013-07-08,51.150002,51.619999,50.93,51.41,3170600,49.665481
2013-07-09,51.650002,51.720001,51.02,51.259998,3654100,49.520569
2013-07-10,51.18,51.790001,51.16,51.77,3777900,50.013265
2013-07-11,52.049999,52.349998,51.950001,52.240002,3023500,50.467318
2013-07-12,52.240002,52.599998,52.110001,52.310001,3204300,50.534942
2013-07-15,52.27,52.459999,52.009998,52.189999,3136900,50.419011
2013-07-16,52.110001,52.639999,52.060001,52.259998,2843900,50.486636
2013-07-17,52.400002,52.700001,52.240002,52.43,2895100,50.650869
2013-07-18,52.43,52.959999,52.23,52.41,2819400,50.631547
2013-07-19,52.48,52.48,52.130001,52.400002,2427600,50.621888
2013-07-22,52.060001,52.299999,51.68,52.16,2775000,50.390031
2013-07-23,52.25,52.25,51.889999,51.939999,1863700,50.177495
2013-07-24,51.98,52.009998,51.360001,51.599998,2856500,49.849032
2013-07-25,51.400002,51.810001,51.23,51.77,2789300,50.013265
2013-07-26,51.52,51.689999,51.169998,51.650002,2050400,49.897338
2013-07-29,51.52,51.880001,51.360001,51.799999,1616200,50.042246
2013-07-30,51.970001,52.360001,51.860001,52.09,2219900,50.322406
2013-07-31,52.080002,52.450001,51.959999,52.040001,2727100,50.274104
2013-08-01,52.349998,53.52,52.259998,53.48,3002100,51.665238
2013-08-02,53.25,54.080002,53.07,53.93,3577300,52.099969
2013-08-05,53.759998,54.290001,53.669998,54.25,3017300,52.40911
2013-08-06,54.049999,54.049999,53.349998,53.759998,3651100,51.935736
2013-08-07,53.560001,53.580002,52.75,52.889999,3037900,51.095259
2013-08-08,53.099998,53.27,52.689999,52.790001,2110900,50.998653
2013-08-09,52.66,52.77,52.27,52.400002,2443600,50.621888
2013-08-12,52.16,52.540001,52.049999,52.400002,3009700,50.621888
2013-08-13,52.240002,52.740002,52.150002,52.68,2349900,51.033606
2013-08-14,52.459999,52.509998,51.740002,51.970001,2755900,50.345796
2013-08-15,51.560001,51.560001,50.580002,50.77,3145600,49.183299
2013-08-16,50.650002,51.27,50.459999,50.48,4401000,48.902361
2013-08-19,50.41,50.990002,50.310001,50.75,4305700,49.163923
2013-08-20,53.0,54.41,52.619999,54.240002,8101000,52.544853
2013-08-21,54.0,54.490002,53.59,54.119999,5029500,52.428601
2013-08-22,54.119999,54.380001,53.790001,54.16,2882000,52.467351
2013-08-23,54.240002,54.5,54.0,54.439999,2827500,52.738599
2013-08-26,54.41,54.66,53.959999,54.029999,2139400,52.341413
2013-08-27,53.549999,53.689999,52.900002,52.950001,3014500,51.295168
2013-08-28,53.060001,53.200001,52.779999,52.799999,2203300,51.149854
2013-08-29,52.700001,53.290001,52.529999,53.0,2364500,51.343605
2013-08-30,53.099998,53.150002,52.549999,52.720001,2495200,51.072357
2013-09-03,53.189999,53.790001,52.990002,53.130001,2306900,51.469543
2013-09-04,53.220001,54.169998,53.110001,53.869999,2824700,52.186414
2013-09-05,53.93,54.439999,53.869999,54.119999,2556700,52.428601
2013-09-06,54.169998,54.380001,53.400002,53.919998,2992600,52.23485
2013-09-09,53.619999,53.970001,53.610001,53.950001,2565500,52.263915
2013-09-10,53.959999,53.990002,53.650002,53.919998,3320200,52.23485
2013-09-11,53.990002,54.84,53.950001,54.57,3055600,52.864538
2013-09-12,54.490002,54.540001,53.970001,54.080002,2695800,52.389853
2013-09-13,54.18,54.220001,53.720001,54.200001,1861300,52.506102
2013-09-16,54.540001,55.459999,54.439999,55.290001,3164000,53.562037
2013-09-17,55.27,56.060001,55.209999,55.939999,3204600,54.19172
2013-09-18,55.84,56.91,55.619999,56.84,3944300,55.063594
2013-09-19,57.0,57.16,56.5,56.720001,4539400,54.947346
2013-09-20,56.799999,56.810001,56.240002,56.599998,4099300,54.831093
2013-09-23,56.32,56.34,55.82,56.119999,2530900,54.366095
2013-09-24,56.029999,56.049999,55.459999,55.869999,4982200,54.123908
2013-09-25,56.049999,56.220001,55.459999,55.619999,2884200,53.881721
2013-09-26,55.759998,56.490002,55.700001,56.470001,2902700,54.705159
2013-09-27,56.450001,56.52,56.189999,56.470001,1983600,54.705159
2013-09-30,55.900002,56.580002,55.860001,56.389999,2894100,54.627657
2013-10-01,56.459999,56.889999,56.400002,56.779999,1850900,55.005468
2013-10-02,56.470001,56.849998,56.25,56.709999,2080400,54.937656
2013-10-03,56.599998,56.709999,55.82,56.189999,2088300,54.433907
2013-10-04,56.189999,56.68,56.029999,56.349998,1692600,54.588907
2013-10-07,55.939999,56.150002,55.349998,55.360001,2369200,53.629849
2013-10-08,55.439999,55.580002,54.630001,54.669998,2042200,52.961411
2013-10-09,54.849998,55.259998,54.66,54.91,2516400,53.193912
2013-10-10,55.349998,55.73,55.23,55.73,2261900,53.988284
2013-10-11,55.59,55.599998,55.080002,55.57,2353700,53.833285
2013-10-14,55.259998,56.299999,55.25,56.189999,2029400,54.433907
2013-10-15,56.150002,56.150002,55.43,55.630001,2492500,53.891411
2013-10-16,55.990002,57.779999,55.91,57.720001,3837300,55.916093
2013-10-17,57.470001,57.709999,57.02,57.560001,3992100,55.761094
2013-10-18,57.77,57.77,57.16,57.77,2690800,55.96453
2013-10-21,57.77,57.98,57.189999,57.580002,3130600,55.780469
2013-10-22,58.310001,58.860001,57.900002,58.59,3628200,56.758902
2013-10-23,58.400002,58.93,58.369999,58.700001,2546500,56.865465
2013-10-24,58.790001,58.970001,58.599998,58.790001,2270100,56.952652
2013-10-25,58.860001,59.139999,58.48,59.099998,2203700,57.252961
2013-10-28,59.02,59.439999,58.619999,58.759998,3194500,56.923587
2013-10-29,59.009998,60.060001,59.0,60.040001,3570800,58.163586
2013-10-30,60.099998,61.009998,60.049999,60.240002,3857600,58.357336
2013-10-31,60.130001,60.919998,59.84,60.790001,4422900,58.890147
