Date,Open_IRM,High_IRM,Low_IRM,Close_IRM,Volume_IRM,AdjClose_IRM
2015-06-08,32.189999,32.639999,32.009998,32.299999,2077200,29.856809
2015-06-09,32.360001,32.360001,31.76,31.950001,2406700,29.533285
2015-06-10,31.74,31.969999,31.379999,31.85,1806900,29.88515
2015-06-11,32.009998,32.060001,31.639999,31.860001,1389800,29.894533
2015-06-12,31.77,32.25,31.65,32.02,2633500,30.044663
2015-06-15,31.83,31.950001,31.440001,31.879999,2070800,29.913298
2015-06-16,31.9,31.959999,31.559999,31.700001,1436800,29.744404
2015-06-17,31.790001,32.16,31.620001,32.029999,1323900,30.054044
2015-06-18,32.110001,32.889999,32.029999,32.709999,2580600,30.692095
2015-06-19,32.689999,32.73,32.380001,32.5,1759700,30.495051
2015-06-22,32.610001,32.91,32.48,32.779999,2534000,30.757776
2015-06-23,32.880001,32.880001,32.5,32.57,1735700,30.560732
2015-06-24,32.580002,32.59,31.6,31.65,1781000,29.697487
2015-06-25,31.690001,31.82,31.450001,31.450001,1109600,29.509827
2015-06-26,31.52,32.209999,31.469999,31.860001,3569300,29.894533
2015-06-29,31.68,32.119999,31.0,31.09,2319500,29.172035
2015-06-30,31.4,31.629999,30.950001,31.0,2101100,29.087587
2015-07-01,30.950001,31.6,30.889999,31.48,2319300,29.537975
2015-07-02,31.67,32.25,31.129999,31.549999,1798400,29.603656
2015-07-06,31.32,31.76,31.17,31.23,1752900,29.303398
2015-07-07,31.35,31.65,30.709999,30.959999,2210200,29.050054
2015-07-08,30.620001,30.940001,30.43,30.540001,1227900,28.655965
2015-07-09,30.889999,31.190001,30.65,30.67,995400,28.777945
2015-07-10,30.969999,31.18,30.870001,30.92,778300,29.012522
2015-07-13,31.08,31.379999,30.93,31.15,712300,29.228333
2015-07-14,31.25,31.629999,31.059999,31.51,1505300,29.566125
2015-07-15,31.41,31.620001,31.280001,31.41,2355800,29.472293
2015-07-16,31.620001,31.799999,31.450001,31.77,909900,29.810085
2015-07-17,31.75,31.84,31.530001,31.73,964900,29.772552
2015-07-20,31.74,31.790001,31.360001,31.4,885700,29.46291
2015-07-21,31.43,31.709999,31.299999,31.360001,1538300,29.425379
2015-07-22,31.33,31.700001,31.23,31.58,1037800,29.631806
2015-07-23,31.51,31.58,31.120001,31.200001,1229200,29.275249
2015-07-24,31.15,31.23,31.0,31.120001,1387400,29.200185
2015-07-27,31.08,31.23,30.639999,30.76,1801600,28.862393
2015-07-28,30.860001,30.969999,30.67,30.9,975100,28.993756
2015-07-29,31.0,31.01,30.290001,30.66,2259600,28.768562
2015-07-30,29.209999,29.950001,28.34,29.91,2305700,28.06483
2015-07-31,30.09,30.43,29.9,30.049999,1266400,28.196192
