Date,Open_WMB,High_WMB,Low_WMB,Close_WMB,Volume_WMB,AdjClose_WMB
2013-06-14,33.650002,33.66,33.240002,33.310001,8973100,28.382545
2013-06-17,33.48,33.759998,33.310001,33.639999,7457200,28.663728
2013-06-18,33.150002,33.48,33.07,33.240002,7176100,28.3229
2013-06-19,33.299999,33.349998,32.59,32.610001,6435100,27.786094
2013-06-20,32.220001,32.240002,31.67,31.75,9034800,27.053311
2013-06-21,31.98,32.349998,31.59,32.290001,11573700,27.513431
2013-06-24,32.0,32.130001,31.25,31.65,10898300,26.968103
2013-06-25,31.91,32.360001,31.780001,31.9,7561700,27.181121
2013-06-26,33.290001,33.939999,32.560001,32.650002,8251400,27.820177
2013-06-27,32.779999,33.139999,32.490002,32.580002,4815800,27.760533
2013-06-28,32.549999,32.849998,32.470001,32.470001,7983600,27.666804
2013-07-01,32.650002,32.939999,32.360001,32.52,5306700,27.709407
2013-07-02,32.560001,33.240002,32.470001,32.98,5346000,28.10136
2013-07-03,32.880001,32.939999,32.459999,32.82,1861700,27.965028
2013-07-05,32.919998,33.02,32.48,32.68,3490700,27.845739
2013-07-08,32.810001,33.259998,32.810001,33.259998,3335300,28.339939
2013-07-09,33.48,33.630001,33.310001,33.529999,3236200,28.569999
2013-07-10,33.580002,33.700001,33.110001,33.18,4709300,28.271775
2013-07-11,33.509998,33.93,33.43,33.790001,5769300,28.79154
2013-07-12,33.84,33.880001,33.529999,33.82,3107200,28.817101
2013-07-15,33.779999,34.009998,33.619999,33.810001,3472300,28.808582
2013-07-16,33.860001,33.91,33.290001,33.48,5053000,28.527396
2013-07-17,33.639999,33.779999,33.290001,33.5,4739600,28.544438
2013-07-18,33.650002,34.09,33.619999,34.0,6609200,28.970474
2013-07-19,34.119999,34.66,33.950001,34.279999,5624200,29.209054
2013-07-22,34.200001,34.619999,34.18,34.490002,3473200,29.387991
2013-07-23,34.490002,34.759998,34.259998,34.290001,3951600,29.217576
2013-07-24,34.259998,34.299999,33.259998,33.439999,6650700,28.493312
2013-07-25,33.439999,33.82,33.369999,33.810001,4064300,28.808582
2013-07-26,33.75,33.970001,33.549999,33.91,3423300,28.893788
2013-07-29,33.900002,34.029999,33.82,33.990002,3402500,28.961955
2013-07-30,34.09,34.299999,33.66,33.810001,4821500,28.808582
2013-07-31,33.849998,34.360001,33.700001,34.169998,6595500,29.115325
2013-08-01,34.790001,36.450001,34.790001,36.099998,13886000,30.759826
2013-08-02,35.98,36.34,35.91,36.220001,7018000,30.862077
2013-08-05,36.130001,36.34,35.98,36.189999,4061000,30.836513
2013-08-06,36.099998,36.209999,35.810001,36.049999,3923100,30.717223
2013-08-07,35.880001,36.009998,35.619999,35.84,4276200,30.538288
2013-08-08,35.830002,36.220001,35.27,35.419998,23870100,30.180416
2013-08-09,35.43,35.66,35.189999,35.389999,13143900,30.154855
2013-08-12,35.200001,35.66,35.18,35.490002,12695700,30.240064
2013-08-13,35.470001,35.549999,35.189999,35.34,3504400,30.112252
2013-08-14,35.240002,35.470001,35.240002,35.310001,3309500,30.086691
2013-08-15,35.02,35.470001,34.759998,35.349998,3841600,30.120771
2013-08-16,35.169998,35.349998,34.919998,34.990002,3765800,29.814028
2013-08-19,34.939999,34.990002,34.27,34.310001,4195200,29.234618
2013-08-20,34.259998,34.900002,34.02,34.68,4131300,29.549884
2013-08-21,34.700001,35.130001,34.380001,34.830002,3901500,29.677696
2013-08-22,34.98,36.130001,34.939999,35.880001,7785400,30.572372
2013-08-23,35.98,36.349998,35.639999,36.310001,6157000,30.938764
2013-08-26,36.5,36.77,36.16,36.220001,5072700,30.862077
2013-08-27,35.73,36.25,35.689999,36.119999,3392300,30.776868
2013-08-28,36.119999,36.459999,36.119999,36.209999,3592400,30.853554
2013-08-29,36.150002,36.349998,36.0,36.220001,2477900,30.862077
2013-08-30,36.330002,36.459999,36.139999,36.240002,2987200,30.879119
2013-09-03,36.599998,36.639999,35.630001,35.93,5026700,30.614975
2013-09-04,36.080002,36.119999,35.029999,35.139999,8753500,29.941837
2013-09-05,35.240002,35.610001,35.09,35.130001,5267700,29.933318
2013-09-06,35.279999,35.439999,34.950001,35.119999,14184900,29.924795
2013-09-09,35.290001,35.709999,35.27,35.599998,13366700,30.33379
2013-09-10,35.639999,36.259998,35.529999,36.189999,17816400,30.836513
2013-09-11,35.830002,35.880001,35.400002,35.75,6493100,30.772817
2013-09-12,35.779999,35.779999,35.299999,35.310001,4910900,30.394076
2013-09-13,35.389999,36.040001,35.369999,35.93,4186300,30.927757
2013-09-16,36.16,36.200001,35.459999,35.540001,3430300,30.592054
2013-09-17,35.490002,35.599998,35.040001,35.200001,5685400,30.29939
2013-09-18,35.209999,35.959999,35.209999,35.93,6865900,30.927757
2013-09-19,36.02,36.91,36.02,36.84,7763400,31.711065
2013-09-20,36.93,36.939999,36.450001,36.630001,6088900,31.530302
2013-09-23,36.459999,36.68,36.310001,36.509998,3876200,31.427007
2013-09-24,36.509998,36.830002,36.32,36.599998,3279200,31.504477
2013-09-25,36.700001,36.75,36.209999,36.23,3041300,31.18599
2013-09-26,36.389999,36.43,36.18,36.330002,2924900,31.27207
2013-09-27,36.060001,36.310001,35.91,36.240002,2989700,31.1946
2013-09-30,36.040001,36.66,35.970001,36.360001,4825300,31.297892
2013-10-01,36.32,36.98,36.27,36.75,6824000,31.633595
2013-10-02,36.59,36.82,36.290001,36.580002,3915800,31.487264
2013-10-03,36.439999,36.459999,35.759998,36.299999,5393000,31.246244
